科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"55,038,539.72","88,920,571.98","127,533,511.86","737,427,923.24","636,655,899.39","539,519,415.61","482,620,172.89","466,602,612.52","432,340,823.21","356,992,433.25","281,658,498.89","332,189,004.16","354,067,361.15","296,117,287.04","290,772,705.27","291,497,518.27","280,573,239.58","232,812,547.95","290,146,381.95","231,380,376.51","183,120,068.15","308,319,951.86","300,893,889.75","423,348,902.18","266,799,389.05","179,077,195.28","268,848,375.96","268,891,999.94","214,969,786.53","287,129,731.73","286,521,937.68","286,872,355.87","299,270,125.73","306,839,084.60"
短期借款,"65,000,000.00","80,000,000.00","30,000,000.00","30,000,000.00","5,000,000.00",,,,"37,209,693.81","52,143,620.79","98,854,185.15","196,139,256.01","244,635,919.82","230,000,000.00","299,023,411.50","347,785,615.70","395,060,756.10","339,942,444.00","305,183,041.90","300,524,421.96","348,219,000.00","330,064,404.82","276,982,731.00","237,435,908.97","9,109,264.00","112,531,397.00",,,"66,312,000.00",,,"30,000,000.00","66,936,000.00","63,649,871.64"
交易性金融资产,,,,,,,,,,,,,,,,"147,517.71","1,011,069.84","1,138,668.75","630,814.87",,,,,,,,,,,,"2,316,523.12","2,323,121.40","2,367,871.23","1,924,677.99"
交易性金融负债,,,,,,,,,,,,,"612,040.98","223,491.69",,,,,,"3,271,013.68","2,438,916.24","551,157.12",,,,,,,,,,,,
应收票据,,,,,,,,"340,219.00","250,000.00","2,980,877.00","2,116,390.77","2,518,286.50","3,010,052.80","1,656,002.74","275,885.00","2,411,875.00","691,892.00","1,490,376.93","992,493.00","5,506,159.87","4,679,379.71","1,725,507.71","1,250,102.74","1,498,614.22","598,648.00","822,041.00","294,520.00","1,701,273.61","2,123,814.13","1,228,963.06","3,292,371.00","3,019,527.76","3,871,015.59","4,605,947.17"
应付票据,"47,000,000.00","20,000,000.00","18,500,000.00","18,000,000.00","29,000,000.00","28,950,000.00","16,450,000.00","29,760,000.00","34,690,900.00","76,191,890.01","60,312,390.01","57,129,250.00","56,928,950.00","81,849,100.00","111,743,500.00","127,857,514.16","119,787,014.16","75,725,300.00","72,127,280.00","134,883,778.00","130,926,264.00","63,916,602.00","63,821,136.00","97,800,000.00","65,640,000.00","840,000.00",,,,,,,,
应收账款,"63,663,298.57","68,323,648.34","72,091,646.92","99,942,401.23","116,024,052.02","134,901,865.77","143,170,061.63","147,630,458.78","154,258,141.80","207,599,798.64","235,536,049.28","237,068,215.22","213,294,155.06","211,579,823.38","220,877,375.99","249,444,984.39","241,993,008.47","235,920,687.98","208,427,231.06","232,291,397.20","242,302,395.21","222,252,450.40","224,212,768.05","224,424,351.42","235,233,173.15","266,061,950.24","229,296,362.21","177,763,275.32","191,019,844.91","190,204,906.23","188,533,401.64","232,013,048.81","224,387,142.24","190,989,664.83"
应付账款,"43,655,146.51","53,636,279.45","41,382,725.50","73,255,402.66","100,084,616.29","105,579,516.94","101,101,738.17","156,757,989.20","161,840,027.73","174,296,298.18","232,493,712.69","209,967,639.48","206,404,709.10","200,357,685.41","247,656,200.51","271,307,120.10","256,367,284.11","243,715,760.77","324,585,281.10","294,364,667.57","270,023,955.49","165,053,036.68","171,583,586.14","148,720,268.47","149,188,333.10","138,981,638.75","170,196,192.27","123,073,313.97","141,783,865.45","140,131,698.57","164,823,852.31","179,531,605.82","191,344,456.80","214,243,305.46"
预付款项,"4,638,017.51","5,188,947.35","17,381,404.38","43,764,973.06","78,455,849.32","43,820,080.51","52,505,004.85","93,044,844.21","96,920,742.54","152,432,409.05","99,264,994.16","127,818,048.34","136,952,589.73","194,679,496.21","37,520,191.14","48,460,335.98","42,948,020.69","36,954,427.29","24,672,540.99","34,835,571.00","33,851,684.52","20,583,662.43","13,910,181.28","16,509,057.36","20,460,135.43","32,835,460.72","18,747,964.06","44,310,343.68","23,798,993.90","30,175,540.76","70,576,990.74","77,510,249.09","45,626,427.35","97,856,598.08"
预收款项,"2,258,304.19","1,811,179.58","2,603,539.44","2,579,232.27","2,103,528.07","17,191,389.37","4,563,882.01","9,299,373.97","9,501,948.11","12,332,879.13","4,416,983.72","17,980,228.62","3,474,503.13","4,112,228.72","4,567,297.49","3,148,294.27","2,322,737.15","1,855,961.32","6,721,145.51","1,687,716.07","3,972,018.34","18,623,648.09","2,069,493.45","2,124,942.99","3,201,574.15","2,271,386.34","2,310,366.00","5,056,516.40","6,246,848.38","1,852,647.34","5,763,736.03","3,949,533.91","3,224,418.05","4,208,686.88"
