科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"235,128,434.39","359,325,515.08","338,121,673.79","304,581,909.51","159,038,859.69","151,626,713.12","398,378,151.82","188,265,668.16","224,379,205.55","176,757,147.41","158,406,658.85","120,684,974.38","178,249,761.24","175,359,281.99","187,527,020.58","96,578,486.97","263,616,992.70","247,791,002.85","292,646,218.65","170,401,260.64","152,835,769.28","123,194,390.60","428,713,531.49","526,851,541.61","454,890,513.84","309,784,571.55","228,038,043.55","186,525,073.10","149,133,501.02","167,751,046.66","295,448,998.21","357,998,851.51","567,555,950.52","552,381,934.84","346,046,403.46","529,590,942.97","489,000,864.63","390,815,222.94","459,922,724.63","457,525,278.91","530,938,138.34","413,570,999.95","582,280,963.60","476,460,777.15","477,233,549.97","501,212,006.73","407,162,158.55","486,900,383.79"
短期借款,"529,620,000.00","539,620,000.00","559,620,000.00","631,620,000.00","616,000,000.00","616,000,000.00","786,000,000.00","670,000,000.00","700,000,000.00","700,000,000.00","710,000,000.00","740,000,000.00","810,000,000.00","810,000,000.00","750,000,000.00","749,000,000.00","960,000,000.00","943,000,000.00","986,133,532.47","991,000,000.00","981,000,000.00","966,000,000.00","977,000,000.00","1,276,000,000.00","1,156,000,000.00","1,186,000,000.00","1,183,971,710.00","1,160,251,798.83","1,290,084,447.37","1,319,231,106.16","1,328,631,900.00","1,350,398,340.67","1,307,813,984.00","1,185,362,130.00","1,295,586,312.00","1,411,143,042.00","1,125,362,086.82","1,095,726,886.82","1,173,512,337.56","1,497,348,209.28","1,749,184,593.84","1,864,709,542.08","1,906,023,624.66","1,936,418,971.73","2,070,385,676.84","2,174,207,270.57","2,144,951,532.00","2,085,213,667.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,632.01","-111,309.39",,"30,000,000.00"
交易性金融负债,,,,,,,"708,600.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"635,263.13",
应收票据,"53,743,247.46","71,049,582.57","51,620,085.10","55,693,309.07","206,846,674.80","159,594,015.54","76,866,832.99","86,918,125.72","99,047,896.32","109,314,621.22","59,321,903.12","68,565,141.34","140,883,693.57","187,426,995.81","49,230,198.25","58,024,047.93","116,419,087.42","127,973,564.16","112,052,157.12","82,438,965.74","114,608,233.54","111,807,358.67","85,308,263.98","84,656,644.00","89,877,718.13","74,156,588.41","116,159,626.80","42,265,636.74","125,851,150.55","89,780,360.42","116,909,419.95","54,938,950.20","104,042,887.67","119,167,410.57","169,137,959.98","189,660,382.04","221,131,632.98","174,989,339.09","279,945,623.34","428,512,189.89","512,072,484.35","564,376,396.22","715,283,090.66","525,924,908.21","572,798,748.78","616,863,672.46","743,379,473.99",
应付票据,,,,,,,,,,,,,,,,,,,,,,,"18,000,000.00","22,545,000.00","48,122,622.32","80,469,272.32","103,011,044.15","115,271,394.15","77,815,225.55","94,525,380.69","147,614,320.38","173,948,165.24","315,546,503.66","302,878,410.17","199,005,009.40","315,777,633.36","384,112,589.32","318,962,076.21","402,099,532.79","424,680,077.67","263,236,768.94","329,533,255.44","457,025,545.13","376,861,262.94","409,638,200.25",,"200,034,675.91",
应收账款,"224,632,992.80","144,634,258.78","203,413,468.44","226,533,149.55","199,087,094.72","133,525,848.90","108,139,389.26","164,996,496.11","168,841,828.57","153,831,874.51","213,519,569.54","258,269,836.12","223,419,170.82","184,985,168.52","242,383,934.00","310,235,351.30","321,862,581.08","256,196,189.88","259,863,379.20","375,400,916.45","327,082,782.35","253,781,943.31","260,574,008.97","327,479,620.07","286,752,516.03","303,464,938.14","249,976,994.49","349,238,727.33","332,139,315.21","365,016,158.51","364,668,792.97","415,645,783.78","589,419,588.99","558,945,665.78","570,293,273.39","607,455,910.68","656,800,067.33","682,582,653.00","770,077,169.04","803,732,576.01","800,253,853.65","812,173,033.24","924,841,136.01","845,910,197.02","844,357,079.83","826,546,407.10","937,753,466.54",
应付账款,"40,616,389.37","38,491,335.61","62,690,901.59","72,252,825.63","73,590,993.90","42,757,879.80","41,508,539.96","38,426,213.78","38,047,658.30","44,264,590.33","82,068,432.28","90,769,240.40","60,056,126.92","43,002,238.05","74,729,217.01","135,808,828.67","95,960,512.26","96,286,227.92","102,588,923.82","124,135,879.08","103,875,889.56","103,260,330.92","143,515,570.46","135,556,203.47","127,822,139.15","149,365,903.19","197,932,213.39","190,488,281.44","178,774,055.07","231,790,899.66","307,041,259.32","302,236,055.70","446,501,480.10","484,321,955.20","455,776,268.33","467,026,402.24","418,077,996.33","301,080,670.21","520,872,828.76","478,888,642.88","459,656,734.64","452,644,103.24","511,673,528.32","512,288,397.43","417,915,280.85",,"491,053,055.12",
预付款项,"1,800,055.07","1,941,859.95","1,927,723.87","4,774,171.42","3,339,672.60","8,100,163.40","5,867,070.15","2,761,172.96","6,255,193.64","15,491,641.85","6,376,748.82","8,753,923.55","7,720,551.95","2,434,001.91","3,067,438.85","4,246,835.63","5,155,655.87","10,725,516.10","7,291,469.57","7,423,021.34","8,564,213.28","11,592,573.70","3,680,703.48","6,958,500.10","5,036,499.90","20,332,337.37","9,715,769.98","12,102,064.96","23,598,936.28","23,284,253.43","42,830,073.79","24,786,510.82","44,440,481.02","43,803,209.02","47,422,980.30","51,803,625.13","82,208,489.60","116,701,481.34","53,217,859.70","57,767,236.10","54,537,882.50","112,536,255.90","44,613,884.95","62,400,502.64","60,386,375.40","115,190,196.13","42,445,400.21","34,905,665.33"
预收款项,"1,826,274.92","20,767,641.18","5,472,569.69","9,280,715.88","4,814,046.39","10,000,902.63","13,258,080.20","9,521,033.69","4,174,423.45","760,063.70","701,434.92","2,029,215.12","1,278,894.31","1,585,427.03","6,820,134.06","6,579,379.84","2,013,713.12","2,020,537.36","8,154,578.07","4,856,421.19","2,196,126.85","940,558.03","583,970.55","1,082,480.47","1,073,506.30","1,073,421.01","1,195,711.64","1,676,606.31","1,464,638.05","3,372,832.15","2,344,534.44","7,731,753.59","66,245,721.63","58,651,988.86","32,207,049.47","77,297,780.28","93,722,644.26","118,512,587.60","39,216,917.24","93,959,905.57","87,873,757.48","79,434,610.77","38,161,422.43","66,470,993.61","117,471,406.21","170,902,826.86","86,079,005.07","108,760,555.14"
