科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"313,721,880.24","313,628,870.28","105,231,078.08","256,332,688.69","94,169,772.15","194,280,088.71","303,036,229.30","374,811,156.64","70,158,388.12","157,893,236.53","241,304,153.50","326,969,647.99","95,898,480.22","183,905,416.78","297,008,952.66","398,629,267.48","138,763,466.10","257,441,661.11","379,571,059.63","519,715,657.88","113,381,725.52","219,191,116.45","399,365,444.38","519,316,374.67","106,782,378.90","228,547,608.42","312,891,856.28","415,474,211.65","79,092,660.47","277,448,760.30","338,681,101.49","454,872,887.65","169,895,624.30","209,920,992.37","381,606,931.28","539,821,500.92","128,302,907.31"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"468,274,078.98",
收到的税费返还,"5,618,545.01","811,129.63","1,456,766.70","3,070,460.69","475,483.05","2,899,303.96","3,844,604.90","4,340,112.51","202,557.51","7,174,590.29","8,873,734.85","10,539,789.76","2,155,966.93","3,607,243.32","5,466,995.70","8,118,688.61","2,520,345.53","4,012,859.78","7,920,730.14","10,803,547.04","1,534,507.66","10,070,528.57","13,631,300.34","14,501,396.11","1,205,672.40","3,388,872.99","6,824,436.30","8,565,060.56",,"520,443.43","520,443.43",,,,,,
支付其他与投资活动有关的现金,,"1,761,848.20",,,,,,,,,,,,,,,"10,500,000.00","160,500,000.00","179,700,000.00",,,,,,,,,,,,,"80,586,819.00",,,79.00,,"77,228.46"
收到其他与经营活动有关的现金,"18,547,030.87","3,546,813.50","2,315,595.81","2,651,406.55","62,367.25","351,763.59","5,888,195.42","10,361,199.66","1,685,757.12","5,901,796.74","12,207,145.76","15,606,861.91","16,585,388.23","21,575,865.49","24,285,868.79","14,263,047.13","3,881,591.52","6,881,558.48","10,220,480.59","7,576,676.65","1,227,376.15","6,800,579.52","8,004,203.05","3,036,436.54","662,566.47","2,651,116.14","14,232,811.34","60,916,556.90","94,519,420.80","13,138,446.95","13,483,117.66","39,992,757.03","29,911.96","38,045.66","7,580,242.16","9,996,996.85","204,250,624.28"
投资活动现金流出小计,"60,526,077.60","38,793,184.21","10,707,490.01","11,802,526.43","2,899,124.42","4,508,696.36","6,386,722.39","7,644,488.99","3,475,775.92","10,649,564.09","14,412,549.32","20,948,288.60","3,782,921.21","71,645,461.81","81,050,968.17","83,608,034.01","201,050,476.00","354,846,381.69","385,457,299.55","568,083,364.80","50,685,604.44","232,592,404.70","279,121,211.80","517,171,863.43","63,039,450.65","97,514,561.82","196,353,554.07","1,147,046,063.81","51,050,347.29","212,276,478.85","179,163,798.85","342,093,135.85","147,393,529.74","149,711,095.07","623,790,659.12","830,877,804.24","97,865,881.28"
经营活动现金流入小计,"337,887,456.12","317,986,813.41","109,003,440.59","262,054,555.93","94,707,622.45","197,531,156.26","312,769,029.62","389,512,468.81","72,046,702.75","170,969,623.56","262,385,034.11","353,116,299.66","114,639,835.38","209,088,525.59","326,761,817.15","421,011,003.22","145,165,403.15","268,336,079.37","397,712,270.36","538,095,881.57","116,143,609.33","236,062,224.54","421,000,947.77","536,854,207.32","108,650,617.77","234,587,597.55","333,949,103.92","484,955,829.11","173,612,081.27","291,107,650.68","352,684,662.58","494,865,644.68","169,925,536.26","209,959,038.03","389,187,173.44","549,818,497.77","332,553,531.59"
投资活动产生的现金流量净额,"-60,121,157.60","-38,687,798.03","-10,630,490.01","-11,697,526.43","-2,899,124.42","-4,508,696.36","-6,386,722.39","-7,644,488.99","-3,475,775.92","-10,429,564.09","-14,007,149.32","-20,478,388.60","-3,782,921.21","-71,645,461.81","-81,029,168.17","-70,364,414.01","-191,064,681.65","-344,828,147.34","-375,103,940.20","-384,777,722.50","-27,685,604.44","-42,432,828.83","-62,418,635.93","-74,619,216.59","122,012,776.53","145,581,487.59","947,745,554.56","-8,063,212.35","-51,050,347.29","-197,152,803.66","-164,040,123.66","-261,600,735.85","-147,393,529.74","-149,711,095.07","-622,070,360.80","-830,877,804.24","-77,580,496.31"
购买商品、接受劳务支付的现金,"175,782,914.75","164,296,259.93","48,317,537.15","125,039,175.42","41,958,730.73","93,522,515.30","158,659,078.71","188,821,427.72","37,586,761.01","74,934,614.73","119,095,324.78","158,776,974.93","48,168,653.57","98,886,940.39","153,796,118.67","198,494,005.94","56,182,211.62","118,242,507.30","171,220,210.36","253,611,967.57","70,058,136.49","133,905,403.28","225,976,646.42","304,701,889.23","51,757,148.10","115,423,916.52","169,964,845.62","208,307,460.14","3,381,299.88","39,146,741.78","53,057,475.62","56,180,168.99","11,959,023.72","18,965,131.28","54,433,856.74","155,899,799.76","267,045,672.10"
吸收投资收到的现金,"19,595,784.34",,,,,,"509,744,520.00","509,744,520.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
