科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"308,731,109.87","439,423,586.87","338,014,543.35","468,529,889.52","680,477,167.50","148,218,850.02","393,816,648.61","661,327,885.09","943,976,017.18","196,518,584.73","592,262,608.67","983,077,735.46","1,460,044,836.88","277,002,827.14","840,610,919.09","1,495,191,362.58","2,384,029,702.70","605,639,465.95","1,602,803,365.03","2,667,098,686.68","3,700,232,671.50","887,131,454.73","2,228,329,332.33","3,615,199,017.17","4,460,602,103.85","557,743,000.07","1,225,992,001.27","1,904,797,113.11","2,826,572,017.20","584,627,728.11","1,336,084,413.04","1,858,468,491.78","2,833,829,956.95","625,159,071.64","1,299,752,347.47","2,048,536,187.35","3,187,076,543.28"
二、营业利润,"65,379,029.02","107,153,312.57","98,377,941.12","140,655,577.56","205,554,160.17","41,126,971.82","128,023,039.17","217,851,490.18","318,063,113.26","65,462,059.48","202,941,061.33","334,492,277.27","471,155,173.48","66,110,976.31","234,914,967.20","440,473,596.79","707,698,302.08","168,048,935.06","465,704,228.08","806,698,078.15","1,113,847,282.01","252,678,222.66","718,961,418.94","1,176,098,127.10","1,393,595,284.84","61,589,970.87","114,436,413.69","134,143,394.18","143,854,455.59","70,458,333.68","119,670,966.84","109,248,306.25","99,909,005.51","11,153,428.82","16,659,904.86","13,830,393.59","70,324,765.17"
减:营业成本,"215,337,305.77","290,372,715.44","214,505,213.10","292,891,505.49","422,972,438.67","90,337,966.69","235,081,694.25","399,339,602.55","551,490,671.90","111,594,287.24","340,906,982.97","569,804,689.99","832,611,744.97","174,951,982.87","488,377,220.81","854,789,880.43","1,365,006,172.03","361,344,083.67","914,685,344.16","1,478,759,829.17","2,082,769,159.58","532,564,168.83","1,271,864,063.46","1,999,324,644.43","2,434,330,294.48","380,801,344.98","837,846,870.35","1,297,197,074.74","1,919,574,592.14","392,581,868.91","939,973,702.74","1,351,025,609.69","2,081,857,141.70","488,495,738.88","1,002,020,633.73","1,554,502,979.27","2,332,899,471.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,919,192.23","2,483,902.60","3,108,045.07","4,826,726.33","6,943,696.57","1,719,897.05","4,378,526.66","6,886,381.59","9,356,206.28","2,037,531.19","4,238,971.70","5,809,475.96","11,248,529.05","1,156,204.96","3,428,987.70","7,777,126.63","16,448,106.37","3,627,424.48","11,736,941.17","20,091,204.34","29,636,218.12","7,714,539.20","13,367,579.62","25,844,770.30","33,441,642.66","11,584,583.41","17,633,348.97","23,077,461.78","32,711,191.00","3,943,469.26","22,037,888.55","19,467,364.10","40,587,124.49","9,913,124.71","18,579,382.74","28,395,600.55","41,086,201.40"
营业外收入,"2,192,284.77","6,351,397.81","5,489,993.19","7,226,738.66","10,392,326.00","1,046,805.83","7,513,468.98","10,388,036.76","18,001,119.47","4,922,557.06","5,241,595.81","8,937,886.93","33,774,525.32","6,069,194.64","22,445,092.90","28,385,900.59","48,667,491.53","12,970,238.71","30,562,172.63","32,714,501.62","43,195,455.49","4,126,045.14","41,616,395.73","47,644,520.45","56,461,963.72","12,476,741.04","17,815,099.92","23,765,723.65","48,765,080.43","2,148,989.98","14,467,323.45","19,355,923.42","59,021,758.88","22,646,500.22","28,573,610.33","52,471,585.22","5,878,205.65"
销售费用,"12,862,876.14","19,471,267.78","11,050,682.09","16,144,613.83","23,656,019.95","9,259,944.62","17,322,567.37","26,270,153.82","40,097,790.08","12,654,842.91","25,123,402.68","40,754,810.22","64,667,681.29","18,709,738.43","39,228,147.71","62,729,473.50","95,877,575.65","18,195,491.49","46,995,370.36","84,148,506.79","133,256,368.92","33,587,577.01","79,093,272.85","152,706,002.10","224,499,992.18","48,145,881.70","105,633,060.42","163,038,846.95","245,141,259.65","46,730,265.72","112,059,055.27","168,734,376.73","275,058,434.87","54,959,373.22","117,985,838.94","182,466,490.16","278,550,308.42"
减:营业外支出,"199,320.67","543,425.26","33,780.30","37,320.30","1,295,299.27",,,"55,626.71","213,646.07","116,700.79","118,768.17","479,553.52","799,842.82","311,129.74","352,102.20","1,565,812.16","1,573,341.22","202,258.07","1,863,925.29","2,478,530.35","3,933,010.88","263,743.93","898,773.99","1,714,069.12","2,605,084.61","886,094.60","1,744,146.68","2,224,219.86","3,684,137.98","927,785.24","752,417.02","1,100,910.07","1,890,061.98","121,275.86","1,228,419.88","1,767,085.74","3,688,079.12"
管理费用,"7,269,346.13","14,343,898.44","7,790,592.42","11,385,207.07","17,074,718.50","7,526,984.07","12,773,315.57","18,286,484.70","46,270,516.21","10,538,108.43","29,399,236.07","47,283,847.07","101,639,710.80","25,995,950.98","72,236,120.59","112,428,308.86","204,958,682.63","51,081,912.63","121,610,368.14","225,115,934.42","319,710,175.64","68,315,606.41","173,676,192.62","291,821,832.83","400,593,208.62","82,981,813.27","181,548,420.47","268,870,102.04","395,965,746.94","83,912,967.54","180,136,480.72","255,828,159.22","371,405,783.28","73,725,192.41","156,290,161.67","228,540,726.91","348,422,381.88"
其中:非流动资产处置净损失,"106,020.67","1,170.00",,,"47,111.72",,,,"1,266.15",,,,"7,450.03","11,129.74",,,"16,055.20",296.75,"16,689.97",,"258,038.66","43,243.93","273,886.87",,"406,639.09","668,357.02","1,435,047.34","1,867,554.88","1,930,306.89","233,991.84","275,037.28","286,018.27","369,203.08","80,306.90","287,977.82","459,629.66",
