科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"26,952,314.66","19,094,831.79","31,517,149.80","10,774,419.18","212,012,306.77","90,660,445.15","66,629,725.87","61,175,905.69","113,030,464.53","124,565,160.49","106,790,113.91"
短期借款,,,,"10,000,000.00","20,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"39,260,000.00","20,500,000.00",,"5,000,000.00",,,,"1,975,000.51","1,000,000.00",,"1,652,212.90"
应付票据,,,,"10,000,000.00","18,866,864.85","18,339,357.96","27,222,081.44","27,749,588.33","1,149,680.04","1,229,850.66","15,294,003.52"
应收账款,"35,215,801.08","40,418,685.72","105,320,685.39","112,979,714.05","97,297,011.12","97,138,386.81","99,291,924.26","68,773,958.16","114,134,112.37","80,397,808.84","77,938,103.33"
应付账款,"89,822,206.87","50,942,333.83","79,072,493.13","87,588,075.88","88,735,610.81","56,420,976.36","68,252,302.44","63,837,084.01","83,750,959.00","64,814,625.18","71,752,700.54"
预付款项,"452,041.06","3,434,430.69","3,817,208.08","5,841,748.53","2,473,898.28","1,856,904.70","4,175,981.78","6,781,237.25","653,515.60","1,988,750.47","1,230,923.03"
预收款项,"59,735.42",,"21,340.40","25,734.35","28,266.40","21,967.40","22,274.40","28,424.40","49,029.40","51,002.40","46,496.40"
其他应收款,"307,313.61","896,666.13","688,222.39","626,691.01","543,080.98","1,191,961.98","454,091.26","839,047.20","434,750.87","1,360,053.06","524,598.96"
应付职工薪酬,"3,183,945.08","2,934,875.03","3,056,945.41","2,779,581.18","3,624,765.68","1,759,358.29","2,027,802.66","2,843,961.64","3,571,832.90","1,016,742.99","2,558,084.51"
应收关联公司款,,,,,,,,,,,
应交税费,"7,330,569.89","3,316,553.98","6,283,678.07","8,501,877.80","10,521,335.30","3,219,279.46","3,533,196.38","3,371,223.30","6,927,375.67","2,740,568.72","2,633,305.64"
应收利息,,,,,,,,,,,
应付利息,,,,"15,708.33","28,275.00",,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,"16,000,000.00",,,,,
存货,"41,072,631.74","41,933,128.48","33,652,625.50","26,964,720.85","26,927,247.22","20,534,043.42","22,700,387.72","34,626,755.84","21,230,953.40","25,469,198.62","31,096,600.62"
其他应付款,"4,690,971.76","95,000.00","2,095,100.00","3,150,468.02","11,818,943.96","1,701,643.80","1,121,437.56","2,580,889.55","1,807,647.10","2,370,689.19","2,273,584.72"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"3,445,218.99","164,719.72",,"1,336,917.62",,"60,876,053.88","91,069,414.34","90,876,053.88","6,015,223.59","5,502,063.17","6,187,313.86"
其他流动负债,,,,,,,,,,,
流动资产合计,"146,705,321.14","126,442,462.53","174,995,891.16","163,524,211.24","339,253,544.37","272,257,795.94","284,321,525.23","265,047,958.53","256,499,020.36","239,283,034.65","225,419,866.61"
流动负债合计,"105,087,429.02","57,288,762.84","90,529,557.01","122,061,445.56","153,624,062.00","97,462,583.27","102,179,094.88","100,411,171.23","97,256,524.11","72,223,479.14","94,558,175.33"
可供出售金融资产,,,,,,,,,,,
长期借款,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,"56,562,053.19","56,230,926.19","55,880,305.81"
预计负债,,,,,,,,,,,
固定资产,"178,407,776.65","164,645,931.38","148,668,381.60","139,385,555.66","137,580,624.94","181,927,430.75","179,113,191.59","180,559,094.00","137,589,132.09","133,865,945.51","155,872,536.64"
递延所得税负债,,,,,,,,,,,
在建工程,"1,539,859.80",,,"52,747,216.65","52,789,753.94","2,836,951.17","4,002,195.07","9,652,708.94","56,245,632.10","61,639,732.90","45,830,665.75"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"480,850.84","408,065.32","335,279.80","995,654.66","1,238,599.28","1,171,599.72","1,104,600.16","1,037,600.60","1,770,601.04","1,678,601.48","3,923,601.92"
固定资产清理,,,,,,,,,,,
负债合计,"105,568,279.86","57,696,828.16","90,864,836.81","123,057,100.22","154,862,661.28","98,634,182.99","103,283,695.04","101,448,771.83","99,027,125.15","73,902,080.62","98,481,777.25"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00"
油气资产,,,,,,,,,,,
资本公积,"13,283,223.19","13,283,223.19","13,283,223.19","13,283,223.19","114,939,099.13","114,939,099.13","34,939,099.13","34,939,099.13","34,939,099.13","34,939,099.13","34,981,085.98"
无形资产,"18,447,288.78","17,961,576.30","17,475,863.82","17,111,579.46","17,460,806.62","17,327,412.70","17,194,018.78","17,060,624.86","13,299,616.54","13,190,569.03","13,081,521.52"
盈余公积,"16,900,318.40","21,520,068.06","25,036,304.14","25,036,304.14","28,919,795.76","28,919,795.76","28,919,795.76","28,919,795.76","32,807,526.36","32,807,526.36","32,807,526.36"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"152,917,223.53","158,186,949.42","155,211,417.21","155,259,286.60","171,638,608.03","166,578,777.72","173,881,176.23","184,335,728.78","199,343,618.64","207,101,761.15","172,486,228.46"
长期待摊费用,,,,,,,,"124,544.00",,,
少数股东权益,,,,,,,,,,,
递延所得税资产,"2,402,717.10","1,526,410.62","2,433,676.81","2,841,050.18","2,773,033.37","2,697,301.08","2,151,279.53","1,917,975.72","2,855,353.06","1,756,557.00","1,929,554.03"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,"1,166,081.51","110,688.00","821,967.96","1,026,300.96","502,400.96","12,024,963.96","14,241,555.96","35,280,489.45","3,066,561.94","2,783,701.98","742,167.69"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"201,963,723.84","184,244,606.30","169,399,890.19","213,111,702.91","211,106,619.83","216,814,059.66","216,702,240.93","244,595,436.97","269,618,348.92","269,467,432.61","273,336,751.44"
