科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"122,468,000,000.00","206,910,000,000.00","254,118,000,000.00","44,899,000,000.00","532,317,000,000.00","876,319,000,000.00","371,524,000,000.00","197,861,000,000.00","109,244,000,000.00","146,220,000,000.00","210,752,000,000.00","78,365,000,000.00","157,515,000,000.00","293,715,000,000.00","399,602,000,000.00","114,210,000,000.00","246,083,000,000.00","349,918,000,000.00","493,354,000,000.00","85,334,000,000.00","253,677,000,000.00","399,701,000,000.00","547,608,000,000.00","194,518,000,000.00","288,028,000,000.00","423,763,000,000.00","478,354,000,000.00","290,682,000,000.00","289,349,000,000.00","426,093,000,000.00","409,437,000,000.00","129,926,000,000.00","336,670,000,000.00","651,158,000,000.00","638,920,000,000.00","269,237,000,000.00","259,014,000,000.00","378,083,000,000.00","545,658,000,000.00","239,061,000,000.00","596,428,000,000.00","848,459,000,000.00","1,007,237,000,000.00","253,283,000,000.00"
客户存款和同业存放款项净增加额,"109,764,000,000.00","162,959,000,000.00","234,087,000,000.00","64,643,000,000.00","95,026,000,000.00","75,604,000,000.00","170,620,000,000.00","114,569,000,000.00","230,249,000,000.00","250,027,000,000.00","481,251,000,000.00","112,021,000,000.00","289,082,000,000.00","298,683,000,000.00","393,211,000,000.00","70,656,000,000.00","144,731,000,000.00","144,339,000,000.00","244,435,000,000.00","73,973,000,000.00","220,173,000,000.00","267,840,000,000.00","287,328,000,000.00","203,025,000,000.00","365,195,000,000.00","384,606,000,000.00","405,603,000,000.00","143,915,000,000.00","398,829,000,000.00","221,952,000,000.00","197,153,000,000.00","50,839,000,000.00","229,750,000,000.00","292,816,000,000.00","703,324,000,000.00","186,777,000,000.00","75,893,000,000.00",,"443,232,000,000.00","92,285,000,000.00",,,,"78,826,000,000.00"
取得投资收益收到的现金,,,"3,000,000.00",,,,"1,000,000.00",,"3,000,000.00","11,000,000.00","7,000,000.00",,"56,000,000.00","58,000,000.00","58,000,000.00",,"41,000,000.00","43,000,000.00","37,000,000.00",,"11,000,000.00","11,000,000.00","14,000,000.00",,"22,000,000.00","28,000,000.00","46,000,000.00","62,000,000.00",,"98,000,000.00","135,000,000.00","20,000,000.00",,,"69,000,000.00","5,000,000.00","40,000,000.00","49,000,000.00","80,000,000.00","14,000,000.00","96,000,000.00","138,000,000.00","178,000,000.00","38,000,000.00"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,050,000,000.00","5,000,000,000.00",,,,"44,500,000,000.00","40,600,000,000.00","41,550,000,000.00","146,550,000,000.00",,"9,550,000,000.00","38,550,000,000.00","53,550,000,000.00","21,950,000,000.00"
收到其他与投资活动有关的现金,"2,000,000.00","4,000,000.00","62,000,000.00","1,000,000.00","63,000,000.00","63,000,000.00","68,000,000.00","23,000,000.00","25,000,000.00","27,000,000.00","90,000,000.00","1,000,000.00","6,000,000.00","42,000,000.00","736,000,000.00","22,000,000.00","26,000,000.00","73,000,000.00","79,000,000.00","11,000,000.00","14,000,000.00","3,000,000.00","4,000,000.00","20,000,000.00","99,000,000.00","90,000,000.00","130,000,000.00","3,000,000.00","67,000,000.00","7,000,000.00","26,000,000.00","1,000,000.00","28,000,000.00","47,000,000.00","22,000,000.00","4,000,000.00","89,000,000.00","104,000,000.00","109,000,000.00","1,000,000.00","12,000,000.00","50,000,000.00","52,000,000.00","55,000,000.00"
向其他金融机构拆入资金净增加额,,,,"816,000,000.00","6,682,000,000.00","4,955,000,000.00","897,000,000.00",,"5,000,000,000.00","3,303,000,000.00","2,948,000,000.00","1,650,000,000.00","2,423,000,000.00",,"2,570,000,000.00",,,"1,516,000,000.00",,,,,,,,,,,,,,,,,"29,350,000,000.00",,,,"33,747,000,000.00",,,,,
投资活动现金流入小计,"122,470,000,000.00","206,914,000,000.00","254,183,000,000.00","44,900,000,000.00","532,380,000,000.00","876,382,000,000.00","371,593,000,000.00","197,884,000,000.00","109,272,000,000.00","146,258,000,000.00","210,849,000,000.00","78,366,000,000.00","157,577,000,000.00","293,815,000,000.00","400,396,000,000.00","114,232,000,000.00","246,150,000,000.00","350,034,000,000.00","493,470,000,000.00","85,345,000,000.00","253,702,000,000.00","399,715,000,000.00","547,626,000,000.00","194,538,000,000.00","288,149,000,000.00","423,881,000,000.00","478,530,000,000.00","290,747,000,000.00","289,416,000,000.00","426,198,000,000.00","409,598,000,000.00","129,947,000,000.00","336,698,000,000.00","651,205,000,000.00","639,011,000,000.00","269,246,000,000.00","259,143,000,000.00","378,236,000,000.00","545,847,000,000.00","239,076,000,000.00","596,536,000,000.00","848,647,000,000.00","1,007,467,000,000.00","253,376,000,000.00"
收取利息、手续费及佣金的现金,"18,526,000,000.00","29,737,000,000.00","42,508,000,000.00","14,122,000,000.00","30,050,000,000.00","46,091,000,000.00","61,750,000,000.00","17,521,000,000.00","26,821,000,000.00","42,152,000,000.00","60,820,000,000.00","16,762,000,000.00","35,733,000,000.00","55,733,000,000.00","76,951,000,000.00","23,653,000,000.00","51,269,000,000.00","81,173,000,000.00","112,520,000,000.00","34,909,000,000.00","72,987,000,000.00","110,877,000,000.00","148,194,000,000.00","39,818,000,000.00","83,844,000,000.00","131,048,000,000.00","180,514,000,000.00","52,005,000,000.00","109,876,000,000.00","165,670,000,000.00","221,864,000,000.00","58,093,000,000.00","124,392,000,000.00","184,183,000,000.00","245,701,000,000.00","64,743,000,000.00","129,188,000,000.00","192,165,000,000.00","259,350,000,000.00","66,794,000,000.00","138,734,000,000.00","209,103,000,000.00","278,828,000,000.00","66,607,000,000.00"
投资支付的现金,"143,513,000,000.00","245,855,000,000.00","287,898,000,000.00","26,582,000,000.00","582,729,000,000.00","921,887,000,000.00","427,619,000,000.00","205,374,000,000.00","108,716,000,000.00","141,266,000,000.00","199,985,000,000.00","77,536,000,000.00","195,127,000,000.00","323,572,000,000.00","438,147,000,000.00","106,747,000,000.00","256,857,000,000.00","345,934,000,000.00","502,095,000,000.00","107,579,000,000.00","306,044,000,000.00","475,739,000,000.00","645,390,000,000.00","219,376,000,000.00","325,980,000,000.00","440,558,000,000.00","483,562,000,000.00","287,506,000,000.00","289,320,000,000.00","437,889,000,000.00","446,451,000,000.00","152,446,000,000.00","427,037,000,000.00","767,015,000,000.00","775,111,000,000.00","311,940,000,000.00","327,241,000,000.00","489,759,000,000.00","714,490,000,000.00","227,263,000,000.00","644,339,000,000.00","943,222,000,000.00","1,131,592,000,000.00","289,049,000,000.00"
