科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"3,673,170,460.00","5,678,162,169.46","8,474,815,787.28","5,611,136,081.94","12,316,503,735.92","4,230,757,786.79","8,027,943,503.94","12,474,297,901.61","17,731,555,790.38","6,223,550,539.30","11,711,831,501.22","17,890,816,602.19","24,684,317,980.29","7,609,064,589.61","14,412,739,361.49","22,013,702,334.65","30,542,816,684.11","9,338,974,439.21","17,703,390,185.79","26,945,169,863.34","36,726,802,955.31","11,197,681,935.44","20,834,832,928.50","31,443,996,836.19","42,144,829,561.56","13,415,878,672.77","24,517,857,974.47","37,015,263,851.02","49,231,645,818.26","15,261,389,125.31","28,316,886,218.71","43,307,846,576.38","58,591,343,430.31","18,767,182,733.10"
二、营业利润,"193,118,641.84","284,296,506.94","328,156,745.50","178,155,498.68","391,704,707.66","200,945,065.46","347,266,380.24","468,250,749.20","588,394,361.84","147,086,977.68","233,715,038.47","402,780,150.27","568,008,690.78","307,293,096.40","419,316,451.76","589,954,587.66","801,251,193.48","381,215,209.68","568,500,861.91","828,531,799.02","1,055,841,194.82","420,324,140.15","586,459,106.99","675,909,381.04","760,742,926.51","552,246,831.99","788,778,527.81","979,685,505.48","1,497,595,792.59","875,566,645.61","1,211,446,971.72","1,547,884,972.19","1,940,644,964.51","820,643,553.46"
减:营业成本,"3,041,291,352.01","4,662,637,409.87","6,957,994,410.61","4,566,665,237.51","9,961,855,261.89","3,457,457,490.84","6,493,798,181.41","10,062,839,589.17","14,318,206,235.32","5,106,087,113.16","9,488,862,858.97","14,406,289,603.54","19,859,025,892.76","6,133,474,539.01","11,623,034,023.06","17,768,688,635.66","24,681,910,829.96","7,532,652,416.29","14,263,027,897.02","21,749,568,055.14","29,506,888,810.07","8,971,080,894.39","16,693,848,399.12","25,251,688,765.49","33,785,437,572.62","10,668,777,824.33","19,561,147,917.20","29,598,439,890.64","39,291,926,987.95","12,066,971,984.28","22,527,629,158.04","34,511,121,219.44","46,382,795,336.34","14,490,293,636.20"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"15,057,544.73","22,149,461.61","29,855,544.31","22,167,502.58","47,270,347.63","17,671,195.39","32,937,312.87","54,811,923.27","82,890,032.43","27,788,961.42","52,946,097.16","84,630,350.49","115,166,885.79","31,686,134.36","64,316,736.06","102,964,814.32","138,701,245.11","44,494,884.33","80,452,856.25","124,373,565.31","175,659,203.15","54,114,276.21","101,304,053.63","152,193,306.99","206,535,001.98","65,598,111.20","100,081,376.97","131,593,908.87","218,985,978.96","54,054,725.77","101,739,018.45","151,128,266.53","209,423,777.89","60,611,912.86"
营业外收入,"7,390,251.16","5,658,023.49","13,571,696.95","7,939,033.36","18,590,824.92","3,511,100.63","14,175,228.20","22,849,129.29","36,109,673.10","19,871,309.69","47,346,703.71","67,797,404.68","126,592,242.75","50,850,572.52","103,731,307.67","143,289,506.25","180,432,009.03","20,004,708.64","45,777,881.96","69,108,764.42","122,980,826.85","35,031,064.11","84,758,577.63","120,910,752.70","181,451,324.94","31,511,283.21","77,335,342.20","119,135,056.36","179,144,387.57","44,946,584.04","97,140,889.87","141,839,215.89","166,541,128.98","46,300,495.16"
销售费用,"336,094,645.31","577,188,223.30","946,608,554.65","689,002,036.92","1,557,707,985.68","469,344,904.38","996,446,791.33","1,613,624,853.54","2,294,512,700.80","776,435,505.99","1,590,386,806.56","2,467,992,178.44","3,329,138,238.38","911,815,190.86","1,906,122,702.42","2,964,480,396.61","4,148,221,464.15","1,205,050,793.96","2,452,628,974.39","3,764,633,705.28","5,263,876,099.47","1,539,610,465.74","3,055,584,908.09","4,687,001,085.44","6,376,537,902.06","1,873,356,853.02","3,534,010,448.01","5,383,437,276.61","7,165,231,150.48","1,959,707,565.73","3,800,817,854.35","5,988,790,962.33","8,451,613,884.82","2,718,229,298.84"
减:营业外支出,"7,610,395.67","6,894,298.00","10,143,012.16","6,244,477.74","11,198,374.68","3,215,639.44","11,109,517.38","13,884,194.46","21,718,236.40","7,881,774.70","18,071,975.30","25,176,520.68","30,982,919.62","6,957,156.69","17,129,920.68","25,995,574.79","36,220,986.78","7,503,240.19","34,562,139.88","60,474,465.16","94,530,842.40","7,689,845.94","24,503,423.98","64,440,567.79","144,868,719.89","8,899,252.67","25,644,212.30","56,789,054.34","120,250,217.49","8,354,884.57","21,904,287.10","40,962,952.29","74,030,406.24","9,024,123.65"
管理费用,"74,353,540.46","108,294,726.35","171,907,923.09","127,012,243.97","281,945,245.08","78,787,956.18","146,094,544.12","248,824,786.73","403,633,512.19","121,393,482.05","260,704,503.20","409,968,962.89","643,905,876.23","197,763,464.16","334,856,593.09","505,139,329.02","705,267,458.63","205,403,660.39","388,266,345.68","571,561,569.49","828,077,849.00","208,150,542.33","415,835,283.26","658,500,899.89","969,908,236.95","257,380,169.80","512,785,694.39","855,015,796.23","1,288,541,155.39","332,858,776.94","789,917,562.17","1,268,350,821.15","1,781,080,184.44","685,346,509.17"
其中:非流动资产处置净损失,"197,351.92","3,927,534.68","1,580,074.50","49,700.60","926,096.46","1,459.47","2,871.33","1,299,502.00","2,228,245.30","11,454.29","28,286.98","28,286.98","4,520,581.34",,"919,716.07","919,716.07","3,248,037.62",,"2,768,581.73","5,697,024.00","53,259,751.08","1,534,913.75","7,748,657.23","29,825,620.63","85,017,816.64",,"12,076,474.10","27,462,322.04","68,554,122.33","3,382,737.37","8,799,415.99","15,495,167.94",,
