科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"9,083,557,742.24","6,958,249,583.60","9,597,311,249.90","5,030,142,136.28","4,832,236,581.62","7,932,866,658.21","8,373,640,674.95","4,910,548,112.40","6,067,753,801.02","5,336,097,429.12","7,151,465,686.04","5,851,218,726.68","4,701,582,685.27","3,608,537,463.48","4,298,281,849.06","7,835,315,250.13","9,998,868,132.72","12,341,675,002.94","11,493,528,588.54","11,618,604,912.48","8,906,791,266.64","10,594,051,206.88"
短期借款,"1,095,000,000.00","495,000,000.00","10,419,160,000.00","6,213,680,892.34","9,450,000,000.00","8,750,000,000.00","6,471,800,000.00","5,446,000,000.00","7,013,000,000.00","7,416,650,000.00","6,826,000,000.00","6,526,000,000.00","7,651,000,000.00","5,840,000,000.00","5,505,000,000.00","5,605,000,000.00","6,585,000,000.00","6,150,000,000.00","3,503,650,000.00","2,100,000,000.00","3,300,000,000.00","2,900,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,829,195,710.93","1,529,289,336.70","6,386,459,773.10","4,493,917,019.68","4,146,119,207.69","4,023,227,081.28","4,586,407,840.14","4,741,393,205.68","5,265,238,102.62","4,531,863,123.87","4,183,367,346.14","4,689,211,677.84","4,399,989,643.07","3,484,161,276.92","4,017,591,713.33","5,407,879,688.85","5,767,266,819.53","7,434,968,940.26","7,034,242,847.98","8,108,068,968.30","9,756,373,751.40","9,307,025,507.83"
应付票据,"557,102,570.06","569,663,998.09","2,495,387,085.08","1,245,885,905.78","815,104,427.83","789,591,582.66","1,562,776,920.36","1,744,169,860.27","1,379,967,660.59","1,307,086,632.16","2,571,416,808.00","2,818,663,207.21","1,555,840,201.50","1,343,231,641.16","1,206,033,555.39","2,350,723,826.96","2,894,662,901.28","4,211,858,350.17","3,069,376,143.97","3,063,669,830.77","4,598,755,823.24","3,367,406,528.87"
应收账款,"2,237,226,863.65","2,607,938,500.39","3,052,866,400.69","4,746,259,994.81","3,559,502,012.27","5,491,364,107.98","5,736,243,533.19","6,157,167,647.90","4,804,639,877.91","6,906,137,907.31","5,938,066,712.24","6,405,544,827.05","5,644,956,445.00","6,534,019,712.08","5,828,386,244.15","4,366,468,398.45","4,523,474,717.76","5,392,957,715.40","6,373,588,880.37","5,180,252,390.16","4,619,441,278.49","4,836,634,955.68"
应付账款,"5,716,002,881.10","6,840,524,061.95","9,111,613,020.54","7,200,483,339.34","9,309,855,422.07","8,188,108,089.75","8,547,311,466.94","9,364,165,184.89","10,769,197,263.99","11,383,592,253.21","10,161,510,021.54","10,213,065,243.32","11,481,602,608.51","11,145,336,059.23","9,119,644,340.68","8,970,658,838.40","8,943,767,582.45","8,831,857,306.68","8,858,559,204.47","8,573,147,024.80","8,812,702,040.49","8,556,531,334.05"
预付款项,"3,060,336,485.76","1,191,659,081.00","2,180,191,997.72","1,530,453,264.05","2,002,659,086.60","2,092,112,789.51","1,163,413,969.26","2,050,444,623.57","855,565,625.77","1,528,672,182.46","1,534,941,760.95","1,562,286,341.48","889,744,671.21","1,210,557,153.16","1,153,538,715.64","1,352,878,574.59","822,223,768.90","1,461,401,607.06","1,654,388,363.75","2,235,029,677.65","1,257,947,313.21","1,955,021,548.52"
预收款项,"2,183,336,814.04","2,094,057,832.95","1,871,972,067.17","1,395,192,008.50","2,157,387,152.59","1,778,602,266.44","1,067,469,665.69","1,230,404,552.68","874,832,103.90","892,849,772.63","958,240,076.95","1,125,716,024.61","787,923,758.03","906,437,913.89","1,092,907,528.40","2,378,536,260.75","1,793,358,602.75","2,668,156,799.42","2,266,857,584.99","3,863,676,000.02","2,943,400,964.41","3,238,297,215.44"
其他应收款,"196,075,427.13","216,175,392.45","248,550,783.94","323,450,238.80","209,913,281.06","374,778,167.56","275,857,103.09","252,777,290.78","249,889,452.19","303,269,581.69","292,440,356.23","316,113,563.15","272,518,057.88","364,417,743.08","514,878,757.23","330,990,763.98","505,522,961.31","596,174,031.57","223,815,282.45","378,853,383.07","135,782,298.88","175,827,251.37"
