科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"161,388,239.43","187,858,281.45","225,401,459.04","186,681,618.23","497,403,524.44","260,458,903.98","269,106,318.23","273,065,127.90","229,550,957.86","294,944,652.20","348,889,121.81","312,886,249.70"
短期借款,"40,000,000.00","40,000,000.00","19,600,000.00","19,600,000.00","19,600,000.00","19,600,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"26,253,962.71","26,976,625.28","35,423,523.43","23,510,351.03","30,218,491.33","25,295,774.19","44,371,036.23","21,337,862.39","16,971,225.13","15,866,252.51","33,855,558.40","13,676,049.12"
应付票据,"3,295,164.26",,,,,,,,,,,
应收账款,"85,548,611.05","88,242,477.32","90,692,377.55","93,197,623.81","111,970,952.46","120,828,868.71","90,065,023.48","89,870,953.66","109,335,190.98","109,522,163.68","87,455,937.38","102,538,881.63"
应付账款,"80,570,739.52","73,161,037.63","65,784,227.95","48,691,180.95","75,222,743.99","66,687,802.12","72,974,899.39","59,530,376.08","75,793,785.94","67,236,210.31","80,975,620.50","63,877,434.01"
预付款项,"1,695,463.92","1,453,378.88","1,618,182.02","2,404,454.21","2,833,572.25","1,347,655.85","1,307,151.13","2,297,404.61","1,244,264.64","2,192,724.03","1,651,131.90","3,798,939.78"
预收款项,"297,404.80","255,402.22","230,149.25","592,923.02","935,237.58","785,147.60","288,024.73","356,585.66","524,741.49","778,597.71","149,420.01","337,702.65"
其他应收款,"479,293.76","758,694.30","312,607.95","353,548.42","312,009.27","324,801.66","343,597.17","295,067.04","359,894.36","367,498.44","1,982,012.70","427,768.95"
应付职工薪酬,"9,807,760.61","12,755,003.86","13,894,811.89","9,648,378.98","9,741,035.57","11,464,316.54","16,129,912.05","11,347,037.07","12,729,975.47","14,301,729.82","19,102,938.73","15,447,628.09"
应收关联公司款,,,,,,,,,,,,
应交税费,"1,596,014.08","1,386,396.00","4,113,075.83","4,290,931.54","5,021,006.46","5,520,331.19","2,965,357.66","3,450,929.17","4,320,929.52","3,091,378.25","2,423,519.19","2,922,484.93"
应收利息,,,,,,,"2,881,972.00","4,687,674.05","6,515,608.99","440,657.53","2,411,949.49","586,520.55"
应付利息,"30,833.33","30,611.11","34,340.00","23,350.00","23,350.00","23,683.00",,,,,,
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
存货,"78,403,035.28","84,475,541.12","67,887,247.04","63,935,689.89","63,384,043.08","63,220,439.57","67,553,853.12","71,355,154.64","73,259,542.95","77,148,341.29","83,972,797.34","81,762,497.54"
其他应付款,"3,753,000.00","3,795,487.00","3,753,000.00","4,005,609.16","3,992,555.20","206,259.75","2,120,000.00","835,020.00","18,860.82","12,753,880.19","12,697,315.82","48,021.34"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,,,,,,"245,000,000.00","248,001,965.99","255,000,000.00","259,190,867.29","248,276,236.17","219,283,391.83","244,000,000.00"
其他流动负债,,,,,,,,,,,,
流动资产合计,"353,768,606.15","389,764,998.35","421,335,397.03","370,083,285.59","706,122,592.83","716,476,443.96","723,630,917.35","717,909,244.29","696,427,552.20","748,758,525.85","779,501,900.85","759,676,907.27"
流动负债合计,"139,350,916.60","131,383,937.82","107,409,604.92","86,852,373.65","114,535,928.80","104,287,540.20","94,478,193.83","75,519,947.98","93,388,293.24","98,161,796.28","115,348,814.25","82,633,271.02"
可供出售金融资产,,,,,,,,,,,,
长期借款,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,
专项应付款,,,"350,000.00","350,000.00","350,000.00",,"350,000.00","350,000.00","350,000.00",,,
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"80,123,910.68","80,725,665.03","71,941,829.14","72,529,401.99","114,702,808.80","111,971,910.13","113,933,500.30","111,257,454.62","111,991,556.61","114,210,227.17","122,700,030.60","120,637,884.94"
递延所得税负债,,,,,,,,,,,,
在建工程,,"25,033,733.73","35,757,038.23","37,876,018.23",,,,,"49,056.60","49,056.60","6,757,695.95","10,131,695.95"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,,,"350,000.00","350,000.00","350,000.00",,"350,000.00","350,000.00","350,000.00",,,
固定资产清理,,,,,,,,,,,,
负债合计,"139,350,916.60","131,383,937.82","107,759,604.92","87,202,373.65","114,885,928.80","104,287,540.20","94,828,193.83","75,869,947.98","93,738,293.24","98,161,796.28","115,348,814.25","82,633,271.02"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"111,110,000.00","111,110,000.00","111,110,000.00","111,110,000.00","148,160,000.00","148,160,000.00","148,160,000.00","148,160,000.00","148,160,000.00","148,160,000.00","148,960,000.00","148,160,000.00"
油气资产,,,,,,,,,,,,
资本公积,"21,650,000.00","21,650,000.00","21,650,000.00","21,650,000.00","275,931,382.67","275,931,382.67","275,931,382.67","275,931,382.67","275,931,382.67","275,931,382.67","289,582,227.67","277,702,227.67"
无形资产,"37,861,831.13","36,654,653.57","36,757,060.63","90,594,451.92","89,996,900.73","86,328,576.07","85,781,607.44","85,198,741.37","84,796,722.52","33,201,136.34","32,841,486.62","32,481,836.90"
盈余公积,"25,354,672.09","32,124,892.69","38,520,211.58","38,520,211.58","38,520,211.58","38,520,211.58","44,903,045.27","44,903,045.27","44,903,045.27","44,903,045.27","49,294,164.05","49,294,164.05"
开发支出,,,,,,,,,,,,
减:库存股,,,,,,,,,,,"12,680,000.00",
商誉,,,,,,,,,,,,
