科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"145,791,344.12","211,551,679.30","98,417,124.02","191,301,025.85","269,503,172.30","44,577,992.75","102,505,206.76","204,067,163.53","327,093,474.82","66,376,662.45","148,373,801.69","244,675,676.29","399,540,830.37","73,434,884.21","226,704,482.43","351,720,178.13","570,247,275.37","87,246,736.90","302,718,540.17","400,916,491.23","721,505,768.74","97,504,842.28","318,560,318.07","466,003,613.44","789,115,049.24","99,862,284.45","465,760,670.26","697,068,275.34","1,160,097,898.43","156,805,878.45","515,258,543.18","720,057,776.93","1,029,195,759.68","194,200,125.99","519,721,557.03","742,946,376.72","1,284,423,666.00"
二、营业利润,"14,414,061.61","19,660,491.94","8,455,314.94","20,998,962.09","25,772,771.43","3,694,327.28","10,817,068.10","24,200,732.12","35,563,186.92","5,620,193.82","15,289,171.78","19,917,175.01","34,457,294.65","5,922,301.16","10,974,121.11","24,453,865.60","33,940,435.98","5,170,837.36","5,913,961.62","11,896,948.85","9,589,006.29","3,790,215.63","4,905,715.28","8,432,711.49","21,223,274.47","1,722,413.71","8,020,602.35","14,310,482.65","71,617,206.38","12,256,385.22","15,274,916.41","16,136,626.00","60,770,338.41","25,814,401.39","34,686,801.48","34,550,171.00","123,267,884.12"
减:营业成本,"114,332,602.99","162,593,805.07","74,450,532.70","147,957,551.88","206,742,847.74","32,825,532.16","72,187,153.58","146,837,864.22","237,765,882.02","46,740,964.06","95,987,401.94","168,252,037.49","269,537,088.38","48,678,122.13","159,418,203.35","244,539,546.02","392,256,397.63","57,693,750.27","214,836,088.56","273,059,894.06","529,280,557.78","62,289,707.54","225,294,433.01","326,478,052.16","579,099,418.67","64,454,932.27","349,370,600.92","523,945,472.39","863,611,158.23","110,562,874.69","395,879,372.43","553,804,299.32","754,046,409.09","136,254,323.68","393,455,321.57","569,038,165.05","945,877,177.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"678,927.22","796,969.46","373,685.47",,"1,632,993.89","511,784.37","704,350.66","1,292,341.56","3,081,923.32","696,801.79","1,431,289.07","1,974,636.11","4,961,880.15","759,174.91","2,096,230.15","4,053,185.25","8,177,428.50","1,567,340.53","3,217,664.22","6,042,798.38","10,532,188.30","1,714,067.84","3,999,922.84","6,637,230.49","10,665,982.86","809,889.64","4,697,507.45","8,562,371.20","17,083,878.39","2,132,562.22","5,561,532.87","6,403,926.65","12,750,525.49","694,268.96","4,067,035.22","5,355,441.17","13,775,922.46"
营业外收入,"636,237.80","1,956,592.47","208,518.00","561,930.95","1,227,416.45","32,808.58","107,615.58","199,318.25","2,413,925.86","144,169.50","274,679.50","3,529,123.62","3,976,212.47","54,448.95","402,213.23","578,098.56","4,746,388.37","251,475.32","5,103,994.46","6,806,327.85","14,899,614.77","618,241.01","5,262,496.61","8,197,054.21","9,191,439.78","2,380,401.37","6,183,218.25","7,004,972.09","14,314,573.07","3,055,768.12","8,122,951.78","9,900,781.53","17,787,988.74","1,822,880.93","3,396,018.53","4,109,686.37","8,946,726.49"
销售费用,"4,519,904.30","10,540,505.53","4,730,308.36","7,565,264.66","11,189,792.82","2,441,375.42","5,926,297.61","9,860,563.77","14,569,223.17","3,989,570.83","11,876,425.87","19,385,653.97","32,729,443.81","4,461,173.58","18,268,181.31","30,455,985.23","48,370,632.35","6,060,889.76","27,524,304.86","39,725,338.75","61,675,926.21","11,246,285.22","26,093,105.50","42,273,562.61","72,096,435.89","12,888,800.17","34,602,418.25","55,138,476.28","79,571,832.26","16,396,089.51","36,639,815.80","61,633,517.25","83,898,124.23","12,128,214.07","35,551,853.76","54,113,562.90","72,039,018.24"
减:营业外支出,"85,547.69","659,275.88","74,616.55","42,490.24","253,529.52","117,658.23","441,147.24","531,053.07","1,111,640.64",,"71,998.00","371,998.00","1,224,932.92","4,000.22","59,971.49","350,596.93","740,019.54","251,502.38","861,243.62","1,164,239.06","2,048,884.32","899,571.88","1,627,941.60","2,196,832.47","3,424,458.13","182,434.00","315,985.27","542,302.01","852,752.24","1,036,586.93","529,530.88","560,620.76","4,091,800.28","774,005.91","1,050,286.52","1,065,403.63","1,311,338.77"
管理费用,"7,027,186.92","9,909,614.73","7,637,576.68","8,746,697.14","16,052,547.62","3,814,444.85","9,930,421.09","15,662,939.17","23,244,349.37","5,744,149.24","14,710,373.69","22,759,997.91","31,384,197.48","6,422,011.79","17,720,640.48","26,179,500.44","45,996,333.16","7,943,515.19","24,163,397.16","36,449,373.13","51,888,964.57","11,239,304.97","30,450,926.50","42,081,603.82","61,170,791.45","12,473,694.53","29,332,216.89","43,917,947.31","71,601,946.92","13,100,390.83","35,113,573.20","54,452,698.26","73,271,596.74","17,784,737.26","45,476,788.95","70,795,379.77","104,185,362.59"
其中:非流动资产处置净损失,,"4,826.77",,,,,,,,,,,,,,,"61,837.26",,,,,,,,"200,342.58",,"62,726.17",,"303,685.85",,"16,837.89",,"905,763.56",,,,
