科目,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"677,108,588.92","1,493,461,568.55","1,622,510,294.83","1,124,488,116.41","901,160,737.16","791,829,909.20","1,007,767,495.76","661,808,030.83","772,948,908.68","1,129,248,479.53","1,199,302,385.78","1,201,689,430.56"
短期借款,"1,619,780,156.87","910,000,000.00","908,899,200.00","400,000,000.00",,,"500,000,000.00","2,700,000,000.00","2,500,000,000.00","2,500,000,000.00","1,500,000,000.00","1,300,000,000.00"
交易性金融资产,,"21,930.00",,"84,507,994.66","83,738,385.71","148,351,536.13","175,630,710.27","132,915,984.40","109,000,107.73","115,763,145.84","47,735,018.84","31,778,438.12"
交易性金融负债,"758,810.00","11,800,200.00","2,610,840.00","78,120.00","18,335.00",,,"117,410.00",,,,
应收票据,,"80,000.00","100,000.00","250,000.00","150,000.00","50,000.00","50,000.00",,,,,
应付票据,,,,,,,,,,,,
应收账款,"59,571,178.94","180,764,045.96","188,408,462.59","209,429,972.05","258,621,083.48","143,846,113.17","217,624,983.48","233,093,231.83","253,101,957.65","172,570,169.37","255,542,024.70","488,111,024.84"
应付账款,"1,653,337,330.80","1,843,812,750.04","1,207,366,756.89","1,746,133,066.04","1,734,086,127.63","2,648,675,640.10","1,931,550,282.82","1,977,684,252.24","1,931,412,330.71","2,430,513,281.91","2,271,979,521.77","2,046,222,194.82"
预付款项,"133,001,913.90","92,231,127.22","192,627,174.79","113,043,026.15","80,702,533.64","106,973,316.88","164,771,874.73","185,017,485.80","194,979,114.73","142,118,655.60","145,124,536.62","167,532,849.07"
预收款项,"146,137,715.62","153,777,437.60","160,310,099.01","212,569,481.47","283,425,382.05","333,592,221.04","323,045,089.32","365,282,219.47","414,322,746.71","291,282,873.23","575,348,348.25","228,753,095.63"
其他应收款,"283,088,612.59","176,463,400.63","204,347,787.98","192,525,658.64","256,254,102.35","293,322,992.88","293,889,843.67","484,843,389.83","506,292,888.06","553,554,163.03","661,697,813.57","724,867,213.89"
应付职工薪酬,"481,836,241.56","1,058,743,591.52","336,181,893.11","506,616,874.65","530,839,118.98","2,000,960,475.44","1,747,605,889.69","493,601,118.36","579,385,137.50","1,587,376,315.44","465,252,773.16","510,468,891.77"
应收关联公司款,,,,,,,,,,,,
应交税费,"7,817,223.24","30,262,779.81","104,229,601.45","34,917,714.85","68,950,410.51","83,285,919.66","97,072,400.12","87,540,030.64","56,716,295.87","53,477,687.60","195,662,907.89","25,427,520.46"
应收利息,,"74,120.83",,,,,,,,,,
应付利息,"30,810,832.61","50,675,083.15","46,767,348.51","28,827,750.00",,,"741,935.48","10,855,824.38","36,919,623.68","62,836,642.36","70,069,559.04","99,484,659.72"
应收股利,,,,,,,,,,"79,600.00",,"1,177,024.26"
应付股利,"107,362.62","205,109.98","32,063,054.52","2,232,883.42","2,175,976,012.51","705,172.09","572,378.91","1,326,666.90","918,680.54","992,967.97","917,951.35","1,450,753.11"
存货,"8,463,490,855.03","8,894,806,592.51","8,962,714,270.17","9,134,798,099.07","9,896,657,835.38","10,547,508,833.20","10,440,698,710.56","10,387,258,676.10","10,919,156,173.91","11,328,456,483.67","11,955,839,718.64","11,854,281,713.60"
其他应付款,"3,479,238,172.88","4,001,675,437.71","4,049,265,088.43","4,219,997,028.45","4,431,197,273.34","4,767,708,768.58","4,829,679,310.92","4,991,130,876.87","5,142,335,760.80","5,107,899,218.39","5,068,816,318.49","6,416,520,397.72"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,"997,712,932.78","1,009,443,211.68","510,150,655.05","499,893,248.18",,,,,,"70,000,000.00","70,000,000.00","370,000,000.00"
其他流动资产,"3,764,795,656.98","5,070,251,396.91","4,983,761,030.68","5,725,112,395.86","7,742,332,082.40","6,414,092,744.69","6,320,255,754.76","3,004,512,098.97","4,414,418,602.52","6,232,029,847.64","5,020,577,678.50","2,482,532,192.88"
其他流动负债,"498,977,645.98","499,065,573.77","499,491,803.27",,,,,,,,,
流动资产合计,"13,381,056,806.36","15,908,154,182.61","16,154,469,021.04","16,584,155,262.84","19,219,616,760.12","18,445,975,446.15","18,620,689,373.23","15,089,448,897.76","17,169,897,753.28","19,673,820,544.68","19,285,819,176.65","16,951,969,887.22"
流动负债合计,"8,916,514,424.96","9,569,461,175.26","7,857,336,340.24","7,651,266,167.06","9,224,492,660.02","9,834,928,196.91","9,430,267,287.26","10,627,538,398.86","10,662,010,575.81","12,104,378,986.90","10,218,047,379.95","10,998,327,513.23"
可供出售金融资产,"1,503,275,859.76","2,113,508,095.62","2,950,064,454.39","4,037,824,182.67","3,746,447,957.50","4,303,852,185.79","4,537,397,647.50","4,388,452,419.11","5,483,241,205.66","5,497,916,851.83","6,179,087,500.88","5,514,297,832.59"
长期借款,,,,,,,,"1,000,000,000.00","1,000,000,000.00","895,000,000.00","1,895,000,000.00","1,560,000,000.00"
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,"496,025,806.45","496,223,439.21","2,481,196,056.96","2,481,750,448.09","2,482,794,502.70","2,483,568,866.83"
长期应收款,"51,410,330.56","31,662,253.18","30,134,997.66","28,579,414.63","7,938,400.00",,,,,,,
长期应付款,,"4,550,000.00","4,550,000.00","4,550,000.00","4,550,000.00","4,550,000.00","4,550,000.00","4,550,000.00","4,550,000.00",,,
长期股权投资,"256,462,786.57","368,792,996.14","421,055,722.70","370,881,075.18","410,495,250.35","658,729,448.20","887,309,280.82","707,115,147.92","890,166,630.47","671,065,753.63","621,036,500.15","510,998,340.46"
专项应付款,,,,,,,,"15,437,090.24","15,437,090.24",,,
投资性房地产,"76,909,271.87","34,249,060.52","34,094,373.83","33,228,491.12","33,738,775.82","47,599,192.32","46,934,220.93","46,269,249.54","45,604,278.15","42,106,179.97","41,441,208.58","40,776,237.19"
预计负债,,,,,,,,,,,,
