科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"29,222,424.16","62,422,844.12","36,731,054.30","52,806,787.91","52,931,697.09","56,225,589.20","61,099,042.19","31,997,014.77","33,738,979.98","85,754,384.52","63,735,324.70","40,077,975.01","51,213,460.89","63,505,118.33","75,917,595.35","38,055,264.35","84,361,621.55","70,104,365.92","64,597,247.20","38,221,508.36","57,903,427.08","61,890,150.08","56,913,230.32","41,161,459.08","82,850,393.73","85,416,249.47","96,209,398.99","34,457,779.04","96,712,075.00","77,197,398.57","92,359,810.63","46,900,104.24","64,132,106.35","75,606,289.69","60,913,910.81","43,254,420.20","63,455,518.99","67,054,726.76","71,801,739.35","38,438,197.53","73,016,919.65","76,013,857.44","78,454,010.63"
应付职工薪酬,"32,486,505.11","41,494,372.99","22,223,843.28","31,213,078.54","28,825,095.92","34,248,364.68","24,688,490.61","36,529,144.57","40,405,057.75","47,474,057.94","44,639,755.74","40,421,172.39","44,208,094.79","35,885,401.35","36,596,593.31","54,606,634.05","51,986,229.14","48,612,035.20","48,789,394.27","62,482,082.51","40,674,699.82","36,311,700.14","37,173,303.27","44,054,412.30","42,096,470.42","41,910,189.52","42,523,467.36","46,238,347.46","42,972,159.89","44,987,142.17","45,119,369.24","49,719,693.23","51,565,187.43","51,090,882.48","46,019,139.23","46,685,949.81","46,142,973.69","47,410,779.64","48,434,905.82","47,844,265.69","47,994,483.58","47,903,039.71","47,862,096.94"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,419,158.32","5,345,835.74","-3,164,941.04","12,272,315.51","7,667,997.71","1,963,169.52","-6,175,254.04","10,103,470.06","3,755,156.29","10,077,103.09","6,682,686.09","29,262,152.09","6,385,611.84","837,228.12","-4,699,990.30","50,054,787.30","9,271,035.40","3,885,031.80","3,648,040.89","47,405,482.20","-4,102,991.69","10,558,625.35","14,041,928.73","25,152,961.28","12,221,053.35","22,790,255.91","24,238,330.54","21,646,628.77","5,233,210.13","18,837,787.35","-5,490,875.38","36,594,098.93","11,212,938.13","15,963,901.05","7,890,772.86","27,870,531.52","2,729,237.62","14,416,215.47","-4,237,235.78","41,017,252.03","1,882,632.63","9,044,364.71","1,820,027.75"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,191.12","73,191.12",,
应付利息,,,,,,,,"11,185,883.17","913,962.75",,,"820,197.50","783,446.89","997,697.50","823,325.00","1,248,025.00","1,611,025.78","2,147,523.72","1,566,511.94","1,998,038.88","2,139,098.89","1,830,668.67","1,489,044.22","2,186,195.71","1,740,235.00","1,617,593.47","1,609,318.82","1,861,083.33","1,848,527.78","3,928,916.67","8,775,116.66","10,689,316.66","5,175,869.70","4,851,705.54","8,292,179.15","10,502,456.94","5,000,760.02","3,687,604.20","6,789,759.76","10,097,117.92","4,821,107.51","3,493,761.74","7,368,415.18"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,"5,381,723.34","4,171,884.75","5,381,723.34","5,381,723.34","5,381,723.34","5,381,723.34","1,163,440.64","2,696,706.74","1,187,235.47",,"763,876.01","763,876.01","763,876.01","763,876.01","3,132,221.11","1,774,904.65","4,537,155.08","4,537,155.08","7,537,362.33","4,775,111.90","11,817,860.29","12,426,599.78","8,949,914.76","5,988,854.97","10,443,438.44","12,230,716.23","10,447,566.83","8,461,992.54","9,103,767.76","15,196,491.78","14,836,491.78","11,773,446.65","15,540,569.68","11,346,237.22","10,986,237.22","9,337,690.04","4,737,324.04","4,737,324.04","8,799,504.04","9,185,529.90","4,896,679.90","4,896,679.90"
存货,"361,719,442.20","441,447,750.16","480,655,202.54","440,397,177.76","481,114,090.34","488,376,544.12","563,591,080.46","614,641,159.09","690,278,066.44","640,513,159.27","607,256,665.84","468,131,930.19","660,122,715.45","620,599,169.54","814,084,116.36","518,627,160.17","700,224,006.80","736,719,413.03","869,584,869.14","557,258,920.81","779,521,357.33","818,441,801.89","901,786,462.91","724,838,147.50","844,454,999.61","828,981,638.44","829,926,940.00","651,342,358.08","782,480,387.64","752,380,048.38","779,621,374.77","665,962,730.04","706,730,283.89","664,364,000.69","741,714,792.43","621,935,968.26","674,513,871.26","709,723,200.34","761,014,583.06","644,693,356.55","723,762,054.27","710,602,673.26","782,100,331.00"
其他应付款,"63,311,867.78","54,577,647.32","46,073,517.75","29,557,430.31","20,912,579.95","29,066,659.09","33,583,146.11","35,556,106.76","41,238,276.44","47,654,183.32","68,321,927.85","245,386,496.32","190,677,304.31","210,827,454.39","204,161,992.52","197,209,192.33","210,554,865.86","210,919,856.75","221,927,646.89","226,981,203.90","218,734,230.43","158,515,104.36","155,606,675.53","180,717,245.82","152,363,311.01","152,959,995.58","145,356,556.55","129,146,495.34","125,803,390.00","113,697,782.55","122,684,754.46","126,605,218.02","108,843,021.39","117,165,675.40","105,567,647.77","166,143,883.47","156,092,558.67","146,306,448.25","144,200,508.81","137,893,203.14","130,315,366.72","131,237,135.20","130,659,734.53"
