科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,346,369,937.27","1,608,075,937.11","1,609,645,134.02","1,190,456,131.21","1,651,507,189.22","321,180,475.30","696,614,043.81","1,013,572,645.07","1,310,099,359.63","337,337,581.63","771,575,568.58","1,220,159,486.68","1,242,443,627.00","476,236,950.68","967,333,740.01","1,476,973,470.75","2,376,879,851.55","772,328,696.83","1,270,956,792.43"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"51,468,197.25",,
收到的税费返还,,,,,,,,,,,,,,,"379,151.59","1,782,047.87","1,920,598.92","410,117.57","530,251.49"
支付其他与投资活动有关的现金,,,,"80,000,000.00","80,000,000.00",,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,467,967.42","13,526,716.38","1,831,648.09","1,969,168.40","11,971,195.54","103,121,553.90","3,324,213.03","10,629,341.79","6,663,699.85","119,335,972.72","120,778,439.75","174,679,972.68","40,533,103.79","166,658,466.69","198,257,831.93","247,904,313.72","558,846,477.34","109,768,800.12","310,556,668.77"
投资活动现金流出小计,"97,678,234.81","49,193,787.62","91,650,530.32","85,785,661.73","93,542,792.77","1,074,200.00","6,166,601.94","16,421,795.20","51,471,788.91","65,456,178.16","101,524,029.14","147,341,318.40","311,963,159.42","343,628,307.92","287,334,343.00","451,228,823.47","457,658,358.63","67,640,712.54","136,926,191.20"
经营活动现金流入小计,"1,348,837,904.69","1,621,602,653.49","1,611,476,782.11","1,192,425,299.61","1,663,478,384.76","424,302,029.20","699,938,256.84","1,024,201,986.86","1,316,763,059.48","456,673,554.35","892,354,008.33","1,394,839,459.36","1,282,976,730.79","642,895,417.37","1,165,970,723.53","1,726,659,832.34","2,937,646,927.81","882,507,614.52","1,582,043,712.69"
投资活动产生的现金流量净额,"-95,241,806.17","-46,421,633.13","-88,815,308.24","-84,015,845.41","-90,269,797.97","415,569.82","17,675.32","-8,869,515.40","-46,024,712.61","-64,310,362.40","-99,585,016.77","-142,199,608.06","-296,747,959.97","-338,574,631.41","-280,181,776.27","-437,527,716.30","-446,789,400.06","-49,303,546.32","-98,896,650.18"
购买商品、接受劳务支付的现金,"1,125,843,482.91","1,405,726,401.93","1,630,240,964.27","1,081,911,224.35","1,535,159,698.62","388,142,992.19","727,328,343.38","887,008,362.19","950,180,080.10","450,862,838.10","900,727,149.45","1,395,931,836.17","1,461,373,392.57","700,882,986.65","1,235,098,724.96","1,788,664,221.26","2,940,386,336.58","788,491,388.35","1,275,884,573.91"
吸收投资收到的现金,,,,,,"195,019,518.63","195,019,518.63","195,019,518.63","195,019,518.63",,,"1,124,314,121.84","1,124,314,121.84","79,696,500.00","118,996,500.00","118,996,500.00","65,384,778.00",,
支付给职工以及为职工支付的现金,"90,759,307.81","107,807,638.00","127,749,877.25","109,930,512.94","139,037,773.17","45,929,574.74","63,621,535.29","63,621,535.29","149,403,695.96","50,447,487.86","86,572,077.10","98,766,302.14","187,673,366.94","45,562,434.09","99,002,420.27","162,680,111.27","199,315,913.79","46,414,193.55","82,099,251.45"
取得借款收到的现金,"820,750,000.00","1,074,750,000.00","1,402,350,000.00","763,500,000.00","1,155,800,000.00","155,500,000.00","428,000,000.00","620,000,000.00","912,700,000.00","143,000,000.00","834,500,000.00","1,093,500,000.00","1,502,500,000.00","126,000,000.00","662,000,000.00","968,600,000.00","1,374,600,000.00","184,372,744.45","459,372,744.45"
支付的各项税费,"26,178,076.60","39,907,825.72","34,041,047.39","25,838,215.39","38,000,766.05","47,376,375.54","59,515,127.41","59,515,127.41","72,674,487.34","3,967,484.34","18,440,935.01","36,335,614.25","74,916,479.44","9,001,191.56","32,927,404.70","39,282,015.59","72,910,714.29","10,231,640.43","39,540,489.71"
收到其他与筹资活动有关的现金,"60,000,000.00","60,000,000.00",,,"120,000,000.00",,,,"30,000,000.00","250,000,000.00",,,"9,000,000.00","47,881,800.00","136,070,652.80","188,407,860.54","16,000,000.00","33,730,277.78","45,054,575.44"
支付其他与经营活动有关的现金,"26,438,765.04","30,955,149.53","33,922,431.79","32,953,121.71","40,037,013.36","123,263,804.75","41,457,061.04","92,571,786.25","32,615,381.47","19,646,526.88","94,033,468.59","168,186,227.05","105,408,090.34","63,787,629.17","117,096,087.14","168,616,907.69","383,565,389.52","166,399,044.28","179,107,664.66"
筹资活动现金流入小计,"880,750,000.00","1,134,750,000.00","1,402,350,000.00","763,500,000.00","1,275,800,000.00","350,519,518.63","623,019,518.63","815,019,518.63","1,137,719,518.63","393,000,000.00","834,500,000.00","2,217,814,121.84","2,635,814,121.84","253,578,300.00","917,067,152.80","1,276,004,360.54","1,455,984,778.00","218,103,022.23","504,427,319.89"
经营活动现金流出小计,"1,269,219,632.36","1,584,397,015.18","1,825,954,320.70","1,250,633,074.39","1,752,235,251.20","604,712,747.22","891,922,067.12","1,102,716,811.14","1,204,873,644.87","524,924,337.18","1,099,773,630.15","1,699,219,979.61","1,829,371,329.29","819,234,241.47","1,484,124,637.07","2,159,243,255.81","3,596,178,354.18","1,011,536,266.61","1,576,631,979.73"
偿还债务支付的现金,"617,390,000.00","867,360,000.00","1,176,600,000.00","824,000,000.00","1,180,000,000.00","150,003,780.82","424,400,000.00","681,281,132.17","1,090,000,000.00","157,758,306.44","392,904,520.17","705,276,399.35","931,500,000.00","53,126,788.03","525,815,864.76","667,900,909.33","569,270,000.00","117,430,000.00","392,902,925.00"
经营活动产生的现金流量净额,"79,618,272.33","37,205,638.31","-214,477,538.59","-58,207,774.78","-88,756,866.44","-180,410,718.02","-191,983,810.28","-78,514,824.28","111,889,414.61","-68,250,782.83","-207,419,621.82","-304,380,520.25","-546,394,598.50","-176,338,824.10","-318,153,913.54","-432,583,423.47","-658,531,426.37","-129,028,652.09","5,411,732.96"
分配股利、利润或偿还利息支付的现金,"52,244,220.83","61,067,642.97","67,346,692.73","55,465,766.09","73,578,741.07","17,386,401.23","39,544,727.57","59,008,604.58","71,205,704.44","13,230,519.52","31,657,738.08","54,623,838.88","81,606,510.35","20,876,878.31","46,262,793.89","87,096,406.09","123,466,461.83","28,411,311.29","42,609,816.90"
收回投资收到的现金,,,,,,,,,,,,"50,000.00","50,000.00",,,,,"17,300,000.00","35,300,000.00"
支付其他与筹资活动有关的现金,"44,716,712.04","43,435,347.00","29,130,003.43","4,584,093.00","21,722,298.13","341,448.28","22,527,667.00","29,781,134.07","45,516,410.00","173,500.00","58,964,266.39","73,738,732.37","77,096,943.88","27,817,895.23","32,622,035.50","32,884,243.83","46,298,204.90",,"16,646,575.34"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"163,331.51","177,631.78","393,541.38"
筹资活动现金流出小计,"714,350,932.87","971,862,989.97","1,273,076,696.16","884,049,859.09","1,275,301,039.20","167,731,630.33","486,472,394.57","770,070,870.82","1,206,722,114.44","171,162,325.96","483,526,524.64","833,638,970.60","1,090,203,454.23","101,821,561.57","604,700,694.15","787,881,559.25","739,034,666.73","145,841,311.29","452,159,317.24"
处置固定资产、无形资产和其他长期资产收回的现金净额,"191,140.00","313,400.00","161,764.00","1,027.35","3,202.58",,"3,405,293.96","3,405,293.96","158,412.21","20,000.00","30,000.00","30,170.00","405,995.25","607,700.00","611,096.00","5,162,310.92","6,005,627.06","20,000.00","263,608.00"
筹资活动产生的现金流量净额,"166,399,067.13","162,887,010.03","129,273,303.84","-120,549,859.09","498,960.80","182,787,888.30","136,547,124.06","44,948,647.81","-69,002,595.81","221,837,674.04","350,973,475.36","1,384,175,151.24","1,545,610,667.61","151,756,738.43","312,366,458.65","488,122,801.29","716,950,111.27","72,261,710.94","52,268,002.65"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-6,789.79",-99.74,"-1,327.44",-773.64,773.42,773.42,,,2.47,,,,,,,,"-14,585.33",,
收到其他与投资活动有关的现金,"2,245,288.64","2,458,754.49","2,673,458.08","1,768,788.97","3,269,792.22","1,489,769.82","2,778,983.30","4,146,985.84","5,288,664.09","1,125,815.76","1,909,012.37","5,061,540.34","14,759,204.20","4,445,976.51","6,541,470.73","8,538,796.25","4,700,000.00","839,534.44","2,072,391.64"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,436,428.64","2,772,154.49","2,835,222.08","1,769,816.32","3,272,994.80","1,489,769.82","6,184,277.26","7,552,279.80","5,447,076.30","1,145,815.76","1,939,012.37","5,141,710.34","15,215,199.45","5,053,676.51","7,152,566.73","13,701,107.17","10,868,958.57","18,337,166.22","38,029,541.02"
五、现金及现金等价物净增加额,"150,768,743.50","153,670,915.47","-174,020,870.43","-262,774,252.92","-178,526,930.19","2,793,513.52","-55,419,010.90","-42,435,691.87","-3,137,891.34","89,276,528.81","43,968,836.77","937,595,022.93","702,468,109.14","-363,156,717.08","-285,969,231.16","-381,988,338.48","-388,385,300.49","-106,070,487.47","-41,216,914.57"
购建固定资产、无形资产和其他长期资产支付的现金,"97,678,234.81","49,143,787.62","91,650,530.32","5,785,661.73","13,542,792.77","1,074,200.00","6,166,601.94","16,421,795.20","51,471,788.91","65,456,178.16","101,524,029.14","147,341,318.40","311,963,159.42","343,628,307.92","239,184,343.00","403,078,823.47","388,890,161.38","49,640,712.54","111,926,191.20"
期初现金及现金等价物余额,"197,815,553.71","348,584,297.21","502,255,212.68","328,234,342.25","328,234,342.25","149,707,412.06","149,707,412.06","149,707,412.06","149,707,412.06","146,569,520.72","146,569,520.72","146,569,520.72","146,569,520.72","850,237,629.86","850,237,629.86","850,237,629.86","849,037,629.86","555,053,284.75","460,652,329.37"
投资支付的现金,,"50,000.00",,,,,,,,,,,,,"48,150,000.00","48,150,000.00","17,300,000.00","18,000,000.00","25,000,000.00"
期末现金及现金等价物余额,"348,584,297.21","502,255,212.68","328,234,342.25","65,460,089.33","149,707,412.06","152,500,925.58","94,288,401.16","107,271,720.19","146,569,520.72","235,846,049.53","190,538,357.49","1,084,164,543.65","849,037,629.86","487,080,912.78","564,268,398.70","468,249,291.38","460,652,329.37","448,982,797.28","419,435,414.80"
