科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"125,583,236.43","108,491,670.95","95,842,603.17","415,469,965.52","169,925,703.28","306,842,162.71"
短期借款,"312,833,542.81","284,676,132.38","205,136,559.94","208,000,985.97","227,815,726.15","303,783,945.72"
交易性金融资产,,,,,,
交易性金融负债,,,,,,
应收票据,"15,112,684.52","42,152,692.92","49,158,361.31","59,134,971.97","59,566,044.09","95,980,800.23"
应付票据,"27,500,000.00","34,100,000.00","87,370,177.43","74,247,552.43","84,431,228.72","81,282,685.42"
应收账款,"87,077,886.37","64,959,596.92","76,743,933.58","98,703,057.83","85,157,367.81","131,358,989.67"
应付账款,"112,352,547.81","123,565,100.02","64,256,354.33","55,939,147.64","43,200,621.91","55,708,208.31"
预付款项,"29,283,655.11","17,405,901.08","14,962,788.23","7,403,957.79","3,428,313.96","6,731,671.61"
预收款项,"15,691,516.76","8,531,900.14","8,876,119.83","30,676,210.49","16,741,532.95","27,321,033.47"
其他应收款,"1,035,308.39","468,795.63","2,338,566.68","2,609,354.42","2,078,700.53","2,485,165.79"
应付职工薪酬,"4,995,053.92","6,348,704.34","7,108,888.49","4,558,145.99","5,560,670.48","7,282,315.28"
应收关联公司款,,,,,,
应交税费,"8,549,419.97","11,781,090.53","15,997,456.00","18,600,226.30","28,906,895.33","27,825,102.34"
应收利息,,,,,,
应付利息,"471,281.85","778,761.51","218,140.63","310,511.58","313,449.00","393,141.04"
应收股利,,,,,,
应付股利,,,,,,
存货,"283,803,503.14","303,591,463.19","266,939,114.15","314,581,526.03","534,998,522.00","699,276,872.04"
其他应付款,"982,772.73","2,049,284.27","1,095,100.02","1,617,589.95","1,511,451.37","1,733,650.10"
其中:消耗性生物资产,,,,,,
应付关联公司款,,,,,,
一年内到期的非流动资产,"55,101.64","324,705.98","1,040,550.00","776,164.42","508,066.59","248,864.04"
一年内到期的非流动负债,"11,383,817.74","383,817.74","383,817.74","287,863.31","191,908.86","95,954.43"
其他流动资产,"21,093,472.31","24,331,386.91","23,480,811.17","24,589,769.20","174,851,420.06","76,764,221.01"
其他流动负债,,,,,,
流动资产合计,"563,044,847.91","561,726,213.58","530,506,728.29","923,268,767.18","1,030,514,138.32","1,319,688,747.10"
流动负债合计,"494,759,953.59","472,214,790.93","390,442,614.41","394,238,233.66","408,673,484.77","505,426,036.11"
可供出售金融资产,,,,,,
长期借款,,,,,,
持有至到期投资,,,,,,
应付债券,,,,,,
长期应收款,,,,,,
长期应付款,,,,,,
长期股权投资,,,,,,
专项应付款,,,,,,
投资性房地产,,,,,,
预计负债,,,,,,
固定资产,"167,983,231.45","198,824,454.13","214,148,327.46","232,658,370.84","229,220,463.25","227,531,367.22"
递延所得税负债,"20,429,851.75","28,511,048.29","35,673,720.78","48,131,211.15","68,550,729.53","105,600,454.96"
在建工程,"7,940,172.85","8,310,630.72","19,984,097.94","2,283,040.15","4,006,022.26","11,857,213.74"
其他非流动负债,,,,,,
工程物资,,,,,,
非流动负债合计,"24,809,536.16","32,506,914.96","39,285,769.71","51,743,260.08","72,162,778.46","109,212,503.89"
固定资产清理,,,,,,
负债合计,"519,569,489.75","504,721,705.89","429,728,384.12","445,981,493.74","480,836,263.23","614,638,540.00"
生产性生物资产,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00"
油气资产,,,,,,
资本公积,"134,536,622.89","134,536,622.89","134,536,622.89","432,781,668.96","432,781,668.96","432,781,668.96"
无形资产,"9,149,475.96","9,140,303.38","10,586,166.70","10,483,879.39","11,929,116.51","13,122,618.06"
盈余公积,"721,621.08","1,033,200.53","1,981,385.88","1,981,385.88","1,981,385.88","1,981,385.88"
开发支出,,,,,,
减:库存股,,,,,,
商誉,,,,,,
未分配利润,"32,130,908.93","60,209,200.73","125,835,977.93","175,558,208.75","261,779,928.85","437,623,631.56"
长期待摊费用,,"1,190,588.57","3,709,547.43","3,689,387.43","3,622,597.39","3,549,069.53"
少数股东权益,,,,,,
递延所得税资产,"16,235,365.79","12,248,427.64","3,980,521.44","3,800,795.43","9,420,887.28","10,658,314.19"
外币报表折算价差,,,,,,
其他非流动资产,"1,363,897.00","908,700.00","20,539,700.00","20,000,000.00","20,000,000.00","20,000,000.00"
非正常经营项目收益调整,,,,,,
非流动资产合计,"202,672,143.05","230,623,104.44","272,948,360.97","272,915,473.24","278,199,086.69","286,718,582.74"
所有者权益(或股东权益)合计,"246,147,501.21","287,627,612.13","373,726,705.14","750,202,746.68","827,876,961.78","991,768,789.84"
资产总计,"765,716,990.96","792,349,318.02","803,455,089.26","1,196,184,240.42","1,308,713,225.01","1,606,407,329.84"
负债和所有者(或股东权益)合计,"765,716,990.96","792,349,318.02","803,455,089.26","1,196,184,240.42","1,308,713,225.01","1,606,407,329.84"
