科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"274,929,946.35","359,501,425.80","429,854,967.41","601,812,922.93","275,399,905.24","340,025,145.13","391,267,795.15","581,132,482.50","304,872,265.04","360,381,206.34","430,897,038.18","626,860,984.95","318,973,690.39","393,393,289.23","464,397,714.43","667,233,864.40","294,827,103.63","362,877,972.20","665,332,643.72","337,898,713.49","391,700,265.39","423,540,686.69","670,373,796.51","338,807,616.40","384,808,180.91","397,009,885.23","674,500,240.57","362,246,562.97","407,859,191.32","429,525,962.17","694,425,231.59","380,095,690.07","437,216,141.97","455,643,009.93","684,373,986.22","358,708,727.98","393,994,807.97","436,537,072.44","707,391,860.23","432,472,716.15","489,067,793.38","518,389,574.74","782,018,705.22","441,484,016.80"
二、营业利润,"60,027,103.77","39,684,118.84","6,407,022.05","28,075,890.97","48,971,292.03","17,934,523.65","-21,429,109.70","-8,727,361.77","61,500,628.19","21,596,677.08","-20,582,937.55","-15,747,249.30","61,786,689.68","27,738,374.35","-20,756,202.45","-11,117,428.05","42,806,425.49","3,702,967.56","-35,396,015.00","53,011,642.64","-3,161,458.86","-50,199,235.11","-19,409,252.38","46,462,037.05","10,516,343.10","-49,311,148.95","-10,077,327.93","56,750,744.22","23,974,432.16","-27,438,342.04","5,477,063.34","100,530,415.05","41,892,203.59","-12,899,807.56","23,706,807.91","110,495,572.59","35,578,966.01","-15,278,171.20","-21,748,597.09","76,431,946.05","21,999,216.49","-24,133,133.44","5,038,568.95","72,054,729.35"
减:营业成本,"179,772,197.84","267,650,845.63","350,746,667.23","479,105,092.39","185,534,484.48","260,499,210.06","330,828,604.86","479,570,375.24","203,307,786.38","276,084,635.01","364,913,822.26","529,172,007.50","213,532,984.78","298,701,521.61","397,239,700.81","563,028,769.30","215,175,371.40","300,924,322.95","595,361,479.98","244,752,564.21","335,622,129.00","395,488,496.52","582,551,390.39","250,552,595.31","313,255,089.03","355,514,769.66","569,527,936.38","248,598,944.36","315,811,083.74","362,001,624.93","549,090,286.72","234,897,724.56","319,778,315.51","368,793,729.70","542,048,875.47","221,815,980.51","285,912,992.12","353,775,031.69","587,195,727.76","323,804,898.65","418,546,980.33","483,582,274.44","692,084,698.61","337,649,561.74"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,142,918.25","2,722,601.90","3,027,251.29","4,033,030.10","1,963,554.06","2,300,730.42","2,513,569.39","3,952,076.67","1,772,418.74","1,612,540.35","1,612,540.35","2,320,389.24","2,064,176.20","2,135,729.19","2,135,729.19","2,136,065.54","1,229,341.15","1,534,257.98","1,911,040.95","2,402,189.33","2,402,189.33","2,402,189.33","2,403,029.33","854,675.60","882,401.22","893,204.14","893,204.14","2,237,525.89","2,237,553.58","2,237,846.53","2,935,507.56","2,167,388.41","2,167,395.40","2,167,395.40","2,324,835.90","2,442,169.06","2,459,709.54","1,729,814.90","4,796,444.43","2,793,890.78","3,906,251.95","5,021,613.45","5,768,779.84","1,957,845.52"
营业外收入,"282,113.73","398,956.44","543,995.13","8,809,345.16","182,466.59","251,794.01","733,211.19","26,383,595.10","174,210.87","307,779.53","475,633.14","33,221,590.00","326,642.27","558,523.79","3,017,510.25","30,117,796.42","114,272.64","187,849.45","2,180,999.80","109,906.29","167,205.59","212,597.18","24,390,913.19","97,782.36","316,769.93","940,098.17","15,982,287.47","151,249.15","318,596.58","634,840.19","7,628,875.87","146,334.47","282,554.64","458,650.14","846,504.54","115,743.70","242,400.26","381,197.41","45,536,314.13","129,462.80","1,175,464.12","1,217,296.77","8,471,557.86","169,036.57"
销售费用,"1,040,238.68",,,"769,410.28","102,489.72","172,828.64","198,612.26","486,808.28","40,832.07","69,367.14","102,156.12","148,440.82","128,297.05","157,958.50","245,090.45","322,338.55","32,736.95","64,383.10","592,755.55","172,601.10","207,086.30","703,202.81","787,976.51","48,443.30","548,110.70","807,037.50","902,885.01","80,189.34","180,044.33","374,634.41","1,447,611.10","196,920.35","380,570.98","616,519.09","1,092,944.52","410,577.35","745,113.73","1,077,719.41","1,446,067.54","427,201.11","865,040.77","1,543,137.50","2,215,178.25","835,536.88"
减:营业外支出,"132,812.73","187,562.73","310,748.69","702,801.47","13,775.24","27,168.82","86,713.59","171,730.26","23,549.28","79,523.70","97,803.07","127,369.02","33,813.29","122,916.15","167,521.84","558,268.93","6,144.36","23,325.38","157,481.82","5,415.17","35,459.52","51,401.15","2,848,833.57","4,738.17","67,829.51","191,335.35","1,060,715.63","6,469.53","88,241.83","448,818.71","4,171,920.26","209,207.11","3,330,965.39","4,039,703.96","8,490,996.74","120,375.84","841,088.61","3,001,226.66","5,496,071.37","255,662.41","457,111.96","1,396,842.99","4,498,593.27","240,696.94"
管理费用,"20,279,843.59","33,344,229.25","41,791,107.19","51,627,418.57","18,137,789.36","26,530,441.82","30,990,329.88","46,625,056.58","19,652,174.95","29,667,118.82","39,037,850.37","56,897,170.24","21,038,794.30","35,255,779.42","46,352,041.56","67,642,124.73","17,837,464.31","31,744,820.55","60,500,201.63","18,815,316.46","31,930,975.85","40,254,168.57","59,910,176.81","21,865,962.76","37,555,694.25","57,443,163.01","79,638,346.27","31,749,635.79","51,057,208.46","74,405,858.23","117,891,098.80","34,471,806.35","65,194,102.71","87,829,653.01","105,120,574.99","21,127,095.50","66,630,764.84","95,494,690.24","112,160,423.63","28,088,723.20","44,654,882.84","61,273,748.04","84,376,656.64","26,372,667.81"
其中:非流动资产处置净损失,,,,"153,154.12",,,,,,,,,,,,"323,043.91",,,"67,740.84",,,,"5,901.37",,,,"806,906.97",,"67,119.70","365,142.17","3,342,122.95","52,000.00","52,000.00","52,000.00","4,375,261.09","105,647.50","111,253.75","454,425.34","956,911.86","10,637.37","10,637.12",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
