科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"259,470,564.30","278,433,844.92","280,454,804.15","58,453,343.29","122,837,601.57","189,132,729.92","273,393,736.76","78,055,878.02","258,028,805.02","473,116,849.61","398,746,446.20","166,242,202.89","398,857,521.40","659,532,032.61","737,097,196.79","240,768,266.13","526,724,570.77"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"222,519,221.70","238,677,357.17","238,952,590.92","-2,850,387.68","58,309,857.76","97,166,372.83","229,583,216.62",,"32,787,312.40"
收到的税费返还,"116,726.30","182,787.28","90,488.90",,,"177,401.41","161,744.56",,"225,853.26","1,230,859.02","225,853.26","428,907.86","2,245,727.63","3,611,314.44","5,241,552.63","1,593,042.24","4,170,686.73"
支付其他与投资活动有关的现金,,,,,,,,,,,,,"316,268.56","316,268.56",,"597,476.20","10,000,000.00"
收到其他与经营活动有关的现金,"7,733,521.72","4,588,685.06","5,127,521.57","159,770.07","765,950.46","2,705,398.72","4,787,511.32","1,376,798.82","2,123,011.82","13,018,405.54","5,340,261.10","6,375,169.55","9,763,716.94","17,361,879.15","35,497,168.71","1,980,338.36","5,606,014.35"
投资活动现金流出小计,"54,562,774.22","55,754,818.53","38,791,740.98","8,520,370.22","15,861,199.76","33,862,907.01","62,904,273.43","18,316,555.42","266,771,796.89","313,990,756.47","367,880,523.84","75,468,375.33","291,528,079.57","471,687,294.51","537,458,120.15","47,142,271.16","171,939,341.17"
经营活动现金流入小计,"267,320,812.32","283,205,317.26","285,672,814.62","58,613,113.36","123,603,552.03","192,015,530.05","278,342,992.64","79,432,676.84","260,377,670.10","487,366,114.17","404,312,560.56","173,046,280.30","410,866,965.97","680,505,226.20","777,835,918.13","244,341,646.73","536,501,271.85"
投资活动产生的现金流量净额,"-51,642,774.22","-49,167,377.51","-35,271,740.98","-8,520,370.22","-15,861,199.76","-33,862,907.01","-62,904,273.43","-18,316,555.42","-266,294,270.37","-312,940,596.35","-361,582,091.75","-75,468,375.33","-287,860,079.57","-465,825,520.51","-530,587,572.25","-46,922,271.16","-161,290,307.65"
购买商品、接受劳务支付的现金,"158,130,539.22","169,419,513.11","172,865,160.89","45,142,003.95","78,673,205.93","118,663,316.53","172,996,096.34","48,582,008.94","156,598,179.39","318,478,525.14","156,677,963.72","77,465,319.71","166,917,417.43","277,709,549.87","223,342,726.86","95,917,781.83","211,858,211.67"
吸收投资收到的现金,,,"840,000.00",,"184,187,200.00","184,187,200.00","184,187,200.00",,"372,022,700.00","372,022,700.00","372,322,700.00","135,610,000.00","135,610,000.00","137,570,000.00","137,870,000.00",,"4,470,000.00"
支付给职工以及为职工支付的现金,"23,928,055.73","32,096,884.14","36,212,199.28","8,341,520.50","18,306,680.20","28,964,139.41","39,604,010.96","10,217,534.90","30,113,998.25","54,824,314.39","83,124,575.60","38,700,278.97","78,714,580.27","124,077,005.77","170,891,739.21","62,098,490.68","117,542,652.55"
取得借款收到的现金,"170,000,000.00","75,000,000.00","94,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","80,000,000.00","20,000,000.00","32,000,000.00","52,000,000.00","152,000,000.00","78,000,000.00","277,300,000.00","437,800,000.00","542,800,235.29","130,000,000.00","404,050,000.00"
支付的各项税费,"20,109,187.13","22,029,728.25","21,368,915.24","8,222,861.05","14,392,480.64","20,339,094.65","22,680,707.06","2,855,482.72","8,197,109.93","22,169,086.33","40,794,233.48","16,339,718.10","39,901,689.93","65,960,305.29","92,516,109.18","21,238,873.90","51,005,448.79"
收到其他与筹资活动有关的现金,,,,,,,,,,,"1,217,000.00","2,000,000.00","2,000,000.00","2,000,000.00","4,000,000.00","5,400,000.00","5,400,000.00"
支付其他与经营活动有关的现金,"15,689,336.72","13,117,655.74","11,329,225.67","2,116,429.63","5,480,914.15","10,842,900.36","14,325,996.03","5,299,774.04","14,655,757.83","34,978,674.99","41,720,162.08","22,571,229.41","52,066,496.86","78,292,196.40","69,418,955.79","47,034,567.69","74,134,481.82"
筹资活动现金流入小计,"170,000,000.00","75,000,000.00","94,840,000.00","5,000,000.00","189,187,200.00","189,187,200.00","264,187,200.00","20,000,000.00","404,022,700.00","424,022,700.00","525,539,700.00","215,610,000.00","414,910,000.00","577,370,000.00","684,670,235.29","135,400,000.00","413,920,000.00"
经营活动现金流出小计,"217,857,118.80","236,663,781.24","241,775,501.08","63,822,815.13","116,853,280.92","178,809,450.95","249,606,810.39","66,954,800.60","209,565,045.40","430,450,600.85","322,316,934.88","155,076,546.19","337,600,184.49","546,039,057.33","556,169,531.04","226,289,714.10","454,540,794.83"
偿还债务支付的现金,"157,945,985.38","57,350,000.00","76,000,000.00","5,000,000.00","101,000,000.00","136,000,000.00","141,000,000.00","15,000,000.00","44,000,000.00","119,320,000.00","188,000,000.00","32,000,000.00","107,732,941.77","196,072,123.50","219,747,558.54","108,120,892.14","255,200,079.53"
