科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"32,368,993,286.27","29,948,238,112.03","30,315,654,692.23",,"13,645,209,725.53","21,318,477,168.00","35,553,849,252.16","8,110,740,405.30","15,405,731,508.25","23,450,095,362.82","38,728,957,187.16","11,103,274,599.93"
取得子公司及其他营业单位支付的现金净额,,"9,618,016.29","9,800,000.00",,,,,,,,,
收到的税费返还,"7,689,124.18","9,516,477.76","17,653,277.20",,"13,461,252.25","18,554,866.43","29,190,040.40","6,675,144.41","16,811,102.64","19,330,132.73","24,506,102.69","3,151,978.57"
支付其他与投资活动有关的现金,,,"113,003,041.67",,"85,768,480.97","93,500,000.00","370,825,957.96","439,984.35","2,246,571.03","4,295,365.38","223,802,982.40","28,205,776.23"
收到其他与经营活动有关的现金,"1,980,553,080.62","2,084,623,861.97","1,683,222,842.65",,"854,656,031.38","2,152,058,542.00","2,389,044,189.05","677,898,029.57","1,478,256,645.77","2,658,354,398.99","3,394,472,777.97","1,769,128,282.46"
投资活动现金流出小计,"959,878,612.44","1,422,962,872.74","2,314,260,755.77",,"1,268,606,702.75","1,848,367,908.40","2,905,381,497.78","609,651,688.24","1,104,630,026.98","1,683,485,076.82","5,165,591,809.82","1,205,043,578.03"
经营活动现金流入小计,"34,357,235,491.07","32,042,378,451.76","34,098,049,486.26",,"14,280,397,055.41","27,186,570,917.00","37,663,109,575.14","9,048,389,399.31","17,537,627,190.27","28,461,508,097.52","44,051,494,411.09","12,250,235,042.66"
投资活动产生的现金流量净额,"-860,665,980.10","-973,916,945.27","-566,663,560.12","-555,773,200.00","-607,292,883.01","-873,051,057.68","-1,373,140,433.37","-435,860,993.68","723,857,308.16","415,034,963.06","-2,698,569,745.41","-708,879,971.37"
购买商品、接受劳务支付的现金,"26,036,805,243.18","24,261,524,235.11","23,585,144,823.93",,"13,657,409,104.73","19,436,893,360.00","27,866,609,837.16","9,362,330,229.26","15,655,981,674.22","22,360,972,873.90","29,891,139,745.56","11,975,427,941.99"
吸收投资收到的现金,"166,900,000.00","14,409,732.30","125,555,310.11",,"1,859,235,700.00","1,872,860,700.00","1,897,860,700.00","9,000,000.00","71,410,099.57","152,310,099.57","352,469,938.79","7,062,500.00"
