科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
销售商品、提供劳务收到的现金,"669,544,999.17","1,452,159,476.76","2,210,529,774.39","3,206,594,596.35","802,973,458.52","1,739,503,964.70","2,643,344,474.41","3,515,133,505.70","821,251,446.40","1,786,002,852.63","2,778,766,588.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"5,127,701.60","11,228,567.54","16,621,021.87","17,941,613.10","5,754,524.40","7,305,580.79","8,801,557.43","8,847,015.02","5,721,982.10","7,833,676.92","12,610,107.38"
支付其他与投资活动有关的现金,"506,401.95",,,,,,,"11,576,292.71","128,488,843.99",,
收到其他与经营活动有关的现金,"52,552,814.88","87,260,804.28","134,972,299.28","91,802,937.01","31,812,344.76","40,927,058.23","42,564,901.83","69,632,233.26","58,315,762.04","29,676,339.97","102,054,234.82"
投资活动现金流出小计,"50,433,391.78","101,248,463.26","141,407,486.82","179,916,592.97","17,806,579.84","68,947,750.74","102,451,617.82","122,915,327.17","148,502,680.08","46,929,683.54","83,063,948.00"
经营活动现金流入小计,"727,225,515.65","1,550,648,848.58","2,362,123,095.54","3,316,339,146.46","840,540,327.68","1,787,736,603.72","2,694,710,933.67","3,593,612,753.98","885,289,190.54","1,823,512,869.52","2,893,430,930.82"
投资活动产生的现金流量净额,"-32,873,758.89","-47,313,271.13","-51,406,129.04","-41,773,145.67","27,632,939.98","-2,133,441.54","889,815.63","3,215,636.44","925,609,214.57","899,846,752.00","779,053,988.44"
购买商品、接受劳务支付的现金,"544,403,130.47","1,109,276,241.12","1,646,450,151.91","2,300,642,054.55","576,951,234.61","1,192,921,906.97","1,788,725,529.45","2,327,782,896.87","559,689,614.93","1,178,823,400.43","1,851,478,614.62"
吸收投资收到的现金,"28,890,400.00","28,890,400.00","28,890,400.00","28,890,400.00",,,,,,,"98,825,673.07"
