科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"2,104,370.01","5,789,072.12","8,264,644.79","15,058,683.65","5,576,408.51","8,632,821.21","11,046,563.15","22,882,701.27","6,396,986.03","13,668,878.24","16,254,338.78","30,072,240.11","3,901,708.61","7,473,941.22","13,535,351.42","32,268,453.13","3,857,294.60","13,573,596.86","17,728,992.06","38,503,451.56","5,179,082.40","13,225,195.02","24,914,074.72","46,716,227.92","6,797,802.05","19,449,477.76","23,668,118.27","50,827,814.18","6,899,505.23","16,408,063.75","30,064,196.15","56,038,814.32","6,315,924.26","13,181,888.24","19,912,447.99","51,737,804.20","3,865,162.78","17,648,121.13","26,616,663.86","54,229,631.21","4,081,300.22","25,402,397.22","22,857,386.53","289,805,741.87","54,247,357.01","120,072,723.13","183,878,373.32","311,674,049.11","49,185,397.54"
取得借款收到的现金,,"100,000,000.00","100,000,000.00","100,000,000.00",,"55,000,000.00","56,000,000.00","96,430,000.00","83,000,000.00","183,000,000.00","183,000,000.00","251,200,000.00","20,000,000.00","33,000,000.00","43,000,000.00","178,000,000.00","81,000,000.00","165,400,000.00","215,400,000.00","278,000,000.00","70,000,000.00","233,000,000.00","330,000,000.00","400,000,000.00","70,000,000.00","150,000,000.00","370,000,000.00","450,000,000.00","70,000,000.00","270,000,000.00","389,000,000.00","459,000,000.00","40,000,000.00","60,000,000.00","194,000,000.00","264,000,000.00","40,000,000.00","90,000,000.00","204,000,000.00","274,000,000.00","10,000,000.00","60,000,000.00","224,000,000.00","2,799,490,000.00","334,000,000.00","888,000,000.00","1,812,422,666.67","2,660,000,000.00","587,420,000.00"
支付的各项税费,"8,734,695.71","13,168,868.59","23,959,542.01","38,730,442.65","9,492,305.71","21,551,428.74","26,310,026.26","45,115,020.96","2,662,599.16","14,476,555.50","21,123,579.42","35,090,925.74","6,005,073.58","15,920,821.70","20,700,948.52","33,714,176.36","5,909,136.63","19,433,557.69","28,115,699.82","43,111,976.86","6,462,870.13","21,836,427.28","33,608,754.53","41,225,332.39","6,633,754.38","18,538,774.53","33,824,561.50","45,965,095.03","8,293,999.52","22,382,891.72","37,117,248.49","52,331,781.47","10,550,767.79","23,909,666.68","36,917,953.43","53,690,222.86","11,004,430.18","20,254,713.67","48,461,111.34","69,849,927.24","26,441,328.06","39,296,425.96","57,621,573.81","673,709,258.39","167,754,944.76","372,198,214.34","595,883,260.12","807,252,708.58","143,036,288.55"
收到其他与筹资活动有关的现金,,,,,"500,000.00",,,,,,,"130,000,000.00",,,,"214,800,000.00",,,,"87,400,000.00",,,,"35,700,000.00","10,000,000.00","52,201,844.90","52,201,844.90","235,400,000.00",,"9,706,000.00","9,706,000.00","377,000,000.00","37,500,000.00","87,500,000.00","184,654,218.00","464,475,419.00","80,000,000.00","214,128,842.00","358,037,592.00","567,479,187.90","50,000,000.00","118,078,000.00","204,878,000.00","1,429,195,817.87","90,532,000.00","759,302,854.17","941,618,270.83","1,296,296,917.99","138,302,087.81"
支付其他与经营活动有关的现金,"12,373,572.74","35,775,231.45","55,120,234.24","83,615,330.19","13,398,833.27","35,147,761.72","34,396,122.51","41,254,995.85","15,535,680.09","28,893,358.91","37,839,163.02","68,357,979.76","16,317,589.28","159,032,246.93","170,802,286.15","41,245,189.42","13,732,991.60","30,043,661.18","40,417,390.63","52,654,907.17","16,564,600.74","32,599,423.63","34,801,157.98","69,940,873.12","25,115,657.88","46,589,549.64","64,860,668.92","70,596,116.14","14,326,384.98","30,323,657.54","119,260,664.88","96,314,102.30","17,897,293.32","36,718,138.92","76,485,666.57","119,711,108.90","20,694,434.24","32,357,523.77","44,643,174.52","99,084,896.74","11,255,770.69","32,384,707.10","61,869,388.38","800,800,003.36","130,428,060.45","477,833,748.49","749,518,652.15","949,623,288.18","165,923,344.92"
筹资活动现金流入小计,,"100,000,000.00","100,000,000.00","100,000,000.00","500,000.00","92,500,000.00","93,500,000.00","133,930,000.00","83,000,000.00","183,000,000.00","183,000,000.00","381,200,000.00","20,000,000.00","33,000,000.00","43,000,000.00","392,800,000.00","81,000,000.00","165,400,000.00","215,400,000.00","365,400,000.00","70,000,000.00","233,000,000.00","330,000,000.00","435,700,000.00","80,000,000.00","202,201,844.90","422,201,844.90","685,400,000.00","70,000,000.00","279,706,000.00","398,706,000.00","836,000,000.00","77,500,000.00","147,500,000.00","378,654,218.00","728,475,419.00","120,000,000.00","304,128,842.00","562,037,592.00","841,479,187.90","60,000,000.00","178,078,000.00","428,878,000.00","4,228,685,817.87","424,532,000.00","1,647,302,854.17","2,754,040,937.50","3,956,296,917.99","725,722,087.81"
经营活动现金流出小计,"73,017,115.80","206,792,990.67","274,256,046.16","400,980,730.61","84,247,456.26","147,132,531.73","199,651,805.22","290,398,162.10","62,896,257.13","90,836,616.01","128,842,289.83","209,424,082.43","67,912,765.20","244,425,160.32","312,693,141.78","272,941,586.59","47,109,041.03","124,520,844.53","172,019,846.08","280,174,192.43","57,732,268.47","138,663,107.92","193,766,366.45","340,592,538.59","70,493,376.29","171,247,950.57","247,994,506.88","338,167,202.06","73,589,878.85","198,871,195.55","328,952,901.14","354,608,552.93","75,664,701.86","165,681,317.95","295,874,130.29","421,363,649.85","81,750,243.07","157,278,515.42","277,446,397.82","462,988,359.85","92,432,230.65","188,311,459.68","269,634,771.49","4,684,075,658.41","1,113,474,165.23","2,583,607,408.88","4,199,868,086.71","5,008,569,004.49","1,210,546,341.10"
偿还债务支付的现金,,"5,500,000.00","10,800,000.00","27,800,000.00","200,000.00","50,200,000.00","62,300,000.00","77,430,000.00","50,500,000.00","152,000,000.00","152,000,000.00","217,900,000.00",,"3,000,000.00","4,500,000.00","135,500,000.00","82,500,000.00","123,300,000.00","123,300,000.00","199,900,000.00",,"173,600,000.00","240,600,000.00","316,600,000.00","119,000,000.00","174,000,000.00","344,000,000.00","431,000,000.00","70,000,000.00","120,000,000.00","240,000,000.00","320,000,000.00","52,490,000.00","114,490,000.00","225,980,000.00","310,980,000.00","60,450,000.00","131,450,000.00","277,900,000.00","340,900,000.00","24,060,000.00","99,060,000.00","277,120,000.00","2,611,114,366.63","257,400,000.00","916,900,000.00","1,508,400,000.00","2,576,810,374.65","307,200,000.00"
经营活动产生的现金流量净额,"2,261,685.49","-83,210,731.91","-98,618,221.70","-67,572,938.98","29,146,709.78","-28,754,091.96","-31,570,134.25","-14,757,182.70","-20,556,637.92","-8,177,922.26","7,136,116.45","71,423,932.59","-8,263,446.45","-14,862,662.43","-30,550,107.60","17,324,217.71","15,274,192.12","-1,020,125.27","15,209,323.45","26,034,223.42","5,163,847.24","10,157,967.84","50,256,653.05","122,864,014.16","21,231,298.18","22,894,938.02","27,120,578.61","87,281,456.81","6,871,244.30","-9,169,120.46","-22,125,193.93","110,688,774.07","15,892,168.93","20,570,273.69","25,591,463.32","93,101,297.16","-1,805,949.26","48,284,588.91","73,490,345.77","115,498,848.08","51,366,191.11","85,701,585.91","134,950,207.28","530,570,344.02","96,561,569.78","569,314,564.58","716,753,304.57","1,032,339,545.47","225,038,951.68"
分配股利、利润或偿还利息支付的现金,,"10,308,537.53","12,183,593.23","14,332,024.31","1,841,063.18","3,674,257.57","6,514,225.13","8,773,272.05","2,145,992.63","4,065,695.13","5,858,552.62","9,660,110.85","3,605,999.98","6,139,869.98","11,596,628.73","14,554,949.26","2,897,820.40","6,728,661.62","12,304,578.27","17,969,855.88","4,582,326.79","9,570,169.26","13,052,460.05","26,836,059.96","5,696,027.78","23,383,887.50","27,976,715.54","38,759,478.33","3,615,466.65","8,581,864.88","16,078,823.11","27,515,507.90","8,700,314.47","16,116,066.73","24,174,431.79","28,446,801.57","11,650,938.67","23,673,321.84","31,495,312.94","35,172,869.38","3,633,418.05","14,472,530.98","22,310,948.12","143,656,682.51","47,781,734.97","180,601,131.01","217,118,951.31","266,787,544.77","52,637,233.09"
