科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"128,208,550.13","184,495,063.52","549,731,770.65","848,498,370.36","1,058,620,009.60","1,660,971,898.65","2,539,924,639.82","647,188,091.92","708,588,997.79","1,244,445,810.01","1,399,444,860.92","683,239,961.04","1,189,556,040.42","1,548,692,204.73","2,595,322,128.91","2,486,291,551.52","4,094,083,878.60","4,914,413,386.37","6,038,203,140.98","2,334,882,053.17","3,828,834,635.84","6,846,216,798.50","15,743,729,656.74","5,525,679,321.17","16,951,122,313.56","19,178,753,034.13","28,777,902,861.78","6,691,015,627.61","15,640,114,700.48","34,074,592,169.89","35,334,858,122.40","7,863,169,460.53","20,523,590,991.82","39,070,550,325.15","51,135,771,519.45","9,583,557,176.62","22,989,621,689.85","40,049,945,704.48","59,776,568,632.42","12,937,148,463.81","41,453,103,906.34","59,879,932,820.68","68,980,111,712.98","18,308,276,944.61"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,581,180.85",,,,"153,912,419.43",,,,,,,,,
收到的税费返还,,,,"8,789,046.76","17,860,066.44","51,222,467.18","213,005,439.05","42,712,227.61","75,602,172.22","90,542,663.66","104,743,315.80","4,565,471.76","3,133,171.10","6,893,991.48","11,244,118.49","76,047.00","4,135,150.89","4,135,150.89","184,070.12","5,415,986.44","5,415,986.44","5,415,986.44",,,"25,833.13","25,833.13",,"1,069,790.24","1,070,732.72","1,074,451.62","98,955.75",,,,,"376,004.49","385,897.51","388,609.36","16,248,364.60","3,131,234.52","7,475,968.40","11,233,162.27","13,553,657.48","3,278,944.15"
支付其他与投资活动有关的现金,,,,"11,600.00",,,,,,,,,,,"4,534,332.09",,,,"14,902,179.02",,"889,082.10",,"935,073,451.55","5,104,717.82","648,307,316.65","1,188,307,316.65","47,438,664.09",,"2,426,228.61",,"50,000,000.00",,,,"1,726,454.52",,"16,832,793.60","21,843,808.13","23,822,123.26","38,481,933.42","75,622,592.61","197,944,812.56","100,000,000.00",
收到其他与经营活动有关的现金,"6,110,775.06","109,527.74","14,381,299.72","3,587,882.21","880,142,005.81","1,829,606,402.88","93,097,765.38","238,774,475.12","869,081,324.90","1,822,587,719.64","54,174,294.48","1,588,623,188.18","877,808,095.26","1,524,632,812.43","158,234,533.69","2,198,869,517.93","529,375,998.83","1,979,852,255.47","241,517,091.14","1,281,914,431.57","135,231,549.02","167,927,100.79","437,239,033.41","849,190,534.06","768,440,493.64","1,107,015,589.66","352,740,639.07","1,744,446,730.59","258,805,524.76","348,810,115.53","117,165,304.49","1,241,840,650.20","1,369,445,158.38","822,200,571.42","240,557,810.06","308,250,292.79","493,714,866.79","945,098,133.29","395,423,632.20","109,752,864.97","271,903,529.10","1,014,197,642.10","254,194,725.42","260,326,088.06"
投资活动现金流出小计,"52,157,973.12","56,207,344.60","58,735,461.58","8,896,147.29","23,976,216.94","31,077,180.89","33,835,369.95","6,437,642.86","4,613,043.06","5,082,140.42","10,007,884.25","17,507,225.50","20,171,465.45","42,915,305.36","36,233,737.82","5,471,194.11","1,067,454.85","51,136,755.28","73,414,756.34","112,228.44","3,054,204.38","1,878,202.56","946,757,027.78","6,582,217.61","650,889,501.87","1,216,764,084.04","68,457,473.66","232,280.77","2,671,107.99","598,475.18","65,853,669.17","109,217,285.63","251,063,991.90","188,222,221.19","1,606,149,265.15","1,279,725.13","20,116,631.72","32,855,178.15","3,799,720,356.52","54,041,844.15","110,347,436.13","226,919,914.50","1,317,883,366.63","21,202,456.64"
经营活动现金流入小计,"134,319,325.19","184,604,591.26","564,113,070.37","860,875,299.33","1,956,622,081.85","3,541,800,768.71","2,846,027,844.25","928,674,794.65","1,653,272,494.91","3,157,576,193.31","1,558,362,471.20","2,276,428,620.98","2,070,497,306.78","3,080,219,008.64","2,764,800,781.09","4,685,237,116.45","4,627,595,028.32","6,898,400,792.73","6,279,904,302.24","3,622,212,471.18","3,969,482,171.30","7,019,559,885.73","16,180,968,690.15","6,374,869,855.23","17,719,588,640.33","20,285,794,456.92","29,130,643,500.85","8,436,532,148.44","15,899,990,957.96","34,424,476,737.04","35,452,122,382.64","9,105,010,110.73","21,893,036,150.20","39,892,750,896.57","51,376,329,329.51","9,892,183,473.90","23,483,722,454.15","40,995,432,447.13","60,188,240,629.22","13,050,032,563.30","41,732,483,403.84","60,905,363,625.05","69,247,860,095.88","18,571,881,976.82"
投资活动产生的现金流量净额,"-52,157,973.12","-48,817,584.60","-51,345,701.58","-8,896,147.29","-23,976,216.94","-31,077,180.89","-33,835,369.95","-5,845,110.78","-4,613,043.06","-5,082,140.42","-10,007,884.25","-15,172,489.46","-20,171,465.45","-42,915,305.36","-36,079,937.82","-5,471,194.11","1,912,274.14","-38,378,448.85","-66,723,758.27","-112,228.44","225,869.86","1,471,159.51","-118,940,339.24","-6,582,217.61","37,368,546.82","-22,506,035.00","31,883,519.91","-232,280.77","-2,671,107.99","7,100,262.28","-64,941,010.61","-109,217,285.63","-250,970,413.58","-187,738,587.96","-184,538,975.99","-1,279,725.13","-20,010,707.44","-32,799,605.53","-351,034,472.14","-49,094,875.53","-28,263,922.75","-133,605,050.57","-764,744,641.54","26,328,659.62"
购买商品、接受劳务支付的现金,"102,918,184.59","223,936,365.70","587,566,124.22","833,928,403.75","1,047,509,017.79","1,761,658,859.11","2,596,272,786.16","341,634,726.72","542,936,522.42","886,108,887.33","1,344,883,732.51","684,054,590.09","994,050,552.97","1,560,910,389.16","2,615,940,315.60","2,123,025,932.77","3,713,887,080.51","4,470,144,310.54","5,247,494,060.61","2,189,267,853.54","3,728,402,871.81","6,586,195,810.07","13,915,353,858.52","5,051,262,541.00","15,402,268,639.64","17,688,493,378.28","28,260,660,740.55","6,171,003,245.55","13,936,878,705.99","31,881,139,877.54","34,965,155,990.67","6,431,404,289.07","17,594,174,024.68","35,526,154,128.46","52,061,213,443.10","11,450,074,903.71","22,629,042,766.45","39,943,147,919.85","61,279,007,819.68","12,747,634,616.85","41,237,626,771.78","60,080,886,848.42","68,588,283,415.05","18,305,378,465.35"
吸收投资收到的现金,,"6,250,000.00","6,250,000.00","261,847,700.00","261,847,700.00","261,847,700.00","261,847,700.00",,,,"1,750,000.00",,,,,,,,,,,,,,,,,,,,,,,"1,486,264,144.67","1,486,264,144.67",,,,,,,,,
