科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"126,132,271.84","157,832,491.05","363,933,848.46","311,043,913.05","458,069,093.35","608,416,476.46","171,884,076.26","393,902,620.76","603,897,851.69","834,858,644.10","177,067,455.21","390,713,065.44","639,103,083.45","1,010,838,017.72","334,113,514.15","707,557,167.11","978,997,618.64","1,370,358,491.18","294,005,660.85","779,328,211.55","1,228,054,928.01","1,755,998,915.76","509,153,551.31","1,303,168,256.51","1,894,878,338.54","2,960,896,815.03","775,167,275.99","1,595,198,979.70","2,269,243,157.69"
二、营业利润,"13,492,623.98","25,789,827.58","77,965,962.05","69,272,258.88","100,418,170.28","135,578,646.57","40,251,214.14","94,949,371.07","136,216,459.62","178,400,623.24","38,900,261.18","94,198,399.36","145,789,196.56","224,260,670.63","68,092,472.96","158,873,018.08","223,850,302.64","330,456,884.85","95,761,180.61","307,727,808.04","457,919,197.51","646,289,636.96","158,452,326.73","541,976,415.08","748,427,613.29","1,056,013,453.10","215,016,875.75","426,321,658.78","571,918,813.88"
减:营业成本,"84,960,721.40","99,288,090.35","216,039,458.88","189,814,430.02","273,677,920.85","359,762,053.61","104,484,967.68","243,624,941.78","384,482,099.59","532,315,765.70","109,195,270.77","229,977,097.18","391,253,832.52","647,281,430.11","228,231,066.02","455,016,751.28","605,379,222.45","789,146,479.04","147,838,101.13","338,689,266.03","572,973,276.96","852,205,308.25","283,578,151.04","631,407,717.08","938,481,193.69","1,550,759,401.00","482,976,390.36","1,000,616,290.16","1,425,541,231.98"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"549,758.82","850,576.20","1,750,055.56","1,623,097.87","2,786,517.49","3,678,641.15","1,004,043.14","2,157,153.76","3,426,399.10","4,276,246.08","602,541.13","1,534,016.34","2,136,628.80","4,631,604.15","1,295,454.04","2,757,367.42","4,236,688.43","6,583,802.38","925,693.65","4,084,495.54","6,786,515.39","9,070,496.40","1,716,555.60","3,613,321.36","4,938,823.24","13,629,043.63","3,739,158.36","8,306,382.27","13,527,285.47"
营业外收入,"560,000.00","881,583.29","327,246.22","2,548,461.00","2,556,711.00","3,664,961.06","2,024,185.00","2,299,783.20","2,381,099.63","2,532,849.69","176,344.99","874,137.11","920,111.67","1,597,097.58","499,041.02","1,798,935.23","3,374,719.64","5,283,864.57","2,403,751.14","6,840,786.92","9,130,376.11","12,956,158.17","26,539,023.76","28,423,963.79","30,369,846.14","37,570,454.85","29,069,949.49","37,019,365.36","42,494,284.05"
销售费用,"15,977,126.33","17,751,633.47","36,818,371.67","29,750,272.44","44,789,990.51","62,269,403.25","14,754,192.03","28,679,410.88","43,779,580.30","65,098,793.30","15,012,733.67","30,459,392.25","44,293,808.64","59,388,194.76","12,173,671.58","30,835,456.61","53,209,763.24","86,089,368.45","13,644,215.86","34,491,153.48","54,473,131.55","78,674,744.87","19,721,117.28","45,338,791.80","82,578,941.14","137,715,025.11","21,627,136.07","48,043,087.15","92,147,384.65"
减:营业外支出,"892,931.53","316,082.78","120,314.38","100,900.00","100,900.00","156,489.34","24,923.00","386,688.26","390,035.46","390,258.84","595,590.04","599,562.61","599,562.61","599,562.61",,"87,773.79","87,835.79","88,780.81","41,522.96","43,907.07","44,176.97","82,796.53","14,124.50","169,933.33","170,672.23","172,727.54","11,036.40","15,667.66","431,757.21"
管理费用,"9,446,875.00","11,623,332.69","25,598,751.79","19,084,226.63","32,103,578.93","49,377,436.66","12,589,460.48","25,896,364.41","39,076,683.68","64,004,879.23","13,328,069.07","34,375,812.91","55,661,365.99","80,264,237.82","21,693,896.24","54,581,108.72","87,545,899.26","148,720,376.53","33,151,612.12","73,046,225.40","116,510,397.54","167,042,569.75","41,912,165.47","91,218,265.15","140,711,500.98","206,932,803.54","46,613,425.35","99,962,602.09","147,241,645.61"
其中:非流动资产处置净损失,"441,711.50","45,222.78","40,240.11",,,,,,,"361,765.26",,,,,,"26,340.79","26,340.79","26,340.79",,"2,357.13","2,357.13","40,848.76",,,,,,,
