科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"26,769,018.60","15,363,907.99","68,129,901.51","165,301,066.80","885,971,451.31","600,057,016.26","467,885,562.89","392,338,983.11","577,756,552.23","400,067,819.02","376,841,336.18","458,978,027.25","294,952,099.07","475,960,338.95","288,216,098.29","308,661,885.45","229,160,614.43","329,225,878.75","323,022,491.16","295,404,766.85","383,053,884.97","389,312,884.08","606,132,227.12","421,308,356.12","362,644,101.63","668,730,847.33","455,682,933.80","507,318,629.24","604,571,206.14","428,821,643.90","508,330,084.37","620,410,730.94"
短期借款,"62,500,000.00","50,000,000.00","60,000,000.00","60,000,000.00","40,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","140,000,000.00","90,000,000.00","160,000,000.00","160,000,000.00","109,900,000.00","79,900,000.00","49,900,000.00","49,900,000.00","128,700,000.00","285,700,000.00","484,000,000.00","434,000,000.00","464,000,000.00","564,000,000.00","724,000,000.00","648,000,000.00","639,000,000.00","713,000,000.00","602,000,000.00","692,000,000.00","872,000,000.00","628,000,000.00","639,000,000.00","499,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"700,000.00","400,000.00","396,246.00","1,548,000.00","1,548,000.00","1,279,510.46","600,000.00",,"3,863,779.03","3,303,888.63","2,969,490.00","2,565,040.00","5,762,040.00","2,116,722.20","843,930.00","840,000.00","1,798,470.00","1,893,382.20","987,352.55","579,363.50","1,194,205.60","4,468,360.10","4,935,348.08","2,233,100.00","1,850,500.00","10,153,237.00","6,828,573.00","4,389,328.38","4,275,508.14"
应付票据,,,"20,000,000.00","75,000,000.00","55,000,000.00","29,250,000.00","76,645,800.00","85,182,000.00","85,857,900.00","78,765,292.50","92,561,976.50","67,868,384.00","83,220,000.00","100,349,124.50","72,623,819.50","78,845,004.50","88,203,709.50","100,487,800.00","93,346,242.00","107,299,192.87","64,527,350.87","20,440,000.00","44,388,377.00","46,218,025.80","36,843,830.25","30,528,181.45","8,168,762.34","21,623,577.54","21,868,815.20","3,391,225.84","1,451,500.00","2,905,200.00"
应收账款,"336,261.10","548,939.15","505,636.08","580,116.31","2,406,468.13","1,331,061.96","774,371.32","1,203,521.47","2,731,417.21","763,572.52","3,361,579.96","6,563,424.32","7,536,193.43","7,488,308.69","6,667,143.79","13,882,596.39","15,161,110.17","13,588,111.47","9,354,932.12","11,037,607.96","9,527,851.08","16,514,788.40","18,575,599.86","12,328,332.07","16,038,842.31","27,771,025.36","20,831,482.64","18,224,840.85","32,033,497.48","36,186,435.30","26,214,979.35","31,744,732.81"
应付账款,"8,708,009.67","26,866,353.20","32,816,909.11","27,147,662.17","62,780,846.68","46,772,857.68","33,608,900.49","13,883,558.88","24,045,285.62","40,801,330.26","71,983,638.38","82,764,631.99","118,104,022.57","98,105,247.64","105,905,451.69","69,043,588.01","88,168,582.76","72,314,733.19","124,946,256.15","117,865,736.80","127,401,917.83","148,772,082.11","176,901,230.61","171,284,963.65","145,803,456.90","162,039,338.14","161,452,945.66","157,208,661.40","165,581,034.26","162,568,941.26","178,070,438.09","169,892,235.92"
预付款项,,"322,837.37","1,162,766.86","784,764.25","757,705.19","687,218.39","577,552.56","301,132.71","1,144,742.65","1,722,551.74","1,822,737.19","23,565,993.49","37,436,880.06","39,332,207.37","25,939,625.64","26,853,067.34","26,612,653.71","8,026,996.42","2,670,275.87","3,545,814.92","5,131,682.92","3,886,621.34","4,955,931.29","6,927,255.81","10,497,383.25","7,479,672.58","7,842,596.45","5,728,403.17","5,749,147.73","6,269,595.67","3,453,032.41","6,014,324.78"
预收款项,"9,929,517.12","11,505,588.24","43,705,150.84","23,821,598.18","25,677,490.45","19,263,723.45","21,854,544.81","20,968,734.35","34,719,919.72","47,903,946.32","55,553,022.19","56,287,865.16","62,464,392.54","31,849,513.97","13,880,139.04","16,129,181.12","25,873,248.65","23,606,756.88","24,645,342.88","21,199,428.16","46,210,515.66","37,416,007.62","50,971,718.36","46,297,389.63","53,690,943.11","45,714,930.30","45,939,235.55","72,523,656.10","61,353,016.24","74,325,349.59","58,073,939.15","59,173,870.29"
其他应收款,"16,341,254.14","5,508,973.00","1,096,691.77","369,264.74","185,286.60","1,547,176.02","649,095.10","346,753.45","302,678.45","317,414.45","245,784.66","7,804,617.54","8,128,813.11","9,221,191.27","2,554,543.12","2,154,734.36","2,073,233.30","1,977,847.55","10,089,410.68","2,055,403.08","4,288,987.86","2,094,158.40","1,942,314.08","2,239,510.03","1,997,528.55","1,831,358.05","1,692,726.43","1,576,089.26","5,485,522.82","5,770,842.05","1,334,990.85","1,579,500.71"
应付职工薪酬,"223,290.41","46,782.57","95,209.63","5,596.00",,,"1,277,000.00","2,550,000.00","2,580,000.00","3,500,000.00","2,583,400.94","409,456.10","296,124.87","1,205,452.53","1,445,432.04","777,377.17","866,677.74","1,053,178.45","10,672,397.84","872,115.39","1,695,101.54","1,037,887.57","3,327,848.38","989,546.54","971,584.34","1,717,204.10","17,575,138.29","1,252,320.32","1,307,449.93","1,848,111.47","5,933,973.05","1,388,598.75"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"6,151,119.59","3,944,207.47","8,723,751.19","9,328,812.22","9,472,331.34","6,193,266.56","-3,347,362.95","2,834,870.37","10,103,941.32","8,707,209.08","-21,942,664.86","-17,766,798.62","-29,411,267.81","-27,816,947.95","-75,841,028.90","-74,764,291.93","-73,850,013.08","-81,927,406.60","2,606,059.58","1,851,659.08","2,953,163.93","3,008,594.07","3,881,875.33","3,035,981.85","2,781,109.83","8,771,972.91","3,708,164.82","2,606,476.70","17,516,347.66","15,587,474.32","3,493,552.49","2,636,417.48"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,"6,973,979.18","11,171,479.18","15,420,251.15","2,954,410.31","7,391,781.83","11,589,281.83","19,581,893.83","11,099,773.02","19,348,612.31","27,893,625.65","26,425,275.69","18,266,222.57","12,445,253.86","15,847,451.28","4,989,930.20","8,457,086.03","12,292,715.00","18,799,457.46"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,"3,846,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00","3,496,000.00",,,,,,,,
存货,,,,,,,,,,,,,"704,466.76","674,522.00","561,737.06","733,349.99","873,609.80","1,458,665.95","1,185,967.98","1,355,164.57","1,323,072.07","1,356,354.32","1,417,486.77","1,853,709.42","1,770,731.29","1,896,004.34","1,297,794.41","1,311,731.80","1,421,805.92","1,569,410.52","1,403,492.61","1,496,864.22"
其他应付款,"1,125,082.35","662,211.33","2,639,078.08","3,253,078.08","3,019,393.11","3,390,266.44","1,922,150.20","1,679,340.78","2,530,982.49","2,261,300.28","3,343,647.50","1,766,729.01","3,456,424.59","6,104,869.38","2,557,180.10","2,360,163.23","2,373,951.36","2,336,498.30","1,593,708.12","1,671,475.89","1,892,433.20","1,743,394.32","1,830,503.62","2,084,037.11","1,607,666.20","1,655,532.13","2,027,262.21","1,518,855.61","1,626,833.77","1,311,975.60","1,267,963.15","1,248,996.06"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
