科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"601,142,020.03","886,631,208.65","1,239,412,785.41","641,260,092.90","1,528,100,406.45","331,146,070.42","660,942,675.64","1,073,780,558.70","1,742,455,016.13","374,440,533.66","823,719,400.55","1,199,050,082.78","2,160,211,442.25","419,995,159.79","853,572,851.75","1,258,341,078.84","2,297,131,643.85","401,656,750.99","817,442,373.35","1,289,033,968.15","2,280,280,137.22","412,215,529.29","818,946,455.51","1,258,920,788.17","2,352,864,288.04","327,543,565.99","659,624,926.71","1,053,124,925.57","2,022,939,647.30","389,970,821.59","728,483,483.77","1,161,772,147.52","2,019,076,411.69","338,943,706.61"
取得子公司及其他营业单位支付的现金净额,"142,640,203.06",,,,,,,,,"16,764,821.69","175,159,387.44","175,159,387.44","14,894,564.24",,,"129,265,000.00","119,699,817.75",,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"397,148.63",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"1,577,600,000.00",,,"700,000,000.00","509,300,000.00",,,,,,,,,"300,000,000.00","300,000,000.00","300,000,000.00","300,000,000.00",
收到其他与经营活动有关的现金,"14,124,763.12","167,729,445.53","24,864,736.27","83,264,875.76","97,105,828.81","9,729,671.70","29,609,438.51","20,643,845.55","79,053,369.59","2,377,045.26","29,050,213.84","31,068,344.43","126,682,015.52","2,902,988.79","20,787,419.08","22,936,001.55","152,132,291.47","3,765,456.06","85,902,695.45","94,668,452.99","167,931,345.70","10,294,669.52","30,627,320.55","40,913,231.19","170,023,557.41","34,085,561.81","51,891,592.87","76,127,808.13","172,413,155.77","30,564,644.42","100,698,223.66","110,094,747.47","175,693,739.29","57,180,944.77"
投资活动现金流出小计,"561,396,595.33","539,023,245.68","738,407,330.10","277,511,196.87","906,996,776.40","152,261,654.71","518,915,957.27","716,378,604.45","1,215,635,665.67","182,789,603.51","578,675,664.95","742,169,417.72","1,450,561,235.27","158,047,455.48","472,317,840.98","814,045,615.66","2,720,811,822.85","199,042,230.77","748,710,082.84","1,932,183,120.33","2,268,028,156.46","293,028,072.94","444,909,502.94","627,332,495.50","1,055,201,541.06","265,338,427.44","516,804,759.91","728,339,699.38","1,303,804,905.10","757,134,123.82","997,634,534.50","1,473,402,079.11","1,796,383,820.86","265,838,365.28"
经营活动现金流入小计,"615,266,783.15","1,054,360,654.18","1,264,277,521.68","724,524,968.66","1,625,206,235.26","340,875,742.12","690,552,114.15","1,094,424,404.25","1,821,508,385.72","376,817,578.92","852,769,614.39","1,230,118,427.21","2,286,893,457.77","422,898,148.58","874,360,270.83","1,281,277,080.39","2,449,263,935.32","405,422,207.05","903,345,068.80","1,383,702,421.14","2,448,211,482.92","422,510,198.81","849,573,776.06","1,299,834,019.36","2,522,887,845.45","361,629,127.80","711,516,519.58","1,129,252,733.70","2,195,352,803.07","420,535,466.01","829,181,707.43","1,271,866,894.99","2,195,167,299.61","396,124,651.38"
投资活动产生的现金流量净额,"-561,080,725.20","-538,616,995.68","-736,490,265.75","-277,453,468.63","-906,655,146.40","-152,261,654.71","-510,095,898.28","-707,288,545.46","-1,214,223,329.09","-175,919,346.06","-578,675,664.95","-742,162,417.72","-1,447,080,553.47","-132,637,148.63","-241,324,200.80","-583,051,975.48","-2,510,529,535.95","399,976,445.00","-149,684,207.07","-300,133,141.21","-629,858,858.56","25,713,605.14","91,413,605.14","-24,185,504.42","-441,760,624.75","-249,801,401.42","-417,935,351.56","-607,121,766.07","-1,181,388,352.01","-757,134,123.82","-978,208,024.50","-1,429,033,572.29","-1,745,861,999.51","-265,838,365.28"
购买商品、接受劳务支付的现金,"126,319,595.49","147,029,500.77","171,959,213.87","169,817,518.57","264,911,248.26","132,038,028.05","191,332,102.31","293,161,015.47","406,736,217.34","130,037,688.45","206,595,100.45","241,360,916.63","456,395,306.32","84,210,807.77","164,112,222.59","291,655,982.59","595,135,883.83","148,019,771.46","230,816,141.47","331,986,415.99","640,678,509.78","180,616,370.88","298,438,817.83","418,207,121.47","634,660,753.83","146,359,165.15","281,945,391.50","421,832,314.80","519,916,644.41","154,367,875.93","329,452,925.88","463,562,695.92","567,164,546.72","134,108,704.75"
吸收投资收到的现金,,"202,280,344.50","314,119.31",,,"1,865,517,038.22","1,865,517,038.22","1,865,517,038.22","1,877,680,000.00",,,,,,"2,400,000.00","8,800,000.00","14,800,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","9,104,000.00","8,078,000.00","8,078,000.00","12,234,000.00",,,"4,104,000.00","5,130,000.00",,,,,
支付给职工以及为职工支付的现金,"142,111,755.61","190,169,733.18","318,579,542.79","185,488,722.28","362,251,207.02","115,560,088.30","177,212,042.91","314,352,473.63","472,407,739.55","176,260,784.62","201,328,106.36","336,311,253.60","551,346,380.62","193,495,552.10","275,152,097.70","413,443,607.31","657,326,045.16","200,221,977.18","312,397,923.96","456,621,132.91","644,317,459.37","196,882,746.83","337,021,606.72","498,852,462.81","654,812,955.39","182,039,711.34","364,092,464.10","527,692,513.88","679,123,405.74","204,215,206.36","389,890,963.93","546,149,305.12","732,369,642.00","222,498,707.06"
取得借款收到的现金,"1,220,000,000.00","426,000,000.00","250,000,000.00","58,000,000.00","448,000,000.00",,"58,000,000.00","58,000,000.00","358,000,000.00",,"100,000,000.00","100,000,000.00","100,000,000.00",,"290,000,000.00","390,000,000.00","390,000,000.00",,"290,000,000.00","1,490,000,000.00","1,490,000,000.00",,,,,,,"500,000,000.00","500,000,000.00",,"289,000,000.00","289,000,000.00","289,000,000.00",
支付的各项税费,"31,924,537.37","19,109,014.93","14,429,796.19","20,837,129.64","24,053,087.93","11,816,859.31","28,339,285.09","40,197,031.55","71,944,895.00","21,628,169.35","37,042,427.23","79,995,386.43","99,292,122.16","26,675,567.97","26,793,846.12","28,450,697.52","29,648,343.79","36,520,096.38","26,066,874.61","26,723,166.82","20,001,020.12","13,084,623.39","15,234,808.14","21,343,562.86","21,159,774.31","12,882,680.57","30,888,770.53","38,515,712.32","41,920,318.89","18,636,146.45","27,656,972.56","41,872,296.10","41,238,451.60","14,267,824.74"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"56,290,000.00",,"6,920,000.00","6,920,000.00","17,500,000.00",,"5,687,938.72","150,000,000.00","158,300,000.00","1,000,000.00","2,310,400.63","2,310,400.63","131,787,672.64","5,898,212.81"
支付其他与经营活动有关的现金,"237,853,372.12","82,030,913.18","166,070,371.98","86,501,239.55","137,676,912.32","4,301,339.20","128,829,583.53","154,906,376.19","169,911,615.79","17,412,710.26","131,407,088.10","138,391,351.53","99,151,129.00","17,609,193.84","118,019,132.52","532,781,715.29","181,859,547.97","15,056,973.13","124,924,364.41","199,924,364.41","104,512,216.78","26,203,738.76","79,512,322.43","138,239,168.42","149,314,676.06","34,291,169.19","54,403,841.81","70,925,444.45","241,182,964.51","33,988,469.69","93,261,832.61","108,254,740.14","134,853,117.75","51,791,362.41"
