科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"96,245,075.37","158,723,032.95","187,843,199.34","46,551,716.18","89,944,988.46","139,647,355.22","191,459,004.58","47,739,251.19","92,493,717.42","138,573,758.13","187,405,966.31","47,138,882.66","98,382,526.37","134,776,726.93","300,864,835.96","177,328,378.77","366,877,809.54","547,878,735.02","761,704,536.54","153,987,407.64"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"-221,850,972.22",,,,"112,829,737.25",
收到的税费返还,,,,,,"10,781.96","1,447.51",,"3,684,900.28","9,824,281.33","21,951,011.41",,,"4,193,240.01","9,620,209.18","12,377,584.99","19,051,127.30","19,864,802.52","19,864,802.52",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"1,979,270.83",,,,"6,820,654.84",
收到其他与经营活动有关的现金,"7,679,184.41","5,939,946.29","3,556,462.82","510,096.85","1,560,716.32","4,848,098.42","5,904,476.03","1,390,499.08","2,523,851.01","4,361,001.79","23,615,689.86","4,691,485.38","6,738,952.80","3,947,487.45","31,597,874.65","6,681,798.73","12,260,309.64","17,899,204.09","23,671,416.65","1,538,091.71"
投资活动现金流出小计,"12,262,346.95","3,432,862.60","13,131,007.30","323,868.29","33,431,574.10","337,655,804.41","336,206,513.59","96,636,803.94","142,459,466.25","195,375,568.27","169,373,394.63","110,444,117.20","251,810,956.73","358,253,228.77","234,742,360.29","246,229,698.29","626,271,734.35","587,025,824.81","874,715,533.88","52,955,336.40"
经营活动现金流入小计,"103,924,259.78","164,662,979.24","191,399,662.16","47,061,813.03","91,505,704.78","144,506,235.60","197,364,928.12","49,129,750.27","98,702,468.71","152,759,041.25","232,972,667.58","51,830,368.04","105,121,479.17","142,917,454.39","342,082,919.79","196,387,762.49","398,189,246.48","585,642,741.63","805,240,755.71","155,525,499.35"
投资活动产生的现金流量净额,"-12,262,346.95","-3,432,825.60","-13,127,454.81","-323,868.29","-33,425,054.10","-260,095,798.01","-334,666,995.53","-92,397,041.42","-136,929,259.28","-186,774,895.43","-158,991,038.82","36,437,337.82","-1,455,133.12","-57,948,407.63","88,066,921.39","-83,506,924.08","-199,192,640.21","-384,597,799.04","-471,384,910.69","-41,830,063.02"
购买商品、接受劳务支付的现金,"25,108,894.30","35,707,649.84","45,308,139.65","11,457,580.84","23,537,827.19","37,558,712.19","49,688,616.97","15,233,243.32","50,997,127.64","62,435,881.46","75,377,809.92","35,442,666.92","42,040,217.35","45,586,559.88","83,156,121.34","91,842,601.33","185,295,323.34","339,491,250.34","99,240,104.43","23,359,381.24"
吸收投资收到的现金,,,"1,950,000.00","20,000,000.00","320,535,700.00","320,535,700.00","320,535,700.00","183,327,120.00","183,327,120.00","206,805,120.00","206,805,120.00",,"-75,963,692.00","-76,410,117.00","45,539,200.00","20,000.00","7,000,000.00","-8,830,100.00","7,008,743.03","-10,939,005.00"
支付给职工以及为职工支付的现金,"11,168,418.17","16,485,498.64","23,587,292.73","8,852,668.27","14,149,215.57","20,261,135.22","21,013,718.55","6,623,198.44","13,984,356.82","21,731,985.00","27,531,030.48","9,667,469.53","19,196,414.24","18,946,179.07","36,629,198.56","19,285,198.93","31,667,122.65","45,670,849.73","61,696,395.87","25,792,807.94"
