科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"4,146,267,488.37","3,289,594,509.96","4,989,643,478.57","3,509,259,242.79","5,253,392,113.19","6,573,460,154.73","1,277,867,095.53","2,655,193,198.61","4,025,004,395.77","5,263,595,867.05","1,254,722,024.39","2,667,627,067.27","4,158,623,515.81","5,652,618,452.95","1,389,646,761.59","2,992,145,487.67","4,763,436,756.61","6,492,164,868.28","1,580,283,532.44","3,239,602,948.23","4,807,787,331.68","6,281,709,796.68","1,442,616,795.65","3,307,196,983.95","5,263,744,907.85","7,479,103,489.70","2,120,942,162.64","4,666,443,134.75","7,397,948,047.03","10,363,322,726.81","2,763,288,812.39"
二、营业利润,"35,425,500.36","173,892,691.29","325,861,478.00","243,730,060.83","338,110,976.25","370,927,874.36","16,308,448.95","55,750,150.00","55,799,683.83","56,288,476.93","17,046,814.27","39,571,899.75","72,494,288.91","85,356,033.50","6,247,044.72","64,132,253.51","135,858,735.06","243,037,369.35","55,771,858.73","132,013,768.88","181,269,718.68","238,019,309.13","72,257,214.78","195,178,338.00","290,893,495.85","362,260,778.46","104,342,843.07","258,322,160.49","406,925,988.76","485,633,028.06","187,606,941.24"
减:营业成本,"3,939,815,283.43","2,970,474,222.33","4,484,907,090.61","3,153,909,744.75","4,745,419,693.41","5,967,927,123.48","1,210,423,596.46","2,507,740,691.87","3,825,288,569.37","5,017,858,570.78","1,176,260,970.78","2,516,661,802.49","3,929,801,114.57","5,370,642,456.32","1,339,430,926.53","2,833,241,696.94","4,472,828,688.93","6,029,816,026.86","1,479,526,755.38","3,010,048,443.59","4,481,842,074.79","5,846,551,525.18","1,314,655,763.74","2,993,578,673.55","4,777,506,386.63","6,848,893,341.44","1,943,412,393.10","4,223,078,518.80","6,674,720,566.21","9,434,937,643.17","2,508,529,224.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,374,836.96","2,671,710.73","4,573,713.69","532,605.62","3,615,557.94","7,625,924.45","2,775,245.34","6,043,553.48","6,228,595.10","6,232,963.98","385,405.09","1,742,144.64","2,879,484.89","4,233,941.31","3,793,040.81","6,359,530.80","7,190,162.05","7,665,240.01","3,007,888.40","4,929,320.38","5,478,020.64","6,019,414.61","5,051,593.70","10,790,604.86","11,789,138.28","22,599,555.30","7,967,434.41","14,842,517.25","20,271,578.00","29,068,580.89","7,184,483.80"
营业外收入,"6,198,593.35","10,958,322.15","3,027,887.94","5,052,542.91","6,899,395.01","9,197,174.91","8,008,971.85","20,733,324.37","27,709,610.39","32,492,871.08","150,375.00","8,058,144.85","10,094,998.46","9,939,909.58","9,027,672.34","9,442,704.57","10,214,336.21","11,736,166.41","1,963,045.54","3,569,102.93","5,311,326.74","5,331,605.71","3,162,282.95","3,955,252.66","4,315,852.04","7,766,035.24","1,803,959.85","1,970,804.02","2,745,253.51","1,142,255.36","115,046.06"
销售费用,"51,462,942.66","53,883,994.11","70,906,000.80","43,585,886.68","74,384,805.74","99,081,126.94","22,372,426.56","43,892,580.86","72,176,276.57","89,620,660.26","21,971,825.50","47,160,037.37","64,834,157.45","86,770,145.63","16,976,883.59","44,306,596.28","80,580,809.06","127,381,118.37","24,867,169.76","59,132,316.42","89,391,014.21","123,315,058.39","26,457,908.93","70,729,427.75","113,955,710.78","153,551,270.22","31,977,245.64","81,064,467.51","146,437,451.54","197,943,254.85","47,209,400.00"
减:营业外支出,"2,074,813.72","4,644,653.12","1,644,501.18","1,329,983.50","2,577,404.51","2,777,010.66","1,188,554.00","1,231,656.56","1,314,448.78","1,528,818.36","70,824.50","72,826.44","94,157.93","920,028.33","275,898.14","365,828.99","1,147,895.58","2,341,812.26","483,000.00","862,841.13","1,550,590.22","1,313,889.89","90,791.51","640,390.10","1,715,431.31","3,153,251.45","2,233,894.15","7,173,642.07","8,889,241.06","10,193,026.99","402,196.36"
管理费用,"38,951,705.09","54,308,572.38","64,430,734.91","37,336,410.68","58,816,825.35","88,905,004.69","20,904,821.50","43,793,416.01","64,353,544.78","88,437,599.39","19,542,930.13","38,401,404.59","61,380,642.67","86,223,821.34","21,278,511.85","43,906,128.26","73,093,187.45","108,475,689.25","30,826,905.58","64,474,793.00","98,843,940.78","127,582,942.15","28,116,602.37","61,601,021.11","97,854,569.13","136,209,756.33","33,901,736.68","71,123,031.45","126,956,106.06","193,623,933.39","54,655,972.19"
其中:非流动资产处置净损失,"256,619.91","4,559,365.96","1,398,256.62","123,276.22","1,315,647.23","1,295,253.38",,"22,852.56","48,844.78","57,964.36",,,,"1,105.10",,,"36,228.69","36,228.69",,"16,818.82","106,866.76","73,533.43","29,371.51","336,435.50","338,360.50","798,274.52","2,133,552.65","7,010,865.41","8,151,619.75",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"47,614,835.81","25,723,032.97","37,822,207.26","17,537,551.47","29,372,719.85","36,141,562.62","4,070,105.56","-3,893,255.33","-1,605,537.90","1,345,899.71","5,259,433.02","11,164,927.87","15,578,364.81","25,450,493.40","4,121,706.45","3,178,016.58","6,130,187.44","9,400,019.81","-10,342,649.83","-18,001,782.86","-31,329,718.92","-33,518,124.44","405,405.32","-6,334,603.74","-8,501,680.50","-22,904,558.15","126,552.80","6,361,481.26","12,912,048.49","14,424,045.86","-12,672,464.31"
