科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"46,613,682.31","24,283,955.53","211,747,982.43","131,084,772.93","49,446,046.87","78,957,834.15","51,437,022.59","74,456,202.27","161,634,369.94","144,043,891.34","281,166,849.08","125,926,032.38","153,633,755.69","215,200,956.53","276,324,787.68","169,198,055.91","243,603,291.69","273,691,267.10","209,324,477.61","139,813,584.25","71,951,314.10","143,720,283.72","194,661,770.68","136,790,828.83","165,898,425.93","105,922,382.18","178,481,633.51","237,865,068.09","254,997,018.91","238,865,800.18","278,128,317.72","269,039,899.44","423,559,311.35","307,795,499.64","396,906,467.11","235,959,135.65","251,567,162.39","1,391,313,696.75","1,869,964,407.39","1,381,707,012.38","1,179,918,945.04","1,103,143,200.63","1,263,942,824.75","1,074,758,088.14","1,018,893,918.40","977,089,228.93","785,362,548.86","919,399,398.23"
短期借款,"179,226,500.00","174,687,693.86","210,124,443.56","232,041,841.16","243,193,709.99","316,623,188.86","300,450,000.00","308,950,000.00","445,621,201.01","475,307,722.38","435,310,000.00","392,810,000.00","533,310,000.00","554,060,000.00","568,317,586.69","594,338,213.17","551,018,287.77","542,518,697.77","515,529,545.00","519,153,572.21","565,148,548.50","584,936,278.50","627,086,067.16","611,093,653.47","619,223,536.00","647,867,400.00","647,081,710.00","666,418,595.62","658,986,249.53","651,305,788.00","613,278,900.00","559,058,509.74","576,996,013.78","648,237,341.26","648,570,843.73","595,725,104.38","581,978,290.63","531,802,487.21","578,171,820.00","588,757,086.00","696,044,922.23","745,360,000.00","902,071,037.66","875,345,755.56","976,391,222.19","957,021,116.96","1,037,227,231.64","898,649,281.71"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,"810,000.00",,,,"1,600,000.00",,,"14,000,000.00","14,000,000.00",,,,,,,"830,000.00","500,000.00",,"50,000.00","18,460,430.34","1,080,000.00","100,000.00","165,000.00",,"6,951,819.80","51,310,000.00","50,600,000.00",,"400,000.00","3,860,000.00","100,000.00","32,800,120.40","1,650,000.00",,"904,591.00","35,086,176.30","2,000,000.00","7,454,133.60","78,916,784.00","2,108,680.00","2,180,000.00","1,163,017.50","2,830,000.00","10,866,003.80","3,680,000.00"
应付票据,"30,572,736.47","16,526,024.61","3,923,766.63","16,706,919.52","30,318,272.52","27,769,471.07","20,739,739.60","61,239,739.60","90,000,000.00","139,999,750.00","109,999,750.00","80,000,000.00","81,000,000.00","117,560,000.00","140,510,000.00","86,250,000.00","223,000,000.00","253,000,000.00","213,300,000.00","168,000,000.00","58,000,000.00","160,150,000.00","172,150,000.00","180,500,000.00","222,827,000.00","154,327,000.00","187,000,000.00","276,057,000.00","328,063,000.00","373,000,000.00","340,000,000.00","451,000,000.00","424,000,000.00","358,500,000.00","363,050,000.00","385,550,000.00","401,000,000.00","518,700,000.00","482,300,000.00","366,000,000.00","225,210,000.00","323,860,000.00","279,350,000.00","275,750,000.00","400,000,000.00",,"232,490,000.00",
应收账款,"76,363,800.34","75,881,821.40","96,326,403.22","112,457,507.93","122,358,627.66","104,152,701.25","167,441,967.75","162,050,413.20","170,994,739.42","181,262,930.36","223,119,640.06","208,945,912.82","256,504,092.18","264,084,789.00","223,494,044.67","247,899,423.08","272,849,240.65","288,899,005.16","224,895,058.27","276,674,806.02","292,419,352.70","268,851,601.98","223,041,442.21","241,047,530.37","247,643,856.27","301,340,462.00","261,446,717.13","276,925,165.99","296,861,991.90","337,255,295.32","328,061,743.14","367,781,266.17","303,218,370.76","334,606,693.82","228,602,861.38","232,326,554.42","286,309,314.78","499,227,469.59","354,561,424.75","429,662,048.46","554,988,888.55","610,351,030.19","524,751,816.40","592,488,668.47","678,474,233.39","725,534,040.18","677,507,831.95","688,859,820.45"
应付账款,"32,159,801.17","21,386,837.37","26,488,279.69","23,208,099.28","24,814,425.54","26,277,126.24","70,719,633.25","87,176,236.54","103,043,163.58","116,915,955.39","144,479,924.37","110,382,382.34","46,927,987.37","128,478,301.96","148,569,190.10","113,546,405.93","158,377,421.59","139,358,826.72","78,012,202.73","147,111,766.71","126,854,732.37","91,639,433.24","120,500,985.20","86,924,159.54","97,082,165.54","108,270,659.43","101,615,616.60","110,711,240.21","117,217,243.91","102,348,517.74","110,556,640.38","97,563,591.13","108,653,392.50","93,492,449.86","82,385,503.02","62,096,906.46","86,415,933.04","172,535,647.65","251,533,016.66","244,513,870.62","274,853,631.10","291,797,663.20","249,247,800.91","243,204,284.95","388,847,412.18",,"378,734,053.97",
预付款项,"86,493,020.71","87,089,544.90","147,451,337.85","231,520,648.33","221,798,296.07","299,650,502.15","177,441,330.90","227,808,638.99","69,748,322.55","138,515,750.92","197,694,368.31","175,456,232.10","185,038,034.11","220,419,272.89","218,026,552.14","152,367,407.66","147,034,660.44","205,669,543.24","244,892,792.51","281,126,603.19","258,688,099.54","306,199,079.71","126,606,323.87","139,681,330.86","178,108,523.97","182,291,663.92","164,971,049.51","178,078,279.35","208,467,021.23","206,992,591.53","89,208,867.67","107,140,606.47","186,152,005.72","296,824,015.52","31,978,075.32","146,772,673.92","145,514,086.13","256,095,697.80","31,079,657.58","315,148,440.03","353,876,134.47","393,260,408.99","27,868,814.77","67,943,139.05","156,812,608.02","77,576,698.16","21,153,146.49","259,081,753.26"
预收款项,"21,002,591.80","18,788,386.96","10,617,572.91","20,624,792.86","16,225,304.98","16,975,207.07","11,503,117.53","11,915,975.28","13,636,154.29","16,215,104.00","13,902,369.23","58,362,347.21","33,986,647.58","17,414,866.52","12,797,860.02","2,772,162.55","14,277,897.39","19,976,846.97","37,315,909.58","43,943,827.73","31,452,871.64","26,702,566.21","31,153,356.89","28,488,342.17","23,711,198.80","30,146,662.13","28,910,860.15","31,964,985.18","41,547,138.42","36,845,202.00","39,904,116.74","44,434,587.03","32,912,777.57","46,430,923.99","23,257,176.70","30,111,430.43","25,578,712.15","85,271,659.87","45,405,628.36","54,391,677.42","78,652,508.63","93,927,016.82","75,850,259.07","119,191,708.47","69,371,629.39","46,051,887.24","43,014,682.68","35,147,660.03"
