科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"152,468,285.66","319,565,685.98","414,023,777.91","266,979,921.46","407,457,523.93","584,062,517.48","304,700,423.32","530,216,034.23","797,217,191.72","1,071,253,750.41","257,902,413.92","489,499,398.94","675,037,680.18","951,326,932.02","335,991,375.24","610,062,267.01","830,714,061.67","1,186,224,703.11","280,343,353.23","598,069,546.42","882,445,018.86","1,207,179,702.30","278,547,259.95","677,509,123.82","920,819,898.04","1,267,629,195.49","485,122,844.72","1,045,880,022.80","1,477,608,847.87","2,140,846,680.03","603,451,351.61","1,289,526,401.45","2,116,500,675.94","2,772,135,813.82","638,533,119.94"
二、营业利润,"16,475,016.09","43,157,534.27","54,851,202.65","38,620,264.62","50,068,885.29","65,490,625.91","34,330,619.58","42,560,880.00","60,796,066.79","78,731,989.98","16,485,651.34","35,707,654.17","34,727,706.36","40,952,018.11","12,276,762.19","14,889,279.83","4,079,861.69","11,518,892.68","2,208,325.00","49,406.80","3,247,149.53","11,715,392.76","2,466,906.65","33,857,810.66","40,362,921.51","57,481,122.23","24,735,638.92","61,863,165.14","90,948,139.61","96,890,363.73","31,753,773.19","76,966,516.03","111,433,619.68","131,200,390.26","46,952,488.34"
减:营业成本,"116,163,744.01","244,190,566.81","311,482,263.41","201,984,027.93","316,086,982.94","460,070,095.41","247,723,323.18","447,354,682.74","675,381,090.66","909,227,436.21","221,400,555.67","402,546,165.76","553,292,560.91","798,190,516.67","293,667,145.63","520,535,485.86","716,663,410.77","1,032,210,644.38","251,545,749.97","540,871,362.78","786,282,132.01","1,070,231,664.05","251,370,582.36","587,964,490.29","803,827,642.40","1,096,772,657.89","421,238,763.50","910,934,816.91","1,265,885,972.80","1,828,620,357.09","510,425,599.31","1,078,428,875.81","1,823,358,910.07","2,416,541,483.27","526,169,283.71"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"323,153.34","1,031,751.95","785,210.63","567,601.14","908,489.59","1,323,736.33","430,927.85","908,123.13","1,121,496.68","1,420,779.25","801,310.66","2,442,171.76","3,193,831.45","3,443,621.62","334,656.28","1,382,286.32","1,957,613.54","2,189,226.40","152,498.52","515,543.42","869,635.25","1,579,412.27","146,176.82","1,563,211.11","2,607,313.38","4,134,299.56","730,910.37","1,450,806.13","1,562,919.64","8,835,607.08","757,878.77","3,825,140.00","6,657,349.60","10,352,242.85","2,502,009.97"
营业外收入,"2,254,303.70","4,300,122.04","7,841,062.78","1,886,456.62","6,401,506.83","12,135,866.22","1,491,875.08","5,256,904.85","8,096,586.37","10,253,137.00","9,535,678.52","11,581,756.87","13,645,714.24","24,776,902.77","765,274.95","3,206,723.73","4,828,207.98","8,536,755.52","2,888,744.25","7,790,948.51","13,345,459.89","18,494,479.72","4,093,085.54","15,973,702.38","18,721,638.26","23,766,575.98","5,488,225.39","10,373,923.78","14,640,849.27","20,389,452.65","6,139,240.42","11,794,716.09","25,195,917.15","24,196,871.87","5,496,301.77"
销售费用,"5,700,157.08","9,316,227.81","12,267,750.01","6,144,164.88","9,407,409.82","13,733,364.60","4,999,567.97","11,476,070.73","16,631,019.30","22,296,543.84","7,941,744.93","18,483,988.99","27,855,526.64","36,081,910.41","9,974,522.56","20,322,641.84","27,659,306.83","34,290,264.20","7,983,497.24","17,833,748.64","25,735,566.48","36,618,634.01","8,175,724.55","18,053,501.00","24,882,963.23","33,547,253.76","12,505,139.74","31,341,061.83","44,453,753.68","61,734,159.83","20,267,959.02","35,722,136.23","55,715,726.79","75,792,101.99","21,060,630.46"
减:营业外支出,"1,035,320.81","607,707.89","128,425.56","400,713.17","641,122.83","825,827.30","69,894.86","462,835.11","569,507.23","1,182,133.90","9,700.87","297,018.13","755,147.86","1,444,727.28","815,842.11","727,823.78","997,806.92","2,583,817.82","453,513.07","602,625.48","832,102.59","1,032,501.89","1,033,068.66","1,340,863.17","1,584,279.84","2,007,091.16","6,972,720.88","7,300,741.19","8,196,756.75","2,697,556.25","187,895.35","412,769.54","893,246.57","2,627,960.34","82,826.88"
管理费用,"8,942,321.19","13,753,349.18","25,699,217.80","14,689,109.29","23,537,176.51","31,088,099.80","10,135,304.79","20,019,496.49","34,192,331.55","49,186,557.61","13,681,502.13","31,914,548.84","54,334,496.58","62,282,214.68","15,418,021.19","38,695,464.56","54,826,507.00","71,294,850.60","13,536,861.44","28,438,467.12","42,021,206.16","59,111,125.58","15,935,855.92","31,379,884.47","47,812,908.08","72,127,189.65","20,464,846.71","42,255,671.30","72,978,626.25","128,375,388.74","32,613,818.45","53,686,493.04","76,227,019.92","106,734,752.93","25,940,504.85"
其中:非流动资产处置净损失,"890,000.88",,,,,"1,529.81",,"12,128.81",,"70,814.39",,"30,112.48","30,112.48","119,277.87",,,399.17,"1,043,668.26",,"11,524.33",,"158,130.55",,"32,938.66",,"142,545.68",,"6,073,177.14",,"496,635.60",,"189,634.94","267,532.56",,
