科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,978,487,563.81","3,633,283,241.81","6,125,427,623.52","10,218,614,512.97","1,726,176,791.93","3,270,800,219.36","4,325,459,005.79","5,945,670,604.57","1,790,082,283.46","3,982,857,697.12","5,353,234,014.21","6,971,380,329.07","1,896,286,716.34","3,833,068,782.29","6,289,045,697.36","8,207,540,703.98","2,464,674,560.28","4,633,984,313.90","8,117,255,116.45","13,394,972,903.67","5,712,022,711.95","19,711,887,381.55","26,354,258,941.38","33,446,639,919.41","4,756,792,195.93","10,130,059,057.72","15,192,289,257.77","20,712,037,550.74","4,900,234,657.75","10,050,477,507.69","14,877,838,603.04","21,575,648,466.47","3,863,573,856.07","7,609,914,198.15","11,359,691,687.36","15,270,373,023.59","6,839,194,354.71"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"194,368,614.55","385,882,656.05","576,027,374.90","795,788,659.96","154,351,835.88","332,434,271.61","577,382,130.14","879,726,899.40","255,334,092.02","534,853,463.73","802,784,066.63","1,040,851,851.64","237,825,504.66","482,464,566.57","766,143,561.81","970,650,664.61","231,224,726.72","565,314,665.58","934,371,670.70","1,498,782,708.67","632,721,887.65","2,239,143,288.55","2,814,345,057.80","2,930,057,386.58","48,615,002.94","163,376,675.66","339,616,572.99","727,926,502.80","334,268,807.63","385,556,452.73","389,621,351.96","469,783,802.56","152,225,651.95","212,620,715.65","246,609,413.36","3,688,581,428.26","682,553,924.81"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,676,254,637.25"
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,993,700,712.44"
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"1,490,759,799.67","2,933,360,655.71","4,465,578,771.14","6,812,130,575.20","1,275,644,113.37","2,500,298,327.60","3,547,595,386.15","4,430,362,807.83","1,177,397,778.00","2,245,830,755.30","3,070,965,955.16","3,851,287,485.86","1,033,121,371.89","1,965,783,782.61","3,166,570,323.73","4,293,843,145.31","1,434,297,550.33","2,425,559,449.04","4,565,482,585.08","7,976,506,522.60","3,389,760,726.02","10,400,661,773.21","14,760,898,122.11","19,584,999,280.14","3,207,437,176.18","6,363,726,734.23","9,439,430,597.19","13,014,846,047.53","2,707,714,130.09","5,237,718,961.60","8,069,971,561.08","11,228,226,766.83","2,269,640,413.84","4,455,946,621.83","6,550,847,614.78","8,618,616,734.14","2,419,936,795.84"
营业税金及附加,"94,181,279.45","173,296,465.91","253,197,734.56","395,177,313.38","89,005,468.32","170,337,244.09","226,539,935.79","283,649,544.56","86,514,683.74","165,866,440.18","239,794,286.59","301,760,916.72","85,774,251.07","188,116,358.22","279,361,793.36","387,831,174.28","124,685,238.13","237,036,671.06","434,501,721.88","763,802,475.55","341,772,245.74","1,081,059,152.32","1,545,939,380.94","1,928,043,807.85","276,443,254.65","396,213,075.52","430,436,360.79","475,223,914.43","32,157,634.95","62,627,637.20","92,466,811.86","125,781,486.55","27,317,054.94","55,582,575.79","78,355,580.74","105,883,906.59","30,524,023.73"
