科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
分配股利、利润或偿还利息支付的现金,,,"256,888.25","116,044.00","775,124.24","824,923.02","1,565,853.70","152,506.67","10,329,816.32","10,551,237.66","11,989,730.46",,"10,214,306.84","10,214,306.84","10,700,000.00",,"91,116.67","1,319,085.20","4,434,644.08","1,427,095.54","16,999,957.12","18,042,216.52","27,156,679.03","632,369.28","6,236,592.36","6,764,575.83","7,068,587.97","743,277.97","6,639,994.48","7,431,853.36"
收回投资收到的现金,,,"50,000,000.00",,,,,,"171,559.95","175,204.95",,,,,,,,,,,,,,"2,300,000.00","7,440,000.00","7,440,000.00",,,,
支付其他与筹资活动有关的现金,,,"24,588,338.21",,"18,125,912.00","20,674,919.26","17,846,912.00","80,000.00","950,000.00","884,841.50",,,"8,894,190.57","25,215,243.96","39,302,361.15",,"40,852,736.62","136,215,562.85","27,719,896.86","2,124,503.44","56,307,376.64","76,988,969.50","112,715,108.81","34,157,356.13","56,335,358.05","85,890,494.75","126,203,791.04","42,559,707.71","88,863,727.46","138,944,549.30"
取得投资收益收到的现金,,,"97,806.96",,,,,,,,,,"23,589.04","525,588.57",,"1,104,356.22","1,140,611.01","1,140,611.01",,,,,,"4,259.78","14,520.47","14,520.47",,,,
筹资活动现金流出小计,,,"32,473,511.11","116,044.00","18,901,036.24","28,699,842.28","33,718,989.27","6,952,506.67","29,126,728.32","29,282,991.16","42,997,450.62",,"19,108,497.41","35,429,550.80","50,002,361.15","21,888,125.16","62,831,978.45","159,422,773.21","76,329,876.72","4,051,598.98","117,777,253.76","173,001,106.02","263,099,808.99","59,362,803.67","111,145,028.67","163,228,148.84","205,845,457.27","53,302,985.68","105,503,721.94","183,964,953.33"
处置固定资产、无形资产和其他长期资产收回的现金净额,"61,000.00","55,500.00",,,"10,000.00","10,000.00",,,,"1,003.00",,100.00,,"120,576.00","122,206.00","300,000.00","300,000.00","350,000.00","2,296,965.68",,"16,733,157.75","20,735,157.75","20,737,621.75","10,000.00","86,000.00","3,412,602.32","3,412,602.32","8,291.60","169,247.60","551,717.60"
筹资活动产生的现金流量净额,,"63,894,203.61","25,721,348.18","6,626,004.39","-981,680.31","262,101,578.93","252,887,118.75","-6,952,506.67","-11,279,816.32","-10,631,237.65","-9,964,238.62",,"-19,108,497.41","-10,319,657.90","-24,742,468.25","-21,398,125.16","28,476,159.85","-34,640,747.28","38,594,125.94","69,516,754.60","18,650,983.57","24,426,431.68","16,443,352.81","168,934,087.31","135,893,125.60","288,111,561.65","275,985,767.74","14,927,755.67","71,644,952.75","108,533,832.57"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"13,164.53","-50,998.30","-162,012.37","25,875.05","-75,710.03","-317,867.04","-31,075.91","66,296.20","-82,612.18","-19,764.35",,"-90,692.38","-95,789.92","-105,924.55",,"50,978.58","62,806.82","-147,478.20",,"-60,617.60","-125,567.88","42,778.73","822,774.69","-99,302.23","499,552.54","765,753.69","3,158,905.99","-291,107.58","-1,174,406.66","-2,557,982.64"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,"43,375.93",,,"1,165,688.14",,,"14,047,307.99","42,361,241.34","17,963,301.11","17,963,301.11","17,963,301.11","384,822,995.41","336,554.57","249,972,103.37","289,268,545.21"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"61,000.00","55,500.00","50,097,806.96",,"10,000.00","10,000.00",,,"171,559.95","176,207.95",,100.00,"23,589.04","646,164.57","122,206.00","1,447,732.15","1,440,611.01","1,490,611.01","3,462,653.82",,"16,733,157.75","34,782,465.74","63,098,863.09","20,277,560.89","25,503,821.58","28,830,423.90","388,235,597.73","344,846.17","250,141,350.97","289,820,262.81"
五、现金及现金等价物净增加额,"6,321,664.24","85,653,074.52","-63,794,197.45","16,573,002.62","3,307,245.60","254,614,263.19","234,644,747.59","2,190,999.79","10,192,054.86","-21,092,422.73","-29,462,453.74","-9,783,109.77","-50,295,325.55","-54,056,043.36","-92,140,507.79","-76,888,966.98","-58,306,069.55","-72,764,890.15","-75,670,262.81","2,278,490.52","-26,659,636.57","-14,578,251.13","11,703,364.40","36,882,094.57","47,723,631.95","139,781,626.69","-31,671,660.45","81,985,480.33","111,978,038.09","124,059,951.86"
购建固定资产、无形资产和其他长期资产支付的现金,"5,823,223.96","13,931,966.81","97,099,780.91","2,305,266.71","17,006,347.63","19,251,518.87","27,165,510.35","6,482,900.39","23,798,953.32","38,059,570.94","74,594,154.14","11,018,065.86","64,330,121.51","118,410,886.63","149,224,820.17","49,048,495.54","79,992,417.57","123,207,745.64","207,001,364.42","21,180,810.54","43,206,313.90","58,375,435.38","67,438,048.06","11,658,098.94","60,177,092.26","104,418,335.63","186,236,604.81","38,313,456.24","79,361,332.47","100,866,528.28"
期初现金及现金等价物余额,"5,454,455.07","11,776,119.31","97,429,193.83","35,869,496.38","33,634,996.38","33,634,996.38","33,634,996.38","268,279,743.97","268,279,743.98","268,279,743.97","268,279,743.97","238,817,290.23","238,817,290.23","238,817,290.23","238,817,290.23","185,624,843.59","146,676,782.44","146,676,782.44","146,676,782.44","102,006,519.63","102,006,519.63","71,006,519.63","71,006,519.63","82,709,884.03","82,709,884.03","82,709,884.03","82,709,884.03","121,315,853.93","51,038,223.58","51,038,223.58"
投资支付的现金,,,"50,000,000.00",,,,,"21,048.63","21,048.63",,,,,"1,764,700.00","51,764,700.00","30,000,000.00","30,000,000.00","31,500,000.00","31,500,000.00","10,079,270.00","10,000,000.00","12,800,000.00","12,800,000.00","100,480,000.00","101,440,000.00","101,440,000.00","500,000.00",,,"60,000,000.00"
期末现金及现金等价物余额,"11,776,119.31","97,429,193.83","33,634,996.38","52,442,499.00","36,942,241.98","288,249,259.57","268,279,743.97","270,470,743.76","278,471,798.84","247,187,321.24","238,817,290.23","229,034,180.46","188,521,964.68","184,761,246.87","146,676,782.44","108,735,876.61","88,370,712.89","73,911,892.29","71,006,519.63","104,285,010.15","75,346,883.06","56,428,268.50","82,709,884.03","119,591,978.60","130,433,515.98","222,491,510.72","51,038,223.58","203,301,334.26","163,016,261.67","175,098,175.44"
