科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"330,834,656.77","334,834,269.88","449,817,006.07","237,609,563.14","399,580,063.79","518,122,351.67","91,992,502.10","239,185,276.05","412,713,116.34","567,554,914.69","108,607,837.11","280,536,391.09","481,733,517.90","661,175,052.85","104,180,710.51","316,607,917.21","569,428,001.19","840,910,891.69","134,588,621.14","372,357,128.79","643,036,896.82","901,173,625.04","154,419,432.34","448,898,773.53","775,961,804.18","1,093,940,166.36","155,075,660.59"
二、营业利润,"88,339,149.95","117,234,176.32","130,045,794.69","66,661,751.45","116,505,484.69","150,271,643.59","17,498,051.00","77,758,456.58","147,681,219.63","207,601,609.22","36,959,789.78","102,075,919.39","185,208,460.33","247,854,593.24","28,347,859.78","115,106,479.91","216,639,198.98","292,708,738.40","34,836,580.05","114,769,452.99","216,681,666.02","301,250,905.25","40,951,450.67","164,630,748.52","302,537,783.96","424,741,560.92","49,801,991.98"
减:营业成本,"185,494,104.29","157,560,278.82","217,876,280.64","115,540,028.68","193,950,920.82","248,967,444.85","42,268,781.72","107,872,154.88","183,080,341.18","248,072,598.61","43,886,387.40","118,083,982.46","203,498,555.19","280,054,345.71","43,914,217.78","138,331,091.07","255,522,089.14","393,925,073.86","67,033,364.13","176,162,339.81","308,294,380.99","426,514,631.63","72,316,957.20","207,532,060.73","355,051,142.09","511,899,978.48","74,384,008.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,688,347.04","2,806,739.68","3,964,388.00","1,961,086.00","3,652,295.90","4,747,403.59","989,203.43","2,909,461.99","4,404,719.12","5,657,282.23","880,277.91","2,597,464.81","4,408,468.09","5,746,548.58","796,604.22","2,654,497.49","4,928,150.20","7,234,057.93","1,223,298.76","2,606,122.27","4,811,661.08","8,801,740.33","1,184,829.76","5,569,756.50","7,986,597.47","12,293,270.16","1,232,195.19"
营业外收入,"23,066,803.33","47,036,921.25","23,141,193.75","7,118,445.52","17,526,305.38","43,320,907.98","2,371,696.64","6,874,213.23","24,918,169.99","43,468,304.21","7,362,582.41","19,276,514.60","36,728,833.47","45,172,006.62","6,911,736.76","13,838,858.28","27,105,629.43","42,591,069.67","7,824,043.22","21,836,855.56","34,031,676.21","58,173,592.80","6,401,848.05","1,203,150.67","3,721,782.03","349,515.24",
销售费用,"33,673,860.95","33,154,457.51","45,368,143.53","26,451,021.79","42,987,499.13","60,020,043.68","17,771,686.04","30,637,512.55","46,683,493.29","63,561,171.93","16,054,088.13","36,482,812.36","55,653,679.89","76,200,797.83","17,721,728.45","41,240,193.42","64,078,552.37","93,895,571.02","22,021,654.26","51,578,028.56","76,622,787.01","114,429,040.64","29,171,802.92","61,576,582.41","91,780,020.82","144,015,887.60","26,554,048.83"
减:营业外支出,"1,335,768.96","50,000.00","30,217.42",256.00,256.00,"126,074.92",,"755,986.42","755,986.42","756,411.42",,"4,745.63","4,745.63","6,735.68",,,"2,330.27","9,237.27",,"100,217.50","154,560.45","446,819.28",871.99,"152,737.39","855,732.56","31,604.35","2,746.19"
管理费用,"28,887,630.58","39,484,980.58","55,444,080.69","27,827,441.56","43,803,107.62","60,672,314.78","23,093,791.23","36,073,564.67","54,615,296.54","72,779,252.85","21,491,503.87","39,315,443.57","56,357,267.00","77,535,875.97","21,108,662.55","43,930,056.56","66,527,107.46","97,537,997.77","20,236,191.49","45,233,113.18","63,104,603.74","91,700,519.58","21,633,759.74","42,324,994.56","64,494,210.05","96,932,264.63","23,476,012.48"
其中:非流动资产处置净损失,,,,,256.00,"126,074.92",,,,425.00,,"4,745.63","4,745.63","6,735.68",,,"2,330.27","2,330.27",,"20,217.50","74,560.45","366,819.28",871.99,"1,950.83","704,946.00",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-8,585,549.45","-3,042,013.29","-1,752,660.74","-1,614,264.48","-2,876,310.59","-8,575,332.59","-5,871,683.05","-11,166,048.83","-16,756,735.29","-22,717,210.76","-6,252,518.83","-13,041,396.01","-16,189,329.13","-8,631,111.50","-2,683,005.22","-3,795,879.12","-8,959,383.95","-13,254,431.94","-1,103,978.12","-3,807,447.24","-5,871,450.81","-11,848,966.29","-1,194,270.10","-1,194,374.06","-2,841,727.38","-2,173,661.41","4,664,413.59"
