科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"212,407,865.65","243,837,113.89","315,329,370.35","57,255,078.21","151,458,766.65","265,469,295.91","342,295,945.51","49,185,462.59","144,709,738.95","233,811,023.25","312,920,471.19","75,813,944.37","205,142,793.28","390,645,735.07","474,310,133.26"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"79,205,958.78","125,321,888.86","125,321,888.90"
收到的税费返还,"342,917.16","452,149.88","239,316.16","83,760.65","167,521.30","309,820.41","405,546.87",,"23,818.97","388,776.10","518,165.42",,"1,606,887.52","2,786,169.20","4,776,664.73"
支付其他与投资活动有关的现金,,"5,000,000.00",,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,222,187.41","4,280,979.32","21,973,305.41","1,015,900.83","2,310,757.23","2,478,926.13","1,208,831.20","523,973.63","1,279,077.30","1,516,891.68","44,193,477.12","1,067,030.94","3,869,714.22","6,240,281.49","12,674,890.43"
投资活动现金流出小计,"63,125,067.04","25,244,787.15","15,153,518.80","7,880,100.31","13,929,423.51","67,625,577.08","84,379,278.88","8,432,534.18","10,797,050.80","17,017,032.22","46,828,957.31","22,453,120.08","110,642,827.67","282,757,134.51","381,796,786.72"
经营活动现金流入小计,"218,972,970.22","248,570,243.09","337,541,991.92","58,354,739.69","153,937,045.18","268,258,042.45","343,910,323.58","49,709,436.22","146,012,635.22","235,716,691.03","357,632,113.73","76,880,975.31","210,619,395.02","399,672,185.76","491,761,688.42"
投资活动产生的现金流量净额,"-58,125,067.04","-19,229,787.15","-14,991,518.80","-7,880,100.31","-13,929,423.51","-67,625,577.08","-84,379,278.88","-8,432,534.18","-10,599,050.80","-16,819,032.22","-46,629,457.31","6,554,201.31","-56,936,246.29","-121,506,912.23","-111,245,851.64"
购买商品、接受劳务支付的现金,"124,871,618.03","147,175,942.30","219,473,577.86","71,883,664.31","103,704,584.08","214,405,914.09","269,186,913.56","54,198,459.07","99,105,690.04","195,599,332.20","215,676,748.21","77,289,082.09","140,925,569.45","314,733,331.52","309,997,698.06"
吸收投资收到的现金,,,,"256,932,000.00","256,932,000.00","256,932,000.00","256,932,000.00",,,,,,"298,766,626.00","298,766,626.00","298,766,626.00"
支付给职工以及为职工支付的现金,"28,362,114.90","36,852,882.35","45,546,867.46","14,705,425.89","25,939,633.66","39,400,805.33","51,919,409.50","18,476,890.69","32,642,350.18","46,738,863.84","60,349,045.09","18,508,394.89","42,674,768.68","69,133,281.66","96,373,579.15"
取得借款收到的现金,"19,000,000.00","36,700,000.00","91,175,680.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,"8,844,417.96","19,050,852.40","19,684,066.49"
支付的各项税费,"17,710,067.12","25,676,407.07","26,633,735.37","9,052,811.09","20,032,702.34","31,542,313.68","34,502,823.86","5,971,153.99","11,909,729.65","29,058,006.78","34,032,740.90","5,016,076.12","17,430,114.69","42,241,275.90","50,859,672.51"
收到其他与筹资活动有关的现金,,,"1,846,074.64","878,887.11","208,207.34","362,931.04","485,194.31",,"112,922.60","3,953,529.51","4,887,305.18","34,019.80","245,281.02","534,008.37","1,418,924.38"
支付其他与经营活动有关的现金,"22,470,986.12","22,805,331.82","21,462,853.89","8,161,234.07","14,469,281.62","20,588,724.69","21,888,659.04","7,570,775.66","13,739,670.35","33,952,873.23","70,700,004.48","7,869,794.83","23,316,210.48","34,301,857.29","56,188,479.44"
筹资活动现金流入小计,"19,000,000.00","36,700,000.00","93,021,754.64","272,810,887.11","272,140,207.34","272,294,931.04","272,417,194.31",,"112,922.60","3,953,529.51","4,887,305.18","34,019.80","307,856,324.98","318,351,486.77","319,869,616.87"
经营活动现金流出小计,"193,414,786.17","232,510,563.54","313,117,034.58","103,803,135.36","164,146,201.70","305,937,757.79","377,497,805.96","86,217,279.41","157,397,440.22","305,349,076.05","380,758,538.68","108,683,347.93","224,346,663.30","460,409,746.37","513,419,429.16"
偿还债务支付的现金,"3,000,000.00","28,700,000.00","69,679,680.00",,"63,496,000.00","63,496,000.00","63,496,000.00",,,,,,"3,000,000.00","3,000,000.00","6,600,000.00"
经营活动产生的现金流量净额,"25,558,184.05","16,059,679.55","24,424,957.34","-45,448,395.67","-10,209,156.52","-37,679,715.34","-33,587,482.38","-36,507,843.19","-11,384,805.00","-69,632,385.02","-23,126,424.95","-31,802,372.62","-13,727,268.28","-60,737,560.61","-21,657,740.74"
分配股利、利润或偿还利息支付的现金,"132,066.67","1,658,052.28","4,172,689.19","1,149,613.70","1,602,933.32","1,602,933.32","1,602,933.32",,"10,798,080.00","10,798,080.00","10,798,080.00",,"10,248,816.70","10,577,170.31","10,679,696.46"
收回投资收到的现金,,,,,,,,,,,,"29,000,000.00","53,450,000.00","161,050,000.00","269,050,000.00"
