科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"444,004,297.21","542,311,281.62","399,478,342.25","283,521,169.33","417,850,651.62","417,861,990.34","347,825,595.42","386,826,320.19","541,410,187.83","638,889,043.19","560,692,192.90","1,467,931,508.29","1,153,997,306.86","688,531,570.26","721,519,924.05","564,389,595.50"
短期借款,"656,750,000.00","891,750,000.00","1,127,500,000.00","1,079,500,000.00","1,115,800,000.00","1,046,300,000.00","1,119,400,000.00","1,113,400,000.00","938,500,000.00","866,000,000.00","785,000,000.00","667,000,000.00","529,500,000.00","555,500,000.00","606,000,000.00","692,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"24,155,040.00","14,030,000.00","66,112,462.20","83,159,690.00","56,979,628.00","42,168,441.00","41,113,682.01","48,707,222.32","52,084,178.42","54,450,417.69","44,144,134.55","56,724,741.16","57,223,708.43","62,417,893.73","110,264,863.52","126,641,472.21"
应付票据,"286,038,588.29","263,662,538.95","275,317,686.00","651,931,503.24","632,675,060.17","659,200,005.67","722,609,402.28","843,069,776.38","1,083,107,117.92","1,165,400,739.25","1,105,202,463.36","1,143,653,583.79","907,572,113.43","711,901,860.63","740,288,324.57","723,037,863.53"
应收账款,"297,647,740.87","382,102,620.46","526,984,881.46","633,945,533.41","671,492,607.77","584,836,216.30","680,668,965.10","771,371,634.32","1,005,696,812.74","1,008,858,152.52","1,020,041,445.25","981,784,395.94","1,286,827,391.23","1,139,355,746.20","1,212,548,927.02","1,304,040,288.56"
应付账款,"251,044,666.37","330,264,585.02","439,709,460.89","375,604,773.17","415,713,093.11","370,182,667.02","266,539,279.40","298,076,440.51","310,268,101.37","399,700,676.27","529,134,118.26","624,688,175.18","773,739,142.17","799,443,799.81","915,775,101.83","879,977,399.47"
预付款项,"20,889,544.85","16,201,654.12","13,343,305.79","31,809,215.93","45,372,863.63","76,606,983.16","79,393,147.81","78,874,472.50","18,848,546.23","27,454,531.30","20,069,151.67","24,394,286.33","17,974,103.24","63,013,235.23","22,820,691.32","30,935,242.31"
预收款项,"37,051,375.28","74,143,894.55","26,016,730.43","23,716,449.43","26,218,347.51","44,304,277.90","44,825,136.67","18,105,116.24","17,617,644.38","11,865,724.17","10,396,415.22","24,572,473.82","39,640,406.48","40,704,918.83","16,650,866.83","46,274,701.01"
其他应收款,"37,003,247.29","37,338,762.79","33,347,005.95","31,127,811.67","40,062,550.19","68,312,413.36","58,349,455.36","112,155,738.69","54,591,157.58","71,207,364.30","116,646,020.61","120,002,523.12","108,887,091.92","47,443,524.99","101,034,079.01","131,674,427.25"
应付职工薪酬,"24,053,435.42","28,498,164.61","29,672,964.99","28,933,810.68","40,103,852.81","23,577,822.81","34,038,168.15","37,992,859.03","47,169,201.33","20,432,495.98","31,436,212.23","27,039,424.44","38,891,830.97","26,150,182.19","23,838,384.19","18,651,994.57"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"27,413,541.73","48,545,076.75","74,499,151.63","102,165,673.42","110,692,583.72","65,726,555.54","78,936,165.65","85,127,208.40","124,701,337.84","154,312,366.49","108,227,292.79","84,571,941.47","23,590,936.04","-8,658,736.29","7,045,734.26","-8,662,211.96"
应收利息,,,,,,,,,,,,,,,,
应付利息,"1,399,697.72","1,706,893.82","1,960,551.66","279,580.93","95,123.52","753,932.85",,,"756,993.81","756,993.81","951,894.44",,"2,912,139.74","30,208.33","1,017,929.16","2,317,379.62"
应收股利,,,,,,,,,,,,,,,,
应付股利,,,"181,171.83","181,171.83","181,171.83","642,642.33","4,482,642.33","642,642.33","181,171.83","181,171.83","181,171.83","671,171.83","181,171.83","181,171.83","14,678,054.91","3,092,400.63"
存货,"443,227,900.20","615,169,325.53","858,964,119.29","1,077,684,412.56","1,111,939,517.01","1,233,099,293.55","1,268,203,700.91","1,186,039,311.90","1,078,763,214.53","1,277,387,456.13","1,488,406,128.93","1,818,221,971.59","1,699,065,916.98","2,125,515,988.93","2,199,161,274.54","2,185,579,310.79"
其他应付款,"12,612,233.45","21,435,813.01","30,857,217.95","30,422,176.64","39,887,085.65","52,910,931.90","39,116,991.79","18,520,327.64","84,657,562.63","58,468,747.71","71,032,532.84","66,923,682.62","111,353,269.78","98,596,649.14","61,036,487.28","75,584,327.37"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,"1,464,819.97","1,464,819.97","1,464,819.97","1,464,819.97","4,699,752.19","4,699,752.19","4,699,752.19","4,768,878.32","4,615,684.97","4,615,684.97","2,307,842.48","2,307,842.48","4,050,405.07","4,050,405.07","4,085,044.57",
一年内到期的非流动负债,"65,659,176.90","45,275,935.69","20,425,995.17",,"40,080,513.71","40,080,513.71","45,305,705.00","45,165,735.00","42,463,582.23","60,251,253.47","45,934,873.00","38,782,752.00","38,431,519.53","27,418,730.84","16,236,384.92","138,755,000.00"
其他流动资产,"115,769.95","152,735.44","330,691.20","545,925.38","473,754.00",,"211,602.95","407,381.00","1,337,641.97","1,016,613.11","1,253,224.76","1,187,926.23","20,929,703.83","16,814,258.56","28,375,137.44","28,375,137.44"
其他流动负债,,,,,,,,,,,,,"33,213,542.36","27,903,609.73","29,661,090.93","29,661,090.93"
流动资产合计,"1,268,508,360.34","1,608,771,199.93","1,900,025,628.11","2,143,258,578.25","2,348,871,324.41","2,427,585,089.90","2,480,465,901.75","2,589,150,959.24","2,757,347,424.27","3,083,879,263.21","3,253,560,141.15","4,472,555,195.14","4,348,955,627.56","4,147,142,622.97","4,399,809,941.47","4,371,635,474.06"
流动负债合计,"1,362,022,715.16","1,705,282,902.40","2,026,140,930.55","2,292,735,139.34","2,421,446,832.03","2,303,679,349.73","2,355,253,491.27","2,460,100,105.53","2,649,422,713.34","2,737,370,168.98","2,687,496,973.97","2,677,903,205.15","2,499,026,072.33","2,279,172,395.04","2,432,228,358.88","2,600,689,945.17"
可供出售金融资产,,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00",,,,,,
长期借款,"22,500,000.00","12,500,000.00","2,500,000.00",,,,,,,"60,000,000.00","570,000,000.00","700,000,000.00","980,000,000.00","1,010,000,000.00","1,273,000,000.00","1,228,855,000.00"
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,"45,749,256.99","10,425,995.17",,,"81,163,842.46","69,925,705.47","55,939,220.76","45,939,336.68","38,366,263.38","260,491,548.83","14,018,598.63","10,492,926.98",,,,
长期股权投资,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,
预计负债,,,,,,,,"4,965,000.00","4,165,000.00","4,165,000.00","3,582,914.00","1,706,891.95","4,455,773.74","4,455,773.74","4,455,773.74","4,455,773.74"
固定资产,"415,966,769.07","510,663,224.90","558,502,821.89","542,901,196.12","517,467,550.17","507,711,654.58","504,691,633.24","495,600,686.62","491,400,002.36","481,296,381.39","474,137,975.54","463,315,881.59","458,196,935.82","447,712,716.54","439,821,002.73","437,160,880.21"
递延所得税负债,,,,,,,,,,,,,,,"2,633,500.00","1,580,100.00"
在建工程,"90,422,437.37","9,186,446.31","12,204,310.45","190,008.00","6,098,015.22","7,321,039.06","2,355,556.23","2,344,022.49","27,470,331.55","49,510,950.29","118,872,147.81","166,703,905.97","325,060,019.22","446,544,040.58","475,271,315.54","650,535,998.10"
其他非流动负债,"866,250.00","821,250.00","776,250.00","1,783,605.00",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"69,115,506.99","23,747,245.17","3,276,250.00","1,783,605.00","82,909,502.46","71,633,420.47","57,586,490.76","52,536,161.68","44,125,143.38","326,212,483.83","589,119,502.63","713,679,863.93","986,397,873.74","1,017,802,028.74","1,283,397,583.74","1,238,419,138.74"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"1,431,138,222.15","1,729,030,147.57","2,029,417,180.55","2,294,518,744.34","2,504,356,334.49","2,375,312,770.20","2,412,839,982.03","2,512,636,267.21","2,693,547,856.72","3,063,582,652.81","3,276,616,476.60","3,391,583,069.08","3,485,423,946.07","3,296,974,423.78","3,715,625,942.62","3,839,109,083.91"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"91,000,000.00","91,000,000.00","91,000,000.00","91,000,000.00","91,000,000.00","121,340,000.00","121,340,000.00","121,340,000.00","121,340,000.00","121,340,000.00","242,680,000.00","331,960,880.00","331,960,880.00","341,110,880.00","337,450,880.00","337,210,880.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"81,729,692.29","81,729,692.29","81,729,692.29","81,729,692.29","81,729,692.29","246,409,210.92","246,409,210.92","246,409,210.92","246,409,210.92","246,409,210.92","125,069,210.92","1,158,955,982.68","1,159,943,131.12","1,232,411,671.12","1,206,115,111.12","1,206,194,029.12"
无形资产,"54,693,774.92","53,474,656.82","52,255,538.60","51,341,199.95","51,036,420.40","50,731,640.86","50,426,861.32","64,832,413.78","64,425,654.43","64,629,895.03","103,684,624.52","181,858,766.83","180,130,484.15","179,118,609.71","188,699,635.25","187,303,341.66"
盈余公积,"23,770,982.82","29,003,573.93","33,231,113.63","33,231,113.63","37,005,767.79","37,005,767.79","37,005,767.79","37,005,767.79","40,043,292.10","40,043,292.10","40,043,292.10","40,043,292.10","45,019,886.31","45,019,886.31","45,019,886.31","45,019,886.31"
开发支出,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,"48,499,489.22","47,935,920.22"
未分配利润,"202,162,559.57","250,903,227.76","287,506,394.75","317,266,467.23","322,640,133.35","325,155,034.15","331,318,488.59","339,362,973.51","343,146,206.36","349,567,651.85","367,423,556.27","382,262,783.70","382,117,687.28","389,181,526.53","402,143,914.47","424,450,392.34"
长期待摊费用,"117,248.60",,,,,,,,"412,111.29","388,750.35","365,389.41","342,028.47","318,667.53","295,306.59","315,945.65","387,907.70"
少数股东权益,"9,579,737.31","10,351,903.95","10,682,218.01","11,281,317.86","11,079,805.08","10,798,370.04","10,871,726.26","11,025,508.12","11,416,569.13","10,886,037.15","11,349,440.80","11,617,979.62","11,435,473.59","20,792,781.03","35,377,455.87","36,350,632.13"
递延所得税资产,"3,899,140.43","5,331,103.83","7,292,341.02","9,244,848.79","9,918,418.51","9,743,072.99","9,938,586.28","10,139,889.71","15,063,038.90","15,038,222.78","15,339,762.56","15,005,828.98","23,607,823.40","24,233,620.14","23,205,698.84","22,700,449.55"
外币报表折算价差,,,,,,,,,,,,,,,,
其他非流动资产,"6,942,054.62","5,477,234.64","4,012,414.67","82,913,799.69","115,220,963.97","113,835,645.97","112,634,737.97","106,439,405.84","100,853,810.02","138,106,239.52","98,356,828.00","17,776,828.00","81,000,951.42","81,917,868.39","167,583,777.84","172,058,867.08"
非正常经营项目收益调整,,,,,,,,,,,,,,,,
非流动资产合计,"572,041,425.01","584,182,666.50","634,317,426.63","686,641,052.55","699,791,368.27","689,393,053.46","680,097,375.04","679,406,418.44","699,674,948.55","749,020,439.36","810,756,727.84","845,003,239.84","1,068,314,881.54","1,179,822,161.95","1,343,396,865.07","1,518,083,364.52"
所有者权益(或股东权益)合计,"409,411,563.20","463,923,718.86","504,925,874.19","535,380,886.46","544,306,358.19","741,665,373.16","747,723,294.76","755,921,110.47","763,474,516.10","769,317,049.76","787,700,392.39","1,925,975,365.90","1,931,846,563.03","2,029,990,361.14","2,027,580,863.92","2,050,609,754.67"
资产总计,"1,840,549,785.35","2,192,953,866.43","2,534,343,054.74","2,829,899,630.80","3,048,662,692.68","3,116,978,143.36","3,160,563,276.79","3,268,557,377.68","3,457,022,372.82","3,832,899,702.57","4,064,316,868.99","5,317,558,434.98","5,417,270,509.10","5,326,964,784.92","5,743,206,806.54","5,889,718,838.58"
负债和所有者(或股东权益)合计,"1,840,549,785.35","2,192,953,866.43","2,534,343,054.74","2,829,899,630.80","3,048,662,692.68","3,116,978,143.36","3,160,563,276.79","3,268,557,377.68","3,457,022,372.82","3,832,899,702.57","4,064,316,868.99","5,317,558,434.98","5,417,270,509.10","5,326,964,784.92","5,743,206,806.54","5,889,718,838.58"
