科目,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"17,140,088,715.00","15,241,008,197.00","15,607,804,993.00","15,661,422,437.00","15,542,414,335.00","19,094,706,098.00","20,282,021,007.00","19,357,925,720.00","19,039,574,146.00","19,449,025,250.00","16,876,061,762.00","19,409,721,651.00","18,364,900,754.00","16,881,363,017.00","17,109,549,474.00","16,042,794,799.00","16,472,091,528.00","18,689,199,956.00","21,110,525,738.00","17,892,092,577.00","21,317,030,881.00","19,015,960,495.00","23,720,575,610.00","25,519,686,561.00"
短期借款,"1,792,822,169.00","2,525,576,998.00","1,602,473,300.00","2,520,750,363.00","2,415,775,505.00","2,506,372,919.00","2,316,749,068.00","2,122,182,869.00","2,699,658,000.00","2,803,796,336.00","6,452,334,353.00","10,547,032,188.00","4,540,003,707.00","4,239,397,743.00","4,178,807,080.00","3,338,375,717.00","3,934,204,390.00","3,531,126,466.00","3,439,373,318.00","2,303,915,847.00","1,216,108,718.00","1,403,057,437.00","1,600,647,168.00","1,217,762,476.00"
交易性金融资产,"2,254,500.00","2,254,500.00","2,254,500.00","2,254,500.00","31,455,460.00","14,718,737.00","13,189,627.00","12,218,057.00","2,562,128.00","22,568,340.00","2,562,128.00","2,562,128.00",,,"29,696,680.00","129,245,270.00","486,531,453.00","433,767,771.00","530,189,076.00","543,744,606.00","604,550,792.00","518,550,048.00","528,796,088.00","518,938,928.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"63,602,402.00","587,319,566.00","39,824,702.00","113,632,147.00","58,972,473.00","72,761,940.00","125,896,988.00","125,064,286.00","262,071,307.00","203,564,376.00","122,983,696.00","128,412,133.00","290,059,124.00","247,352,424.00","295,962,648.00","407,787,652.00","1,097,627,142.00","952,572,715.00","1,496,240,362.00","2,067,305,481.00","2,066,254,209.00","1,718,098,027.00","2,533,188,707.00","2,729,979,466.00"
应付票据,"677,860,160.00","1,032,286,727.00","956,829,669.00","972,124,592.00","1,110,902,432.00","886,854,467.00","635,347,534.00","723,002,707.00","944,121,785.00","874,976,453.00","680,385,510.00","884,473,022.00","1,066,508,882.00","958,760,139.00","695,696,105.00","656,598,785.00","682,448,383.00","708,290,939.00","345,100,762.00","244,925,105.00","385,064,846.00","342,362,152.00","450,059,780.00","428,264,410.00"
应收账款,"763,218,101.00","659,674,878.00","632,319,478.00","971,820,481.00","1,022,991,826.00","1,164,353,434.00","1,332,496,564.00","1,031,721,957.00","1,024,617,309.00","888,160,204.00","847,946,166.00","806,188,216.00","1,059,294,431.00","929,335,300.00","692,961,281.00","809,232,116.00","732,467,825.00","935,767,740.00","996,365,626.00","958,172,383.00","1,154,746,159.00","1,204,581,469.00","1,387,299,190.00","1,246,416,358.00"
应付账款,"1,850,407,788.00","2,675,651,246.00","1,860,779,391.00","2,276,909,893.00","2,817,242,871.00","3,468,565,706.00","3,757,541,013.00","3,308,847,782.00","3,624,094,809.00","3,633,079,536.00","3,836,695,612.00","3,744,932,137.00","4,601,334,714.00","4,353,947,044.00","4,935,107,341.00","5,898,975,951.00","6,673,973,005.00","7,083,686,376.00","8,099,798,356.00","8,939,398,938.00","8,999,168,326.00","10,428,091,315.00","11,205,987,963.00","10,770,641,259.00"
预付款项,"924,625,929.00","554,906,907.00","418,407,133.00","490,896,298.00","364,746,182.00","480,449,180.00","426,557,219.00","599,973,704.00","484,251,286.00","427,011,493.00","496,703,947.00","495,640,408.00","310,679,689.00","369,936,113.00","622,902,514.00","708,117,914.00","435,788,271.00","712,329,171.00","922,359,286.00","1,253,901,562.00","779,221,209.00","1,313,036,849.00","855,444,988.00","1,867,062,871.00"
预收款项,"335,058,069.00","308,070,144.00","310,398,608.00","244,253,433.00","398,296,126.00","347,595,894.00","565,956,563.00","612,319,945.00","408,946,249.00","610,028,721.00","460,319,926.00","431,257,771.00","498,205,341.00","529,561,436.00","606,656,164.00","916,004,474.00","1,261,586,423.00","1,633,853,592.00","1,903,118,861.00","2,665,285,000.00","1,328,170,019.00","1,106,040,401.00","907,197,692.00","1,471,323,028.00"
其他应收款,"361,968,037.00","356,206,448.00","3,872,060,301.00","1,418,723,061.00","462,854,923.00","524,497,389.00","667,766,242.00","570,993,027.00","782,285,559.00","539,827,680.00","847,012,134.00","753,867,402.00","806,747,617.00","806,891,809.00","671,900,008.00","652,422,594.00","856,934,826.00","883,921,010.00","640,353,567.00","883,614,768.00","581,977,177.00","709,897,926.00","805,876,477.00","591,230,295.00"
应付职工薪酬,"226,577,114.00","123,525,314.00","124,118,103.00","112,917,297.00","335,439,820.00","168,811,018.00","214,573,551.00","219,051,229.00","568,655,679.00","215,169,446.00","260,390,747.00","277,723,060.00","704,703,000.00","412,275,293.00","364,088,323.00","354,839,390.00","853,283,870.00","310,237,972.00","429,767,462.00","575,456,946.00","1,220,771,322.00","581,500,656.00","914,247,530.00","1,150,468,042.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-115,447,844.00","-124,222,370.00","-114,787,774.00","-72,404,595.00","258,514,117.00","268,379,989.00","182,081,816.00","176,726,139.00","384,219,415.00","215,336,617.00","166,794,536.00","176,824,267.00","271,602,037.00","183,998,628.00","166,264,152.00","300,491,325.00","567,065,553.00","684,429,936.00","766,621,338.00","1,138,374,473.00","1,132,530,216.00","1,623,786,434.00","1,163,281,613.00","1,458,777,968.00"
应收利息,"152,229,919.00","124,860,264.00","118,487,023.00","101,933,876.00","88,333,763.00","62,618,925.00","88,213,480.00","89,209,312.00","183,953,273.00","108,301,446.00","35,096,736.00","30,363,776.00","82,319,865.00","78,071,605.00","57,501,740.00","45,488,204.00","67,179,794.00","122,664,537.00","132,097,467.00","133,154,710.00","88,849,819.00","93,116,821.00","133,124,496.00","155,160,869.00"
应付利息,"186,832,553.00","256,950,808.00","80,508,098.00","151,165,617.00","192,105,233.00","278,168,522.00","152,643,996.00","276,802,779.00","361,091,263.00","290,691,353.00","126,961,372.00","222,343,685.00","300,394,773.00","185,175,015.00","312,063,258.00","249,668,847.00","295,511,569.00","138,395,299.00","199,729,739.00","347,753,542.00","328,585,201.00","86,869,042.00","143,476,068.00","261,161,435.00"
