科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"98,639,363.23","177,317,835.08","218,803,273.45","517,291,289.88","462,543,764.16","367,314,134.19","396,085,545.53","293,988,979.49","336,736,770.51","266,152,155.19","191,509,395.60","143,774,720.91","169,291,970.13","180,597,383.07","211,189,653.51","225,744,544.54","227,067,737.25","425,215,510.10","337,608,654.60","205,485,646.81","266,920,279.73","1,117,597,800.54","269,153,257.51","440,292,772.89","348,623,618.13","277,886,150.33","165,066,272.56","89,039,743.73","165,757,917.45"
短期借款,"16,000,000.00","50,000,000.00","199,456,985.00","207,000,000.00","189,000,000.00","237,000,000.00","297,000,000.00","342,000,000.00","310,000,000.00","430,500,000.00","267,460,700.00","303,460,700.00","310,000,000.00","296,000,000.00","272,000,000.00","288,000,000.00","209,000,000.00","311,500,000.00","197,000,000.00","195,500,000.00","194,700,000.00","156,300,000.00","146,300,000.00","66,500,000.00","288,500,000.00","257,500,000.00","280,000,000.00","249,500,000.00","249,500,000.00"
交易性金融资产,"419,587.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"6,200,000.00","7,111,616.00","13,311,616.00","11,891,616.00","3,000,000.00","2,611,100.00","3,900,000.00","3,550,000.00","3,100,000.00","8,262,040.58","11,762,040.58","4,500,000.00","750,000.00","16,616,600.00","6,555,829.00",,,,"4,442,053.49",,"1,000,000.00",,"12,000,000.00",,,,,
应付票据,"50,702,154.00","232,520,031.28","144,217,504.38","275,281,622.38","290,230,548.13","242,488,059.24","222,216,534.31","304,078,409.60","422,251,647.88","302,360,819.48","237,398,590.60","299,726,647.77","253,562,528.17","296,892,337.00","377,176,233.20","394,605,032.20","474,820,074.50","571,271,647.31","468,933,033.81","403,128,927.00","423,500,835.00","383,583,248.95","207,591,200.00","270,691,200.00","298,260,000.00","164,628,855.00","74,831,255.00",,
应收账款,"68,834,292.33","126,340,468.60","190,445,151.83","230,052,315.21","241,579,568.24","235,345,835.95","301,969,770.77","249,835,969.89","301,343,950.69","258,847,422.59","264,967,896.94","299,138,887.69","292,343,682.89","263,508,287.04","238,015,084.78","216,240,725.59","184,685,745.18","186,221,827.86","221,116,024.21","215,234,299.78","240,394,510.30","231,545,715.28","358,684,905.23","229,679,202.94","262,242,962.05","222,694,157.70","129,115.44","366,330.14","384,492.39"
应付账款,"100,040,260.41","142,557,473.85","346,160,893.78","183,916,935.99","253,423,648.60","248,617,876.36","196,695,116.12","90,780,130.76","139,945,200.84","120,164,724.79","190,593,101.65","188,871,182.00","264,978,626.63","300,744,593.18","317,843,951.34","266,706,358.31","304,771,236.81","286,352,640.95","278,433,178.52","190,692,124.70","223,930,849.45","211,343,081.39","313,574,673.77","185,316,716.83","367,908,801.99","235,565,529.43","409,007,621.48","325,245,777.28","302,690,107.62"
预付款项,"85,399,636.53","106,636,623.88","31,260,510.78","95,362,537.58","32,472,031.83","92,794,617.69","105,579,540.71","279,147,123.91","225,483,330.76","221,160,374.65","29,733,757.58","104,838,939.57","36,974,440.60","41,753,416.18","25,752,505.81","24,986,010.40","17,984,345.57","25,678,873.38","25,479,620.91","77,855,892.55","32,700,003.45","74,876,772.12","29,135,263.98","69,744,197.80","50,141,899.58","40,157,317.28","50,347.16","2,156,492.34","6,765,449.20"
预收款项,"355,697,533.52","268,190,792.11","118,123,797.40","27,153,896.53","39,142,286.47","22,536,859.12","100,894,099.35","126,807,546.56","101,667,961.41","70,442,268.39","10,904,420.57","18,030,908.44","39,211,557.32","25,374,447.87","18,319,714.00","19,319,714.00","46,172,969.68","58,111,379.68","17,063,735.76","39,337,843.08","29,088,675.10","982,243.26",,"55,447,716.36","114,025,224.44","136,464,945.04","95,340,297.29","69,291,101.50","220,484,127.66"
其他应收款,"8,717,590.06","13,320,939.67","8,582,640.26","8,850,052.25","9,342,313.22","13,003,754.86","31,263,692.52","34,827,752.47","56,134,192.50","64,068,571.27","61,848,410.53","66,160,755.07","64,203,015.33","69,922,847.03","63,702,516.07","61,246,809.57","56,610,013.74","47,416,363.01","36,067,009.07","46,057,809.01","52,657,115.28","70,054,398.71","49,895,261.10","48,835,684.95","26,655,560.07","27,009,692.19","1,531,272.72","1,514,312.83","2,841,220.34"
应付职工薪酬,"620,714.06","898,086.16","1,040,823.63","350,548.98","345,962.51","940,305.28","922,780.55","571,281.99","2,156,820.31","627,627.64","992,373.75","248,883.36","735,152.89","887,177.63","889,321.80","885,448.00","803,682.96","124,702.90","1,169,830.59","-487,321.65","1,015,827.48","2,033,745.21","3,990,657.08","5,386,374.71","7,485,003.21","11,886,561.78","12,898,519.42","12,768,060.28","12,632,181.23"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-8,825,124.07","-11,113,502.98","7,047,933.06","12,479,314.22","-11,494,208.76","1,395,329.50","-7,454,128.48","-6,085,975.59","-10,385,113.23","4,432,168.09","-12,112,448.56","-20,261,104.01","-2,275,611.83","767,027.56","1,856,574.26","1,644,589.36","-1,366,493.60","1,308,768.69","15,647,326.00","5,303,623.87","3,125,884.98","3,972,511.06","3,813,088.71","-1,602,808.16","3,811,218.01","10,549,694.01","31,020,435.84","29,797,306.95","2,592,198.56"
应收利息,,,,,,,,,,,,,,,,,,,,,,,"1,214,523.25","1,950,687.44","3,659,556.16","68,054.79","39,474.88","33,906.00","30,915.00"
应付利息,,,,,,,"3,689,759.04","8,002,464.41","12,363,088.73","16,771,631.99","4,415,721.37","8,314,362.62","12,674,986.94","17,083,530.20","4,724,847.15","7,983,296.83","12,343,921.15","16,752,464.41","1,976,104.09","3,582,977.50","6,484,399.98","9,716,465.04","4,089,209.64","8,982,022.22","7,504,970.44","32,575,061.26","417,956.46","1,541,105.31","340,695.62"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,"3,617,325.00",,,,"7,258,556.00",,,,,,,,"499,638.94","499,638.94","425,485.61","425,485.61","425,485.61","425,485.61","425,485.61","425,485.61","425,485.61","425,485.61","425,485.61","511,924.22","511,924.22"
存货,"258,940,031.34","271,023,567.96","422,452,943.02","275,043,524.70","457,946,081.38","503,911,382.36","648,980,048.55","663,444,317.11","671,122,827.79","726,345,154.84","587,295,358.73","580,908,106.79","703,439,655.55","758,867,240.19","747,437,800.10","612,090,675.80","647,233,971.76","775,550,254.62","690,361,408.30","566,888,023.40","595,791,055.68","580,340,156.37","395,087,928.16","498,251,052.93","569,623,319.07","626,941,883.77","59,074.12","63,532.06","24,124.73"
其他应付款,"2,542,717.28","1,231,229.23","8,175,739.10","6,083,975.10","20,877,743.90","21,635,228.32","16,389,273.08","14,334,770.50","11,299,624.25","24,838,529.72","24,352,732.74","21,398,980.06","20,228,807.43","18,923,284.86","20,302,885.09","23,176,664.22","22,884,125.31","12,940,484.55","538,743,066.49","517,366,913.87","510,106,533.68","364,480,635.67","420,753,242.84","861,175,488.42","785,757,496.19","991,769,228.79","29,301,990.88","213,861,683.34","234,858,563.69"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,"59,000,000.00","58,000,000.00","58,000,000.00",,"23,569,572.48","18,917,912.43","43,771,572.48","39,503,908.48","40,642,240.48","31,921,847.36",,"108,295,753.40",,,
其他流动资产,,,,,,,,,,,,,,,,,,,"1,538,934.62",,"2,071,130.58","11,265,749.86","535,010,321.33","326,429,469.24","235,852,551.10","244,753,417.30","143,758,366.95","152,312,214.07","155,540,802.09"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,"11,852,475.71","11,427,260.95","6,982,217.72","7,319,401.88","735,770.47","702,953.09","2,645,675.26"
流动资产合计,"520,950,501.34","700,839,435.19","878,656,135.34","1,139,911,335.62","1,215,775,374.83","1,215,369,725.05","1,486,489,698.08","1,525,144,142.87","1,594,371,072.25","1,539,673,678.54","1,143,616,859.96","1,206,583,450.61","1,270,752,764.50","1,315,399,173.51","1,302,714,160.27","1,146,864,594.90","1,133,581,813.50","1,460,082,828.97","1,312,171,651.71","1,115,963,725.04","1,190,534,095.02","2,086,680,592.88","1,638,181,460.56","1,627,183,068.19","1,496,799,466.16","1,439,510,673.36","310,633,923.83","245,486,531.17","331,344,921.20"
流动负债合计,"516,778,255.20","684,284,109.65","824,223,676.35","712,266,293.20","785,143,305.85","774,613,657.82","830,353,433.97","880,488,628.23","996,557,786.19","970,137,770.10","724,005,192.12","819,790,560.24","899,116,047.55","956,672,398.30","1,072,113,526.84","1,060,321,102.92","1,127,929,155.75","1,258,861,727.43","1,542,961,333.35","1,373,768,486.41","1,436,150,063.76","1,172,341,324.67","1,153,032,273.84","1,495,671,304.30","1,880,660,417.61","1,956,980,516.20","933,979,332.45","903,219,911.97","1,026,255,473.86"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,"60,000,000.00","60,000,000.00","60,000,000.00","59,000,000.00",,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,"246,921,373.89","247,065,430.19","247,213,716.13","247,366,367.53","247,521,835.41","247,676,729.63","247,836,171.70","248,000,307.66","248,167,471.99","248,334,019.51","248,505,457.03","248,681,941.58","107,732,851.05","107,808,610.41","107,885,787.83","107,965,273.82","108,046,263.98","108,126,992.79","108,210,129.67",,,,
长期应收款,,,,,,,,,,,"76,537,023.57","89,989,111.09","102,767,481.95","129,194,695.78","202,177,210.98","345,845,597.28","424,972,229.51","287,911,263.08","283,908,609.61","295,229,635.35","268,058,118.53","273,004,369.25","278,847,282.01","225,515,180.92","231,155,825.26","234,009,195.49",,,
长期应付款,,,,,,,,,,,,,,,,,,"44,801,861.17","28,828,414.92","28,828,414.92","32,310,493.45","25,220,127.58","14,857,580.32","15,182,080.63",,,,,
长期股权投资,,,,,,"299,502.84",,,,,,,,,,,,,,,,,,"6,180,000.00",,,"200,861.58","200,861.58","200,861.58"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,"778,000.00","778,000.00",,,,,,,,,,,"541,464.84","541,464.84","541,464.84",,,,,,,,,,,,
