科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"7,686.33","999,624.80","2,975,930.33","5,543,562.70","81,371.79","917,352.99","3,083,694.45","4,243,689.63","738,884.54","4,062,182.52","7,139,560.38","8,267,887.73","760,683.76","5,182,166.25","6,807,920.95","10,067,719.27","2,106,041.54","5,313,326.15","6,918,957.15","13,564,704.94","47,863.24","134,615.37","234,615.37","2,566,239.39","543,794.87","543,794.87","1,164,042.38","3,719,335.31","224,454.02","46,190,119.58"
二、营业利润,,"-49,270,466.97","-74,589,716.43","-65,558,384.27","-26,210,726.37","-53,696,527.08","-80,209,252.78","-112,107,082.13","-27,173,152.88","-54,076,425.53","-80,618,470.30","-114,717,528.01","-26,833,457.60","-54,315,428.84","-80,248,197.16","-105,504,935.82","-26,189,901.63","-58,555,336.79","-85,836,082.39","-112,981,235.25","-25,848,888.71","-51,145,075.92","-76,918,814.72","-110,464,592.11","-23,388,084.73","-48,787,033.20","-72,989,085.77","-107,291,879.75","-23,417,585.54","2,662,689.52"
减:营业成本,"7,686.33","924,380.93","968,686.46","18,315,202.50","81,098.01","812,547.98","2,817,300.19","5,846,013.69","679,449.69","3,903,048.71","6,697,224.30","10,155,326.32","722,649.57","4,923,057.94","4,923,057.94","9,977,450.73","991,033.76","7,054,440.09","8,133,488.06","21,100,736.94","46,572.31","126,357.60","131,957.60","8,618,823.47","31,300.55","31,300.55","620,535.68","8,520,251.84","213,231.32","25,908,935.77"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,"1,598.77",,"1,323.48","4,843.35","5,669.97","1,210.32","1,210.32","1,210.32","13,610.85","1,262.88","8,497.15","9,497.15","13,308.43",,"3,417.20","5,377.19","15,682.81",26.33,26.33,26.33,"5,602.75",,,,"3,081.36",,"449,236.00"
营业外收入,,,"94,640.00","3,178,640.00","1,132,766.61","3,041,152.02","5,172,070.15","41,359.16",,"62,500.00","62,500.00","62,500.00",,,,,,,,,,,,,,,,,,"2,601,621,510.18"
销售费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,997.57"
减:营业外支出,256.30,340.97,"2,551.38","2,551.38",,,,"6,036.03",,500.00,953.80,953.80,,360.90,360.90,360.90,,"210,560.49","210,560.49","210,560.49",748.60,"6,777.43","19,274,377.65","19,274,377.65",,50.00,50.00,50.00,,
管理费用,"5,095,140.86","10,807,793.81","17,051,165.98","11,749,121.65","6,724,755.06","15,007,473.50","22,361,017.10","26,038,413.60","7,922,505.91","15,616,543.66","23,133,165.01","27,435,446.15","7,561,570.20","15,948,789.69","24,198,712.71","26,353,255.69","7,995,415.35","17,652,855.59","25,609,624.23","23,293,370.11","6,540,195.23","12,539,032.97","19,102,328.55","19,741,072.41","4,591,763.75","10,699,456.11","15,623,474.05","14,958,012.22","4,119,384.46","2,412,289.17"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
