科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"13,447,481.35","26,320,562.70","42,230,341.08","66,513,818.59","15,819,140.96","36,000,424.80","51,676,293.87","79,207,367.44","15,507,138.82","34,363,605.96","50,734,210.45","70,892,189.60","15,647,533.56","35,026,423.41","53,869,800.67","77,830,269.05","19,800,580.39","40,582,637.27","59,865,405.25","83,012,421.96","18,307,435.50","39,096,746.22","56,127,197.59","79,568,775.41","19,981,141.78","43,285,936.78","68,062,674.16","90,270,232.69","18,973,236.46","42,273,279.36","62,171,148.17","84,025,377.70","19,899,586.03","46,971,792.06","69,996,037.61","93,008,554.80","21,599,066.57","45,252,310.48","68,924,666.54","94,333,135.00","26,308,441.17","54,261,341.44","81,381,182.73","103,568,247.30"
取得借款收到的现金,"180,000,000.00","317,295,573.87","472,415,038.07","558,931,693.04","101,889,380.96","176,397,978.80","296,949,759.76","482,089,380.96","144,197,721.70","323,257,721.70","294,461,947.70","354,428,504.76","146,963,868.96","318,182,600.66","431,700,420.16","632,193,745.25","131,699,156.33","273,697,733.74","284,344,644.46","409,140,727.98","86,500,000.00","288,598,759.45","388,838,145.32","546,870,711.74","81,674,224.00","152,885,310.00","293,392,938.00","408,261,200.69","99,975,025.07","187,060,560.00","291,533,159.00","378,983,191.50","45,000,000.00","144,270,000.00","274,270,000.00","396,032,810.53","20,000,000.00","70,000,000.00","90,000,000.00","143,181,000.00",,"50,000,000.00","110,000,000.00","102,500,000.00"
支付的各项税费,"5,964,867.41","17,735,214.56","29,954,863.26","35,189,295.29","11,139,584.80","24,400,180.98","36,035,315.86","43,810,808.22","4,587,272.75","17,223,847.90","25,094,044.18","34,311,637.74","6,469,601.13","14,817,853.74","32,323,595.18","44,449,858.05","19,996,391.34","34,661,347.93","36,832,482.27","31,590,194.04","10,555,224.21","19,366,355.18","24,887,097.12","26,534,911.66","8,512,710.62","16,054,679.16","25,885,080.78","36,035,711.86","10,263,471.59","17,063,395.54","23,359,888.90","48,510,345.46","8,647,385.90","15,382,922.08","25,295,482.23","34,527,634.83","6,493,329.00","10,863,627.02","16,644,243.77","18,514,461.47","5,849,449.74","11,115,952.75","17,990,280.45","27,084,408.32"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,"6,217.12","6,217.12","6,217.12",,"2,527.02","193,739.11","230,826.48",,"2,125,093.79",,"880,918.73",,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"817,544.16","2,666,428.39","13,288,109.54","22,273,337.59","23,329,790.41","22,725,891.74","25,547,646.76","53,275,495.27","46,237,920.20","4,902,157.96","28,567,966.74","70,927,541.27","6,986,493.75","-6,673,887.27","-22,517,234.38","60,410,140.79","17,865,309.99","85,277,455.03","60,426,143.38","100,927,044.36","27,646,489.33","13,984,765.57","45,027,715.45","81,835,011.10","13,983,092.91","27,018,614.01","24,368,798.37","51,431,112.30","5,482,630.43","13,258,742.38","27,568,090.28","46,384,211.47","3,825,535.58","60,439,918.29","66,085,025.30","36,827,896.52","20,774,414.93","10,328,005.20","14,621,935.17","78,097,274.66","4,228,919.00","10,521,645.67","18,425,988.39","61,523,066.97"
筹资活动现金流入小计,"180,000,000.00","317,295,573.87","472,415,038.07","558,931,693.04","101,889,380.96","179,278,933.80","299,655,143.25","485,029,380.96","144,197,721.70","323,257,721.70","294,461,947.70","354,428,504.76","146,963,868.96","318,182,600.66","431,700,420.16","632,193,745.25","131,705,373.45","273,703,950.86","284,350,861.58","409,140,727.98","86,502,527.02","288,792,498.56","389,068,971.80","546,870,711.74","83,799,317.79","152,885,310.00","294,273,856.73","408,261,200.69","99,975,025.07","187,060,560.00","291,533,159.00","378,983,191.50","45,000,000.00","144,270,000.00","274,270,000.00","396,032,810.53","20,000,000.00","70,000,000.00","90,000,000.00","143,181,000.00",,"50,000,000.00","110,000,000.00","102,500,000.00"
经营活动现金流出小计,"137,211,774.02","321,270,158.66","530,039,658.56","656,784,451.97","280,835,730.06","327,856,654.34","446,854,798.21","702,222,741.23","142,881,002.05","243,635,062.77","392,966,355.68","491,406,216.27","204,611,695.39","417,540,075.51","622,265,413.70","1,039,881,471.29","261,417,059.80","472,518,455.14","605,680,080.58","719,267,458.29","188,441,311.04","273,710,047.96","472,149,744.21","657,322,405.84","191,275,180.79","394,543,642.41","627,480,631.78","762,603,374.12","130,791,329.81","281,505,434.72","424,540,731.66","552,054,362.43","109,237,347.06","347,574,504.56","514,201,589.38","591,518,898.39","154,830,402.79","288,841,606.86","468,869,824.33","683,232,347.78","210,654,664.76","404,252,209.93","619,195,087.52","784,357,761.53"
偿还债务支付的现金,"21,000,000.00","113,939,446.00","170,400,780.87","271,386,623.97","128,033,673.08","213,538,758.80","383,794,828.83","445,977,141.91","115,000,000.00","364,000,000.00","472,800,000.00","457,860,000.00","79,355,081.40","247,290,554.66","302,290,554.66","410,510,396.58","97,492,451.73","253,632,774.40","374,043,473.53","513,124,983.56","107,470,416.05","277,422,053.96","415,456,676.08","520,975,382.73","95,000,000.00","205,897,862.61","338,690,001.09","471,604,058.36","80,493,330.38","226,496,895.38","377,800,805.38","514,726,752.53","81,056,064.00","108,456,064.00","258,600,301.45","457,846,759.55","44,070,000.00","139,070,000.00","159,070,000.00","226,075,569.41","10,000,000.00","51,000,000.00","51,000,000.00","72,697,000.00"
经营活动产生的现金流量净额,"-12,098,982.59","-25,697,639.53","-28,470,335.04","-53,383,524.29","-10,245,890.91","72,006,044.96","154,639,608.95","97,777,766.12","10,682,062.90","75,035,710.41","143,474,809.65","115,038,410.46","-37,490,314.97","4,864,282.72","51,736,975.56","-142,444,118.88","-14,993,796.78","-12,825,859.02","80,414,018.72","141,471,233.40","11,985,164.86","149,394,615.51","176,796,220.34","190,412,668.60","-6,283,626.77","27,476,464.08","38,906,666.48","45,878,006.90","35,820,554.49","75,664,670.86","105,362,857.28","186,381,327.86","28,263,388.48","27,832,569.47","49,475,299.19","83,877,013.86","42,471,728.58","81,554,879.91","88,939,976.49","122,878,852.76","-18,730,874.46","5,501,940.16","6,124,330.85","45,898,672.67"
分配股利、利润或偿还利息支付的现金,"2,883,385.09","41,463,976.59","47,791,470.76","56,420,243.50","7,394,521.07","34,897,816.37","50,645,193.70","51,620,069.63","5,492,601.80","12,764,653.70","19,534,229.89","22,832,836.68","3,493,017.54","23,026,377.33","26,460,190.94","31,621,735.17","4,177,101.21","19,392,686.11","24,290,516.43","33,417,686.58","7,881,856.77","15,233,658.32","23,954,797.44","32,102,616.69","5,711,350.72","12,493,323.04","23,667,228.47","29,228,596.81","6,148,203.45","12,870,594.42","23,685,332.21","25,709,219.01","3,437,469.89","5,929,603.99","15,800,719.63","24,921,228.45","2,138,367.35","9,493,445.64","10,990,423.15","12,429,518.35","1,132,450.00","21,498,444.45","22,651,656.24","24,368,866.31"
