科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"112,231,065.85","107,662,814.76","96,412,763.02","68,133,457.05","200,780,377.36","189,450,676.11","163,782,862.52","181,958,273.04","143,978,381.93","164,004,800.22","139,726,022.44","140,787,943.65","135,086,119.04","219,017,625.99","153,313,645.46","260,074,096.89","199,236,562.26","237,720,402.37","99,058,966.29","153,920,992.69","167,102,432.19","255,036,394.97","249,892,935.23","277,624,438.50","191,468,918.82","289,944,181.61","279,175,542.40","280,937,554.48","210,890,808.88","245,115,508.17","314,363,079.06","260,244,579.08","189,260,795.74","246,029,079.20","177,149,433.84","276,139,572.15","153,583,966.38","216,105,210.24","265,690,485.80","557,309,598.29","289,814,294.80","251,726,160.97","382,350,669.82"
短期借款,"270,000,000.00","254,000,000.00","303,500,000.00","316,000,000.00","270,000,000.00","255,000,000.00","225,000,000.00","120,000,000.00","70,000,000.00","90,000,000.00","109,800,000.00","86,800,000.00","117,000,000.00","119,000,000.00","105,000,000.00","170,000,000.00","190,000,000.00","272,000,000.00","244,900,000.00","258,600,000.00","309,500,000.00","318,500,000.00","315,000,000.00","285,000,000.00","270,000,000.00","225,000,000.00","120,000,000.00","94,000,000.00","79,000,000.00","76,000,000.00","41,000,000.00","10,000,000.00","10,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,559,650.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"32,282,471.67","42,535,477.31","41,063,885.59","79,121,782.21","54,682,167.80","49,710,907.92","50,975,576.56","44,421,554.31","38,068,454.57","29,917,522.17","36,895,229.94","82,472,742.02","19,906,317.68","62,093,998.05","44,358,047.94","94,560,857.77","110,831,033.85","137,211,071.99","165,846,992.77","273,560,072.55","202,356,579.02","146,538,405.10","110,346,452.41","194,094,155.06","173,813,841.98","223,711,611.36","196,894,412.96","316,612,374.83","274,775,807.83","248,714,860.91","158,889,245.90","257,955,438.10","217,676,295.32","239,032,190.90","259,652,175.52","376,623,047.33","277,709,432.70","249,186,844.08","239,423,842.93","363,825,925.29","303,381,109.00","307,396,023.55","267,435,396.42"
应付票据,"40,200,000.00","42,500,000.00","37,500,000.00","19,000,000.00","12,000,000.00","53,000,000.00","65,000,000.00","69,000,000.00","85,000,000.00","90,000,000.00","99,500,000.00","95,000,000.00","76,500,000.00","90,000,000.00","70,000,000.00","60,403,000.00","30,403,000.00","4,740,000.00","4,740,000.00","2,994,482.80","2,994,482.80","53,000,000.00","53,000,000.00","36,000,000.00","36,000,000.00","99,078,000.00","127,078,000.00","130,000,000.00","130,000,000.00","88,000,000.00","116,109,700.00","118,109,700.00","114,500,000.00","115,400,000.00","121,350,000.00","127,100,000.00","122,150,000.00","119,500,000.00","73,000,000.00","112,100,000.00","112,020,000.00","109,511,000.00","104,411,000.00"
应收账款,"70,393,073.48","48,347,748.23","83,770,730.85","46,940,769.53","104,640,834.26","52,423,903.01","111,116,618.34","23,411,985.05","70,711,169.98","39,483,733.49","113,690,243.96","32,873,070.82","144,254,335.60","75,543,437.13","171,456,920.12","45,647,372.08","165,958,083.17","88,014,113.82","197,146,574.77","43,177,418.43","164,385,002.40","93,761,159.74","197,591,705.24","70,241,100.97","262,176,971.25","143,408,868.79","185,361,989.39","84,567,929.50","179,453,599.64","117,683,758.66","201,078,119.41","83,389,163.15","197,213,685.73","146,958,975.44","227,687,714.97","114,276,082.95","210,243,842.02","169,023,070.54","215,648,200.02","57,173,447.56","141,437,499.77","86,544,556.50","159,135,811.49"
应付账款,"40,726,912.35","27,141,816.85","39,746,404.84","32,887,594.17","80,187,217.40","89,721,807.16","112,699,279.67","36,864,376.56","114,762,274.43","46,027,826.84","80,299,291.34","53,554,978.86","113,619,386.69","80,860,539.01","58,824,739.86","59,302,171.16","52,243,718.47","54,947,598.73","90,385,158.86","54,511,496.66","53,996,508.36","86,240,610.39","58,740,113.79","68,865,320.14","72,792,950.67","65,393,731.64","75,332,524.22","57,176,425.69","51,702,638.80","71,442,539.69","73,563,499.85","65,856,621.92","53,262,717.11","68,733,942.28","72,965,641.10","65,232,959.10","51,076,455.59","50,213,838.50","58,827,151.43","68,001,753.47","61,381,039.30","74,095,729.97","62,039,579.35"
预付款项,"111,755,948.86","83,156,292.64","124,029,381.91","73,219,007.86","144,291,374.67","169,268,283.77","166,071,305.17","28,057,296.14","101,456,712.72","41,412,713.14","140,763,760.19","23,474,786.56","196,621,276.64","31,435,144.63","126,638,732.62","17,405,342.16","41,198,530.57","40,557,786.91","156,751,343.00","26,450,663.80","39,586,654.29","116,326,470.09","155,868,937.63","28,639,294.86","119,448,949.81","25,019,446.98","18,258,709.40","20,486,193.84","79,678,554.09","48,132,699.96","61,925,454.21","4,827,303.95","32,513,956.55","27,490,599.56","31,871,774.01","2,284,669.01","12,013,011.34","43,941,842.01","8,864,007.24","15,636,806.99","27,093,074.06","23,959,581.76","11,892,931.07"
预收款项,"38,400,098.46","40,933,045.70","106,115,547.20","76,592,760.82","59,358,607.73","55,828,574.68","89,233,349.45","59,750,035.41","73,813,487.34","59,809,444.21","121,183,431.46","51,045,477.09","113,966,687.02","41,445,916.30","117,149,731.90","42,306,467.72","49,713,682.62","43,332,341.75","139,784,014.92","29,124,248.36","36,682,493.19","42,401,474.87","104,126,281.08","23,249,998.27","151,376,070.39","27,636,703.75","43,894,525.14","24,028,338.77","40,261,500.73","31,743,474.75","53,380,320.27","13,219,230.72","21,670,207.97","20,450,488.81","32,519,482.67","26,008,806.49","24,660,051.80","25,129,017.89","42,694,510.55","30,278,073.81","33,839,549.77","33,258,230.25","36,715,360.45"
