科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"71,834,468.40","84,125,454.44","106,693,638.50","52,425,281.90","78,645,276.04","119,550,439.80","17,922,697.48","41,100,826.03","70,482,914.89","109,441,667.84","18,931,892.75","55,038,202.61","105,399,313.30","170,022,179.57","27,468,696.56","93,461,154.27","163,604,783.91","269,464,494.05","54,158,634.47","136,841,692.06","210,570,144.23","351,074,075.18","62,965,132.63","186,293,790.03","327,906,105.35","581,343,054.45","74,913,517.21","223,131,871.25","1,154,820,342.77","4,467,302,355.12","2,783,241,721.02","6,065,843,709.77","8,607,840,280.72","9,659,611,266.50","1,116,621,884.24","3,238,224,910.10"
二、营业利润,"15,654,270.01","21,105,305.55","25,600,011.29","10,534,570.30","16,719,225.28","24,049,518.94","603,584.61","6,046,700.23","11,691,719.34","7,762,857.48","-3,383,555.38","-7,245,010.28","-7,049,044.53","-17,165,584.37","-1,771,358.66","-2,436,828.31","621,279.08","8,228,207.27","-1,568,410.05","-956,781.49","-3,108,793.50","9,784,248.51","6,431,141.84","12,146,693.41","20,615,845.68","44,929,816.52","-8,357,338.78","-11,134,710.67","98,010,820.11","518,098,274.03","328,883,897.90","731,549,369.30","839,339,587.27","-3,636,771,486.96","-351,188,562.87","-1,836,374,695.16"
减:营业成本,"38,018,081.08","32,438,450.78","47,530,874.57","24,949,178.38","35,639,614.35","57,324,345.03","9,110,788.43","21,793,542.44","36,077,568.19","58,462,734.52","9,767,925.87","31,894,426.92","63,685,753.91","109,292,122.28","16,916,450.60","61,683,975.80","105,985,590.55","176,397,006.23","38,917,481.24","93,016,942.61","148,861,473.28","241,793,025.23","41,117,489.77","127,789,282.35","234,511,172.24","410,985,166.30","54,721,916.42","172,245,867.26","855,856,169.24","3,124,048,964.73","1,935,317,355.43","4,129,594,214.48","5,990,621,683.04","6,634,201,319.26","905,214,808.04","3,207,426,639.32"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,106,359.21","1,636,920.03","1,806,298.33","703,168.53","1,019,959.67","1,640,474.14","197,144.13","500,859.06","1,178,506.91","1,892,131.38","227,662.81","647,575.80","989,017.86","3,162,235.13","429,244.18","1,941,441.73","3,123,654.15","5,695,511.58","802,277.42","2,703,880.04","3,713,960.92","7,430,553.94","1,464,090.84","5,026,837.86","8,614,687.63","14,775,395.88","1,968,882.48","4,460,624.32","9,450,558.15","33,381,825.88","8,281,410.88","27,483,219.46","49,251,216.92","71,933,003.57","2,176,973.01","4,531,194.72"
营业外收入,"115,670.13","469,068.38","318,024.14","1,262,936.34","2,566,137.63","4,028,320.66","401,524.00","418,517.68","805,943.02","6,313,744.53","719,413.34","737,383.98","1,425,136.40","3,183,056.98","6,652.68","780,711.07","1,025,702.12","2,296,134.85","385,422.74","876,523.19","1,329,245.92","5,599,480.00","955,952.13","1,965,848.91","2,379,251.99","2,892,841.11","8,872,256.55","11,869,971.54","18,995,506.80","42,549,854.80","8,202,415.47","12,362,535.38","39,481,257.83","9,355,919.31","472,864.53","98,182,643.60"
销售费用,"6,278,299.91","11,993,026.42","12,722,675.36","6,137,882.13","10,125,854.07","13,845,615.39","3,581,862.55","8,194,347.76","12,581,499.02","19,191,009.54","5,137,909.18","13,148,158.24","20,019,011.27","25,994,908.52","4,991,529.90","12,217,346.22","20,182,864.58","27,455,202.61","6,910,125.76","14,655,653.66","21,786,633.70","31,341,398.44","7,485,829.19","15,720,578.60","21,869,542.43","30,872,799.39","8,749,115.79","15,957,990.83","47,872,983.86","259,465,143.88","170,353,127.81","323,629,100.99","458,881,408.08","926,404,299.35","59,830,425.43","122,455,836.28"
减:营业外支出,"58,226.94","239,323.36","64,825.59","3,162.45","3,162.51","60,097.17",440.00,"10,332.54","16,932.60","29,165.36","4,569.58","4,627.49","84,445.94","118,774.86","1,500.03","27,201.07","23,298.33","180,145.17","15,836.72","15,902.48","15,975.21","88,428.79","2,253.08","8,333.64","8,946.35","920,728.16","3,542.88","7,001.15","47,401.16","4,146,936.79","1,250,706.62","6,812,224.87","8,403,902.16","31,174,237.45","736,766.36","2,414,391.24"
管理费用,"9,212,043.17","15,249,294.99","18,671,658.86","9,403,384.55","14,450,328.07","21,894,309.34","6,691,708.50","10,377,123.32","15,937,774.06","24,894,785.10","7,360,679.52","17,895,093.51","29,410,671.91","41,173,541.73","7,340,439.22","18,220,625.96","30,442,359.19","46,862,646.96","10,133,908.50","22,497,775.31","33,261,282.75","52,517,537.59","14,615,001.00","28,112,816.25","42,094,247.32","62,843,889.15","14,686,643.06","31,154,416.29","98,143,053.58","414,678,112.64","214,797,222.10","517,945,100.33","776,995,619.67","1,033,996,626.75","182,994,347.11","405,572,571.35"
其中:非流动资产处置净损失,"38,076.94",,"10,290.77","1,228.80","1,228.80","7,982.97",,,"3,120.59","27,620.84",,"4,569.58","4,569.58",,,,,"24,836.70",,"13,421.65","13,421.65","59,267.91",,"2,209.75","2,209.75","492,560.43",,,,"1,972,575.37","208,598.45","827,614.31","1,061,356.29",,,
