科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,,,,,,,,,,,,,,,,,"1,144,263,215.38","1,455,670,603.19","2,335,646,978.99","268,060,274.44","559,682,149.64","1,296,985,142.12","2,462,562,895.50","580,518,662.57","1,182,707,660.44","1,630,822,612.26","2,601,176,915.09","299,362,033.04","859,096,389.23","1,647,193,845.44","3,501,024,208.66","351,068,720.61","923,814,957.35","2,031,001,910.91","4,646,683,451.65","842,998,915.30","1,636,168,571.03","2,802,671,998.09","7,515,811,119.14","856,987,484.05","2,219,946,686.05","3,704,218,304.33"
二、营业利润,"-538,873.11","-1,737,664.20","-2,683,084.19","-4,931,776.69","-274,483.20","-505,758.25","-1,525,131.51","-442,346.17","-930,034.02","-1,657,580.98","-4,006,285.00","-1,334,426.19","-1,363,856.92","-1,400,504.42","-2,124,976.27","-265,778.00","365,476,869.15","417,854,313.17","800,230,736.70","77,566,024.85","140,477,851.20","263,723,973.39","682,363,054.14","167,209,914.58","398,994,904.17","570,781,929.06","695,986,542.34","33,151,027.91","193,368,407.90","230,733,429.07","436,004,799.44","2,351,974.91","59,907,591.64","55,399,304.30","250,839,180.46","70,010,739.23","87,757,845.08","134,063,969.60","723,420,732.57","117,082,821.21","257,805,144.65","350,597,987.97"
减:营业成本,,,,,,,,,,,,,,,,,"545,423,177.78","722,647,339.33","896,744,188.34","120,557,524.48","249,554,416.77","728,435,698.94","1,269,624,439.68","291,587,934.79","630,762,619.29","906,372,845.65","1,583,077,590.17","179,632,673.24","612,134,444.43","1,218,443,822.02","2,610,286,039.90","235,582,242.56","646,175,119.26","1,487,400,783.56","3,414,312,148.40","614,527,434.60","1,241,291,086.58","2,151,643,324.57","5,357,992,965.10","632,616,030.51","1,633,424,721.93","2,646,351,217.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,,,,,"156,823,053.68","203,591,402.86","468,536,553.84","44,543,830.52","100,350,767.66","183,938,565.84","370,926,911.37","87,898,030.88","164,642,480.63","205,836,522.96","266,680,538.22","35,907,864.33","74,876,139.30","135,491,378.11","291,726,843.83","36,972,177.49","98,892,988.13","216,429,863.58","369,064,754.23","68,786,625.49","103,956,135.89","137,165,021.28","563,924,707.29","47,383,744.80","109,673,374.47","192,940,455.61"
营业外收入,"1,000,000.00","2,000,000.00","2,000,000.00","5,500,000.00",,,"2,000,000.00",,"1,000,000.00","1,000,000.00","4,500,000.00",,,,"2,720,000.00",,"409,515.01","664,145.01","23,177,520.03","58,267.40","366,293.40","1,079,720.00","1,459,570.93","171,500.00","384,873.04","508,874.08","2,488,038.75","231,626.94","43,955,063.41","44,316,106.74","131,109,715.41","24,819,314.17","49,651,349.42","76,150,382.18","144,180,267.71","3,920,507.83","13,370,006.13","29,118,065.01","42,503,001.55","6,676,482.61","16,569,811.10","24,694,516.29"
销售费用,,,,,,,,,,,,,,,,,"24,575,632.56","39,787,447.32","59,012,786.70","4,587,859.36","21,566,170.40","49,626,359.11","111,315,347.98","21,891,104.14","52,893,979.78","87,700,278.32","150,192,254.49","22,938,762.05","39,229,757.79","88,837,773.79","194,060,864.19","34,439,312.13","80,849,105.04","170,270,764.93","285,839,261.78","50,408,301.52","138,728,171.18","231,555,645.92","409,236,805.19","61,954,157.38","145,546,925.32","261,560,459.90"
减:营业外支出,,,,,,,,,,,"13,644.30",,,,,,"5,144,194.36","5,193,174.73","6,212,428.26",280.00,"2,005,648.17","2,093,145.96","2,458,245.41","144,877.59","286,172.70","1,041,273.23","1,414,173.51","3,018,992.14","356,979.14","618,078.54","755,966.59","2,193,651.73","2,289,810.53","2,801,841.91","3,503,978.40","128,098.25","420,921.40","3,849,619.23","26,131,946.03","208,001.08","626,395.04","3,741,346.40"
管理费用,"540,136.81","1,795,353.70","2,740,655.54","4,974,843.81","280,511.15","511,786.20","1,520,258.61","443,952.94","986,828.97","1,714,325.15","4,036,575.88","1,337,160.00","1,368,685.00","1,405,332.50","2,166,872.50","271,165.00","43,452,872.70","58,977,919.81","92,037,100.92","17,207,201.61","40,174,057.08","62,442,160.68","103,407,507.22","24,349,753.16","55,469,426.10","92,380,823.04","162,481,288.86","46,958,182.24","88,132,775.14","142,770,196.09","231,501,148.33","53,817,681.31","106,720,410.21","200,947,590.88","381,281,050.64","76,696,860.26","165,967,024.04","266,455,993.03","530,784,497.42","103,259,032.66","207,695,656.46","330,111,612.95"
其中:非流动资产处置净损失,,,,,,,,,,,"13,644.30",,,,,,,,"24,866.60",,,,"183,002.82",,,,"161,877.38",,"1,107.85",,"24,483.51",,"44,727.24","44,727.24","444,482.80",,"32,974.97","78,898.61","1,246,085.74",,"137,222.74","187,548.18"
