科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"149,519,265.23","183,120,014.84","284,582,168.35","295,358,800.60","395,032,046.98","156,535,457.71","278,515,583.95","313,192,794.18","427,603,100.81","158,813,594.85","252,340,015.60","294,344,139.67","431,518,433.57","172,937,811.02","254,960,445.16","302,144,737.99","454,365,781.09","137,832,645.97","200,828,337.35","213,980,210.34","355,660,022.68","103,655,470.17","205,079,491.99","249,228,284.40","332,745,412.02","101,293,757.58","511,329,467.05","953,747,013.99","1,159,414,623.71","1,370,481,170.14","712,231,542.99","1,046,397,557.91","451,438,322.09","66,370,595.87","114,399,095.08","139,999,464.46","171,895,373.03","29,184,630.02"
二、营业利润,"7,617,145.10","21,094,254.97","45,884,020.89","47,978,410.74","64,569,543.85","34,482,059.71","50,559,011.03","47,665,319.43","63,038,141.84","34,945,104.98","50,229,875.62","44,530,250.54","67,803,500.06","35,079,704.48","37,105,434.85","24,364,478.63","32,907,364.15","17,992,174.24","-595,431.65","-44,777,620.26","-114,265,797.76","-12,793,128.85","-4,898,228.34","-8,741,260.80","-35,591,423.21","-5,094,672.17","6,841,185.97","-27,193,672.03","28,044,035.25","12,375,832.55","19,497,176.23","4,037,895.60","12,201,195.04","14,741,798.33","-6,702,191.36","28,776,342.60","19,122,492.48","-12,066,632.86"
减:营业成本,"112,536,436.13","136,314,880.84","205,809,300.33","211,837,479.96","279,635,931.24","106,759,984.63","192,682,154.70","218,132,523.84","300,613,788.17","109,173,404.96","176,711,650.58","208,892,219.83","293,191,115.93","112,572,142.86","180,369,179.51","212,146,955.60","322,960,463.62","89,458,785.75","143,490,990.76","162,593,884.38","296,246,273.16","85,001,350.02","153,130,716.44","176,814,332.52","251,888,437.74","79,904,583.78","445,975,095.74","879,834,714.37","991,749,271.06","1,312,215,469.82","606,105,704.31","920,052,505.95","287,638,137.96","47,363,794.33","87,983,074.27","113,709,625.36","158,398,883.41","17,721,550.45"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,,,,,,,,,,"1,573.16","11,200.00",,,,,,,,,"3,707.20","5,286.40","59,057.99",,"236,680.82","403,051.53","4,286,610.80","2,027,599.34","3,964,598.85","5,316,616.90","6,981,669.31","772,634.85","1,679,362.15","2,364,486.08","3,401,448.58","666,789.37"
营业外收入,"1,054,092.94","486,104.37","1,311,538.56","1,417,831.46","2,290,456.46","68,958.31","244,999.86","600,186.79","907,951.74","618,640.00","727,199.00","2,852,804.00","5,827,361.51","1,210,079.00","1,521,475.38","2,215,348.38","6,646,431.35","1,495,485.61","2,521,675.73","6,662,366.88","10,306,344.99","1,381,784.07","3,574,245.16","6,446,643.35","38,323,825.76","3,367,534.20","5,923,517.84","8,978,124.77","12,046,502.26","3,068,559.88","4,873,999.48","7,711,559.36","448,091.36","1,185.00","435,318.94","1,109,367.00","1,121,884.70",
销售费用,"10,604,675.40","13,033,190.40","21,082,860.56","25,189,247.65","33,425,378.13","9,115,727.42","21,476,399.25","29,542,669.26","40,097,930.93","9,642,646.39","21,553,018.30","31,648,728.70","45,853,406.19","13,352,515.29","25,406,577.94","40,354,375.01","57,134,398.03","15,706,197.02","32,299,720.72","46,619,390.39","65,864,269.04","14,995,393.57","28,593,170.72","42,637,172.79","60,770,658.56","16,601,469.42","31,946,959.22","50,164,047.23","70,538,813.94","23,137,050.90","41,357,048.73","59,686,147.71","74,109,876.27","16,321,951.06","31,024,295.82","42,719,107.75","54,245,536.21","8,380,252.40"
减:营业外支出,"50,821.42","111,140.00","708,935.42","1,560,718.61","2,072,395.98",,"182,546.72","282,546.72","395,874.72","13,828.70","13,828.70","113,828.70","761,613.48","3,110.00","42,330.16","142,330.16","1,161,872.97","24,867.00","84,445.01","9,016,531.80","11,306,214.55","20,166.93","1,154,012.48","1,433,231.63","2,109,766.71","10,361.03","88,733.47","199,759.28","340,951.77","84,074.78","148,299.17","381,380.38","651,546.21","2,562.11","15,186.11","58,334.35","393,184.97","4,977.00"
管理费用,"8,280,978.79","9,296,512.26","12,480,746.26","11,927,890.47","16,507,364.48","5,724,858.27","12,798,541.15","17,961,717.16","27,990,217.67","6,701,142.12","15,666,117.65","23,543,156.14","41,604,251.01","13,169,981.50","24,744,161.41","40,794,966.13","56,415,263.07","15,172,449.39","30,797,458.09","54,174,429.19","72,218,388.99","16,651,297.93","29,389,259.92","41,951,167.93","59,549,944.06","15,436,692.50","33,093,779.07","53,362,547.22","67,709,959.15","17,211,190.73","31,227,945.26","46,744,382.58","68,107,382.19","15,634,185.97","30,655,093.20","35,563,095.12","48,718,309.19","11,822,059.67"
其中:非流动资产处置净损失,"50,821.42","24,000.00","108,735.42",,,,,,,,"11,241.70","11,241.70","653,858.48",,"42,330.16","25,626.16","106,058.97",,,"191,697.45","192,056.03",,"168,922.75",,"394,845.17",,,,"196,119.34",,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
