科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"182,686,076.56","343,981,104.48","557,635,648.33","170,094,125.70","311,618,114.82","566,028,992.28","136,374,662.84","341,368,546.01","587,139,737.56","998,027,845.30","277,720,559.70","557,331,159.06","1,008,578,217.90","1,542,418,039.18","362,002,263.03","684,969,126.91","1,027,329,012.93","1,517,566,196.43","287,072,813.20","518,418,667.76","810,422,202.26","1,548,656,832.37","312,981,564.94","674,292,981.23","1,032,021,195.45"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"156,851,721.32",,"249,982.43","19,907,683.84","124,523,110.96",,"32,178,900.00",,"104,478,900.00",,"16,203,609.13",,"28,608,542.02",,,
收到的税费返还,,,"8,512,523.58","72,223.90","356,718.15","12,698.39","90,690.46","134,595.59","196,622.25","215,023.78","25,969.92",,"161,302.12","253,509.32",,"359,508.23","26,467,242.92","27,486,228.64","102,214.99","440,847.11","1,022,998.79","2,892,430.31","16,562.37","20,553.16","131,268.80"
支付其他与投资活动有关的现金,,,,,,"830,000,000.00","11,328.90","217,154,000.00","718,755,866.00",,"700,000,000.00",,"900,000,000.00","110,414.74","70,000,000.00",,"70,836,110.50","72,996,047.34","102,852,141.07",,,"7,000,000.00",,,
收到其他与经营活动有关的现金,"4,048,581.97","15,315,256.52","47,210,602.29","13,766,004.83","16,556,663.98","23,492,692.44","10,400,448.50","20,805,743.27","54,896,200.91","74,901,461.06","84,734,266.63","45,180,941.42","434,876,854.43","242,197,636.92","317,737,192.58","90,744,452.50","196,016,838.32","178,468,290.78","18,756,074.43","58,957,623.28","100,255,490.66","68,842,830.93","55,587,696.44","31,735,696.83","39,076,577.98"
投资活动现金流出小计,"22,278,022.84","31,311,732.23","27,651,966.80","13,092,359.26","21,530,649.06","886,967,579.70","29,792,221.71","290,504,568.62","826,804,888.94","352,628,093.24","717,555,737.84","868,741,015.56","1,272,294,847.65","10,237,719,018.40","350,442,909.61","4,280,528,937.67","6,828,803,603.77","9,366,892,179.58","2,659,930,413.16","4,723,593,984.96","6,574,211,037.77","9,595,502,125.10","2,510,621,076.67","4,413,496,410.06","5,989,739,991.36"
经营活动现金流入小计,"186,734,658.53","359,296,361.00","613,358,774.20","183,932,354.43","328,531,496.95","589,534,383.11","146,865,801.80","362,308,884.87","642,232,560.72","1,073,144,330.14","362,480,796.25","602,512,100.48","1,443,616,374.45","1,784,869,185.42","679,739,455.61","776,073,087.64","1,249,813,094.17","1,723,520,715.85","305,931,102.62","577,817,138.15","911,700,691.71","1,620,392,093.61","368,585,823.75","706,049,231.22","1,071,229,042.23"
投资活动产生的现金流量净额,"-22,278,022.84","-31,278,288.20","-27,484,506.87","-13,088,654.26","-18,134,944.06","-869,376,825.16","-20,603,299.32","584,203,490.62","63,827,436.82","516,196,835.16","-699,045,330.27","-835,585,588.69","-1,172,798,115.25","-769,988,909.85","-61,483,854.00","34,251,527.23","-344,772,410.62","-492,051,462.04","-850,213,651.42","-525,115,753.10","-821,065,778.31","-976,677,695.69","107,694,081.24","26,214,837.50","-22,151,072.18"
购买商品、接受劳务支付的现金,"35,196,762.05","50,402,998.06","105,051,185.27","32,296,862.62","61,111,005.50","105,488,174.89","34,096,243.60","91,460,547.16","155,774,498.29","239,766,128.23","89,271,680.54","162,036,320.35","216,652,753.50","492,434,860.70","124,027,898.67","272,927,075.93","353,591,296.06","514,861,769.85","116,608,965.34","198,907,952.39","285,762,505.75","481,409,271.89","137,434,846.87","259,356,307.81","379,666,064.27"
吸收投资收到的现金,"50,000,000.00","337,900,000.00","13,800,000.00","1,382,885,613.00","1,386,885,613.00","1,345,106,830.52",,"8,000,000.00","8,000,000.00","54,000,000.00",,"9,000,000.00","9,000,000.00","209,000,000.00",,,"60,000,000.00","78,000,000.00",,,,,,"4,000,000.00","4,000,000.00"
支付给职工以及为职工支付的现金,"58,472,906.04","95,635,213.46","158,808,053.39","109,827,635.38","162,503,886.19","204,724,609.04","81,353,155.59","153,881,341.10","233,231,695.32","322,803,508.24","134,279,168.30","231,752,607.26","335,510,647.80","451,987,118.29","174,141,122.90","294,737,269.24","416,281,370.58","532,494,732.40","181,285,933.65","287,545,211.81","413,723,054.24","548,015,237.21","178,807,480.85","309,628,973.43","437,142,484.88"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"16,792,996.82","31,275,842.54","37,713,192.96","17,419,323.98","27,625,462.71","47,442,086.70","16,610,058.16","29,615,044.25","47,913,974.14","58,541,036.86","25,203,374.95","47,742,951.23","86,385,173.59","135,138,790.13","40,075,724.51","72,912,885.94","97,456,286.98","106,744,063.07","26,029,224.62","65,600,518.11","75,822,252.22","87,964,241.13","52,820,203.27","66,919,756.43","84,218,290.42"
收到其他与筹资活动有关的现金,,,,,,"600,000.00",,,,,,,,"14,000,000.00",,,,"6,542,832.92",,"75,345.40",,"3,590,512.39",,,
支付其他与经营活动有关的现金,"52,051,810.83","73,436,053.75","111,009,661.00","60,240,246.67","93,976,840.52","139,050,519.22","57,520,857.22","79,221,602.75","199,840,222.56","195,306,572.12","97,932,306.28","99,780,295.54","513,613,047.04","340,124,197.02","424,769,429.97","118,134,304.41","292,979,691.19","204,427,681.38","89,191,964.38","123,666,294.56","245,342,586.54","262,822,927.71","77,582,284.06","80,590,497.24","149,924,637.02"
筹资活动现金流入小计,"50,000,000.00","337,900,000.00","13,800,000.00","1,382,885,613.00","1,386,885,613.00","1,345,706,830.52",,"8,000,000.00","8,000,000.00","54,000,000.00",,"9,000,000.00","9,000,000.00","223,000,000.00",,,"60,000,000.00","84,542,832.92",,"75,345.40",,"3,590,512.39",,"4,000,000.00","4,000,000.00"
