科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,"2,000,000.00","318,000.00","1,017,937.18","3,491,954.28","3,696,484.19","450,000.00","1,139,400.00","1,156,494.00","989,400.00",,"2,700,000.00"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,480.13,636.88,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,
收到其他与经营活动有关的现金,"75,000.00","181,000.00","1,769,450.00","1,769,450.00","16,000.00","136,000.00","383,000.00","503,000.00","50,000.00","210,000.00","410,946.38","592,088.38","192,786.78","428,244.25","833,012.56","2,326,898.55","810,007.63",593.08,604.63,,"3,488,005.75","4,729,506.37","8,133,464.42","10,594,776.11","2,206,006.23","8,362,939.86","8,808,362.53","10,388,884.10","1,284,919.12","41,428,173.00"
投资活动现金流出小计,,,,,,,,,,,,,,,,"228,730.00","2,266.00","5,246.00","5,246.00","5,246.00",,"24,227.78","47,135.78","57,615.78",,"5,760.00","5,760.00","5,761.00",,"227,500.00"
经营活动现金流入小计,"75,000.00","181,000.00","1,769,450.00","1,769,450.00","16,000.00","136,000.00","383,000.00","503,000.00","50,000.00","210,000.00","410,946.38","592,088.38","192,786.78","428,244.25","833,012.56","2,326,898.55","810,007.63",593.08,604.63,"2,000,000.00","3,806,005.75","5,747,443.55","11,625,898.83","14,291,897.18","2,656,006.23","9,502,339.86","9,964,856.53","11,378,284.10","1,284,919.12","44,128,173.00"
投资活动产生的现金流量净额,,,,,,,,,,,,,,"600,000.00","850,000.00","-228,730.00","-2,266.00","-5,246.00","-5,246.00","-5,246.00",,"-24,227.78","-46,535.78","-57,015.78",,"-5,760.00","-5,760.00","-5,760.00",,"-227,499.00"
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,"299,658.11","698,026.78","970,805.71","819,000.00","819,000.00","819,000.00","819,000.00",,
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
