科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月
一、营业收入,"158,223,449.94","355,551,545.99","562,971,976.68","779,934,478.40","126,483,401.48","321,997,216.65","486,923,906.30","653,664,158.03","149,052,684.47"
二、营业利润,"-466,779.17","5,966,528.70","10,966,391.48","6,813,486.94","-21,801,075.91","-51,548,721.28","-79,202,194.50","-109,736,426.44","-16,985,368.68"
减:营业成本,"135,436,266.09","302,738,536.78","480,003,140.70","678,314,570.04","127,326,165.10","325,630,341.36","495,175,119.01","659,626,891.39","145,564,369.41"
加:补贴收入,,,,,,,,,
营业税金及附加,"791,695.96","1,873,440.96","2,672,268.87","3,635,357.50","291,511.91","765,484.82","849,116.01","1,391,748.38","687,623.99"
营业外收入,"2,000,000.00","3,271,996.50","6,826,101.09","10,234,895.83","7,368,818.88","8,294,613.60","8,446,325.61","10,837,573.88","2,124,712.00"
销售费用,"4,202,887.90","9,609,659.29","16,422,066.02","19,037,639.52","3,941,245.71","8,042,183.53","10,002,728.46","15,164,706.38","2,814,779.49"
减:营业外支出,,"42,965.18","302,401.76","1,620,411.26","60,014.88","414,751.21","433,439.06","910,852.59","316,688.68"
管理费用,"15,838,986.24","31,543,371.12","46,518,684.94","61,756,675.56","13,220,890.83","28,749,440.46","45,853,547.84","64,355,603.55","13,537,883.03"
其中:非流动资产处置净损失,,"2,965.18","90,601.76","915,325.26",,,"15,037.85","411,951.38","316,688.68"
堪探费用,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,
财务费用,"2,420,392.92","5,753,868.17","8,323,283.70","12,530,352.74","3,504,663.84","7,815,906.80","11,318,001.66","16,342,712.09","3,433,397.23"
三、利润总额,"1,533,220.83","9,195,560.02","17,490,090.81","15,427,971.51","-14,492,271.91","-43,668,858.89","-71,189,307.95","-99,809,705.15","-15,177,345.36"
资产减值损失,,"-1,933,859.03","-1,933,859.03","-1,713,603.90",,"2,542,580.96","2,927,587.82","6,518,922.68",
减:所得税,"-242,247.93","1,165,589.53","2,546,137.29","2,527,137.73","115,921.74","1,706,917.20","969,558.67","2,760,023.88",
加:公允价值变动净收益,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,
投资收益,,,,"440,000.00",,,,,
四、净利润,"1,775,468.76","8,029,970.49","14,943,953.52","12,900,833.78","-14,608,193.65","-45,375,776.09","-72,158,866.62","-102,569,729.03","-15,177,345.36"
其中:对联营企业和合营企业的投资权益,,,,"-1,812.37",,,,,
归属于母公司所有者的净利润,"1,054,747.57","6,802,955.04","13,393,124.40","11,640,242.55","-14,656,636.36","-46,322,312.17","-72,361,859.57","-100,364,006.65","-14,121,768.84"
影响营业利润的其他科目,,,,,,,,,
少数股东损益,"720,721.19","1,227,015.45","1,550,829.12","1,260,591.23","48,442.71","946,536.08","202,992.95","-2,205,722.38","-1,055,576.52"
