科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"572,753,351.39","670,655,549.69","189,507,978.28","821,134,183.28","300,996,246.48","549,454,556.99","726,389,730.26","847,714,603.68","271,620,888.00","446,903,336.43","960,717,411.27","1,227,639,038.44","372,415,389.29","808,609,747.56","1,282,762,970.09","1,774,537,273.55","499,321,748.73","831,477,150.98","1,216,490,591.07","1,627,228,008.26","443,043,629.97","902,431,797.69","1,161,416,473.99","1,548,449,608.58","436,708,858.98","998,216,166.28","1,719,911,858.63","2,009,755,637.20","694,848,305.34","1,741,366,516.06","2,789,042,321.70","2,641,536,965.68","1,412,158,438.10","2,328,465,323.62","3,477,132,446.20","2,947,003,983.48"
取得子公司及其他营业单位支付的现金净额,"94,149,780.36",,,,,,,,,,,,,,,,,,,"7,708,879.33",,,,,,,,"89,818,551.02",,,,"927,705,820.59",,,,
收到的税费返还,,"4,666,109.38",,"7,515,837.28",,,"728,447.87","3,147,584.57",,"62,697.93","869,517.75","1,143,018.38",,"51,803.10","117,462.12","166,980.24",,,,"665,858.97",,"590,313.25","1,365,127.35","754,814.10","405,306.65","4,970,040.43","5,100,377.37","3,430,615.92",,"5,275,784.17","7,065,304.04","5,740,945.28","2,354,800.00","5,908,577.14","14,271,050.39","5,772,639.63"
支付其他与投资活动有关的现金,,,,,"21,590.66","2,395,643.75","2,402,354.25",,,"9,011,688.00","9,011,688.00","13,010,088.00",,,,"197,387,787.80","197,387,787.80","613,673,866.87","507,513,590.80","1,382,828,950.78","96,780,000.00","96,580,000.00","196,980,000.00","125,000,000.00","93,190,000.00",,"196,500,000.00","522,770,000.00","15,764,888.57",,"47,155,371.58",,"4,600,130.00",,,"40,000,000.00"
收到其他与经营活动有关的现金,"127,024,238.19","115,297,560.52","3,662,228.31","90,977,681.48","5,566,161.02","1,532,277.52","28,253,640.48","29,142,205.61","6,842,194.53","28,566,294.19","31,507,116.66","173,863,817.88","50,282,208.47","87,199,789.63","94,080,450.43","91,629,842.10","98,229,815.64","140,224,971.29","187,609,700.46","37,601,589.14","394,898,303.15","413,533,960.05","672,862,848.20","25,025,946.37","143,035,174.31","174,759,388.94","209,662,253.61","28,410,491.15","122,970,064.08","189,040,106.23","294,419,608.26","129,406,193.28","198,455,834.28","191,668,111.59","184,139,214.01","226,688,656.85"
投资活动现金流出小计,"173,272,252.59","110,963,979.69","4,626,433.50","131,906,683.21","55,669,455.51","76,793,865.82","98,570,261.32","169,392,112.51","54,545,340.95","113,693,312.83","207,613,385.32","227,367,201.15","24,906,748.48","39,390,108.70","64,778,104.86","677,524,237.20","218,173,897.17","1,351,177,851.93","1,263,921,505.60","1,492,377,634.60","114,610,014.10","134,650,802.63","242,510,378.69","1,201,897,837.94","152,051,749.31","73,488,012.16","425,700,534.18","2,080,555,222.18","320,740,200.93","518,443,809.34","924,169,639.81","2,142,641,207.53","11,872,847.59","103,213,273.39","200,718,988.87","1,025,527,726.02"
经营活动现金流入小计,"699,777,589.58","790,619,219.59","193,170,206.59","919,627,702.04","306,562,407.50","550,986,834.51","755,371,818.61","880,004,393.86","278,463,082.53","475,532,328.55","993,094,045.68","1,402,645,874.70","422,697,597.76","895,861,340.29","1,376,960,882.64","1,866,334,095.89","597,551,564.37","971,702,122.27","1,404,100,291.53","1,665,495,456.37","837,941,933.12","1,316,556,070.99","1,835,644,449.54","1,574,230,369.05","580,149,339.94","1,177,945,595.65","1,934,674,489.61","2,041,596,744.27","817,818,369.42","1,935,682,406.46","3,090,527,234.00","2,776,684,104.24","1,612,969,072.38","2,526,042,012.35","3,675,542,710.60","3,179,465,279.96"
投资活动产生的现金流量净额,"-164,757,606.14","-88,572,792.86","-4,626,433.50","-127,523,481.96","-55,669,455.51","-76,692,015.15","-98,557,961.03","-91,094,438.54","-48,545,242.72","-91,353,504.71","-115,193,711.86","-149,935,557.67","-24,899,748.48","-39,374,108.70","-61,667,104.86","-656,586,268.16","-41,545,427.31","-646,880,210.76","-483,216,553.18","-574,748,855.34","-27,471,833.77","152,837,427.50","188,254,589.05","-171,852,103.57","-32,929,809.07","-9,088,525.57","17,259,658.88","-513,550,306.62","-277,837,424.13","-471,903,750.78","-576,927,871.52","-1,022,096,094.01","31,432,357.49","40,047,312.03","-29,267,340.94","-164,486,650.14"
购买商品、接受劳务支付的现金,"395,737,351.85","522,682,944.66","152,176,182.15","483,124,197.82","210,428,994.04","425,791,861.73","601,504,261.87","766,779,668.46","277,212,399.71","412,821,594.64","865,245,679.85","1,138,669,669.42","316,833,074.74","725,397,052.16","1,034,236,875.79","1,297,347,175.33","375,505,295.50","614,542,345.43","978,256,264.92","1,151,138,279.99","755,687,469.53","1,131,414,589.56","1,738,242,875.16","993,549,429.45","485,454,525.09","949,568,241.23","1,767,018,883.02","1,162,955,919.56","691,538,586.90","1,724,968,159.38","2,602,586,680.94","1,734,048,024.56","1,014,203,910.06","1,753,314,760.61","2,434,471,947.87","1,834,770,282.59"
吸收投资收到的现金,,"3,000,000.00",,,,"1,231,000,000.00","1,231,000,000.00","1,226,000,000.00",,,,"13,080,000.00",,,,,,"1,500,000.00","1,500,000.00","1,500,000.00",,,,,,"1,500,000.00","1,500,000.00","1,500,000.00",,,,"1,496,044,629.92","2,000,000.00","6,000,000.00","9,000,000.00","9,000,000.00"
