科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"2,213,178.53","31,123,087.20","55,765,215.98","76,847,054.30","653,602,084.56","609,629,889.79","557,500,806.32","543,645,702.85","555,136,795.06","584,982,458.73","544,931,094.69","613,718,248.19","600,472,028.91","651,645,620.34","609,920,675.63","586,515,634.00","510,189,318.45","534,070,026.90","412,143,744.39","254,016,248.79","353,959,366.69","329,690,733.44","330,466,514.39","262,191,228.45","195,537,022.00","206,255,676.53","285,717,538.42","264,719,685.71","214,178,225.23","491,289,115.25","560,615,295.72","628,155,610.01","561,069,512.30","460,477,116.61","552,835,056.08","604,589,137.35","843,020,055.07","778,880,181.09","436,580,863.07","344,547,652.83"
短期借款,"44,000,000.00","66,000,000.00","52,000,000.00","65,000,000.00","152,956,366.76","140,000,000.00","120,000,000.00","120,000,000.00","100,000,000.00","120,000,000.00","120,000,000.00","170,000,000.00","170,000,000.00","220,000,000.00","220,000,000.00","220,000,000.00","220,000,000.00","240,000,000.00","240,000,000.00","280,000,000.00","290,000,000.00","295,000,000.00","340,000,000.00","332,800,000.00","297,800,000.00","317,800,000.00","354,000,000.00","347,800,000.00","377,800,000.00","377,770,000.00","357,770,000.00","285,000,000.00","284,000,000.00","184,000,000.00","234,000,000.00","284,000,000.00","315,000,000.00","365,000,000.00","389,965,000.00","433,965,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,000,000.00",,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"1,000,000.00",,,"4,000,000.00","2,000,000.00",,"3,300,000.00","300,000.00","3,450,000.00","1,450,000.00",,"1,600,000.00","1,400,000.00","2,600,000.00","126,000.00","500,000.00",,,,,,,,,,,,,,"378,000.00","778,000.00","400,000.00","2,421,034.00","2,901,034.00","1,029,400.00","200,000.00",,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"32,194,263.37","69,950,071.18","61,830,198.76","56,654,601.36","50,496,312.72","56,324,102.11","63,987,113.68","79,248,057.13","65,054,824.70","76,486,446.11","74,457,986.67","80,869,839.38","77,948,578.96","74,888,440.95","132,649,314.64","134,138,712.10","153,921,685.42","154,180,006.21","171,573,607.55","177,719,036.54","187,688,915.99","184,838,324.51","177,200,970.01","215,222,006.93","235,278,644.17","247,816,795.96","187,539,062.55","208,103,838.91","228,163,233.74","306,150,779.25","227,299,476.87","249,166,802.24","261,266,445.07","308,816,462.27","181,820,430.77","206,629,343.15","325,333,085.65","412,770,676.02","360,894,910.32","359,718,848.48"
应付账款,"14,812,628.13","20,692,429.73","6,997,380.38","7,400,748.88","3,546,308.02","3,826,750.14","5,450,453.71","5,309,032.98","10,903,067.75","10,135,292.54","9,233,013.61","9,984,467.83","8,766,037.66","9,843,305.11","17,410,398.00","14,138,825.45","29,005,077.41","24,816,907.99","30,622,659.17","31,968,354.31","12,490,696.02","22,976,817.24","13,676,921.42","21,113,305.57","25,449,034.22","20,652,726.54","15,156,993.24","18,858,942.60","13,630,903.88","28,741,710.32","35,201,885.77","20,878,015.21","24,956,780.81","24,976,411.93","37,013,368.69","33,703,067.64","89,746,688.77",,"126,488,232.32",
预付款项,"10,547,909.52","32,315,033.50","33,100,027.30","35,621,557.57","43,978,909.81","44,190,635.92","27,489,646.84","36,471,948.09","31,459,358.00","31,734,796.87","31,126,677.88","29,692,993.40","36,562,994.21","40,637,419.97","13,357,578.03","23,001,926.40","119,436,082.70","104,220,043.53","5,731,053.22","174,979,314.80","7,436,509.53","7,659,613.93","6,295,206.36","13,644,813.47","17,611,084.19","19,511,471.81","16,474,086.26","16,923,089.80","21,343,710.41","29,157,499.19","26,119,444.10","61,753,970.21","79,686,188.49","55,501,082.88","85,251,121.51","75,835,426.75","160,308,548.48","173,934,351.13","241,252,967.22","242,590,463.36"
预收款项,"591,951.56","593,176.89","329,326.59","795,064.57","910,288.58","687,378.77","1,106,127.35","1,452,579.79","1,290,089.56","1,222,807.46","3,608,552.84","1,535,492.57","2,155,070.49","3,437,682.58","4,785,032.34","798,260.33","6,215,994.22","7,083,212.75","4,448,151.29","1,872,561.51","4,479,517.29","3,316,731.06","7,321,020.56","688,580.39","1,863,193.66","1,203,896.66","12,222,158.17","6,028,100.39","8,298,918.58","11,843,993.06","13,145,438.74","10,639,118.23","20,071,966.51","8,076,632.02","13,250,629.18","10,460,456.89","90,338,562.12","98,290,425.49","122,157,903.50","87,660,857.30"
其他应收款,"8,206,635.23","583,347.18","2,281,991.96","6,025,889.42","2,051,507.79","4,810,474.00","3,860,924.93","5,371,845.66","4,233,770.54","5,505,339.52","4,885,574.55","5,532,586.99","6,804,621.55","8,188,718.47","5,435,368.16","31,665,324.68","6,358,814.90","4,670,115.80","6,888,953.89","5,575,929.15","5,335,554.39","4,944,491.15","4,830,664.47","2,029,152.61","3,808,188.15","2,612,591.32","8,091,112.13","8,179,607.50","5,376,097.69","3,219,719.61","32,803,541.20","41,361,849.30","33,244,702.26","11,168,992.59","10,797,484.37","18,866,318.61","61,999,613.16","119,231,352.15","356,916,673.76","402,701,099.18"
