科目,2013-12-31,2014-12-31,2015-12-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"150,698,742.90","125,824,781.77","222,144,358.07","47,484,554.02","473,525,583.50","227,245,210.69","91,900,306.11","93,254,508.29","248,837,491.81","190,698,818.70","167,139,120.39","231,976,630.55","324,087,064.20","406,322,469.44"
短期借款,"70,000,000.00","109,300,000.00","45,000,000.00","50,432,925.84",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,"1,000,000.00"
交易性金融负债,,,,,,,,,,,,,,
应收票据,"16,764,200.00","29,295,815.00","7,943,165.00","12,237,069.13","14,313,248.97","7,480,778.00","14,758,425.00","20,420,934.00","22,661,688.10","9,042,631.50","10,296,195.00","19,430,746.00","47,959,423.00","78,346,512.81"
应付票据,,,,,,,,,,,,,,
应收账款,"264,482,883.77","349,054,867.03","335,260,871.59","356,662,536.86","395,205,098.14","272,288,136.86","331,879,510.90","408,975,834.06","511,647,239.58","520,062,034.93","702,918,392.37","691,111,812.08","878,657,794.91","833,910,769.47"
应付账款,"98,736,837.00","139,133,654.11","130,928,193.73","114,584,337.23","164,909,996.38","164,483,803.85","192,716,244.65","190,556,375.96","208,301,904.36","183,082,696.59","236,350,841.53",,"294,306,602.12",
预付款项,"5,491,160.22","12,457,328.79","13,563,595.11","22,954,746.44","27,852,939.39","41,722,072.29","40,427,047.26","53,621,024.20","34,809,566.61","47,657,852.66","33,254,663.90","51,432,778.99","78,341,436.91","83,080,442.55"
预收款项,"23,974,094.25","34,134,472.04","68,458,262.22","94,714,628.36","78,270,649.33","59,566,097.92","67,580,801.09","157,975,830.96","169,883,963.48","130,113,060.25","156,979,462.21","99,255,780.11","74,021,481.73","50,972,069.53"
其他应收款,"18,945,926.94","28,660,469.10","15,557,773.41","19,860,474.48","15,866,924.94","17,049,591.37","20,374,702.12","19,204,976.80","51,769,814.64","19,609,185.09","20,961,572.38","37,453,082.54","31,572,850.68","28,951,246.65"
应付职工薪酬,"19,027,991.89","28,365,678.96","40,938,215.68","9,703,750.22","58,446,729.70","78,804,612.00","10,051,950.49","20,016,999.38","81,246,474.45","105,190,105.86","64,753,753.41","98,510,633.16","127,200,107.96","163,865,133.88"
应收关联公司款,,,,,,,,,,,,,,
