科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"416,619,050.58","516,441,012.10","432,563,624.61","570,810,385.56","273,585,672.19","422,835,647.99","544,261,392.62","119,309,444.26","276,022,530.67","425,055,297.65","549,817,089.42","153,733,386.91","364,080,083.71","627,445,647.37","663,133,168.46","153,942,890.90","388,938,314.67","593,888,859.35","838,678,322.31","235,010,134.81","523,630,107.18","784,889,398.07","990,061,044.36","227,248,893.84","445,611,815.88","675,932,536.39","861,724,188.98","174,741,703.75"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"22,453,964.26","19,937,036.84",
收到的税费返还,"32,543,482.04","45,233,166.82","30,898,234.59","46,790,935.93","20,758,077.50","29,755,622.17","37,292,793.24","13,299,108.40","24,993,975.32","35,754,365.78","51,959,176.29","10,266,434.86","27,990,388.50","51,314,501.81","63,912,720.66","11,854,404.19","24,652,284.97","46,352,257.72","57,883,350.02","17,245,883.15","40,256,118.52","65,659,694.82","80,988,615.63","16,150,057.48","38,045,838.33","55,574,681.56","67,010,990.78","12,539,005.87"
支付其他与投资活动有关的现金,,,,,,,,,,"36,000,000.00",,,,"4,000,000.00","12,926,521.13",,,"1,319,315.00","1,319,315.00",,,,,,"206,400.00","7,060,354.00","12,886,020.00","1,284,600.00"
收到其他与经营活动有关的现金,"6,152,908.18","4,861,889.35","6,436,252.55","7,983,709.35","735,292.13","984,179.22","1,548,065.78","452,662.45","1,780,502.07","2,089,318.99","2,798,267.09","564,488.91","811,726.72","2,954,399.85","182,068,612.75","11,659,517.70","26,668,980.81","30,451,267.84","38,451,393.84","990,815.36","5,392,924.59","5,639,334.61","6,746,878.52","-39,245.66","2,014,981.58","1,970,600.65","4,154,210.44","10,275,976.00"
投资活动现金流出小计,"65,593,995.13","85,424,898.64","88,075,185.96","125,946,171.18","47,848,898.42","71,616,690.11","92,593,635.25","62,191,161.17","77,276,489.22","198,568,339.06","212,659,570.95","22,828,090.71","43,831,022.99","122,103,085.45","158,831,663.66","13,377,129.62","41,630,775.05","65,152,391.13","76,791,229.31","6,128,453.87","10,410,626.38","13,853,688.07","16,380,404.13","13,619,468.48","21,423,578.69","50,553,061.79","56,791,924.50","6,216,157.77"
经营活动现金流入小计,"455,315,440.80","566,536,068.27","469,898,111.75","625,585,030.84","295,079,041.82","453,575,449.38","583,102,251.64","133,061,215.11","302,797,008.06","462,898,982.42","604,574,532.80","164,564,310.68","392,882,198.93","681,714,549.03","909,114,501.87","177,456,812.79","440,259,580.45","670,692,384.91","935,013,066.17","253,246,833.32","569,279,150.29","856,188,427.50","1,077,796,538.51","243,359,705.66","485,672,635.79","733,477,818.60","932,889,390.20","197,556,685.62"
投资活动产生的现金流量净额,"-47,372,684.52","-85,424,898.64","-88,075,185.96","-114,486,171.18","-47,807,398.42","-71,575,190.11","-92,552,135.25","-57,488,161.17","-73,218,871.22","-171,267,099.21","-165,049,707.64","-12,815,268.79","-33,818,201.07","-45,538,784.08","-80,266,686.95","122,870.38","-31,257,411.70","-33,999,003.65","-44,167,892.48","-6,006,501.87","-10,119,970.38","-13,563,032.07","-15,092,133.33","-1,520,699.99","-8,865,210.20","-37,991,677.30","-42,554,672.01","-5,236,157.77"
购买商品、接受劳务支付的现金,"369,875,110.16","426,064,575.99","358,363,169.97","459,242,815.68","229,199,131.38","358,341,199.51","427,216,307.10","108,040,138.39","213,325,504.93","327,207,374.33","407,657,236.47","100,004,116.48","287,252,269.93","577,913,229.02","511,632,676.22","132,088,325.65","263,799,241.04","448,357,020.45","619,057,307.09","156,620,596.16","364,054,823.34","592,414,465.46","811,459,494.62","182,268,315.50","423,562,091.93","634,966,569.84","787,756,034.72","162,464,039.59"
吸收投资收到的现金,"36,972,000.00",,,,,,,"277,423,000.00","277,423,000.00","277,423,000.00","277,423,000.00",,"1,470,000.00","3,920,000.00","11,270,000.00",,,,,,,,,,,,"18,062,100.00",
