科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"81,926,905.82","99,272,002.11","131,379,465.67","77,700,399.66","111,210,255.43","162,186,608.70","38,747,295.82","74,063,570.20","119,750,716.20","191,726,587.03","62,424,864.16","136,606,842.75","209,734,663.58","276,820,192.91","79,727,460.96","174,051,812.16","258,027,752.26","342,881,210.59","81,559,533.30","179,836,083.05","252,410,653.34","324,972,001.35","76,855,136.55","146,500,352.25","203,309,182.41","301,386,449.23","50,747,736.61","125,349,511.70","276,172,773.37","406,701,295.65","121,422,390.33","208,012,505.95","370,510,128.52","542,710,320.68","135,337,622.21","338,070,883.61"
二、营业利润,"17,440,793.45","18,187,964.26","28,700,683.66","21,221,980.98","29,029,758.57","37,504,980.02","10,820,449.57","16,204,917.05","29,207,325.12","41,696,098.98","11,488,585.97","23,514,824.09","36,324,184.00","55,374,663.77","17,407,011.06","31,110,319.93","44,625,289.82","68,802,970.36","17,516,149.29","31,116,502.39","39,969,486.88","58,476,628.29","14,606,807.77","19,670,200.21","16,564,875.91","24,342,555.13","1,728,206.50","4,953,564.53","22,370,277.86","38,999,992.65","5,595,185.25","3,545,463.36","17,271,641.60","22,073,036.46","7,253,417.07","3,980,209.35"
减:营业成本,"57,317,667.56","71,655,786.80","88,063,641.68","45,387,461.60","68,508,591.18","108,517,503.50","22,830,471.19","49,084,405.63","78,285,011.75","134,515,482.16","46,911,249.26","98,520,418.49","148,950,298.79","186,609,787.84","54,375,454.33","120,278,212.12","177,171,548.28","228,680,922.84","59,469,069.45","131,233,288.14","181,675,771.21","229,838,409.67","56,248,106.63","109,193,481.24","157,706,122.07","228,733,458.33","34,074,417.81","83,351,479.33","197,751,375.94","274,576,132.11","94,114,765.16","162,365,566.81","287,910,227.00","412,323,716.23","103,628,182.79","270,881,826.78"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"740,266.66","544,754.74","1,068,977.29","389,194.01","454,124.24","1,090,668.67","117,692.25","197,704.78","634,915.90","3,232,245.03","54,836.40","124,832.17","210,174.02","1,110,906.61","269,694.20","680,669.84","726,230.04","1,189,487.79","248,314.29","734,564.88","1,197,014.95","2,139,776.76","193,974.94","569,546.68","933,133.44","1,438,184.30","712,663.28","1,476,968.24","1,600,971.07","4,148,525.10","629,794.03","1,300,459.68","1,913,346.64","4,374,629.27","1,050,022.10","2,088,439.40"
营业外收入,"400,000.00","2,565,521.22","1,059,202.97","27,111.04","1,042,111.04","2,142,111.04",,"1,500,000.00","1,653,440.61","2,403,440.61","500,000.00","1,129,411.53","1,252,430.15","3,721,214.06","161,820.18","696,476.58","774,202.98","1,352,767.31","2,818,933.62","3,035,132.06","3,988,070.72","4,713,057.35","349,669.61","806,902.29","1,797,137.17","3,005,994.36","44,145.06","128,112.35","667,678.73","2,591,136.11","147,696.88","86,271.83","86,271.83","1,014,616.91","25,000.00","146,404.59"
销售费用,"561,783.63","938,742.10","1,287,297.08","832,897.20","1,318,681.20","1,986,738.40","601,731.21","1,593,891.14","2,454,214.87","5,543,473.33","1,417,407.20","3,950,434.89","6,654,812.29","9,972,372.21","2,355,871.66","4,940,587.55","10,828,292.57","14,291,776.92","3,178,939.05","6,360,092.20","9,417,993.53","12,873,133.27","3,248,360.46","6,523,393.94","9,575,196.93","14,850,129.19","6,549,312.94","14,604,860.37","20,705,495.62","29,821,753.13","7,648,086.65","16,868,892.64","29,031,327.05","40,426,141.36","12,708,315.20","24,860,918.21"
减:营业外支出,"348,059.49","10,960.00",,"4,690.61","4,690.61","144,690.61",,"10,000.00","210,000.00","241,924.26",,"138,487.04","138,487.04","220,604.93","6,731.30","35,327.92","124,792.12","508,375.40","14,104.82","77,003.20","77,335.82","77,337.92","7,000.00","38,423.86","38,423.86","38,662.18",100.00,"120,332.36","199,978.65","385,596.25",615.72,"69,802.48","69,802.48","5,500,232.55",,"35,000.00"
管理费用,"5,700,419.99","7,890,467.24","12,145,422.88","8,620,619.03","10,709,371.34","12,630,518.00","3,903,384.15","6,137,026.35","9,243,702.91","15,779,658.49","4,837,021.02","11,782,419.48","19,178,494.17","26,266,353.00","7,887,778.25","16,181,514.50","21,111,928.15","28,040,573.48","6,539,268.94","13,235,376.51","19,590,218.50","25,018,624.14","6,894,142.14","14,617,153.56","22,157,377.01","32,365,488.64","9,630,882.86","21,240,863.90","31,986,924.49","54,619,460.31","11,902,273.50","21,740,341.17","32,282,563.44","52,313,262.68","12,738,135.85","27,145,746.30"
其中:非流动资产处置净损失,"347,805.53",,,"4,598.64","4,598.64",,,,,"31,924.26",,"101,415.00",,"126,469.97",,,,,,,,"60,315.76",,,,,,,,"20,448.82",,"68,945.00","68,945.00",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-56,009.88","-137,396.26","-228,456.33","-77,266.15","-135,784.09","-748,772.02","-300,236.02","-916,594.66","-1,281,459.38","-10,181,374.92","-1,025,608.59","-1,867,738.58","-2,671,812.73","-5,442,093.31","-3,442,341.29","-3,829,433.40","-5,049,762.65","-5,378,036.27","-6,195,487.73","-6,318,496.33","-8,040,828.45","-8,417,203.69","-5,725,120.60","-6,754,925.03","-8,607,260.21","-6,705,066.43","-643,411.82","-997,497.45","-1,413,667.52","-1,910,938.53","192,041.52","295,168.49","86,759.34","970,716.46","1,403,036.39","3,312,040.25"
三、利润总额,"17,492,733.96","20,742,525.48","29,759,886.63","21,244,401.41","30,067,179.00","39,502,400.45","10,820,449.57","17,694,917.05","30,650,765.73","43,857,615.33","11,988,585.97","24,505,748.58","37,438,127.11","58,875,272.90","17,562,099.94","31,771,468.59","45,274,700.68","69,647,362.27","20,320,978.09","34,074,631.25","43,880,221.78","63,112,347.72","14,949,477.38","20,438,678.64","18,323,589.22","27,309,887.31","1,772,251.56","4,961,344.52","22,837,977.94","41,205,532.51","5,742,266.41","3,561,932.71","17,288,110.95","17,587,420.82","7,278,417.07","4,091,613.94"
资产减值损失,"221,984.41","229,677.93","341,899.41","1,368,965.04","1,368,965.04","1,248,424.18","773,803.47","1,762,219.91","1,207,005.03","1,141,003.96","-1,258,627.10","581,652.21","1,088,513.04","2,928,202.79","873,992.75","4,689,941.62","8,614,226.05","7,253,515.47","803,280.01","3,474,755.26","8,600,996.72","5,042,632.91","1,388,865.21","2,681,501.65","4,979,737.26","8,924,723.06","-1,349,455.21","599,612.66","2,941,857.83","6,092,328.18","982,687.38","1,282,483.03","1,386,295.42","11,220,589.98","-3,310,213.04","5,547,339.65"
