科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"13,477,373.45","52,488,231.40","115,226,621.47","27,211,578.14","42,834,383.35","61,049,843.60","117,069,464.06","13,014,636.44","27,667,699.36","53,683,246.64","126,675,081.79","6,324,975.55","33,537,252.88","46,858,387.20","144,399,296.24","9,599,475.10","47,251,635.76","82,978,775.15","172,832,176.92","13,281,897.35","60,694,333.51","134,551,725.60","203,445,527.31","28,778,273.08","78,173,673.60","154,336,161.61","256,574,984.22","31,160,305.13","67,513,952.51","111,419,285.12","220,959,675.58","43,152,550.33","82,572,034.62","131,778,123.77","261,239,778.42","60,490,010.17","142,467,211.62","204,513,183.34","315,945,847.85","43,390,835.72","97,624,422.21","154,007,041.65","266,548,057.67","38,764,945.14"
二、营业利润,"-1,566,284.26","6,300,039.56","22,186,846.68","5,662,993.33","4,419,843.79","3,120,279.10","21,638,263.15","-1,103,055.57","2,927,120.92","7,196,533.13","24,301,068.01","-1,828,236.22","4,156,304.86","6,511,089.79","31,280,696.35","6,803.69","6,575,160.91","15,319,566.84","37,313,282.73","795,816.73","11,326,961.36","18,789,821.47","43,149,752.02","3,031,860.59","9,836,242.93","20,969,939.39","43,908,191.99","5,412,906.28","9,058,451.71","12,491,026.85","7,276,251.02","4,223,122.78","15,017,999.64","19,862,542.14","35,449,329.96","4,782,390.47","14,825,076.51","23,912,710.47","34,763,029.67","2,011,637.14","12,772,144.53","18,178,076.11","54,212,206.24","6,991,598.08"
减:营业成本,"9,953,324.95","33,877,152.31","70,897,908.76","16,940,733.92","27,526,118.95","41,492,028.95","72,043,786.17","9,913,821.81","16,462,537.75","34,886,495.23","80,327,435.08","4,275,058.72","20,902,596.40","29,696,903.62","93,669,924.23","6,184,747.73","29,698,831.21","51,734,889.89","110,025,749.15","8,169,998.04","38,657,255.95","97,705,768.19","131,807,533.64","18,219,210.35","53,626,950.24","109,559,522.06","172,684,846.96","18,645,652.17","40,530,323.44","71,495,831.80","162,500,091.97","29,283,383.40","47,114,777.41","80,484,268.37","170,244,414.13","43,622,984.89","104,221,274.60","144,092,547.41","222,962,317.26","29,184,983.79","64,579,574.97","105,298,113.18","175,942,283.13","24,750,686.91"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"42,757.24","800,117.91","2,131,444.88","201,246.59","642,372.19","990,291.82","2,012,177.95","170,705.61","377,571.18","742,240.35","1,346,996.65","30,333.61","287,761.01","412,928.54","1,849,996.69","171,412.40","641,611.99","1,176,880.53","2,659,761.08","140,478.65","1,281,921.68","2,066,658.74","3,482,730.69","400,069.37","1,293,944.57","2,096,178.47","3,467,023.93","44,792.58","207,629.11","304,032.42","989,949.12","135,755.83","173,655.99","330,497.95","1,402,352.94","14,629.47","-105,547.99","60,424.12","2,657,713.00","508,082.53","1,777,715.94","1,945,555.51","3,411,419.55","195,557.25"
营业外收入,,"110,276.92","6,947,982.53","175,199.26","5,053,658.05","6,405,911.08","11,034,452.11","6,275,545.57","6,519,546.47","6,519,546.47","11,047,906.10","3,588,529.41","3,776,217.94","7,702,609.04","16,476,660.94","2,894,124.14","6,556,061.94","7,048,502.97","19,171,101.95","3,059,680.00","6,169,642.09","9,467,222.67","29,028,217.78","2,103,447.71","10,993,393.63","15,353,552.61","36,582,280.49","952,178.62","7,587,148.28","11,112,433.68","10,441,413.83","1,273,584.32","1,487,637.88","4,964,300.65","6,090,330.00","3,564,248.56","4,187,842.53","5,255,728.57","14,823,896.16","3,658,643.78","3,777,918.98","8,596,297.57","986,310.71","6,600.00"
销售费用,"1,421,121.94","2,798,936.94","5,962,927.17","770,466.21","2,636,694.02","4,114,136.90","6,163,231.23","1,538,877.42","2,036,863.39","5,186,643.58","9,754,109.96","1,036,140.00","2,690,118.25","3,836,615.18","4,482,846.89","862,420.34","2,690,602.67","4,876,508.35","5,684,899.47","1,142,590.63","2,847,831.74","4,353,984.89","8,930,423.61","2,493,610.97","4,926,444.94","7,376,653.18","11,779,487.90","3,117,245.00","5,584,250.10","7,985,419.27","15,104,743.51","3,287,795.58","5,598,733.00","8,272,430.85","15,064,282.08","3,384,994.39","7,488,971.79","10,698,782.80","15,097,209.03","2,020,093.64","5,466,660.33","8,167,660.55","11,954,878.12","2,803,720.84"
减:营业外支出,"200,000.00","201,605.50","586,202.62",,"160,000.00","1,248,534.50","1,507,494.50",,"2,428.00","30,182.26","366,883.07","3,966.13","2,015,061.14","2,037,535.29","2,058,290.69","31,000.00","31,000.00","294,476.64","496,177.66","201,023.93","203,015.33","208,045.12","210,063.02","200,000.00","251,137.80","555,986.50","557,304.85",,"5,200.00","9,529.15","114,496.72","65,781.27","66,824.27","67,359.85","330,361.66","155,828.61","156,228.61","156,235.13","854,137.60","28,439.36","28,439.36","578,100.58","134,976.85","12,150.00"
管理费用,"3,241,413.41","7,243,601.49","11,919,873.63","3,638,329.77","7,198,383.43","10,981,889.96","13,645,237.68","3,490,381.74","7,010,818.63","9,934,685.12","15,179,536.58","3,520,068.20","6,538,367.44","9,371,107.02","14,300,779.82","3,556,722.31","7,469,041.53","11,034,741.41","17,443,209.68","4,540,722.31","9,062,312.00","12,949,718.20","20,377,887.67","5,952,833.56","12,549,223.43","19,479,908.79","26,373,826.81","6,566,884.79","14,073,512.66","21,308,046.48","31,788,332.03","7,323,248.77","14,767,892.87","23,027,287.95","38,543,386.00","8,677,567.48","17,927,686.51","27,655,954.67","39,526,812.69","9,394,887.05","17,290,688.05","26,659,400.81","39,326,782.28","12,248,402.32"
其中:非流动资产处置净损失,,,"146,798.28",,,,"-26,083.25",,579.40,"25,151.78","164,534.47",,"11,359.16","12,228.80","53,324.51",,"-3,048.84","-3,048.84",215.00,,615.33,615.33,"2,633.23",,"49,387.31","49,387.31","50,705.66",,,"1,478.85","6,446.42","28,741.34","28,939.40","28,939.40","128,031.63","22,472.36","22,472.36","22,472.36","22,472.36","5,475.40","5,475.40","84,525.67",,
