科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"3,960,856,442.87","7,265,183,470.13","11,996,625,057.50","16,434,369,710.65","5,307,084,904.84","12,238,225,495.45","18,295,379,073.95","27,515,965,825.12","4,580,258,634.86","10,276,140,544.23","23,161,511,145.69","33,225,185,976.66","8,486,716,647.36","18,861,691,829.16","27,582,479,596.75","35,264,699,858.13","10,105,860,511.58","22,713,082,215.90","35,928,872,099.88","46,019,701,743.46","13,166,171,674.11","34,015,343,107.24","47,853,965,828.72","55,190,316,397.78","18,027,413,893.56","37,992,408,371.69","54,621,567,761.01","71,321,390,377.89","23,045,695,561.23","46,275,800,156.88","71,195,639,708.30","92,834,077,130.67","17,428,195,186.87","30,384,918,703.13","38,208,327,959.80","52,902,530,211.56","8,232,977,653.74","17,251,040,304.78","25,434,742,804.78","33,427,142,584.38","8,331,325,040.19","18,440,470,589.80","28,049,165,934.99"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"40,000,000.00",,"13,350,000.00",,,,"6,000,000.00",,,"160,000,000.00",,,,,,"4,874,180,400.00","4,934,540,493.12",,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,"4,403,138.85",,,,,,"5,244,661.23","5,244,661.23",,,,,,,,"6,757,256.14","6,799,792.14",,,,,,,,,,,,"110,390.68",,"20,367,577.24","20,367,577.24","199,695.53",,,"5,375,401.48"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"1,795,423.20",,,,,,,,"26,827,881.14",,,,,,,"18,000,000.00",,,,,,,,
收到其他与经营活动有关的现金,"3,446,542.10","26,815,992.73","26,821,612.73","40,117,859.12","2,828,015.14","14,207,776.35","49,299,923.70","39,881,692.75","6,638,635.50","14,387,047.18","47,952,610.61","241,189,065.68","25,487,128.72","69,818,712.32","101,606,833.35","232,266,667.35","53,673,526.65","90,460,869.24","146,689,872.65","466,372,727.84","84,844,313.43","406,226,773.39","557,447,263.13","619,178,144.11","94,072,015.53","173,512,587.14","268,944,874.75","269,163,106.82","31,459,212.30","125,667,026.63","285,276,252.21","449,797,125.68","67,040,059.71","149,974,647.65","397,633,776.97","478,571,394.96","79,073,178.11","89,942,000.69","226,390,043.92","481,926,647.59","151,459,829.29","180,543,083.63","220,919,296.47"
投资活动现金流出小计,"242,918,143.47","292,899,672.99","337,138,761.02","775,024,415.44","175,830,824.20","175,830,824.20","220,816,223.72","374,785,188.56","17,921,780.61","132,267,191.04","1,259,693,205.19","1,318,283,062.00","512,877,393.61","564,220,677.44","1,280,922,919.21","2,574,985,145.26","1,330,484,990.51","2,024,642,475.72","3,454,943,064.54","2,793,101,367.87","1,054,730,646.94","3,248,385,177.37","3,591,864,682.86","6,159,162,632.17","5,300,419,375.66","7,005,250,830.29","8,245,066,938.41","8,081,208,102.51","789,239,350.31","629,363,641.98","875,242,638.55","879,711,719.02","40,776,531.16","222,438,891.98","426,068,802.56","509,892,578.80","76,179,744.92","244,120,900.00","330,022,200.00","334,483,622.98","103,045,058.00","266,200,728.77","339,815,486.32"
经营活动现金流入小计,"3,964,302,984.97","7,291,999,462.86","12,023,446,670.23","16,474,487,569.77","5,309,912,919.98","12,252,433,271.80","18,344,678,997.65","27,560,250,656.72","4,586,897,270.36","10,290,527,591.41","23,209,463,756.30","33,466,375,042.34","8,512,203,776.08","18,936,755,202.71","27,689,331,091.33","35,496,966,525.48","10,159,534,038.23","22,803,543,085.14","36,075,561,972.53","46,486,074,471.30","13,251,015,987.54","34,421,569,880.63","48,418,170,347.99","55,816,294,334.03","18,121,485,909.09","38,165,920,958.83","54,890,512,635.76","71,590,553,484.71","23,077,154,773.53","46,401,467,183.51","71,480,915,960.51","93,283,874,256.35","17,495,235,246.58","30,534,893,350.78","38,605,961,736.77","53,381,211,997.20","8,312,050,831.85","17,361,349,882.71","25,681,500,425.94","33,909,268,927.50","8,482,784,869.48","18,621,013,673.43","28,275,460,632.94"
投资活动产生的现金流量净额,"-242,918,143.47","-292,899,672.99","-337,138,761.02","-774,724,415.44","-175,830,824.20","-175,830,524.20","-220,815,923.72","-374,784,888.56","-17,921,780.61","-132,267,191.04","-1,259,693,205.19","-1,317,265,062.00","-512,877,393.61","-563,206,441.35","-1,279,908,683.12","-2,572,692,914.16","-1,330,484,990.51","-2,024,642,475.72","-3,454,143,064.54","-2,788,381,488.37","-1,054,730,646.94","-3,247,885,177.37","-3,591,364,682.86","-6,132,153,067.70","-5,300,419,375.66","-7,002,250,830.29","-8,242,066,938.41","-8,068,259,184.96","-789,239,350.31","-601,363,641.98","-845,856,236.82","-778,325,317.29","-40,776,531.16","-222,438,891.98","-426,068,802.56","-509,892,578.80","-76,179,744.92","-244,120,900.00","-330,022,200.00","-333,434,924.82","-103,045,058.00","-266,200,728.77","-339,815,486.32"
购买商品、接受劳务支付的现金,"3,396,048,042.29","6,137,497,394.83","10,371,902,453.29","12,930,869,075.86","4,362,143,990.91","10,405,157,115.34","16,445,686,841.77","23,806,358,638.62","3,832,240,077.19","9,154,776,547.21","19,240,010,687.90","27,968,075,679.87","7,426,322,339.52","16,407,484,973.19","23,918,299,301.14","31,362,935,455.35","8,771,064,283.03","19,333,202,646.27","30,961,266,391.59","40,609,409,362.18","11,775,105,789.19","32,104,910,452.04","45,071,827,872.69","50,583,203,537.86","16,377,631,823.73","35,240,463,720.70","50,747,728,026.36","68,810,843,415.38","22,022,920,535.10","41,136,883,128.75","62,278,163,602.48","80,912,950,152.44","17,280,354,377.48","29,683,444,471.80","36,044,875,932.03","48,923,013,140.35","6,924,946,075.20","14,401,505,372.97","20,547,529,018.83","24,822,259,480.56","7,979,085,674.03","16,224,961,086.27","23,317,862,557.93"
吸收投资收到的现金,,,,,,,,"14,700,000.00",,,,"20,000,000.00",,"150,000,000.00","399,200,000.00","399,200,000.00",,"10,000,000.00","10,000,000.00","250,000.00",,"18,000,000.00","18,000,000.00","18,000,000.00","7,966,620,000.00","7,966,620,000.00","7,966,620,000.00","7,970,120,000.00",,,,,,,,,,,,,,,
