科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"142,551,711.25","210,475,910.48","238,698,089.97","23,063,277.36","111,246,258.41","229,696,049.10","43,266,892.90","137,847,115.71","243,822,175.27","277,393,698.95","88,013,671.31","121,993,640.74","164,008,400.95","275,873,509.56","63,146,088.53","114,941,596.97","177,768,173.78","190,731,724.07","52,077,262.31","59,932,710.93","110,051,918.00","188,489,447.32","53,095,336.40","101,218,817.69","138,681,061.36","214,248,412.94","58,638,134.40","90,888,316.03","132,534,930.30","189,518,695.80","46,551,283.83","119,092,167.09","164,404,299.85","223,843,915.46","43,139,564.21","117,870,216.80","156,864,659.88","131,356,672.78","15,462,350.29"
取得子公司及其他营业单位支付的现金净额,"14,563,035.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"179,059.84","793,473.31","7,249,093.27",,"1,213,026.96","1,656,488.51","379,680.76","1,792,726.25","2,202,843.94","3,133,086.75","240,852.31","3,805,043.96","5,532,384.69","10,029,829.04","4,532,145.81","8,675,120.26","10,820,285.68","12,785,480.05","7,428,206.44","13,638,192.47","16,759,263.92","21,222,828.37","17,043,604.59","19,289,719.40","27,626,237.56","33,267,856.31","1,923,911.38","5,499,797.34","7,918,315.25","9,230,323.93","3,304,446.42","6,269,745.84","8,227,238.16","10,194,931.33","4,136,684.72","7,906,837.02","11,248,439.88","14,220,137.44","995,180.05"
支付其他与投资活动有关的现金,,,,,,,,,,"63,630,000.00",,,"112,860.50","70,000.00",,,,,,,,,,,"610,971.72","11,000,000.00",,,,,,,,,"5,000,000.00",,,,
收到其他与经营活动有关的现金,"2,972,454.51","274,482.73","6,818,625.78","2,253,964.56","864,226.33","7,813,143.29","7,203,325.81","5,642,749.00","14,576,487.38","19,556,252.65","8,331,685.01","12,030,709.81","2,864,813.96","28,212,092.24","10,262,423.48","12,301,945.31","2,130,604.84","15,410,818.05","3,498,454.67","15,709,502.21","36,616,555.33","17,965,299.31","4,842,103.96","8,790,964.78","14,409,390.99","7,123,339.13","5,449,306.20","7,887,230.33","11,871,975.28","3,230,584.73","1,106,587.84","3,556,721.40","8,744,058.49","3,739,215.62","5,248,042.32","1,259,725.97","2,757,473.86","3,701,927.77","11,364,355.41"
投资活动现金流出小计,"39,535,121.16","20,672,150.35","4,246,111.12","147,808.00","2,738,070.37","4,974,186.08","666,389.00","40,479,450.03","4,129,125.60","88,454,183.52","1,610,389.11","53,064,440.15","143,806,330.81","158,636,445.94","5,561,209.19","58,717,731.46","125,733,610.68","115,712,194.52","103,340,121.79","90,331,217.17","135,239,850.68","151,200,351.40","11,906,497.17","28,738,538.17","56,432,943.71","62,715,759.45","11,454,672.13","26,628,357.28","54,547,648.48","58,601,683.50","12,857,091.93","47,053,767.18","78,422,746.85","104,437,876.01","129,308,496.55","159,833,106.88","176,594,416.60","171,853,828.67","7,289.92"
经营活动现金流入小计,"145,703,225.60","211,543,866.52","252,765,809.02","25,317,241.92","113,323,511.70","239,165,680.90","50,849,899.47","145,282,590.96","260,601,506.59","300,083,038.35","96,586,208.63","137,829,394.51","172,405,599.60","314,115,430.84","77,940,657.82","135,918,662.54","190,719,064.30","218,928,022.17","63,003,923.42","89,280,405.61","163,427,737.25","227,677,575.00","74,981,044.95","129,299,501.87","180,716,689.91","254,639,608.38","66,011,351.98","104,275,343.70","152,325,220.83","201,979,604.46","50,962,318.09","128,918,634.33","181,375,596.50","237,778,062.41","52,524,291.25","127,036,779.79","170,870,573.62","149,278,737.99","27,821,885.75"
投资活动产生的现金流量净额,"-29,477,368.24","-20,439,157.31","-4,093,101.07","-147,808.00","-2,738,070.37","-4,944,186.08","-666,389.00","-40,479,450.03","-4,128,925.60","-86,896,756.77","-1,610,389.11","-53,064,440.15","-143,773,368.25","-158,096,456.63","-4,922,717.98","-57,289,714.00","-124,190,233.96","-115,408,213.75","-103,340,121.79","-90,331,217.17","-135,238,370.68","-85,950,735.89","-11,906,497.17","-28,738,018.17","-56,432,023.71","-62,138,113.57","-11,352,568.02","-15,449,886.05","-42,310,147.12","-55,009,618.01","-11,770,084.44","-45,872,097.72","-76,161,342.11","-101,819,751.19","-123,260,469.16","-157,729,255.75","-174,445,452.73","-169,513,132.30","22,167.61"
购买商品、接受劳务支付的现金,"71,079,269.38","120,955,174.91","121,053,715.84","39,341,685.01","132,960,924.81","190,488,336.64","52,258,032.00","127,131,152.21","214,666,030.85","237,834,129.22","89,725,525.55","100,202,036.97","114,596,570.99","176,365,580.85","55,888,544.82","59,798,254.68","100,951,347.97","123,774,856.76","31,207,010.13","75,080,514.33","87,174,092.95","90,577,748.31","36,586,494.97","62,273,692.58","88,433,267.24","125,670,515.46","24,740,120.66","60,984,894.97","61,245,132.99","79,829,979.74","33,538,768.10","58,672,060.08","66,105,645.49","89,530,872.54","30,315,374.06","71,708,057.94","72,635,633.33","21,237,297.67","21,174,984.22"
吸收投资收到的现金,"18,750,000.00","10,800,000.00",,,,"806,587,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"6,995,482.93","11,363,159.86","14,288,270.30","5,459,397.11","12,265,407.62","15,099,751.90","4,513,282.59","9,577,241.41","15,867,377.19","22,493,808.21","3,598,148.48","13,438,800.62","20,987,081.50","28,155,507.31","6,524,331.90","22,969,409.82","32,992,085.53","34,745,477.75","11,981,919.30","26,370,777.48","30,869,937.40","44,601,043.66","15,761,329.27","26,223,247.37","38,329,101.88","47,466,158.44","12,712,044.92","27,423,384.60","39,751,755.85","45,586,225.34","12,653,474.61","26,329,331.06","37,918,923.45","40,438,222.64","14,008,287.61","16,954,096.48","24,272,265.82","31,069,335.11","5,115,034.59"
取得借款收到的现金,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,037,600.00",,,,,
支付的各项税费,"15,694,465.55","31,970,464.89","36,888,360.37","10,149,431.38","27,574,352.69","39,799,680.32","16,860,027.91","25,898,976.47","33,111,655.68","43,757,244.41","8,715,136.20","13,057,001.04","24,872,005.50","36,930,904.39","4,046,041.80","16,380,722.92","21,637,806.72","27,700,249.15","6,264,287.96","20,711,738.06","29,183,520.29","31,491,988.73","3,465,556.14","13,311,357.80","18,695,800.76","20,223,998.20","6,011,646.38","11,676,075.00","11,994,587.09","12,343,411.12","1,698,054.23","6,755,928.22","7,546,769.50","9,250,441.07","2,591,270.74","5,174,206.22","9,164,384.84","10,907,448.38","1,540,097.97"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"7,389,730.79","18,591,355.43","13,995,514.35","8,903,370.66","19,005,855.33","35,419,604.61","3,186,413.74","11,506,780.46","44,838,148.64","33,619,316.20","14,407,944.67","40,244,274.21","949,182.03","38,263,218.77","12,589,523.20","17,309,791.84","7,083,595.07","45,709,830.60","12,439,310.87","20,808,376.49","48,888,825.89","86,306,490.26","24,460,191.67","29,093,475.35","35,116,976.61","49,312,793.11","9,045,103.20","28,889,872.12","38,569,636.09","40,520,965.33","13,586,030.47","12,184,051.23","18,968,134.44","39,662,080.76","16,316,635.57","20,021,240.37","27,400,320.18","44,453,352.39","13,237,534.43"
