科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"101,450,482.19","167,713,322.71","309,976,913.17","87,630,333.96","176,576,515.58","236,473,892.65","309,860,472.36","68,582,156.42","162,628,998.84","245,473,556.99","387,519,941.86","70,855,164.83","189,267,010.25","330,869,588.33","483,357,124.38","75,663,606.72","226,440,281.71","381,696,427.88","567,385,772.05","71,543,015.96","237,484,198.86","420,323,906.49","662,676,897.90","93,699,987.38","294,511,204.25","462,987,532.07","496,359,558.35","254,219,155.36","542,120,960.28","826,157,593.28","1,319,735,230.15","356,171,273.00","816,590,564.90","1,491,962,535.26","2,013,321,629.25","486,875,652.99","1,038,622,486.69","1,616,763,951.56","2,326,250,348.75","401,762,465.89","867,365,174.69","1,467,616,470.12"
二、营业利润,"22,379,578.33","48,018,140.02","100,430,447.75","38,442,938.42","78,650,970.88","101,372,345.32","125,201,263.62","23,733,342.37","61,450,532.55","98,756,224.29","159,348,152.41","27,768,409.32","84,133,504.11","146,191,865.16","217,480,237.89","26,248,196.04","93,791,943.19","163,384,722.68","234,898,442.07","23,392,934.21","76,867,089.16","162,653,541.09","260,431,106.51","26,380,088.81","100,333,477.42","172,575,521.92","167,394,021.65","77,685,375.63","204,280,162.67","374,043,399.64","599,410,436.03","452,887,451.99","995,767,576.66","1,395,074,071.30","1,729,323,255.21","369,721,833.10","787,965,245.35","1,492,590,814.51","1,948,168,977.59","247,965,227.97","823,195,690.94","1,104,778,325.86"
减:营业成本,"54,807,076.95","84,392,172.87","140,022,173.18","29,784,358.27","64,215,911.12","85,747,523.68","116,448,301.76","30,390,101.79","67,706,171.23","106,248,616.12","164,666,606.08","23,983,255.20","68,835,105.43","122,017,139.29","179,514,658.59","30,870,884.63","93,420,580.38","158,456,196.14","232,774,372.31","32,340,390.32","103,896,439.41","170,791,702.25","261,969,372.35","41,181,661.25","114,651,948.26","172,273,610.62","175,286,502.56","114,702,917.05","221,497,169.25","316,597,840.31","494,157,662.14","147,561,599.47","314,404,667.36","567,770,581.52","777,508,168.83","141,318,606.47","360,261,277.41","576,686,855.62","843,405,771.40","142,865,388.32","327,739,564.28","533,936,391.89"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"33,277.18","44,415.46","143,963.13","75,234.93","186,176.88","304,188.39","421,609.27","119,375.00","284,850.72","507,947.12","1,245,488.46","535,006.28","1,108,760.98","1,638,538.80","2,928,438.26","1,151,290.54","3,333,674.36","5,227,956.69","8,020,599.11","1,044,076.48","3,278,866.86","6,161,683.90","10,395,137.13","1,084,775.78","4,432,007.44","6,342,702.46","7,402,617.02","2,270,414.82","4,773,134.98","5,843,554.60","7,417,881.05","1,351,459.51","3,245,647.50","6,033,332.81","7,730,582.33","2,035,098.53","4,179,940.92","6,408,926.10","14,393,954.58","3,803,089.79","8,129,200.28","12,208,335.89"
营业外收入,,"707,779.05","2,208,611.41",,,"100,900.00","1,434,964.08","1,800.00","301,800.00","1,101,800.00","1,103,469.93",,"1,400,000.00","2,517,771.95","3,990,597.00","140,000.00","560,656.50","560,656.50","1,111,477.53","1,879,981.44","3,038,572.00","4,403,672.00","4,424,558.53","240,000.00","1,418,200.00","2,576,200.00","4,122,326.04","759,915.23","2,429,269.22","3,430,152.48","6,099,282.20","2,293,904.29","5,821,499.73","19,520,023.15","24,681,768.57","11,342,840.26","8,010,404.38","12,009,958.18","17,028,577.36","17,538,159.40","14,402,371.00","16,233,638.01"
销售费用,"4,380,728.96","8,218,499.17","18,410,540.45","3,514,726.52","5,615,423.51","7,586,611.55","10,903,076.61","2,551,646.48","4,610,715.23","7,061,337.10","8,678,640.13","2,444,050.85","5,178,619.19","9,608,103.15","14,932,885.42","2,747,280.26","4,697,027.88","6,914,826.71","11,468,607.37","2,838,747.97","7,587,212.29","11,673,427.44","18,160,653.83","3,128,839.02","10,294,008.06","12,946,412.45","16,077,503.81","5,183,841.16","9,357,682.55","14,398,381.55","22,035,712.66","7,740,665.85","13,638,167.27","21,847,896.55","32,573,113.85","6,699,008.84","12,552,075.03","18,989,930.63","35,153,012.02","9,549,137.61","17,625,122.62","26,741,554.49"
减:营业外支出,"63,445.17","1,180,146.24","4,652,804.99","106,940.10","1,917,665.73","2,001,781.85","2,157,732.28","231,394.01","347,974.85","475,423.77","884,107.76","53,702.14","58,699.85","262,908.86","569,234.46","120,648.80","279,667.71","323,989.27","499,872.56","153,580.88","202,453.31","231,867.85","289,954.84","180,847.08","228,788.89","239,926.25","2,541,790.75","203,173.63","2,390,661.47","2,871,459.45","3,528,020.99","582,682.05","749,063.15","4,400,042.35","4,813,230.45","406,847.55","1,114,563.70","5,438,362.15","5,842,915.96","148,042.00","343,274.47","2,626,059.73"
管理费用,"12,562,104.85","19,559,911.95","38,546,230.40","13,554,636.16","25,609,856.04","38,315,679.81","55,243,754.36","13,014,355.16","28,666,185.99","42,794,162.78","64,224,108.54","17,016,873.21","30,874,193.24","56,986,336.85","74,813,307.31","16,549,690.81","33,636,857.14","52,082,948.08","85,091,207.20","13,615,515.50","48,808,128.31","72,269,997.29","113,787,084.91","22,020,218.12","54,884,635.27","83,650,323.68","110,439,082.14","47,170,739.99","89,299,501.40","130,366,370.09","215,350,082.21","66,356,909.42","132,612,562.74","206,988,991.88","338,891,377.86","65,440,795.81","133,793,257.54","203,891,937.24","317,417,043.01","63,015,458.82","148,382,345.41","242,462,389.16"
其中:非流动资产处置净损失,,"1,054,246.07","4,182,181.30",,"474,562.94","474,562.94","488,083.47","145,566.21","155,932.64","145,566.21","414,967.85",,783.10,783.10,783.10,"116,194.14","137,374.14","135,984.69","238,434.27","44,010.29","66,426.00","66,426.00","66,426.00","19,550.00","53,811.28","53,811.28","53,811.28","43,317.58","278,245.47","278,245.47","891,861.12","162,778.34","201,992.21","227,084.56","542,771.11","46,332.61","319,546.45","399,597.27","424,542.26","18,336.20","133,998.13","1,909,175.63"
