科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"93,651,966.41","113,603,952.07","124,690,960.21","162,180,382.86","44,940,061.43","82,060,636.65","130,690,823.26","219,815,195.92","70,740,174.55","143,294,961.62","212,193,207.94","315,011,015.87","29,970,444.91","67,679,849.14","110,225,285.59","171,212,994.43","28,184,482.33","86,144,192.68","171,197,520.36","234,216,242.06","55,640,072.39","106,394,023.85","188,555,815.29","659,323,319.98","364,008,187.27","1,454,787,281.88","2,155,918,273.32","2,759,862,734.02","301,031,198.70","730,910,810.79","1,007,076,442.34","1,251,999,195.80","197,437,297.50","472,437,156.31","762,877,697.43","1,169,270,712.49","314,121,296.54","621,299,619.53","1,011,466,800.21","1,463,998,203.64","307,655,574.37"
取得子公司及其他营业单位支付的现金净额,,,"6,783,738.22","6,783,738.22",,,,"2,982,000.00",,,,,,,,,,,,,,,,,,"1,598,382.84","1,598,382.84","1,618,065.85",,,,,,,,,,,,,"15,733,330.50"
收到的税费返还,,"10,047,493.33",,,,,,,,,,,,,,,,,,,,,,"1,547,018.65",,,,,,"4,737,735.18","48,675,020.93","48,689,542.51",,"42,409,084.13","43,199,166.90","44,956,192.43",,"239,062.95","240,564.06","27,000,589.75",
支付其他与投资活动有关的现金,,,,,,,,,,,,"60,000,000.00",,,,,,,,"200,000,000.00",,,,"160,000,000.00","220,800,000.00","203,300,000.00","203,300,000.00","350,053,003.40",,"270,000,000.00","280,006,453.35","420,451,411.00",,"230,000,000.00","491,000,000.00","733,089,127.51","367,278,000.00","1,733,278,000.00","3,032,278,000.00","2,288,000,000.00",
收到其他与经营活动有关的现金,"455,686.18","16,250,523.86","10,849,533.09","14,531,870.63","4,823,328.38","6,831,688.87","7,437,650.15","13,323,339.75","54,230,496.16","84,160,849.45","88,051,792.86","48,178,511.99","22,415,787.43","37,014,850.45","42,809,530.33","70,222,497.37","26,778,046.01","63,505,566.02","293,971,061.65","652,098,616.33","153,028,101.65","580,414,816.89","2,001,491,674.28","2,225,387,714.81","2,203,575,046.47","2,854,440,400.14","163,265,353.70","274,206,036.47","398,441,806.21","451,994,874.80","587,419,774.95","786,135,115.78","1,085,751,699.04","1,637,682,205.51","2,498,267,609.25","2,090,069,315.89","3,616,307,648.83","2,772,377,782.23","1,920,518,987.33","3,124,887,872.04","18,224,918,155.00"
投资活动现金流出小计,"13,622,429.27","41,705,768.15","404,986,613.47","406,602,092.97","1,802,080.91","7,151,288.91","14,507,872.91","75,300,910.53","140,447,509.60","141,648,458.60","152,233,328.23","235,206,598.43","1,304,215.00","5,565,215.66","10,738,456.66","14,093,823.74","974,127.59","134,720,026.58","207,816,702.70","226,668,362.22","2,322,747.78","6,821,137.48","9,443,007.42","261,146,150.38","270,260,882.60","766,101,260.29","1,151,514,250.72","872,406,053.47","34,249,589.64","1,578,207,624.93","1,762,435,916.43","2,074,770,856.82","89,153,749.33","396,589,926.64","714,867,464.23","1,021,329,977.35","502,912,221.80","2,323,763,094.77","4,347,561,933.32","4,056,242,505.98","2,267,681,533.98"
经营活动现金流入小计,"94,107,652.59","139,901,969.26","135,540,493.30","176,712,253.49","49,763,389.81","88,892,325.52","138,128,473.41","233,138,535.67","124,970,670.71","227,455,811.07","300,245,000.80","363,189,527.86","52,386,232.34","104,694,699.59","153,034,815.92","241,435,491.80","54,962,528.34","149,649,758.70","465,168,582.01","886,314,858.39","208,668,174.04","686,808,840.74","2,190,047,489.57","2,886,258,053.44","2,567,583,233.74","4,309,227,682.02","2,319,183,627.02","3,233,161,009.33","1,049,543,356.23","2,702,554,157.04","2,784,925,448.05","4,448,484,010.32","3,060,632,380.17","3,703,427,737.37","5,300,773,957.26","5,455,274,293.92","5,037,457,810.34","4,964,126,171.97","5,824,390,670.15","7,873,942,926.26","21,585,974,569.88"
投资活动产生的现金流量净额,"-3,063,878.46","-5,369,125.26","-11,493,855.11","-11,108,260.64","-1,802,080.91","-7,151,288.91","-14,507,872.91","-75,300,910.53","-140,447,509.60","-141,648,458.60","-152,233,328.23","-194,106,598.43","59,279,182.26","55,018,181.60","49,844,940.60","46,489,573.52","-974,127.59","-134,720,026.58","-207,816,702.70","-226,658,462.22","-2,322,747.78","123,178,862.52","190,556,992.58","-61,144,150.38","-104,747,282.60","-410,179,761.69","-691,879,355.42","9,161,234,476.73","75,968,021.47","-1,457,941,333.39","-1,640,114,283.76","-1,817,614,587.68","-78,581,573.06","36,116,815.31","-51,670,793.81","-69,637,592.22","-254,287,040.03","-960,411,506.97","-1,242,759,834.22","-1,175,871,672.65","634,312,120.52"
购买商品、接受劳务支付的现金,"15,374,262.59","25,607,260.12","15,933,035.22","22,093,093.54","4,230,230.80","13,584,613.02","19,655,180.76","44,701,960.37","12,454,102.21","25,932,547.69","35,891,319.02","49,062,061.96","14,914,519.38","33,618,544.34","47,394,850.76","51,768,058.21","14,551,711.68","26,084,153.19","43,616,811.10","63,360,937.04","15,637,516.79","35,509,002.22","61,732,003.15","167,857,181.74","50,340,591.01","137,083,797.84","199,885,847.48","310,294,714.07","90,898,142.27","186,584,201.14","266,340,906.49","366,559,957.89","90,223,817.42","193,504,832.80","272,376,459.57","358,724,362.46","53,808,865.15","186,625,974.37","223,304,661.98","281,650,023.32","127,421,058.69"
吸收投资收到的现金,"100,000,000.00","180,000.00","55,000,000.00","55,000,000.00","1,310,879,000.00","1,310,879,000.00","1,310,879,000.00","1,304,554,500.00",,,,,,,,,,,,,,,,,,"26,327,064.96","26,327,064.96","28,827,064.96",,"4,057,322,179.88","4,073,822,179.88","4,057,321,852.88",,"79,123,413.60","79,123,413.60","80,623,413.60",,"75,417,168.96","75,417,168.96","75,417,168.96",
