科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"60,674,086.45","101,838,339.11","167,632,673.26","121,748,734.35","158,301,192.72","59,675,553.21","138,145,877.82","186,098,174.51","224,636,757.14","61,938,112.09","137,079,574.94","193,847,891.58","322,875,546.35","106,364,436.73","262,403,517.88","451,790,769.23","474,324,485.54","161,942,044.65","353,049,570.78","828,589,948.65","1,173,476,112.22","276,649,523.91","557,226,954.66","964,691,044.03","1,497,639,727.58","275,988,788.98","401,389,935.29","705,974,572.36","1,139,289,001.63","306,122,682.43","705,871,044.05","1,176,606,800.33"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"-731,129.39","-731,129.39","-6,892,698.74","-58,673,123.22","-58,826,409.22","-58,826,409.22","38,748,590.78",,,,"270,022.74",,"27,552.60","27,552.60"
收到的税费返还,,,,,,,,,,,,,,"169,254.21","813,558.15","843,315.44","1,168,766.54","170,544.38","187,779.29","187,779.29","187,779.29",,,,"4,648,932.61",,"1,861,916.81",,"12,370,860.83",,"1,353,444.46","1,353,444.46"
支付其他与投资活动有关的现金,,,,,,"4,900,000.00","5,300,000.00","5,400,000.00","5,400,000.00","2,766,320.00","2,284,223.00","2,284,223.00","2,284,223.00",,"56,833,806.00","111,461,774.00","184,781,092.00","43,820,346.00","102,227,792.00","135,063,696.00","202,477,253.29","30,857,592.00","41,375,287.00","60,447,851.50","71,956,495.50","15,697,453.20","18,347,753.20","19,375,845.20","41,168,807.20","4,395,584.10","9,395,584.10","4,395,584.10"
收到其他与经营活动有关的现金,"130,469.52","5,756,042.98","5,550,366.63","5,207,100.01","4,842,732.92","280,556.02","1,211,906.05","2,318,472.60","3,864,250.33","1,283,678.43","11,186,839.87","40,078,597.11","8,402,513.14","14,934,835.38","21,060,108.54","52,869,998.15","15,905,471.71","1,643,219.70","1,560,376.05","4,902,587.89","29,152,581.13","28,923,632.29","44,881,151.83","128,862,738.16","94,054,164.87","10,791,778.47","59,190,199.52","93,900,674.10","118,683,198.54","79,958,833.26","89,821,089.79","102,910,398.49"
投资活动现金流出小计,"6,483,808.24","23,240,934.45","42,374,695.88","28,421,673.88","40,556,936.76","19,804,304.49","45,930,393.23","76,643,028.07","114,276,897.14","13,258,984.37","37,870,373.60","45,174,921.46","41,403,917.27","5,533,066.15","97,716,756.89","163,012,513.20","257,285,573.42","63,323,653.81","137,958,278.77","188,489,433.64","267,306,211.85","81,463,229.55","113,174,095.24","149,898,295.79","192,414,436.97","64,048,163.65","119,565,648.44","187,396,135.02","234,332,622.65","46,866,124.42","265,863,627.11","336,394,880.35"
经营活动现金流入小计,"60,804,555.97","107,594,382.09","173,183,039.89","126,955,834.36","163,143,925.64","59,956,109.23","139,357,783.87","188,416,647.11","228,501,007.47","63,221,790.52","148,266,414.81","233,926,488.69","331,278,059.49","121,468,526.32","284,277,184.57","505,504,082.82","491,398,723.79","163,755,808.73","354,797,726.12","833,680,315.83","1,202,816,472.64","305,573,156.20","602,108,106.49","1,093,553,782.19","1,596,342,825.06","286,780,567.45","462,442,051.62","799,875,246.46","1,270,343,061.00","386,081,515.69","797,045,578.30","1,280,870,643.28"
投资活动产生的现金流量净额,"-6,481,708.24","-23,235,074.45","-31,904,970.07","-22,421,673.88","-34,557,049.45","-19,804,304.49","-45,930,393.23","-76,637,028.07","-111,660,881.14","-10,055,410.78","-33,546,108.01","-40,850,655.87","-37,706,246.68","-5,533,066.15","-94,773,107.89","-160,041,231.20","-251,553,276.42","-63,323,653.81","-137,958,278.77","-183,479,452.64","-165,366,230.85","-70,023,229.55","-101,734,095.24","-120,042,976.79","-158,403,076.97","-38,444,541.65","-74,163,918.44","-141,994,405.02","-178,596,670.15","-11,534,577.77","-225,529,480.46","-285,180,560.81"
购买商品、接受劳务支付的现金,"42,979,668.61","63,145,600.10","102,086,932.36","60,663,632.22","95,610,400.82","33,274,439.19","83,281,988.39","152,885,800.11","190,631,005.00","50,233,239.60","90,583,168.92","134,055,574.83","152,833,051.21","82,220,488.48","198,900,298.92","353,396,038.09","345,563,396.17","130,634,045.63","203,121,715.93","566,685,343.33","909,229,033.90","249,077,277.86","585,686,441.63","948,359,970.81","1,300,900,880.20","196,545,412.51","389,130,588.19","608,727,793.21","914,094,279.01","243,229,679.68","550,391,042.36","950,431,912.12"
吸收投资收到的现金,,"25,000,000.00","34,830,000.00",,,"678,480,000.00","678,480,000.00","678,480,000.00","678,480,000.00","2,450,000.00","12,563,800.00","12,563,800.00","12,273,650.00",,"1,302,360.00","5,113,047.00","6,202,536.38","10,411,600.00","11,341,357.44","11,341,357.44","11,341,557.44",,,"1,500,000.00","2,500,000.00","2,000,000.00","398,279,644.00","399,379,644.00","404,279,646.00",,,"600,000.00"
