科目,2007年度,2008年1-3月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"27,400,965,000.00","6,725,251,000.00","24,478,791,864.28","35,768,147,070.00","7,374,971,187.77","18,580,316,000.00","29,363,139,000.00","46,392,668,374.00","12,446,949,000.00","28,093,742,448.00","43,098,753,000.00","64,908,918,368.00","20,115,865,000.00","40,127,324,607.00","58,664,737,000.00","80,710,806,825.00","19,203,301,000.00","42,453,643,217.00","63,522,925,000.00","90,456,242,248.00","19,795,533,000.00","36,928,585,834.00","56,520,220,000.00","97,886,299,540.00","18,449,858,000.00","50,416,076,076.00","84,890,007,670.00","119,724,268,768.00","23,387,586,166.00","93,236,072,000.00","148,554,772,000.00","241,912,636,000.00","40,330,971,000.00","94,204,936,000.00","147,059,682,000.00","229,722,154,000.00","33,592,333,000.00","88,717,014,000.00","140,666,030,000.00"
二、营业利润,"961,950,000.00","482,296,000.00","1,362,038,035.74","1,642,705,867.00","339,392,566.90","867,607,000.00","1,421,833,000.00","1,982,233,024.00","583,287,000.00","1,657,607,923.00","2,672,400,000.00","3,300,083,801.00","1,470,047,000.00","2,945,860,408.00","4,069,889,000.00","4,957,113,017.00","1,393,406,000.00","2,574,760,826.00","3,642,043,000.00","4,958,308,446.00","948,238,000.00","1,767,347,920.00","3,233,548,000.00","5,053,029,955.00","1,130,393,000.00","3,004,376,716.00","5,875,395,556.00","7,131,945,236.00","1,641,023,737.00","6,742,818,000.00","11,314,745,000.00","15,913,100,000.00","2,715,004,000.00","6,880,695,000.00","10,773,320,000.00","15,194,436,000.00","1,568,425,000.00","5,348,147,000.00","9,335,666,000.00"
减:营业成本,"23,265,996,000.00","5,462,685,000.00","20,339,178,849.51","29,676,918,230.00","6,135,536,731.19","15,509,799,000.00","24,454,692,000.00","38,768,609,566.00","10,322,940,000.00","23,371,630,407.00","35,672,787,000.00","53,477,968,496.00","16,539,836,000.00","32,751,613,007.00","47,867,961,000.00","65,305,481,200.00","15,479,927,000.00","34,254,218,602.00","51,784,221,000.00","73,944,313,802.00","16,641,606,000.00","30,518,858,587.00","46,062,700,000.00","80,468,902,209.00","15,081,158,000.00","40,656,396,443.00","67,169,000,855.00","94,630,103,808.00","18,302,254,824.00","72,888,989,000.00","115,681,213,000.00","193,021,700,000.00","30,979,256,000.00","72,449,999,000.00","113,937,450,000.00","181,964,676,000.00","26,175,386,000.00","69,169,145,000.00","108,954,917,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"117,271,000.00","43,319,000.00","101,385,903.44","164,744,503.00","34,030,745.26","84,973,000.00","113,539,000.00","184,193,803.00","60,900,000.00","105,289,607.00","140,637,000.00","239,672,528.00","112,744,000.00","197,064,784.00","288,786,000.00","409,671,413.00","84,020,000.00","187,430,811.00","268,213,000.00","457,657,037.00","77,319,000.00","164,267,152.00","223,515,000.00","539,547,943.00","57,380,000.00","269,516,608.00","430,070,962.00","652,438,518.00","73,390,306.00","500,203,000.00","765,006,000.00","1,309,885,000.00","269,837,000.00","656,226,000.00","949,084,000.00","1,865,970,000.00","355,419,000.00","907,131,000.00","1,375,056,000.00"
营业外收入,"313,789,000.00","77,476,000.00","234,171,074.08","346,920,522.00","24,549,003.07","172,817,000.00","241,210,000.00","506,798,986.00","26,846,000.00","129,426,856.00","162,264,000.00","468,501,278.00","56,302,000.00","154,216,823.00","257,194,000.00","539,513,687.00","94,835,000.00","239,147,561.00","374,549,000.00","760,097,905.00","123,727,000.00","263,328,116.00","345,126,000.00","1,250,755,017.00","140,762,000.00","389,173,195.00","524,467,252.00","1,057,629,308.00","132,864,182.00","407,289,000.00","692,030,000.00","2,119,485,000.00","387,962,000.00","738,629,000.00","995,709,000.00","2,034,222,000.00","396,722,000.00","388,354,000.00","839,558,000.00"
销售费用,"641,067,000.00","147,788,000.00","472,069,076.53","787,350,215.00","163,159,348.68","422,142,000.00","683,315,000.00","1,132,661,076.00","291,282,000.00","693,211,257.00","1,087,179,000.00","1,980,347,626.00","512,028,000.00","1,213,575,472.00","1,694,260,000.00","2,734,685,800.00","498,803,000.00","1,353,535,299.00","1,836,610,000.00","3,152,751,365.00","458,321,000.00","1,043,694,414.00","1,621,566,000.00","3,085,196,875.00","443,071,000.00","1,669,724,620.00","3,267,110,702.00","5,369,221,095.00","961,757,380.00","3,372,206,000.00","5,320,120,000.00","7,953,534,000.00","1,308,502,000.00","3,178,659,000.00","4,915,228,000.00","7,249,871,000.00","1,076,257,000.00","2,815,874,000.00","4,542,486,000.00"
减:营业外支出,"81,786,000.00","9,882,000.00","46,691,788.06","59,093,981.00","6,445,412.60","32,785,000.00","39,996,000.00","87,694,711.00","3,650,000.00","14,681,549.00","28,699,000.00","103,132,776.00","5,770,000.00","16,720,917.00","36,118,000.00","54,500,154.00","7,531,000.00","17,169,539.00","29,827,000.00","125,736,281.00","1,976,000.00","12,688,838.00","22,531,000.00","370,314,107.00","24,557,000.00","161,357,715.00","190,490,972.00","338,112,617.00","18,375,206.00","146,019,000.00","165,280,000.00","984,154,000.00","21,599,000.00","61,993,000.00","120,837,000.00","294,079,000.00","31,420,000.00","95,716,000.00","191,196,000.00"
管理费用,"2,355,718,000.00","581,734,000.00","2,096,015,692.78","3,341,641,279.00","686,903,357.74","1,613,864,000.00","2,574,719,000.00","4,194,991,959.00","1,124,204,000.00","2,160,395,577.00","3,418,227,000.00","5,725,588,888.00","1,398,966,000.00","2,858,510,440.00","4,422,568,000.00","6,924,350,722.00","1,649,599,000.00","3,638,028,419.00","5,652,571,000.00","7,616,844,364.00","1,641,784,000.00","3,268,626,262.00","5,230,270,000.00","8,548,029,649.00","1,524,174,000.00","4,242,713,058.00","7,444,723,607.00","11,116,277,163.00","2,415,985,200.00","9,425,231,000.00","14,632,962,000.00","22,331,608,000.00","4,692,056,000.00","9,930,679,000.00","15,288,262,000.00","21,828,673,000.00","4,355,030,000.00","9,920,894,000.00","15,728,436,000.00"
其中:非流动资产处置净损失,"60,539,000.00","7,080,000.00","22,213,667.35","38,605,167.00","71,631.26","23,154,000.00","4,041,000.00","41,609,305.00",,"3,962,756.00","7,927,000.00","79,198,254.00",,"4,416,329.00","8,771,000.00","29,050,636.00","911,000.00","4,730,942.00","7,054,000.00","23,342,448.00","601,000.00","3,305,688.00","2,450,000.00","308,351,703.00","2,103,000.00","67,866,992.00","68,379,105.00","116,338,461.00","1,496,093.00","20,047,000.00","22,212,000.00","79,559,000.00","8,907,000.00","16,868,000.00","37,880,000.00","73,678,000.00","4,346,000.00","12,995,000.00","65,964,000.00"
