科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"296,495,545.96","414,777,686.09","527,221,797.74","226,401,340.21","623,045,880.06","57,932,667.63","200,287,168.37","329,843,436.05","702,668,198.38","64,676,724.55","220,418,353.26","366,001,972.38","877,664,817.03","115,768,494.76","315,182,106.13","515,301,978.02","1,090,693,867.24","132,625,262.73","361,898,551.72","532,778,914.10","1,255,110,707.41","165,039,821.42","416,367,506.49","665,472,816.41","1,345,040,751.20","191,219,053.87"
二、营业利润,"50,405,978.78","76,559,951.26","80,098,906.93","-6,404,106.95","54,659,791.25","-49,471,624.27","-31,900,262.58","-35,175,412.14","89,075,093.51","-56,216,650.33","-42,146,185.84","-55,587,803.47","119,294,673.18","-39,354,701.33","-12,263,600.72","-15,314,839.66","178,485,421.42","-62,272,207.48","-52,610,933.25","-77,840,229.14","181,450,408.79","-27,666,047.29","-65,976,817.50","-45,476,116.02","185,834,094.24","-25,099,134.40"
减:营业成本,"61,151,551.02","83,191,262.01","106,750,920.14","38,749,530.03","130,202,870.48","13,065,128.33","37,462,440.09","60,161,662.16","154,449,794.48","14,219,984.16","48,322,940.69","79,553,139.49","190,330,540.13","24,335,303.95","68,602,656.44","96,843,200.18","242,014,391.97","29,610,248.68","80,874,839.61","110,524,604.92","361,978,344.22","39,671,082.90","103,301,104.21","164,159,538.23","310,343,365.46","41,479,429.19"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,171,751.07","9,095,768.19","9,639,664.32","3,115,212.15","12,214,569.68","478,532.78","2,545,275.79","4,336,346.32","9,833,959.13","293,913.39","1,764,185.04","3,573,012.00","10,874,103.57","1,012,144.10","3,670,429.89","5,512,561.17","13,591,201.54","1,074,918.90","4,074,426.13","5,681,201.15","14,374,366.13","1,331,940.91","4,202,245.37","6,474,279.07","15,807,108.07","1,394,858.78"
营业外收入,"27,293,058.60","36,019,933.27","34,062,930.65","21,015,490.45","64,037,439.69","20,806,355.77","23,812,820.32","28,673,187.23","70,234,837.81","13,872,654.52","33,275,522.95","45,413,390.02","96,990,559.10","7,204,018.84","26,121,734.16","39,853,242.08","81,735,193.73","9,236,387.56","7,126,600.68","24,418,849.85","1,734,949.16","198,146.62","1,080,993.35","1,271,467.15","1,049,949.40","355,630.12"
销售费用,"93,496,787.48","128,619,885.62","137,995,662.66","59,540,854.66","161,168,649.99","39,845,556.43","83,671,067.37","132,982,608.74","190,922,898.01","45,619,481.62","94,792,069.86","151,989,477.57","255,934,392.73","60,207,839.17","129,456,518.19","212,297,919.48","328,072,708.04","78,505,446.25","167,527,246.47","268,713,216.69","419,930,381.98","82,311,551.41","198,061,968.46","295,938,509.16","508,255,645.69","107,568,175.41"
减:营业外支出,"300,943.20","327,575.37","274,821.47","82,258.15","172,071.99","49,680.09","163,736.84","286,735.21","393,870.60","101,965.19","346,606.85","432,415.86","1,133,813.07","235,280.24","472,896.88","770,065.00","1,521,843.62","121,139.06","255,032.55","406,199.21","568,764.25","130,996.52","240,717.20","289,264.97","815,150.39","145,365.55"
管理费用,"88,510,420.39","121,828,446.64","188,656,964.93","128,662,551.62","253,392,323.83","54,771,920.28","113,164,458.31","170,639,226.53","252,506,647.52","62,675,357.59","140,429,829.92","209,405,625.81","298,387,597.80","66,681,026.11","129,299,233.02","216,706,246.35","332,098,006.04","80,707,236.07","173,472,831.44","257,101,430.42","401,552,635.32","83,998,398.63","204,360,411.35","97,163,270.24","143,318,190.75","27,817,165.02"
其中:非流动资产处置净损失,"190,943.20",,"264,140.27","79,475.15","168,181.12","49,680.09","55,331.84","176,330.21","283,465.60",,"345,836.85","430,845.86","888,481.15","179,375.76","391,502.66","547,023.00","780,819.33","121,139.06","252,245.59","392,651.92",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-596,337.47","-981,927.80","-2,946,977.84","-286,770.55","-2,588,837.57","-1,191,019.81","-3,026,709.80","-3,939,706.65","-8,591,511.74","-2,627,056.57","-7,019,457.48","-7,870,060.23","-9,065,273.26","741,651.69","590,820.44","-2,174,803.26","-4,345,662.11","750,768.18","1,349,725.27","-5,752.44","1,888,125.37","1,720,970.35","2,742,210.36","3,251,447.27","4,729,421.94","-5,212,179.16"
三、利润总额,"77,398,094.18","112,252,309.16","113,887,016.11","14,529,125.35","118,525,158.95","-28,714,948.59","-8,251,179.10","-6,788,960.12","158,916,060.72","-42,445,961.00","-9,217,269.74","-10,606,829.31","215,151,419.21","-32,385,962.73","13,385,236.56","23,768,337.42","258,698,771.53","-53,156,958.98","-45,739,365.12","-53,827,578.50","182,616,593.70","-27,598,897.19","-65,136,541.35","-44,493,913.84","186,068,893.25","-24,888,869.83"
