科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"219,920,977.62","338,929,262.83","449,884,564.33","646,432,454.69","940,165,687.76","1,949,382,055.20","1,982,800,007.76","864,211,649.29","593,355,045.06"
短期借款,,,,,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,,,,,,,,,
应付票据,,,,,,,,,
应收账款,"22,292,571.12","21,008,637.97","24,570,024.00","281,484,167.77","182,214,250.74","215,855,312.09","207,948,817.47","197,795,837.85","223,219,416.89"
应付账款,"1,428,638.20","379,628.50","8,895,188.23","35,062,387.28","21,927,327.92","181,634,068.11","135,266,059.74","54,654,781.86","55,187,915.94"
预付款项,"1,290,129.36","1,818,329.88","2,883,559.85","1,528,131.53","2,560,406.20","4,004,605.65","2,944,471.28","9,882,421.08","4,486,740.76"
预收款项,"433,753.71","828,445.67","760,003.76","773,443.74","894,383.65","620,614.45","808,536.66","622,676.56","725,498.17"
其他应收款,"564,381.99","1,553,273.48","1,149,562.07","2,569,210.29","2,710,326.37","6,684,792.06","8,360,235.76","6,773,471.55","8,319,768.70"
应付职工薪酬,"30,130,842.08","34,181,649.71","32,421,471.06","83,845,331.56","93,066,023.08","167,033,920.90","77,329,648.25","103,877,890.31","118,094,144.50"
应收关联公司款,,,,,,,,,
应交税费,"7,155,593.86","8,150,163.66","12,940,505.24","83,939,044.95","116,032,739.94","84,759,552.91","71,244,708.40","77,632,452.71","101,478,556.28"
应收利息,"446,452.24","920,896.40","2,178,120.04","3,927,430.77","3,659,556.39","3,477,670.17","4,593,359.62","5,795,639.58","3,927,510.56"
应付利息,"21,397.45","14,603.95",,,,,,,
应收股利,,,,,,,,,"450,000.00"
应付股利,,,,,,,,"2,100,924.64","2,100,924.64"
存货,,,,,,,,,
其他应付款,"925,890.11","991,583.04","1,539,194.88","1,396,143.20","1,387,524.87","10,184,728.50","1,655,490.58","79,454,432.69","85,694,477.74"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,"129,449.88","33,867.90","1,480,543.60","1,437,952.46","4,269,946.24","4,235,165.58","4,095,058.51","3,762,173.80"
一年内到期的非流动负债,"9,211,261.85","9,654,541.64","13,183,619.11","12,951,878.25","12,276,844.29","12,126,169.14","18,441,614.36","35,640,842.63","33,602,099.61"
其他流动资产,,,"225,499.02",633.96,"268,347.50","10,723,787.22","9,395,757.22","1,016,197,391.30","1,326,132,213.29"
其他流动负债,"34,683,073.35","36,190,640.37","41,950,069.98","74,909,175.72","92,838,890.73","127,249,306.83","131,439,519.61","142,816,480.44","152,448,637.60"
流动资产合计,"244,514,512.33","364,359,850.44","480,925,197.21","937,422,572.61","1,133,016,527.42","2,194,398,168.63","2,220,277,814.69","2,104,751,469.16","2,163,652,869.06"
流动负债合计,"83,990,450.61","90,391,256.54","111,690,052.26","292,877,404.70","338,423,734.48","583,608,360.84","436,185,577.60","496,800,481.84","549,332,254.48"
可供出售金融资产,,,,,,,,"80,349,760.00","80,403,760.00"
长期借款,"8,687,497.34","5,708,925.26","2,730,353.18","1,241,067.14","496,424.12",,"36,354,442.67","104,199,212.15","97,431,885.69"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,"10,000,000.00","21,988,075.55","38,253,656.01","29,786,495.49","34,432,783.89","38,515,377.21","40,764,382.73","40,366,401.37","45,091,145.59"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,"4,913,749.88","4,799,590.80"
预计负债,,,,,,,,,
固定资产,"41,222,093.03","40,608,100.46","35,942,689.20","35,448,421.58","34,858,051.93","35,576,691.68","35,611,377.49","31,924,146.43","32,511,164.12"
递延所得税负债,"138,947.87","53,104.70","22,288.43",,,"273,444.83","410,445.59","532,626.18","505,973.20"
在建工程,"705,071.60","2,241,086.00","35,237,992.65","37,985,775.34","38,077,589.28","312,682,027.56","313,368,770.79","326,366,059.70","330,586,132.19"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"33,640,572.95","26,029,955.23","16,928,231.77","8,474,218.21","5,867,406.40","6,411,330.81","42,560,502.49","109,498,899.74","101,876,783.92"
固定资产清理,,,,,,,,,
负债合计,"117,631,023.56","116,421,211.77","128,618,284.03","301,351,622.91","344,291,140.88","590,019,691.65","478,746,080.09","606,299,381.58","651,209,038.40"
生产性生物资产,,,,,,,,,
