科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"672,579,658.92","632,002,851.71","738,828,495.48",,"373,951,266.27","764,647,910.09","215,758,091.71","407,268,333.50","626,966,351.09","848,980,008.44","215,071,898.42","428,828,121.25","701,957,987.45","945,195,392.36","284,232,460.00","538,836,240.81","828,574,045.47","1,129,922,891.44","297,496,058.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"19,500,000.00",,"55,315,890.73","55,315,890.73","55,315,890.73","1,369,640.00"
收到的税费返还,"4,017,464.22","8,971,922.86","21,585,395.09",,"14,397,409.89","25,683,382.43","16,124,864.30","26,825,366.69","37,582,218.80","43,615,621.40","9,915,876.33","21,457,534.19","33,473,391.87","48,106,673.15","9,318,727.88","28,489,502.59","37,200,401.07","45,385,038.31","13,052,968.73"
支付其他与投资活动有关的现金,"3,235,460.60","739,636.00",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,217,233.97","8,411,212.70","7,781,648.19",,"3,660,459.36","6,469,525.35","1,429,883.90","2,527,150.41","4,133,421.16","5,751,224.13","4,285,983.81","9,133,058.28","9,607,865.57","14,105,674.69","2,132,893.60","10,525,595.60","12,889,851.99","17,563,808.29","3,946,755.92"
投资活动现金流出小计,"60,939,128.52","98,128,974.58","64,796,181.67",,"9,257,929.36","20,620,244.21","168,142,470.43","276,045,522.46","354,507,201.45","467,908,861.41","157,913,934.19","368,460,911.82","456,052,511.71","664,658,306.49","177,885,589.35","380,792,072.50","406,058,637.79","528,924,083.79","108,886,175.26"
经营活动现金流入小计,"680,814,357.11","649,385,987.27","768,195,538.76",,"392,009,135.52","796,800,817.87","233,312,839.91","436,620,850.60","668,681,991.05","898,346,853.97","229,273,758.56","459,418,713.72","745,039,244.89","1,007,407,740.20","295,684,081.48","577,851,339.00","878,664,298.53","1,192,871,738.04","314,495,783.53"
投资活动产生的现金流量净额,"-58,174,128.52","-97,578,136.12","-61,955,753.96","-2,601,200.00","-9,257,929.36","-20,620,244.21","-168,114,470.43","-165,067,271.86","-143,688,548.62","-115,364,928.61","-14,076,759.97","-143,940,077.37","-103,444,949.42","-175,770,081.04","35,832,512.85","102,198,798.66","127,393,639.12","75,246,756.26","-38,339,736.91"
购买商品、接受劳务支付的现金,"426,256,130.53","429,955,911.53","486,941,722.30",,"272,390,582.48","515,477,629.63","139,092,099.79","277,938,870.95","429,317,344.65","585,129,646.51","143,403,233.80","301,033,988.06","474,192,526.50","638,066,097.71","223,915,831.15","434,660,094.47","628,890,063.50","840,758,379.14","190,457,380.80"
吸收投资收到的现金,,,,,,"298,804,440.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"131,512,460.88","135,153,471.41","146,495,256.59",,"78,973,142.11","152,695,388.98","47,464,752.09","89,068,643.41","133,278,728.28","171,546,450.01","49,960,362.12","97,725,329.10","145,162,857.93","191,413,792.64","65,381,020.38","122,504,285.09","174,517,339.35","220,842,389.86","61,909,251.35"
取得借款收到的现金,,"52,276,802.79","83,531,853.89",,"36,507,325.73","44,573,314.82",,,,"20,464,150.00","19,951,420.00","19,951,420.00","33,983,093.86","70,011,831.80","33,972,541.35","34,189,065.77","34,872,383.11","34,015,717.75",
支付的各项税费,"21,771,574.99","22,578,353.23","30,908,805.60",,"24,560,441.49","42,349,212.20","5,416,270.79","29,921,670.14","44,167,822.74","58,040,589.69","19,146,962.14","36,441,520.86","45,042,668.94","47,364,623.69","6,824,016.57","18,690,403.18","37,158,354.75","40,826,170.97","8,232,245.62"
收到其他与筹资活动有关的现金,,,,,,,,,,"808,928.00",,,,"20,840,526.85","19,086,668.00","19,086,668.00","35,301,659.62","70,801,919.67","37,142,041.22"
支付其他与经营活动有关的现金,"33,376,511.65","31,653,246.96","31,929,059.30",,"15,217,131.22","34,099,718.09","10,728,754.23","18,585,017.46","25,458,034.74","40,197,004.97","11,579,836.74","21,879,428.38","36,568,500.08","49,425,535.20","13,792,060.75","25,449,458.94","52,560,819.03","63,437,241.15","12,757,924.87"
筹资活动现金流入小计,,"52,276,802.79","83,531,853.89",,"36,507,325.73","343,377,754.82",,,,"21,273,078.00","19,951,420.00","19,951,420.00","33,983,093.86","90,852,358.65","53,059,209.35","53,275,733.77","70,174,042.73","104,817,637.42","37,142,041.22"
经营活动现金流出小计,"612,916,678.05","619,340,983.13","696,274,843.79",,"391,141,297.30","744,621,948.90","202,701,876.90","415,514,201.96","632,221,930.41","854,913,691.18","224,090,394.80","457,080,266.40","700,966,553.45","926,270,049.24","309,912,928.85","601,304,241.68","893,126,576.63","1,165,864,181.12","273,356,802.64"
偿还债务支付的现金,,"10,000,000.00","89,623,132.53",,"46,481,067.45","80,510,330.25",,,,,,,,"20,464,150.00","18,235,490.00","18,235,490.00","33,104,786.13","70,011,831.80","34,015,717.75"
经营活动产生的现金流量净额,"67,897,679.06","30,045,004.14","71,920,694.97","-12,784,700.00","867,838.22","52,178,868.97","30,610,963.01","21,106,648.64","36,460,060.64","43,433,162.79","5,183,363.76","2,338,447.32","44,072,691.44","81,137,690.96","-14,228,847.37","-23,452,902.68","-14,462,278.10","27,007,556.92","41,138,980.89"
分配股利、利润或偿还利息支付的现金,,"18,728,026.87","12,890,102.61",,"11,903,261.17","12,316,069.19",,"17,040,000.00","17,040,000.00","17,040,000.00",,"42,596,973.33","42,596,973.33","42,927,692.27","362,849.72","85,562,849.72","85,937,457.77","86,663,601.47","782,981.36"
收回投资收到的现金,,"520,838.46",,,,,,"110,000,000.00","209,000,000.00","349,000,000.00","143,000,000.00","223,000,000.00","350,000,000.00","484,000,000.00","213,000,000.00","478,000,000.00","528,000,000.00","598,000,000.00","70,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"808,928.00",,,,"21,062,894.85","20,555,273.15","19,805,873.15","34,779,635.58","70,579,551.67","35,157,041.92","35,461,686.40","37,665,281.47","37,142,041.22",
取得投资收益收到的现金,,,,,,,,"870,250.60","1,691,652.83","3,401,932.80","832,174.22","1,495,234.45","2,581,962.29","4,807,825.45","718,102.20","4,990,671.16","5,452,076.91","6,155,340.05","546,438.35"
筹资活动现金流出小计,,"28,728,026.87","102,513,235.14",,"58,384,328.62","93,635,327.44",,"17,040,000.00","17,040,000.00","38,102,894.85","20,555,273.15","62,402,846.48","77,376,608.91","133,971,393.94","53,755,381.64","139,260,026.12","156,707,525.37","193,817,474.49","34,798,699.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,"60,000.00","30,000.00","140,427.71",,,,"28,000.00","108,000.00","127,000.00","142,000.00","5,000.00","25,600.00","25,600.00","80,400.00",,200.00,200.00,"15,500.00",
筹资活动产生的现金流量净额,,"23,548,775.92","-18,981,381.25","-25,842,400.00","-21,877,002.89","249,742,427.38",,"-17,040,000.00","-17,040,000.00","-16,829,816.85","-603,853.15","-42,451,426.48","-43,393,515.05","-43,119,035.29","-696,172.29","-85,984,292.35","-86,533,482.64","-88,999,837.07","2,343,342.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-952,970.88","-3,825,459.71","473,108.06",,"1,888,383.87","10,553,736.88","-365,961.78","3,319,294.60","4,599,475.95","12,591,414.17","-1,793,299.24","-6,373,814.00","-10,470,714.89","-13,400,940.20","-6,308,326.20","3,275,308.72","8,594,161.08","12,876,191.31","-7,514,138.05"
收到其他与投资活动有关的现金,"2,705,000.00",,"2,700,000.00",,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,765,000.00","550,838.46","2,840,427.71",,,,"28,000.00","110,978,250.60","210,818,652.83","352,543,932.80","143,837,174.22","224,520,834.45","352,607,562.29","488,888,225.45","213,718,102.20","482,990,871.16","533,452,276.91","604,170,840.05","70,546,438.35"
五、现金及现金等价物净增加额,"8,770,579.66","-47,809,815.77","-8,543,332.18","-40,455,300.00","-28,378,710.16","291,854,789.02","-137,869,469.20","-157,681,328.62","-119,669,012.03","-76,170,168.50","-11,290,548.60","-190,426,870.53","-113,236,487.92","-151,152,365.57","14,599,166.99","-3,963,087.65","34,992,039.46","26,130,667.42","-2,371,551.96"
购建固定资产、无形资产和其他长期资产支付的现金,"57,703,667.92","97,389,338.58","64,796,181.67",,"9,257,929.36","20,620,244.21","8,342,470.43","17,245,522.46","25,707,201.45","36,108,861.41","7,913,934.19","11,460,911.82","15,552,511.71","23,158,306.49","885,589.35","6,889,562.14","13,742,747.06","16,608,193.06","2,516,535.26"
期初现金及现金等价物余额,"114,576,367.26","123,346,946.92","75,537,131.15",,"66,993,798.97","66,993,798.97","358,848,587.99","358,848,587.99","358,848,587.99","358,848,587.99","282,678,419.49","282,678,419.49","282,678,419.49","282,678,419.49","131,526,053.92","131,526,053.92","131,526,053.92","131,526,053.92","157,656,721.34"
投资支付的现金,,,,,,,"159,800,000.00","258,800,000.00","328,800,000.00","431,800,000.00","150,000,000.00","357,000,000.00","440,500,000.00","622,000,000.00","177,000,000.00","318,586,619.63","337,000,000.00","457,000,000.00","105,000,000.00"
期末现金及现金等价物余额,"123,346,946.92","75,537,131.15","66,993,798.97",,"38,615,088.81","358,848,587.99","220,979,118.79","201,167,259.37","239,179,575.96","282,678,419.49","271,387,870.89","92,251,548.96","169,441,931.57","131,526,053.92","146,125,220.91","127,562,966.27","166,518,093.38","157,656,721.34","155,285,169.38"
