科目,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"47,767,518.07","23,960,322.52","75,694,933.54","41,510,735.54","102,324,994.98","52,651,650.50","131,511,914.43","69,514,521.86","105,332,206.68","165,814,880.37","27,760,433.23","89,333,673.16","126,261,717.60","205,823,242.13","39,041,622.93","80,853,927.85","140,137,685.12","264,697,134.02","57,732,547.59","110,410,694.60","166,780,529.44","397,126,526.85","109,988,607.27","252,793,330.72","410,057,631.38","646,331,918.40","147,865,604.07","309,464,730.22","470,099,940.94","707,600,836.91","174,820,802.21","327,152,167.51","486,556,342.15","711,093,572.91","238,649,748.69"
取得子公司及其他营业单位支付的现金净额,"125,000.00",,,,,,,,,,,,,"49,409,459.92","12,168,434.34","12,168,434.34","12,168,434.34","12,168,434.34",,"78,289.60","78,289.60","143,428,094.72",,,"154,648,478.12","154,960,978.12",,,"61,737,663.00","56,339,515.99",,"71,875,440.00","93,438,072.00",,"50,312,809.00"
收到的税费返还,"3,199,854.93","1,029,441.76","3,648,753.49","1,659,819.15","4,620,886.06","1,629,673.20","8,000,739.69","2,838,233.91","6,941,200.05","9,667,857.68","1,139,809.12","2,966,778.01","6,585,885.15","11,183,764.34","866,845.42","3,518,468.84","5,314,885.40","10,099,845.35","1,231,354.73","4,799,054.26","8,421,755.44","12,080,338.46","4,452,274.06","7,267,787.30","13,368,757.23","28,471,684.09","5,464,753.85","12,967,406.33","19,514,355.74","35,428,526.12","8,181,105.41","16,380,396.15","21,364,571.33","26,906,197.56","9,265,075.53"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,600.20",,,,,,,,
收到其他与经营活动有关的现金,"4,453,855.59","2,247,296.10","6,794,865.88","340,578.62","537,524.84","641,500.01","8,517,112.47","1,174,052.74","2,798,777.42","5,147,872.29","1,051,081.55","2,312,602.00","4,295,065.63","7,776,603.33","922,150.67","4,686,890.97","7,596,908.24","8,798,841.47","3,560,933.60","7,822,264.95","10,578,744.92","22,679,868.59","9,687,264.81","8,500,352.63","22,864,301.55","40,430,612.17","14,110,416.33","52,991,949.33","64,786,443.55","43,660,161.23","7,598,809.35","30,719,290.86","50,843,353.39","37,582,318.01","5,017,394.51"
投资活动现金流出小计,"6,490,729.12","3,150,029.83","1,710,978.52","2,562,910.78","2,020,600.45","499,764.00","3,570,775.18","657,469.65","2,932,723.06","5,425,086.09","92,953,185.70","93,268,911.54","125,880,934.10","150,875,431.99","13,680,846.84","15,937,000.13","20,619,423.45","18,860,888.46","15,447,443.45","24,242,738.06","45,039,396.70","200,029,736.64","52,105,716.65","69,522,419.21","479,297,760.60","604,502,103.19","199,274,273.28","294,437,167.51","640,303,158.56","1,092,649,337.16","651,407,537.47","1,172,892,525.80","1,403,624,243.95","1,469,417,714.70","129,200,828.83"
经营活动现金流入小计,"55,421,228.59","27,237,060.38","86,138,552.91","43,511,133.31","107,483,405.88","54,922,823.71","148,029,766.59","73,526,808.51","115,072,184.15","180,630,610.34","29,951,323.90","94,613,053.17","137,142,668.38","224,783,609.80","40,830,619.02","89,059,287.66","153,049,478.76","283,595,820.84","62,524,835.92","123,032,013.81","185,781,029.80","431,886,733.90","124,128,146.14","268,561,470.65","446,290,690.16","715,234,214.66","167,440,774.25","375,424,085.88","554,400,740.23","786,689,524.26","190,600,716.97","374,251,854.52","558,764,266.87","775,582,088.48","252,932,218.73"
投资活动产生的现金流量净额,"-6,490,729.12","-3,123,029.83","-1,695,585.35","-2,562,910.78","-2,016,924.81","-499,764.00","-3,527,075.18","-657,469.65","-2,930,433.06","-5,419,696.09","-92,952,385.70","-93,227,111.54","-125,877,134.10","-150,833,531.99","-11,989,245.40","-13,944,209.19","-18,670,907.51","-16,895,372.52","-15,447,443.45","-24,241,828.06","-43,158,324.56","-199,791,483.03","-52,105,716.65","-59,162,897.33","-398,987,503.67","-363,334,340.81","-65,635,086.91","-99,710,395.78","-244,589,184.08","-342,082,490.21","-6,310,461.52","-54,559,510.10","-121,830,636.47","-104,633,107.02","-94,275,556.13"
购买商品、接受劳务支付的现金,"20,065,028.06","8,979,015.19","30,196,348.98","15,860,106.95","40,002,086.14","18,822,805.47","52,899,969.44","19,091,957.58","31,707,187.57","60,062,848.74","10,200,557.90","35,364,722.57","34,062,029.22","75,417,996.42","19,928,150.81","39,581,014.26","61,730,703.88","107,425,589.65","29,414,308.77","57,831,971.94","93,534,082.45","173,124,941.64","72,347,966.79","146,970,944.46","262,771,438.02","332,461,612.98","90,445,442.79","173,131,746.50","265,016,809.64","307,163,774.95","135,123,255.66","219,918,048.93","313,791,942.53","419,118,148.07","119,238,652.41"
吸收投资收到的现金,,,,,,,,,"243,050,000.00","243,050,000.00",,,"2,477,400.00","2,462,657.31",,,,,,"5,000,000.00","5,000,000.00","160,999,994.95",,"450,137,995.20","450,137,995.20","437,161,209.50",,"49,989,397.50","50,000,000.00","50,000,000.00",,,,"1,160,000.00",
支付给职工以及为职工支付的现金,"6,440,561.25","5,886,762.92","12,603,743.00","7,813,334.59","20,627,039.27","13,406,544.44","30,260,364.17","18,651,558.76","30,394,221.42","41,447,355.69","14,806,387.21","22,866,056.29","35,996,877.17","45,341,052.80","17,739,641.24","30,868,111.76","49,607,329.29","65,828,127.94","16,660,794.60","33,507,910.81","54,878,325.39","83,149,839.14","37,508,876.01","68,935,973.69","116,499,660.10","168,391,819.15","59,340,252.49","112,302,626.96","164,630,537.61","222,389,947.31","67,458,770.03","129,332,254.44","181,743,606.73","247,768,296.64","70,875,309.44"
取得借款收到的现金,"3,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","15,000,000.00","23,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,"10,000,000.00","10,000,000.00",,"20,000,000.00","40,000,000.00","41,800,000.00",,,"29,099,527.94","121,651,394.12","10,330,000.00","77,330,000.00","93,330,000.00","105,410,000.00","4,800,000.00","66,650,000.00","135,960,024.53","184,149,170.26","62,734,392.74","214,733,204.58","396,493,820.90","390,308,891.60","149,611,779.06"
支付的各项税费,"5,841,954.48","5,534,612.64","12,853,007.14","5,682,208.65","12,674,273.02","8,896,639.74","18,654,160.51","9,163,857.01","14,833,235.58","24,084,193.54","4,653,251.65","11,277,510.91","15,547,665.39","21,351,156.27","5,246,402.78","10,919,016.75","15,042,592.83","19,678,285.78","8,612,526.40","11,330,901.16","21,479,742.63","31,621,867.38","28,436,041.95","37,831,916.57","56,927,107.27","70,110,067.33","40,312,875.31","59,715,182.93","84,094,400.30","97,982,937.81","44,968,639.45","58,123,308.52","71,486,888.33","83,048,065.58","53,715,529.24"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"105,000.00",,"5,550,266.67","5,550,047.44","60,630,479.65","20,000,000.00",,,"22,965,452.17","8,711,539.68","4,029,612.48","7,148,466.72","117,131,196.34","4,223,314.91"
支付其他与经营活动有关的现金,"10,434,736.40","5,683,068.73","15,187,881.00","7,547,905.45","18,414,159.60","10,741,215.10","21,822,265.77","15,187,194.78","23,296,378.05","32,238,346.77","5,898,597.65","13,202,000.78","18,601,812.37","29,402,925.13","10,222,371.88","17,034,458.01","30,696,483.72","42,303,461.19","10,818,565.97","23,067,624.09","33,024,095.89","56,953,308.03","18,388,230.08","40,948,887.61","70,029,383.53","101,968,592.62","27,529,391.98","63,489,610.03","106,405,607.58","123,142,540.05","44,120,712.41","82,419,918.98","120,391,703.04","122,382,174.59","43,984,052.84"
筹资活动现金流入小计,"3,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","15,000,000.00","23,000,000.00","10,000,000.00","253,050,000.00","253,050,000.00",,,"12,477,400.00","12,462,657.31",,"20,000,000.00","40,000,000.00","41,800,000.00",,"5,000,000.00","34,099,527.94","282,756,389.07","10,330,000.00","533,018,261.87","549,018,042.64","603,201,689.15","24,800,000.00","116,639,397.50","185,960,024.53","257,114,622.43","71,445,932.42","218,762,817.06","403,642,287.62","508,600,087.94","153,835,093.97"
经营活动现金流出小计,"42,782,280.19","26,083,459.48","70,840,980.12","36,903,555.64","91,717,558.03","51,867,204.75","123,636,759.89","62,094,568.13","100,231,022.62","157,832,744.74","35,558,794.41","82,710,290.55","104,208,384.15","171,513,130.62","53,136,566.71","98,402,600.78","157,077,109.72","235,235,464.56","65,506,195.74","125,738,408.00","202,916,246.36","344,849,956.19","156,681,114.83","294,687,722.33","506,227,588.92","672,932,092.08","217,627,962.57","408,639,166.42","620,147,355.13","750,679,200.12","291,671,377.55","489,793,530.87","687,414,140.63","872,316,684.88","287,813,543.93"
偿还债务支付的现金,"1,500,000.00",,"3,000,000.00","5,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00",,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","101,745,504.40","45,315,374.82","62,334,426.03","90,255,431.36","101,651,394.12","29,330,000.00","34,330,000.00","71,330,000.00","72,055,873.96","19,700,058.16","61,700,058.16","160,740,605.73","199,454,250.30","53,241,359.01"
经营活动产生的现金流量净额,"12,638,948.40","1,153,600.90","15,297,572.79","6,607,577.67","15,765,847.85","3,055,618.96","24,393,006.70","11,432,240.38","14,841,161.53","22,797,865.60","-5,607,470.51","11,902,762.62","32,934,284.23","53,270,479.18","-12,305,947.69","-9,343,313.12","-4,027,630.96","48,360,356.28","-2,981,359.82","-2,706,394.19","-17,135,216.56","87,036,777.71","-32,552,968.69","-26,126,251.68","-59,936,898.76","42,302,122.58","-50,187,188.32","-33,215,080.54","-65,746,614.90","36,010,324.14","-101,070,660.58","-115,541,676.35","-128,649,873.76","-96,734,596.40","-34,881,325.20"
分配股利、利润或偿还利息支付的现金,"454,446.25","80,580.00","1,559,485.00","315,664.75","657,623.28","1,850,537.42","4,698,196.67","396,780.00","554,008.89","774,648.16","161,164.44","161,164.44","10,850,238.03","11,045,524.44",,"8,197,744.55","9,960,061.20","11,141,509.66","427,665.17","4,577,076.92","12,958,628.19","14,790,025.44","2,739,591.62","8,273,674.61","8,653,811.81","10,113,785.84","725,568.09","26,291,621.84","27,988,992.08","29,602,621.10","2,722,556.84","39,919,595.46","43,870,564.63","54,875,662.12","7,116,043.37"
收回投资收到的现金,,,,,,,,,,,,,,,"1,647,326.44","1,489,445.24","1,489,445.24","1,489,445.24",,,,,,,"80,000,000.00","240,000,000.00","133,000,000.00","188,000,000.00","388,000,000.00","746,000,000.00","643,000,000.00","1,115,000,000.00","1,278,000,000.00","1,361,000,000.00","34,740,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,"1,827,621.40","6,167,621.40",,,"42,134.88",,,,,,"500,000.00","1,000,000.00","1,500,000.00","21,386,678.23","1,877,364.74","13,838,083.33","13,910,452.37","2,718,096.70","134,366.40","134,366.40","3,364,670.98","7,085,352.82","4,175,354.35","7,041,861.24","19,373,249.47","41,028,472.09","5,595,413.12"
取得投资收益收到的现金,,,,,,,,,,,,,,,,"157,881.20","157,881.20","157,881.20",,,,,,,"302,256.93","1,167,762.38","533,186.37","1,222,624.72","2,209,827.47","4,049,753.29","2,097,075.95","3,333,015.70","3,793,607.48","3,784,607.68","159,672.70"
筹资活动现金流出小计,"1,954,446.25","80,580.00","4,559,485.00","5,315,664.75","10,657,623.28","11,850,537.42","14,698,196.67","23,396,780.00","25,381,630.29","29,942,269.56","10,161,164.44","10,161,164.44","20,892,372.91","31,045,524.44",,"8,197,744.55","9,960,061.20","31,141,509.66","20,927,665.17","25,577,076.92","34,458,628.19","137,922,208.07","49,932,331.18","84,446,183.97","112,819,695.54","114,483,276.66","30,189,934.49","60,755,988.24","102,683,663.06","108,743,847.88","26,597,969.35","108,661,514.86","223,984,419.83","295,358,384.51","65,952,815.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"27,000.00","6,000.00",,"3,675.64",,"43,700.00",,"2,290.00","5,390.00",800.00,"41,800.00","3,800.00","41,900.00","44,275.00","345,464.50","301,189.50","318,189.50",,910.00,"1,810.00","238,253.61",,"8,000.00","8,000.00",,"106,000.00","106,000.00","106,000.00","517,093.66",,,,,"25,600.00"
筹资活动产生的现金流量净额,"1,045,553.75","4,919,420.00","5,440,515.00","4,684,335.25","-657,623.28","3,149,462.58","8,301,803.33","-13,396,780.00","227,668,369.71","223,107,730.44","-10,161,164.44","-10,161,164.44","-8,414,972.91","-18,582,867.13",,"11,802,255.45","30,039,938.80","10,658,490.34","-20,927,665.17","-20,577,076.92","-359,100.25","144,834,181.00","-39,602,331.18","448,572,077.90","436,198,347.10","488,718,412.49","-5,389,934.49","55,883,409.26","83,276,361.47","148,370,774.55","44,847,963.07","110,101,302.20","179,657,867.79","213,241,703.43","87,882,278.47"
处置子公司及其他营业单位收到的现金净额,,,"9,393.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,-924.87,"12,808.97","16,263.21","-12,316.06","-63,524.52","-84,768.25","-113,398.91","-15,925.32","16,846.88","-13,174.61","-9,743.66","-34,936.39","47,749.29","168,468.68","150,453.78","-137,608.91","-636,541.02","-1,134,243.06","-388,406.10","-307,866.83","373,393.35","1,392,678.66","363,615.85","1,027,989.60","1,396,853.22","3,684,691.63","-207,911.83","-1,170,995.40","-2,740,441.50","-2,522,675.65","-427,440.52","-71,595.95","655,510.38","633,018.66","-468,258.40"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"1,879,262.14",,,"10,351,521.88",,,,"5,398,147.01","5,398,147.01",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"27,000.00","15,393.17",,"3,675.64",,"43,700.00",,"2,290.00","5,390.00",800.00,"41,800.00","3,800.00","41,900.00","1,691,601.44","1,992,790.94","1,948,515.94","1,965,515.94",,910.00,"1,881,072.14","238,253.61",,"10,359,521.88","80,310,256.93","241,167,762.38","133,639,186.37","194,726,771.73","395,713,974.48","750,566,846.95","645,097,075.95","1,118,333,015.70","1,281,793,607.48","1,364,784,607.68","34,925,272.70"
五、现金及现金等价物净增加额,"7,192,848.16","2,962,800.04","19,058,765.65","8,716,686.08","13,027,775.24","5,620,549.29","29,054,335.94","-2,637,934.59","239,595,945.06","240,472,725.34","-108,730,764.31","-91,520,449.75","-101,310,073.49","-115,977,451.26","-24,144,739.31","-11,622,875.77","6,704,859.31","40,989,231.04","-39,744,874.54","-47,833,166.00","-60,279,248.02","33,472,154.34","-123,897,400.67","364,310,918.49","-21,329,202.11","171,370,885.89","-121,420,121.55","-78,213,062.46","-229,799,879.01","-160,224,067.17","-62,960,599.55","-60,071,480.20","-70,167,132.06","12,507,018.67","-41,742,861.26"
购建固定资产、无形资产和其他长期资产支付的现金,"4,865,729.12","3,150,029.83","1,710,978.52","2,562,910.78","2,020,600.45","499,764.00","3,570,775.18","657,469.65","2,932,723.06","5,425,086.09","89,953,185.70","90,268,911.54","96,090,634.10","98,465,972.07","1,512,412.50","3,768,565.79","8,450,989.11","6,692,454.12","15,447,443.45","24,164,448.46","44,961,107.10","56,601,641.92","2,105,716.65","19,522,419.21","48,649,282.48","83,541,125.07","29,529,010.08","54,699,504.51","89,525,495.56","131,769,821.17","30,407,537.47","53,017,085.80","84,466,171.95","114,909,642.70","35,848,019.83"
期初现金及现金等价物余额,"9,463,371.50","16,656,219.66","16,656,219.66","35,714,985.31","35,714,985.31","48,742,760.55","48,742,760.55","77,797,096.49","77,797,096.49","77,797,096.49","318,269,821.83","318,269,821.83","318,269,821.83","318,269,821.83","202,292,370.57","202,292,370.57","202,292,370.57","202,292,370.57","243,281,601.61","243,281,601.61","243,281,601.61","243,281,601.61","276,753,755.95","276,753,755.95","276,753,755.95","276,753,755.95","453,522,788.85","448,124,641.84","448,124,641.84","448,124,641.84","288,896,657.67","287,900,574.67","287,900,574.67","287,900,574.67","300,407,593.34"
