科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"145,747,972.08","189,417,055.94","326,055,277.58","117,640,616.88","153,343,648.52","279,854,272.37","70,887,889.07","143,787,022.52","206,744,221.37","309,497,930.59","186,638,442.38","309,022,843.44","509,385,526.75","968,499,642.50","217,327,331.35","416,107,630.43","743,613,070.74","1,135,543,914.96","265,171,149.11","529,561,203.81","1,062,902,459.81","2,005,464,333.92","517,268,104.19","740,859,272.43","1,018,534,189.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"1,405,500.00",,"126,653,593.56","126,653,593.56","127,768,193.56",,,,,,"10,000,000.00","60,329,080.32","60,629,080.32","500,000.00","580,000.00","804,359.64"
收到的税费返还,,,,,,,,,,,,,"56,747.91",,,,,,,,,,,,
支付其他与投资活动有关的现金,,"490,000.00",,,,,,,,"1,665,000.00","244,469.56","244,469.56","244,479.56","244,469.56",,,,,,"5,550,000.00","5,550,000.00","5,666,000.00",,,
收到其他与经营活动有关的现金,"15,844,357.05","20,399,433.26","15,529,827.58","18,089,123.25","17,912,276.21","21,393,090.75","1,843,763.75","5,682,495.08","7,602,236.96","8,749,571.68","12,007,358.60","32,575,127.37","59,909,846.49","70,499,998.72","14,611,226.75","33,252,769.66","65,578,482.57","71,176,913.35","3,271,271.35","20,506,498.56","32,050,786.06","42,378,569.79","11,731,156.60","95,523,486.45","99,852,808.03"
投资活动现金流出小计,"9,758,328.38","17,962,788.89","16,152,925.09","17,611,088.77","31,466,943.17","42,295,356.06","7,019,539.40","35,789,034.62","108,280,919.83","89,693,088.89","23,053,640.75","209,556,123.41","291,458,635.55","353,041,912.79","58,466,783.31","120,148,663.92","173,867,327.08","286,694,532.08","48,543,813.92","101,521,343.49","212,492,170.46","388,943,290.82","38,898,517.47","122,857,098.10","182,821,884.76"
经营活动现金流入小计,"161,592,329.13","209,816,489.20","341,585,105.16","135,729,740.13","171,255,924.73","301,247,363.12","72,731,652.82","149,469,517.60","214,346,458.33","318,247,502.27","198,645,800.98","341,597,970.81","569,352,121.15","1,038,999,641.22","231,938,558.10","449,360,400.09","809,191,553.31","1,206,720,828.31","268,442,420.46","550,067,702.37","1,094,953,245.87","2,047,842,903.71","528,999,260.79","836,382,758.88","1,118,386,997.43"
投资活动产生的现金流量净额,"-9,758,328.38","-17,898,172.45","-16,129,125.09","-14,004,133.38","-27,859,987.78","-38,688,400.67","-7,019,539.40","-35,789,034.62","-108,280,919.83","-89,693,088.89","-22,538,792.75","-209,042,295.41","-290,908,807.55","-352,530,329.56","-58,466,783.31","-116,665,270.58","-170,382,933.74","-283,209,728.46","-48,543,813.92","-101,521,343.49","-210,912,962.31","-387,735,163.74","-20,098,935.26","-91,814,195.43","-101,606,523.00"
购买商品、接受劳务支付的现金,"161,505,378.74","188,326,060.62","243,671,121.79","189,863,768.45","251,369,784.39","316,662,892.23","102,287,504.31","217,591,724.43","335,256,572.32","411,003,100.67","243,065,918.06","492,997,038.80","720,037,205.48","858,664,957.57","339,120,346.35","533,451,800.37","721,580,727.53","840,597,150.07","452,518,056.97","820,954,191.67","1,246,294,920.87","1,581,166,567.91","702,192,660.86","1,390,398,779.86","1,997,901,236.77"
吸收投资收到的现金,"59,530,000.00","51,715,000.00","980,000.00",,"381,284,560.00","373,614,071.50",,,,"34,300,000.00",,"131,499,976.00","131,499,976.00","131,499,976.00",,,"720,000.00","490,889,991.28",,,"255,499,998.20","274,553,298.20","1,209,150.00","6,109,150.00","6,359,150.00"
支付给职工以及为职工支付的现金,"7,519,281.21","14,339,415.45","18,942,418.28","9,229,440.90","15,615,283.06","22,988,104.45","7,954,804.83","16,840,907.00","26,878,723.27","41,207,129.17","19,898,216.37","35,987,292.45","56,132,909.39","84,680,237.01","29,470,631.84","51,257,258.48","76,263,985.63","100,776,775.82","32,451,160.24","61,909,763.05","98,072,188.40","136,582,544.84","43,281,259.48","86,303,068.81","127,847,316.23"
取得借款收到的现金,"5,000,000.00","40,000,000.00","120,000,000.00","90,000,000.00","143,000,000.00","145,000,000.00","1,000,000.00","151,000,000.00","266,000,000.00","326,000,000.00","83,000,000.00","390,300,000.00","775,300,000.00","865,300,000.00","171,000,000.00","637,300,000.00","817,300,000.00","1,122,000,000.00","270,000,000.00","1,101,800,000.00","1,300,300,000.00","2,148,300,000.00","190,163,957.52","1,238,075,522.60","2,602,834,897.92"
