科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"209,825,364.83","275,617,374.14","313,531,886.99","253,223,710.47","165,052,415.27","245,707,626.39","233,143,439.12","314,226,159.04","356,349,750.37","874,349,106.44","1,635,938,273.77","1,606,946,453.96","1,175,505,417.38","916,280,489.64","735,138,549.79","1,124,144,386.04","1,476,407,071.00","1,411,342,215.09","1,223,135,916.53","932,086,504.35","674,183,469.89","774,085,707.26","640,261,758.54","631,783,476.15","850,789,358.92","1,723,269,359.95","905,361,424.78","1,697,054,177.32","1,337,969,210.58","1,297,408,000.28","2,075,765,232.35","1,665,298,934.25","947,982,599.20","540,593,040.19","2,219,064,425.33","1,934,062,420.91","3,713,858,146.12","2,131,318,989.49","2,839,313,619.64","2,599,072,096.36","2,464,520,560.10","2,609,315,350.24","2,923,564,164.09","2,935,241,482.69","3,303,896,866.50"
短期借款,"127,000,000.00","117,980,000.00","20,000,000.00","20,000,000.00","40,000,000.00","50,000,000.00","20,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00",,"500,000,000.00","300,000,000.00","300,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"50,000,000.00","50,000,000.00","150,000,000.00","150,000,000.00","100,000,000.00","100,000,000.00",,,"50,000,000.00","260,000,000.00","260,000,000.00","250,000,000.00","200,000,000.00",,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"750,000.00",,,,"490,000.00","90,000.00",,,,,,,,"1,000,000.00",,"800,000.00",,"600,000.00","200,000.00",,,,"34,190,000.00",,,,,,,,,,,,,,,
应付票据,"30,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,"40,000,000.00","40,000,000.00",,,,,,,,,,,,,,,,,,"5,000,000.00","46,500,000.00","361,500,000.00","453,000,000.00","187,000,000.00","38,000,000.00","12,510,000.00","12,510,000.00","19,510,000.00","7,000,000.00",,,,,,,"18,600,000.00"
应收账款,"13,895,040.76","12,956,220.46","9,605,625.89","9,198,115.84","7,705,324.17","7,704,575.06","8,757,925.92","19,169,587.19","21,172,454.38","21,437,598.74","20,713,440.90","17,973,065.09","23,855,338.15","24,854,623.41","25,448,633.90","19,950,816.97","20,084,607.60","24,633,884.25","23,777,207.94","17,904,340.01","18,747,340.53","19,398,545.43","22,901,559.11","18,764,271.13","18,644,781.41","23,250,671.95","21,374,998.53","41,873,843.73","26,410,944.50","29,133,250.49","54,233,343.95","16,965,982.78","14,642,769.23","18,648,070.07","18,012,062.37","20,736,698.54","24,749,632.59","28,650,916.25","29,430,993.78","18,993,359.70","20,453,004.81","23,391,536.77","22,982,362.94","18,261,157.00","17,711,407.30"
应付账款,"183,911,732.48","192,264,599.63","235,692,651.41","299,784,149.93","294,355,703.24","299,652,168.86","349,443,012.14","424,210,311.72","361,386,625.81","417,668,416.70","489,876,790.75","557,882,041.47","416,632,577.17","460,330,985.91","493,991,847.26","603,303,239.21","474,686,271.53","532,808,446.87","607,486,819.82","681,651,868.46","533,162,397.41","625,038,992.15","647,712,465.10","674,422,041.94","489,522,127.82","632,238,304.77","670,914,652.86","889,677,206.67","701,105,081.44","789,685,134.57","934,070,436.05","1,305,640,706.36","1,002,943,992.48","1,177,606,976.31","1,134,521,519.19","1,530,440,375.88","1,220,908,747.85","1,381,281,980.26","1,385,187,076.21","1,667,810,710.19","1,316,320,672.36","1,542,434,878.99","1,442,395,622.77","1,716,746,136.07","1,431,456,928.22"
预付款项,"141,944,691.98","308,521,292.96","84,967,703.01","835,309,100.23","889,481,751.19","632,451,600.71","624,366,682.92","574,516,708.70","570,320,698.30","573,531,994.13","632,526,005.16","583,497,147.34","1,314,710,636.46","2,016,914,462.58","1,931,445,726.78","1,927,901,271.08","2,049,708,914.96","2,196,249,623.47","1,870,193,613.06","1,848,577,986.92","1,866,670,354.52","1,921,409,973.72","1,359,035,484.01","2,000,898,452.98","1,998,480,601.95","1,137,885,224.53","1,776,416,467.22","1,862,009,308.75","1,900,178,170.96","1,912,656,015.91","2,113,981,207.47","3,063,727,302.11","2,888,374,457.18","2,481,955,924.83","2,950,759,549.00","955,521,102.47","925,404,376.93","917,769,266.07","920,409,599.02","1,088,358,388.58","1,179,731,318.11","1,508,586,512.95","2,113,271,254.30","1,969,007,872.31","2,467,402,790.20"
预收款项,"405,919,837.39","527,703,971.20","878,991,691.54","1,068,787,138.33","1,225,626,566.04","1,065,370,349.12","965,941,064.55","928,495,568.52","1,123,514,646.26","1,511,300,245.13","1,984,635,857.07","1,859,685,864.63","1,909,368,831.31","2,348,515,727.18","2,830,422,371.19","2,626,065,146.19","2,912,406,467.77","3,163,677,833.16","3,021,796,288.28","2,544,922,968.27","2,240,650,654.61","2,103,604,913.98","2,617,508,995.29","2,428,450,673.98","1,870,247,696.19","2,011,888,406.43","2,090,287,821.77","1,885,536,335.00","2,047,064,016.18","2,232,476,472.78","2,127,585,168.80","2,047,850,954.55","2,357,857,218.90","2,896,168,266.72","3,575,052,723.85","2,143,947,916.00","3,140,827,752.72","4,147,184,512.34","4,685,712,384.07","3,566,953,215.21","3,622,241,551.79","4,195,179,170.53","4,671,641,793.44","4,670,554,217.37","4,913,499,676.79"
