科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"149,265,355.92","198,594,062.67","189,086,946.28","200,369,201.16","247,001,336.23","730,002,890.21","461,923,221.35","456,874,055.62","319,882,493.43","704,106,859.30","528,191,727.25","485,251,845.86","377,053,720.32","384,763,290.46","421,909,556.04","371,273,470.09","429,718,582.40","600,131,229.90"
短期借款,,,,"5,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","107,000,000.00","107,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","50,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00"
交易性金融资产,,,"50,100,000.00",,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"13,650,543.87","35,258,752.00","66,608,696.00","43,694,846.00","15,524,395.00","28,172,000.00","22,142,000.00","53,700,000.00","10,633,000.00","29,502,037.00","23,269,989.60","13,001,152.60","9,591,152.60","8,960,000.00","6,470,000.00","68,124,000.00","100,370,035.46","112,858,684.00"
应付票据,,,,,"2,500,000.00","16,650,000.00","71,340,000.00","133,358,978.00","19,802,379.00","10,373,379.00","3,565,000.00",,"8,540,000.00","8,360,000.00","4,477,500.00","9,574,948.75","7,457,448.75","18,228,419.05"
应收账款,"17,830,397.22","21,034,367.04","16,200,937.16","25,337,069.74","26,679,024.26","50,250,951.06","32,772,228.93","33,361,906.62","38,057,680.20","46,857,057.63","40,954,510.97","33,878,500.20","40,677,489.93","56,982,956.02","64,455,414.77","94,180,002.16","106,905,325.30","92,053,599.88"
应付账款,"26,187,368.46","43,033,227.33","50,434,150.38","63,011,182.63","75,647,199.12","94,183,954.74","86,588,525.97","71,444,183.18","78,909,623.45","101,246,381.39","73,274,095.29","87,703,552.05","58,852,450.19","84,475,531.09","86,972,031.85","125,445,039.44","87,142,579.67","100,920,765.55"
预付款项,"8,207,514.35","13,115,537.36","111,131,011.07","139,665,028.78","130,570,065.17","157,627,486.65","126,760,157.61","122,831,118.00","116,258,881.03","125,828,744.96","115,153,468.83","227,497,140.78","106,989,422.28","118,916,710.06","15,552,431.34","22,866,356.36","9,216,180.79","21,277,492.40"
预收款项,"140,508,773.42","190,048,048.47","373,655,575.95","286,030,755.23","298,071,080.89","434,568,073.10","409,423,465.08","296,268,355.67","246,594,770.03","215,171,811.84","111,965,219.50","77,392,951.80","29,449,111.14","48,921,635.91","27,879,248.25","7,384,042.64","30,695,451.20","59,137,475.98"
其他应收款,"1,004,374.08","1,843,109.28","1,465,908.43","1,644,343.31","1,834,606.86","2,991,958.81","1,248,916.74","1,344,973.81","552,742.53","652,826.05","1,588,170.58","1,863,375.09","799,174.21","907,048.43","847,695.90","1,572,783.73","1,135,153.58","878,805.67"
应付职工薪酬,"81,581.58",,,,,,"343,656.00","343,656.00","141,878.92",,"300,000.00",,,"-88,685.40","250,000.00",,"7,732.57","7,845.20"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"3,991,994.95","8,098,512.74","4,596,057.24","7,759,900.63","4,598,834.97","1,665,989.60","12,674,775.38","10,339,552.88","12,234,863.27","9,896,786.95","25,914,807.15","10,797,003.04","40,440,583.52","15,619,368.58","17,589,911.18","18,324,885.34","11,671,595.52","6,414,820.83"
应收利息,,,,,,,,,,,,,,,,,"1,936,027.40","1,880,410.95"
应付利息,,,,,"94,166.67",,"94,166.67","116,666.66","150,055.56","367,300.00","1,546,118.06","1,538,548.62","1,543,986.10","1,488,402.77","1,573,555.56","1,471,909.73","1,615,013.89","1,491,263.89"
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"44,272,955.60","63,221,690.86","127,308,423.88","115,410,581.88","128,730,893.67","132,555,930.47","177,906,545.21","134,690,070.20","117,288,900.70","104,825,477.06","64,076,991.74","32,519,527.48","31,772,127.71","34,319,984.21","27,105,355.45","27,703,376.16","29,233,325.39","51,175,101.92"
其他应付款,"481,830.81","406,695.57","360,026.52","262,435.22","362,653.17","4,823,903.62","2,550,552.81","3,038,031.09","1,116,820.35","2,674,285.66","428,449.17","207,832.13","1,933,625.38","1,671,766.36","1,551,243.25","2,647,985.93","1,491,903.96","1,515,038.03"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,"30,000,000.00","180,000,000.00"
其他流动资产,,"40,476.49",,,"112,635.88","36,714.00","350,000,000.07","355,000,000.07","200,000,000.00",,,,"301,630.17","201,086.77",,"341,200.76","600,000,000.00","450,301,588.39"
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"234,231,141.04","333,107,995.70","561,901,922.82","526,121,070.87","550,452,957.07","1,101,637,931.20","1,172,753,069.91","1,157,802,124.32","802,673,697.89","1,011,773,002.00","773,234,858.97","794,011,542.01","567,184,717.22","605,051,075.95","536,340,453.50","586,061,189.26","1,278,514,630.32","1,330,556,913.11"
流动负债合计,"171,251,549.22","241,586,484.11","429,045,810.09","362,064,273.71","431,273,934.82","601,891,921.06","633,015,141.91","584,909,423.48","465,950,390.58","446,729,944.84","221,993,689.17","182,639,887.64","145,759,756.33","165,448,019.31","190,293,490.09","209,848,811.83","215,081,725.56","412,715,628.53"
可供出售金融资产,,,,,,"9,600,000.00","9,600,000.00","9,600,000.00","209,700,000.00","209,640,000.00","209,640,000.00","209,640,000.00","209,600,000.00","209,600,000.00","219,600,000.00","219,600,000.00","219,600,000.00","219,600,000.00"
长期借款,,,,,,,,,,"190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","190,000,000.00","160,000,000.00",
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,
长期股权投资,,,"6,000,000.00","6,000,000.00","6,000,000.00",,,,,,"21,077,442.56","21,077,442.56","74,903,843.03","74,903,843.03","68,630,650.64","68,630,650.64","68,666,032.70","69,128,649.57"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,"101,542,345.30","100,937,041.63","100,494,965.88","99,909,725.43","99,406,779.48","135,154,986.96"
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"33,977,032.49","31,471,585.22","84,102,283.42","82,309,819.95","91,261,131.47","90,472,321.36","111,746,920.41","109,718,771.86","128,973,785.34","126,307,074.89","123,177,032.96","120,367,464.35","117,753,702.20","115,550,917.51","113,817,299.68","112,924,423.21","109,612,685.01","180,577,131.05"
递延所得税负债,,,,,,,,,,,,,,,,,,
在建工程,"8,198,025.08","39,054,130.38","8,629,092.58","14,312,692.58","7,154,281.45","7,252,181.51",,"8,253,254.09",,,"9,173,667.30","20,824,269.06","32,910,789.68","34,010,421.80","138,664,431.89","141,569,250.65","142,323,284.15","37,804,606.64"
其他非流动负债,,,"1,200,000.00","7,170,000.00","7,012,196.45","7,012,196.45",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,
非流动负债合计,,,"1,200,000.00","7,170,000.00","7,012,196.45","7,012,196.45","5,697,639.98","8,026,182.69","7,298,968.66","197,195,758.84","194,841,833.29","194,772,333.28","194,702,833.27","194,633,333.26","194,563,833.25","194,494,333.24","164,424,833.23","4,355,333.22"
固定资产清理,,,,,,,,,,,,,,,,,,
负债合计,"171,251,549.22","241,586,484.11","430,245,810.09","369,234,273.71","438,286,131.27","608,904,117.51","638,712,781.89","592,935,606.17","473,249,359.24","643,925,703.68","416,835,522.46","377,412,220.92","340,462,589.60","360,081,352.57","384,857,323.34","404,343,145.07","379,506,558.79","417,070,961.75"
生产性生物资产,,,,,,,,,,,,,,,,,,
实收资本(或股本),"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","53,340,000.00","53,340,000.00","53,340,000.00","149,352,000.00","149,352,000.00","149,352,000.00","149,352,000.00","149,352,000.00","149,352,000.00","149,352,000.00","149,352,000.00","167,452,961.00","167,452,961.00"
油气资产,,,,,,,,,,,,,,,,,,
资本公积,"1,047,147.16","1,047,147.16","1,047,147.16","1,047,147.16","1,047,147.16","359,307,047.16","359,307,047.16","359,307,047.16","263,295,047.16","263,295,047.16","263,295,047.16","263,295,047.16","263,295,047.16","263,295,047.16","263,295,047.16","263,295,047.16","979,549,564.86","979,549,564.86"
无形资产,"9,289,724.47","9,525,829.58","9,334,793.82","9,285,109.53","42,920,818.81","44,306,769.03","44,122,610.49","43,895,710.06","43,706,102.32","45,183,483.08","44,996,498.11","44,698,361.11","44,616,244.35","44,315,587.42","44,125,594.94","43,824,047.69","44,274,536.38","44,109,162.54"
盈余公积,"7,772,191.70","14,260,059.66","22,298,712.96","22,298,712.96","22,298,712.96","22,298,712.96","33,304,650.31","33,304,650.31","33,304,650.31","33,304,650.31","43,765,730.22","43,765,730.22","43,765,730.22","43,765,730.22","52,614,621.02","52,614,621.02","52,614,621.02","52,614,621.02"
开发支出,"99,060.00","94,740.00","94,740.00","94,740.00","94,740.00","94,740.00","94,740.00","94,740.00","94,740.00","94,740.00",,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,
未分配利润,"68,365,241.37","121,126,183.12","185,104,426.16","213,864,611.21","207,649,333.67","233,508,845.03","262,910,296.99","299,435,619.84","273,920,054.42","310,883,934.31","314,193,056.28","362,699,974.62","337,817,031.99","353,528,826.26","357,201,310.59","388,454,954.05","369,123,223.68","386,338,724.28"
长期待摊费用,"1,353,068.53","3,364,508.26","7,336,091.83","6,572,020.12","9,932,650.74","22,530,034.04","7,597,417.38","6,429,800.70","5,262,184.02","5,014,567.34","4,058,152.64","3,771,096.71","2,607,335.76","1,916,357.91","1,313,358.77","884,000.06","823,000.07","762,000.08"
少数股东权益,,,,,,,,,,,,"20,000,000.00","19,942,350.21","19,881,780.04","20,044,844.58","20,037,839.30","19,574,651.70","19,467,637.60"
递延所得税资产,"1,288,077.84","1,401,084.91","1,297,171.90","1,749,291.99","1,464,745.52","1,464,745.52","1,660,018.16","2,528,522.45","2,710,601.56","2,748,468.15","2,083,703.58","2,134,797.12","3,515,771.64","3,619,491.00","4,378,391.39","4,694,319.66","4,600,632.94","4,801,020.56"
外币报表折算价差,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,
非流动资产合计,"54,204,988.41","84,911,878.35","116,794,173.55","120,323,674.17","158,828,367.99","175,720,791.46","174,821,706.44","180,520,799.16","390,447,413.24","388,988,333.46","414,206,497.15","422,513,430.91","587,450,031.96","584,853,660.30","691,024,693.19","692,036,417.34","689,306,950.73","691,937,557.40"
所有者权益(或股东权益)合计,"117,184,580.23","176,433,389.94","248,450,286.28","277,210,471.33","270,995,193.79","668,454,605.15","708,861,994.46","745,387,317.31","719,871,751.89","756,835,631.78","770,605,833.66","839,112,752.00","814,172,159.58","829,823,383.68","842,507,823.35","873,754,461.53","1,588,315,022.26","1,605,423,508.76"
资产总计,"288,436,129.45","418,019,874.05","678,696,096.37","646,444,745.04","709,281,325.06","1,277,358,722.66","1,347,574,776.35","1,338,322,923.48","1,193,121,111.13","1,400,761,335.46","1,187,441,356.12","1,216,524,972.92","1,154,634,749.18","1,189,904,736.25","1,227,365,146.69","1,278,097,606.60","1,967,821,581.05","2,022,494,470.51"
负债和所有者(或股东权益)合计,"288,436,129.45","418,019,874.05","678,696,096.37","646,444,745.04","709,281,325.06","1,277,358,722.66","1,347,574,776.35","1,338,322,923.48","1,193,121,111.13","1,400,761,335.46","1,187,441,356.12","1,216,524,972.92","1,154,634,749.18","1,189,904,736.25","1,227,365,146.69","1,278,097,606.60","1,967,821,581.05","2,022,494,470.51"
