科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"3,468,103,978.78","3,575,421,733.33","3,615,933,002.23","848,071,960.89","1,756,794,602.63","2,414,256,406.30","3,423,729,741.76","791,361,730.78","1,608,931,584.45","2,233,734,319.77","3,120,134,327.14","853,719,500.95","1,610,595,826.79","2,422,369,025.55","3,565,974,606.55","895,425,849.48","1,730,072,947.05","2,495,395,862.09","3,381,069,352.26","848,423,947.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"93,350,573.87","58,892,645.03","85,542,460.67","15,124,870.02","42,105,136.02","57,046,031.13","127,343,711.17","16,991,278.98","46,493,716.58","55,507,258.35","186,645,276.59","18,648,324.87","69,751,905.52","104,627,858.28","227,994,569.04","18,505,655.41","64,252,786.93","96,277,125.15","134,731,953.65","16,100,517.57"
投资活动现金流出小计,"94,618,046.24","123,586,987.29","62,885,828.16","11,611,551.86","17,684,420.28","26,085,830.96","1,086,981,504.44","874,675,108.47","2,572,701,838.42","3,573,758,905.70","4,611,105,085.07","1,123,110,496.21","2,092,169,000.00","3,567,844,502.42","4,961,587,133.15","1,156,740,195.10","2,147,347,880.77","2,693,473,313.92","3,503,344,615.69","983,630,775.79"
经营活动现金流入小计,"3,561,454,552.65","3,634,314,378.36","3,701,475,462.90","863,196,830.91","1,798,899,738.65","2,471,302,437.43","3,551,073,452.93","808,353,009.76","1,655,425,301.03","2,289,241,578.12","3,306,779,603.73","872,367,825.82","1,680,347,732.31","2,526,996,883.83","3,793,969,175.59","913,931,504.89","1,794,325,733.98","2,591,672,987.24","3,515,801,305.91","864,524,465.43"
投资活动产生的现金流量净额,"-65,016,586.24","-115,653,121.93","-61,601,557.01","-11,545,600.40","-12,881,056.48","-25,068,133.62","-750,577,112.17","49,696,102.29","-337,302,205.49","-274,980,536.72","-395,917,640.38","204,864,992.65","-49,529,427.39","52,011,917.75","-213,740,470.32","-189,422,620.82","-192,153,487.60","4,094,202.73","28,315,479.95","34,090,897.91"
购买商品、接受劳务支付的现金,"2,327,084,774.50","2,078,317,691.43","1,957,957,906.08","590,706,834.77","1,077,068,403.49","1,584,387,153.91","2,035,726,912.21","615,075,017.89","1,174,186,467.42","1,614,874,236.68","2,008,359,972.19","714,974,833.19","1,124,011,284.15","1,896,319,161.95","2,328,101,962.14","663,805,007.09","1,051,968,852.83","1,719,804,440.64","2,120,882,842.20","621,282,579.86"
吸收投资收到的现金,,"50,000.00",,,"985,760,000.00","985,760,000.00","973,825,533.00",,,,"9,800,000.00",,"1,200,000.00","75,624,000.00","75,624,000.00",,,"7,580,200.00","7,580,200.00",
支付给职工以及为职工支付的现金,"446,208,019.94","492,731,317.21","508,598,582.81","131,495,513.11","226,415,815.89","330,663,557.15","470,122,309.91","126,611,917.33","234,101,947.19","343,431,624.01","470,597,951.67","136,216,843.03","249,117,347.92","369,191,978.85","495,226,143.13","115,575,113.12","279,313,979.95","407,998,148.36","471,320,951.51","116,581,436.98"
取得借款收到的现金,"775,654,139.67","517,100,000.00","26,345,000.00",,,"168,000,000.00","1,000,000.00",,,,,,,,,,,,,
支付的各项税费,"323,889,671.67","353,763,303.23","330,370,411.97","85,357,394.30","175,346,510.95","235,497,074.73","336,612,653.71","88,151,614.23","157,014,884.62","220,381,352.17","293,624,441.04","99,839,430.91","194,781,703.00","265,384,264.23","337,112,275.39","73,594,814.32","159,088,087.91","209,123,782.01","265,766,050.35","58,579,519.49"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"369,136,291.84","320,623,770.57","297,036,001.77","84,800,684.52","184,558,996.84","208,410,832.55","346,921,592.06","72,250,876.33","149,386,634.54","217,150,578.50","425,805,219.75","78,236,544.87","191,724,606.24","214,241,698.34","454,900,771.65","68,173,545.67","198,415,440.54","243,570,147.69","446,769,768.24","69,962,325.98"
筹资活动现金流入小计,"775,654,139.67","517,150,000.00","26,345,000.00",,"985,760,000.00","1,153,760,000.00","974,825,533.00",,,,"9,800,000.00",,"1,200,000.00","75,624,000.00","75,624,000.00",,,"7,580,200.00","7,580,200.00",
经营活动现金流出小计,"3,466,318,757.95","3,245,436,082.44","3,093,962,902.63","892,360,426.70","1,663,389,727.17","2,358,958,618.34","3,189,383,467.89","902,089,425.78","1,714,689,933.77","2,395,837,791.36","3,198,387,584.65","1,029,267,652.00","1,759,634,941.31","2,745,137,103.37","3,615,341,152.31","921,148,480.20","1,688,786,361.23","2,580,496,518.70","3,304,739,612.30","866,405,862.31"
偿还债务支付的现金,"731,000,000.00","665,100,000.00","418,420,000.00","53,945,000.00","53,945,000.00","83,945,000.00","53,945,000.00",,,"1,000,000.00","1,000,000.00",,,,,,,,,
经营活动产生的现金流量净额,"95,135,794.70","388,878,295.92","607,512,560.27","-29,163,595.79","135,510,011.48","112,343,819.09","361,689,985.04","-93,736,416.02","-59,264,632.74","-106,596,213.24","108,392,019.08","-156,899,826.18","-79,287,209.00","-218,140,219.54","178,628,023.28","-7,216,975.31","105,539,372.75","11,176,468.54","211,061,693.61","-1,881,396.88"
分配股利、利润或偿还利息支付的现金,"71,818,452.52","29,147,774.25","80,799,263.10","297,935.01","297,930.34","374,722.01","1,097,057.10","3,020.83","32,731,619.58","32,733,162.87","32,734,930.33",,,"102,200,000.00","102,200,000.00",,,"163,520,000.00","164,641,397.63",
收回投资收到的现金,,,,,,,"332,444,315.07","920,000,000.00","2,224,000,000.00","3,279,000,000.00","4,207,850,954.91","1,320,000,000.00","2,026,000,000.00","3,601,000,000.00","4,741,432,118.39","959,250,000.00","1,929,000,000.00","2,669,000,000.00","3,527,724,208.25","1,006,700,000.00"
支付其他与筹资活动有关的现金,,,"10,000.00",,"11,934,467.00","11,934,467.00",,,,,,,,,,,,,"1,411,317.00",
取得投资收益收到的现金,,,,,,,,"4,323,780.81","11,151,282.89","19,274,541.19",,"7,822,141.32","16,649,044.62","18,665,342.55",,"7,824,992.28","25,871,651.17","26,944,404.65","200,000.00","10,659,386.83"
筹资活动现金流出小计,"802,818,452.52","694,247,774.25","499,229,263.10","54,242,935.01","66,177,397.34","96,254,189.01","55,042,057.10","3,020.83","32,731,619.58","33,733,162.87","33,734,930.33",,,"102,200,000.00","102,200,000.00",,,"163,520,000.00","166,052,714.63",
处置固定资产、无形资产和其他长期资产收回的现金净额,"27,908,906.14","7,933,865.36","1,284,271.15","65,951.46","4,803,363.80","1,017,697.34","1,960,077.20","47,429.95","248,350.04","503,827.79","7,336,489.78","153,347.54","-9,472.01","191,077.62","6,414,544.44","242,582.00","322,742.00","1,623,112.00","3,735,887.39","362,286.87"
