科目,2008-12-31,2009-06-30,2009-12-31,2010-06-30,2010-12-31,2011-06-30,2011-12-31,2012-06-30,2012-12-31,2013-06-30,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"11,790,862.78","12,998,956.83","24,909,376.69","16,177,975.57","16,176,940.13","13,832,092.75","26,501,745.48","18,067,685.84","43,856,951.70","32,638,308.70","33,697,222.14","35,731,040.33","58,598,962.25","47,861,659.58","171,926,971.60","174,615,350.21","212,172,374.49","199,739,226.29","199,041,495.84","237,943,964.58","271,772,285.05","261,313,921.37","264,843,224.03","277,440,495.11"
短期借款,"1,800,000.00",,,,"6,000,000.00","21,000,000.00","20,000,000.00","19,000,000.00","30,000,000.00","40,283,610.17","35,000,000.00","49,900,000.00","39,900,000.00","38,900,000.00","50,000.00","50,000.00","50,000.00","50,000.00",,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,186,370.00","583,144.50","1,597,794.11","1,038,039.00","2,400,886.00","2,193,835.04","3,930,506.40","3,643,805.00","5,232,976.40","1,741,139.00","4,983,006.77","2,083,500.00","5,216,599.00","3,975,905.00","1,252,550.08","4,213,242.00","4,389,283.80","2,820,662.10","2,092,727.80","3,767,957.00","3,044,153.32","3,266,962.00","3,863,670.75","4,057,167.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"7,512,812.01","7,314,968.40","11,319,205.40","16,866,477.84","14,761,382.45","17,545,790.51","22,655,015.97","27,742,096.05","29,300,444.54","27,637,946.61","30,717,636.55","29,088,900.93","36,028,365.28","36,159,599.21","37,128,300.85","40,345,101.49","30,883,204.01","33,586,719.03","34,751,428.70","38,853,675.54","40,596,279.28","39,261,296.41","42,445,165.47","36,634,441.35"
应付账款,"2,332,846.05","2,187,113.64","2,172,435.79","2,586,414.18","4,056,274.09","439,618.68","3,998,153.66","3,106,628.43","5,172,541.40","6,648,005.40","7,196,677.99","6,007,718.28","8,560,979.36","6,977,309.65","7,830,643.42","8,851,580.81","6,742,206.19","13,600,200.18","4,438,699.60","6,305,690.85","6,544,605.32","7,270,114.38","8,984,909.46","7,680,399.51"
预付款项,"624,517.49","970,071.60","507,642.79","672,117.08","8,663,544.24","30,843,849.16","33,921,218.11","34,238,462.59","31,900,804.14","2,651,198.97","3,895,643.94","2,425,602.01","1,704,345.56","5,179,163.27","3,650,893.55","6,345,962.67","3,229,329.37","13,710,615.13","4,825,972.38","7,401,903.58","5,861,955.24","6,850,328.22","7,858,439.34","8,442,767.05"
预收款项,"1,412,429.29","1,514,694.64","2,664,802.30","3,967,168.84","4,003,884.44","3,841,415.19","2,668,872.37","3,048,124.66","2,674,198.14","1,822,478.43","2,304,439.32","2,145,734.31","5,918,298.56","5,368,744.43","5,091,972.88","3,655,666.21","5,944,470.97","5,868,711.71","3,184,800.34","1,524,954.46","3,558,589.19","2,489,458.83","5,447,690.41","3,873,353.91"
其他应收款,"459,154.30","666,196.46","781,068.96","3,999,919.46","15,308,298.83","16,454,216.67","16,490,141.78","18,192,533.04","18,401,711.31","3,745,324.83","3,388,005.22","3,597,021.20","3,366,706.54","4,414,935.32","1,447,910.12","1,572,980.71","649,865.17","792,217.17","983,689.38","1,264,897.55","1,005,211.16","1,240,775.37","1,696,383.63","2,076,473.46"
应付职工薪酬,"450,843.25","230,431.05",,,"6,204,475.00","247,762.19","6,021,562.30","2,753,649.89","6,739,691.65","2,360,656.01","9,028,373.50","3,450,283.07","8,172,327.42","3,517,229.32","3,717,360.48","4,329,953.50","11,916,396.54","4,712,940.57","4,212,053.01","4,613,538.42","13,271,860.41","4,899,583.99","4,989,906.17","7,051,980.41"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
